timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,54.4900,57.0000,54.1800,56.4200,56.4200,11336932,0.0000,1.0000
2018-01-10,53.2300,54.0200,52.8800,53.7800,53.7800,7638150,0.0000,1.0000
2018-01-09,52.9700,53.3700,52.0050,52.0800,52.0800,3387134,0.0000,1.0000
2018-01-08,52.6000,52.6400,51.9300,52.1300,52.1300,3499793,0.0000,1.0000
2018-01-05,52.7800,52.8388,52.4300,52.6500,52.6500,2951083,0.0000,1.0000
2018-01-04,52.4800,54.4000,52.2650,52.6700,52.6700,3551004,0.0000,1.0000
2018-01-03,52.8600,52.8600,52.0550,52.3400,52.3400,5066630,0.0000,1.0000
2018-01-02,52.3300,53.1000,51.9000,52.9900,52.9900,4060789,0.0000,1.0000
2017-12-29,52.4200,52.8200,52.0100,52.0300,52.0300,2680572,0.0000,1.0000
2017-12-28,52.4500,52.6300,52.2200,52.4600,52.4600,1576661,0.0000,1.0000
2017-12-27,52.8000,52.8800,52.0600,52.4000,52.4000,2770411,0.0000,1.0000
2017-12-26,52.3500,53.2150,52.3300,52.8500,52.8500,2772279,0.0000,1.0000
2017-12-22,52.7200,52.8800,52.4200,52.5900,52.5900,2420149,0.0000,1.0000
2017-12-21,52.1600,53.4700,52.0700,52.7900,52.7900,6910068,0.0000,1.0000
2017-12-20,51.5700,52.1000,51.1700,51.9200,51.9200,5144156,0.0000,1.0000
2017-12-19,51.6000,51.8100,51.2800,51.4400,51.4400,3007322,0.0000,1.0000
2017-12-18,51.2500,51.6600,51.2500,51.4900,51.4900,3191046,0.0000,1.0000
2017-12-15,50.6700,51.5000,50.4000,51.0600,51.0600,7929521,0.0000,1.0000
2017-12-14,50.5900,51.3600,50.0750,50.2100,50.2100,4490177,0.0000,1.0000
2017-12-13,50.5800,50.7500,49.8500,50.0900,50.0900,2755104,0.0000,1.0000
2017-12-12,51.2700,51.5300,50.3800,50.4700,50.4700,2788331,0.0000,1.0000
2017-12-11,50.7800,51.5900,50.7600,51.3000,51.3000,2785584,0.0000,1.0000
2017-12-08,51.2300,51.7900,50.9300,51.0200,51.0200,3793349,0.0000,1.0000
2017-12-07,49.5300,50.9205,49.3000,50.8800,50.8800,3015505,0.0000,1.0000
2017-12-06,49.3900,49.8100,49.1900,49.6100,49.6100,2789870,0.0000,1.0000
2017-12-05,49.8500,50.0000,49.2099,49.4700,49.4700,3573259,0.0000,1.0000
2017-12-04,50.1000,51.4700,49.6500,49.9300,49.9300,7096721,0.0000,1.0000
