timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-10,267.9500,272.4050,266.0300,272.0900,272.0900,382357,0.0000,1.0000
2018-01-09,264.5000,268.8500,264.0300,267.9600,267.9600,462972,0.0000,1.0000
2018-01-08,264.8300,264.8300,262.1700,263.3000,263.3000,437560,0.0000,1.0000
2018-01-05,265.0000,265.0000,263.5500,264.7600,264.7600,451015,0.0000,1.0000
2018-01-04,261.6800,264.1700,261.2600,264.0500,264.0500,342414,0.0000,1.0000
2018-01-03,260.0000,264.7750,258.7200,260.0700,260.0700,676801,0.0000,1.0000
2018-01-02,254.2900,256.3200,252.6700,255.3300,255.3300,563496,0.0000,1.0000
2017-12-29,252.5400,254.7900,251.4535,253.4800,253.4800,353258,0.0000,1.0000
2017-12-28,251.3650,252.1900,249.4400,251.3500,251.3500,320336,0.0000,1.0000
2017-12-27,250.4100,250.5900,248.9500,250.4200,250.4200,206281,0.0000,1.0000
2017-12-26,250.5000,252.0000,249.9800,250.6400,250.6400,258930,0.0000,1.0000
2017-12-22,250.5600,252.3150,249.0300,251.9900,251.9900,573140,0.0000,1.0000
2017-12-21,248.1800,250.7900,247.6000,249.7800,249.7800,703179,0.0000,1.0000
2017-12-20,244.8500,247.9300,242.7600,247.1500,247.1500,525691,0.0000,1.0000
2017-12-19,247.8000,249.2200,244.6900,244.8500,244.8500,473932,0.0000,1.0000
2017-12-18,243.7900,248.2300,240.6600,247.2200,247.2200,945804,0.0000,1.0000
2017-12-15,237.0000,240.8800,230.5300,239.8100,239.8100,989084,0.0000,1.0000
2017-12-14,235.2400,237.4600,233.2900,236.2900,236.2900,677286,0.0000,1.0000
2017-12-13,237.5000,238.3100,233.2900,234.0000,234.0000,586079,0.0000,1.0000
2017-12-12,234.1300,238.5900,233.6900,238.3400,238.3400,825319,0.0000,1.0000
2017-12-11,233.1200,235.5950,232.6950,234.2800,234.2800,719880,0.0000,1.0000
2017-12-08,233.7100,234.8850,231.7400,233.0500,233.0500,257470,0.0000,1.0000
2017-12-07,228.8100,234.1700,228.8100,232.4500,232.4500,360939,0.0000,1.0000
2017-12-06,232.3000,232.6750,229.4112,229.8600,229.8600,275709,0.0000,1.0000
2017-12-05,238.4200,238.4200,232.4200,232.5000,232.5000,412694,0.0000,1.0000
2017-12-04,236.2600,242.7300,234.3400,238.1700,238.1700,676204,0.0000,1.0000
2017-12-01,238.0400,239.4990,230.9400,234.0300,234.0300,657837,0.0000,1.0000
2017-11-30,235.0000,241.9700,234.7500,239.2700,239.2700,810539,0.0000,1.0000
2017-11-29,226.8800,234.2600,225.3100,233.2100,233.2100,686620,0.0000,1.0000
2017-11-28,222.3400,225.8400,220.4900,225.6100,225.6100,442340,0.0000,1.0000
2017-11-27,221.7400,222.8100,221.1300,221.4500,221.4500,258164,0.0000,1.0000
2017-11-24,221.8400,222.7500,221.2700,222.0200,222.0200,141389,0.0000,1.0000
2017-11-22,224.9700,226.7200,221.4600,221.8100,221.8100,302864,0.0000,1.0000
2017-11-21,219.0400,225.8300,217.0800,223.8400,223.8400,588533,0.0000,1.0000
2017-11-20,224.3500,226.4700,223.5300,224.6700,224.6700,270843,0.0000,1.0000
2017-11-17,224.5800,226.7600,224.1900,224.3500,224.3500,269125,0.0000,1.0000
2017-11-16,225.5300,227.5050,224.2700,225.3300,225.3300,396760,0.0000,1.0000
2017-11-15,224.9000,226.1000,218.8000,224.5900,224.5900,467287,0.0000,1.0000
2017-11-14,223.7000,226.4700,221.0900,226.1700,226.1700,562111,0.0000,1.0000
2017-11-13,223.4000,225.2700,222.3100,224.2000,224.2000,475486,0.5200,1.0000
2017-11-10,227.6800,228.9100,224.6200,225.4500,224.9283,342930,0.0000,1.0000
2017-11-09,227.8800,228.9400,226.0000,227.9100,227.3826,319046,0.0000,1.0000
2017-11-08,229.7200,230.6700,228.1800,229.6100,229.0787,412762,0.0000,1.0000
2017-11-07,230.4000,231.6600,228.8900,229.7200,229.1884,438937,0.0000,1.0000
2017-11-06,226.3700,232.4800,225.9400,230.6900,230.1562,437280,0.0000,1.0000
2017-11-03,226.2500,226.3900,224.7700,225.5900,225.0680,275973,0.0000,1.0000
2017-11-02,226.8900,227.7400,222.8900,226.2400,225.7165,352541,0.0000,1.0000
2017-11-01,224.4600,226.6400,220.5900,226.2000,225.6766,480540,0.0000,1.0000
2017-10-31,224.5500,227.9100,223.4200,223.7300,223.2123,738472,0.0000,1.0000
2017-10-30,230.5500,231.2400,224.4700,224.4700,223.9506,549321,0.0000,1.0000
2017-10-27,233.0900,235.1900,229.2900,231.8300,231.2935,391573,0.0000,1.0000
2017-10-26,236.0400,237.8000,232.5600,232.5900,232.0518,334621,0.0000,1.0000
2017-10-25,240.0200,240.0200,233.9800,235.8200,235.2743,318767,0.0000,1.0000
2017-10-24,239.9400,240.9500,238.9100,239.8000,239.2451,530309,0.0000,1.0000
2017-10-23,240.3900,244.4300,239.0100,239.3300,238.7762,565522,0.0000,1.0000
2017-10-20,235.3600,242.9900,235.3600,239.3700,238.8161,900591,0.0000,1.0000
2017-10-19,229.0000,232.9300,215.3700,232.8000,232.2613,1322455,0.0000,1.0000
2017-10-18,227.5000,231.4500,227.5000,228.3800,227.8515,581364,0.0000,1.0000
2017-10-17,228.7500,229.9500,226.5200,226.9400,226.4149,410858,0.0000,1.0000
2017-10-16,232.2600,232.2600,226.2500,228.7700,228.2406,626947,0.0000,1.0000
2017-10-13,221.5400,234.1800,220.8500,230.8600,230.3258,947860,0.0000,1.0000
2017-10-12,223.9700,223.9700,219.8900,220.1400,219.6306,589766,0.0000,1.0000
2017-10-11,226.4800,227.1700,224.1100,224.8000,224.2798,599433,0.0000,1.0000
2017-10-10,227.0100,228.2500,226.2300,226.5900,226.0657,267285,0.0000,1.0000
2017-10-09,226.2500,228.0300,225.9900,226.2200,225.6965,187781,0.0000,1.0000
2017-10-06,226.2600,226.9400,225.3500,226.2200,225.6965,286304,0.0000,1.0000
2017-10-05,225.9600,227.2900,224.4300,226.7000,226.1754,413140,0.0000,1.0000
2017-10-04,226.7600,226.8300,224.5300,225.7100,225.1877,365175,0.0000,1.0000
2017-10-03,224.0000,226.0400,221.9800,225.7500,225.2276,526051,0.0000,1.0000
2017-10-02,222.0000,223.9900,220.0300,223.7000,223.1824,412873,0.0000,1.0000
2017-09-29,221.0100,226.0100,220.9800,221.5500,221.0373,599762,0.0000,1.0000
2017-09-28,219.8400,220.8600,217.1400,220.6100,220.0995,429101,0.0000,1.0000
2017-09-27,220.4600,220.9800,217.9300,219.8600,219.3512,457093,0.0000,1.0000
2017-09-26,218.6500,220.7900,217.7500,218.9300,218.4234,673564,0.0000,1.0000
2017-09-25,217.2800,218.1500,215.4800,217.3900,216.8870,452891,0.0000,1.0000
2017-09-22,215.1000,217.8700,215.1000,216.7600,216.2584,286944,0.0000,1.0000
2017-09-21,211.3000,216.2000,210.5700,215.8100,215.3106,522636,0.0000,1.0000
2017-09-20,215.0500,215.0900,209.0000,210.4300,209.9431,996149,0.0000,1.0000
2017-09-19,217.8200,217.8900,214.9100,215.0500,214.5524,517296,0.0000,1.0000
2017-09-18,216.4500,219.7700,216.0900,217.0900,216.5877,720825,0.0000,1.0000
2017-09-15,218.4300,219.2100,213.4400,216.0000,215.5002,2204269,0.0000,1.0000
2017-09-14,221.9600,222.0100,218.1100,218.8700,218.3635,661019,0.0000,1.0000
2017-09-13,221.0600,223.3500,219.9800,222.4600,221.9452,588859,0.0000,1.0000
2017-09-12,219.1400,221.8600,217.5000,221.6100,221.0972,576840,0.0000,1.0000
2017-09-11,217.1000,220.0000,216.0000,219.1900,218.6828,501602,0.0000,1.0000
2017-09-08,214.9600,216.0000,213.5900,214.3200,213.8241,593366,0.0000,1.0000
2017-09-07,220.5500,221.6700,215.9900,216.0500,215.5501,515759,0.0000,1.0000
2017-09-06,220.6300,222.2500,219.1400,220.3800,219.8700,445806,0.0000,1.0000
2017-09-05,224.1300,224.8500,217.3100,219.5000,218.9921,562567,0.0000,1.0000
2017-09-01,225.9500,226.1300,223.7700,225.1800,224.6589,269951,0.0000,1.0000
2017-08-31,226.0000,226.9000,223.7200,225.5000,224.9782,386080,0.0000,1.0000
2017-08-30,223.3300,225.2700,221.6700,225.0900,224.5691,314836,0.0000,1.0000
2017-08-29,221.6500,223.9200,221.1400,223.6400,223.1225,321710,0.0000,1.0000
2017-08-28,223.3900,224.3500,221.9000,223.6800,223.1624,269169,0.0000,1.0000
