timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,179.4500,179.4500,176.3300,176.7200,176.7200,2198457,0.0000,1.0000
2018-01-16,176.9600,179.8000,176.6025,178.6600,178.6600,2653869,0.0000,1.0000
2018-01-12,177.6200,180.5600,175.7900,176.0500,176.0500,2801900,0.0000,1.0000
2018-01-11,174.4900,177.3500,173.8100,177.1200,177.1200,2011052,0.0000,1.0000
2018-01-10,174.6000,175.1900,171.8600,173.9900,173.9900,2119187,0.0000,1.0000
2018-01-09,171.4900,177.3000,171.0300,175.6500,175.6500,3704132,0.0000,1.0000
2018-01-08,172.9600,173.2600,168.3250,170.5600,170.5600,2774848,0.0000,1.0000
2018-01-05,172.4300,172.8200,171.0000,172.2900,172.2900,1731843,0.0000,1.0000
2018-01-04,171.2000,171.9800,168.8500,171.5800,171.5800,1736654,0.0000,1.0000
2018-01-03,172.0000,172.4700,168.8200,170.1400,170.1400,2603124,0.0000,1.0000
2018-01-02,164.0500,171.1200,163.4600,170.3200,170.3200,3145398,0.0000,1.0000
2017-12-29,164.6100,165.9000,163.5200,163.5800,163.5800,2485654,0.0000,1.0000
2017-12-28,164.9400,165.5000,163.1710,164.6200,164.6200,2015996,0.0000,1.0000
2017-12-27,164.4200,167.1900,164.2500,165.5700,165.5700,2058830,0.0000,1.0000
2017-12-26,164.5300,166.3950,164.1100,164.4400,164.4400,1521568,0.0000,1.0000
2017-12-22,167.7800,168.1600,163.8800,164.9000,164.9000,2581220,0.0000,1.0000
2017-12-21,165.4100,168.4200,165.0800,167.6300,167.6300,3040492,0.0000,1.0000
2017-12-20,169.4900,170.3200,165.4500,165.7100,165.7100,3211806,0.0000,1.0000
2017-12-19,171.0100,172.6000,169.4700,169.5700,169.5700,2618027,0.0000,1.0000
2017-12-18,171.7700,174.0900,170.6500,170.9100,170.9100,2636160,0.0000,1.0000
2017-12-15,172.2400,174.5900,170.6050,171.6800,171.6800,4052278,0.0000,1.0000
2017-12-14,169.3900,175.2000,168.7500,170.9400,170.9400,3725810,0.0000,1.0000
2017-12-13,171.0000,172.5900,168.2500,169.2400,169.2400,2218220,0.0000,1.0000
2017-12-12,173.1100,174.0000,171.6600,171.8700,171.8700,1983669,0.0000,1.0000
2017-12-11,168.7500,173.7800,167.1200,172.7600,172.7600,2887774,0.0000,1.0000
2017-12-08,166.1100,168.7800,164.5800,167.8000,167.8000,2865014,0.0000,1.0000
2017-12-07,166.0600,167.0000,162.9140,164.8700,164.8700,2902946,0.0000,1.0000
2017-12-06,164.9400,168.6700,163.8000,168.0000,168.0000,3608391,0.0000,1.0000
2017-12-05,163.3000,165.4800,160.0700,164.2800,164.2800,7553731,0.0000,1.0000
2017-12-04,170.3000,170.9700,166.0600,166.9000,166.9000,3401427,0.0000,1.0000
