timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,61.2400,61.4600,61.0500,61.1500,61.1500,6536515,0.0000,1.0000
2018-01-10,60.6400,61.3500,60.5500,61.0000,61.0000,12257246,0.0000,1.0000
2018-01-09,60.3600,61.2750,60.2500,60.6300,60.6300,6654089,0.0000,1.0000
2018-01-08,60.4600,60.5300,60.1410,60.2500,60.2500,3073737,0.0000,1.0000
2018-01-05,60.6400,60.7900,60.3700,60.6500,60.6500,3689781,0.0000,1.0000
2018-01-04,60.4200,61.0500,60.2800,60.4000,60.4000,4113355,0.0000,1.0000
2018-01-03,59.3800,60.2800,59.2700,60.1600,60.1600,4959154,0.0000,1.0000
2018-01-02,60.0000,60.0000,59.1200,59.5000,59.5000,3759538,0.0000,1.0000
2017-12-29,59.9700,60.2100,59.5800,59.5800,59.5800,2800229,0.0000,1.0000
2017-12-28,59.7000,60.0200,59.4400,60.0000,60.0000,2336270,0.0000,1.0000
2017-12-27,59.2900,59.5600,59.1900,59.5400,59.5400,2663386,0.0000,1.0000
2017-12-26,59.2200,59.7900,59.1900,59.4300,59.4300,2358258,0.0000,1.0000
2017-12-22,60.2250,60.3600,59.1100,59.3100,59.3100,4263699,0.0000,1.0000
2017-12-21,60.3000,60.6700,60.0200,60.0800,60.0800,4793024,0.0000,1.0000
2017-12-20,59.9700,60.1400,59.5850,60.0000,60.0000,4147877,0.0000,1.0000
2017-12-19,59.8500,60.0800,59.7459,59.7800,59.7800,3790227,0.0000,1.0000
2017-12-18,59.7600,60.0400,59.3200,59.5800,59.5800,5284888,0.0000,1.0000
2017-12-15,58.5600,59.5150,58.3700,59.3900,59.3900,8159188,0.0000,1.0000
2017-12-14,59.0700,59.1500,57.8500,58.1100,58.1100,6812626,0.0000,1.0000
2017-12-13,59.9200,59.9300,58.9200,58.9700,58.9700,5268081,0.0000,1.0000
2017-12-12,59.7500,60.1517,59.6600,59.9300,59.9300,3497660,0.0000,1.0000
2017-12-11,59.3600,59.8200,59.2150,59.7900,59.7900,4146589,0.0000,1.0000
2017-12-08,59.6300,59.6700,59.1900,59.5100,59.5100,3383985,0.0000,1.0000
2017-12-07,59.8200,60.0300,59.4150,59.5500,59.5500,3590633,0.3200,1.0000
2017-12-06,59.7500,60.5700,59.7200,60.0300,59.7091,4197045,0.0000,1.0000
2017-12-05,59.2500,59.9400,58.9200,59.5300,59.2118,4848000,0.0000,1.0000
2017-12-04,60.4200,60.4800,59.0400,59.2600,58.9433,5805284,0.0000,1.0000
2017-12-01,60.0700,60.2000,58.9800,59.8800,59.5599,4520292,0.0000,1.0000
2017-11-30,60.6300,60.6300,59.6850,59.9600,59.6395,6667164,0.0000,1.0000
2017-11-29,60.1400,61.0950,60.0300,60.3000,59.9777,7727375,0.0000,1.0000
2017-11-28,58.7600,60.0300,58.5216,59.8200,59.5003,6646298,0.0000,1.0000
2017-11-27,59.1000,59.1900,58.6900,58.7600,58.4459,4138130,0.0000,1.0000
2017-11-24,59.4600,59.4800,58.9800,59.0300,58.7145,1744091,0.0000,1.0000
2017-11-22,59.5600,59.6700,59.2300,59.2300,58.9134,2992633,0.0000,1.0000
2017-11-21,59.8400,59.9700,59.5200,59.6300,59.3113,3841962,0.0000,1.0000
2017-11-20,60.0000,60.0200,59.3000,59.6900,59.3710,6302773,0.0000,1.0000
2017-11-17,59.7800,60.1500,59.4110,60.0600,59.7390,5557309,0.0000,1.0000
2017-11-16,61.3500,61.4100,59.9500,60.0600,59.7390,5560893,0.0000,1.0000
2017-11-15,61.0500,61.6600,60.9200,61.1400,60.8132,4069179,0.0000,1.0000
2017-11-14,61.6100,61.9200,61.2600,61.4600,61.1315,6792092,0.0000,1.0000
2017-11-13,61.6800,62.1000,61.6000,62.0000,61.6686,3596945,0.0000,1.0000
2017-11-10,62.0800,62.3300,61.9100,62.0600,61.7283,4413009,0.0000,1.0000
2017-11-09,61.5000,62.3900,61.3100,62.2400,61.9073,4565227,0.0000,1.0000
2017-11-08,62.1200,62.2606,61.5500,61.6700,61.3404,4684838,0.0000,1.0000
2017-11-07,62.6200,63.0800,61.9300,62.1300,61.7979,5938211,0.0000,1.0000
2017-11-06,61.8000,62.7300,61.6000,62.4900,62.1560,7610660,0.0000,1.0000
2017-11-03,62.0900,63.4800,61.7200,62.0000,61.6686,14316896,0.0000,1.0000
2017-11-02,64.5800,65.3000,64.4000,64.9800,64.6327,3977570,0.0000,1.0000
2017-11-01,64.9200,65.0900,64.5100,64.6600,64.3144,3013495,0.0000,1.0000
2017-10-31,64.6800,64.9500,64.4400,64.6100,64.2647,3165182,0.0000,1.0000
2017-10-30,64.0100,64.9900,64.0100,64.7800,64.4338,4025472,0.0000,1.0000
2017-10-27,64.7600,64.8900,63.9700,64.5500,64.2050,3991570,0.0000,1.0000
2017-10-26,65.4300,65.4500,64.4350,64.8500,64.5034,4030496,0.0000,1.0000
2017-10-25,65.1800,65.3800,64.8600,65.1200,64.7719,3351101,0.0000,1.0000
2017-10-24,65.0200,65.1900,64.8000,65.1300,64.7819,3785876,0.0000,1.0000
2017-10-23,65.1600,65.3500,64.8000,64.9600,64.6128,3873242,0.0000,1.0000
2017-10-20,65.3400,65.5500,64.8200,64.8700,64.5233,6831216,0.0000,1.0000
2017-10-19,63.2400,65.1500,63.0700,65.0700,64.7222,7171815,0.0000,1.0000
2017-10-18,63.8800,63.9700,63.2500,63.4400,63.1009,4421217,0.0000,1.0000
2017-10-17,63.8500,64.0900,63.4700,63.6300,63.2899,4906376,0.0000,1.0000
2017-10-16,63.3700,64.0500,63.1400,63.9800,63.6380,6515793,0.0000,1.0000
2017-10-13,62.4300,63.3700,62.2400,63.1600,62.8224,7017949,0.0000,1.0000
2017-10-12,61.7500,62.7450,61.6600,62.5500,62.2157,6179678,0.0000,1.0000
2017-10-11,61.7200,61.8750,61.4500,61.8400,61.5095,5737064,0.0000,1.0000
