timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,176.6200,179.4100,176.3300,178.9800,178.9800,726764,0.0000,1.0000
2018-01-10,173.9200,176.0800,173.4400,175.8300,175.8300,883342,0.0000,1.0000
2018-01-09,172.9700,176.1700,172.8900,174.0800,174.0800,1628524,0.0000,1.0000
2018-01-08,170.3800,172.2700,169.2300,172.0000,172.0000,996052,0.0000,1.0000
2018-01-05,170.3200,170.4750,169.6500,170.2700,170.2700,732362,0.0000,1.0000
2018-01-04,169.7400,171.4100,169.6000,169.6900,169.6900,864718,0.0000,1.0000
2018-01-03,169.9500,170.1900,168.6700,169.0700,169.0700,731823,0.0000,1.0000
2018-01-02,170.6400,170.7200,168.8500,169.9100,169.9100,761857,0.0000,1.0000
2017-12-29,171.7600,172.4200,169.4000,169.4700,169.4700,591590,0.0000,1.0000
2017-12-28,171.1600,171.8591,170.7500,171.6100,171.6100,393506,0.0000,1.0000
2017-12-27,171.4300,171.4700,170.6300,170.9400,170.9400,457137,0.0000,1.0000
2017-12-26,171.8000,172.5100,170.9200,171.1000,171.1000,412202,0.0000,1.0000
2017-12-22,172.4500,172.6300,170.4100,171.5100,171.5100,411719,0.0000,1.0000
2017-12-21,172.0700,173.2200,171.3400,171.7000,171.7000,805458,0.0000,1.0000
2017-12-20,173.3650,173.6200,170.6300,171.1000,171.1000,698099,0.0000,1.0000
2017-12-19,170.8650,171.9500,170.1800,171.3300,171.3300,860661,0.0000,1.0000
2017-12-18,169.4750,171.0900,169.1000,170.0200,170.0200,814109,0.0000,1.0000
2017-12-15,166.0000,169.0300,165.6550,167.9300,167.9300,1248966,0.0000,1.0000
2017-12-14,167.3600,167.6150,165.0700,165.4500,165.4500,633057,0.0000,1.0000
2017-12-13,168.0600,168.3700,166.4200,166.4200,166.4200,842220,0.0000,1.0000
2017-12-12,168.2300,169.6050,167.9300,168.6000,168.6000,829958,0.0000,1.0000
2017-12-11,169.4500,170.3500,167.6600,167.7800,167.7800,665697,0.0000,1.0000
2017-12-08,168.1900,169.9400,167.3900,169.8600,169.8600,870257,0.0000,1.0000
2017-12-07,164.1700,168.2900,164.0000,167.6000,167.6000,804044,0.0000,1.0000
2017-12-06,163.9300,166.4550,163.9287,164.7700,164.7700,649475,0.0000,1.0000
2017-12-05,165.4900,166.3100,163.9000,164.3600,164.3600,979000,0.0000,1.0000
2017-12-04,165.0600,166.9900,164.9300,165.5500,165.5500,1020838,0.0000,1.0000
2017-12-01,163.3200,164.1300,157.7300,162.4700,162.4700,1063456,0.0000,1.0000
2017-11-30,164.3100,166.1350,162.9800,163.2300,163.2300,1538635,0.0000,1.0000
2017-11-29,162.9900,166.0400,162.9050,163.5600,163.5600,951029,0.0000,1.0000
2017-11-28,159.9300,162.3700,159.3200,161.7500,161.7500,1334408,0.0000,1.0000
