timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-10,140.4100,140.6000,136.0300,137.6100,137.6100,3330524,0.0000,1.0000
2018-01-09,142.1000,142.2500,140.8600,141.0500,141.0500,1479532,0.0000,1.0000
2018-01-08,140.6600,143.2400,140.6600,142.0100,142.0100,1878894,0.0000,1.0000
2018-01-05,140.2300,140.7000,139.5900,140.5100,140.5100,2115466,0.0000,1.0000
2018-01-04,141.4400,141.9600,139.5800,139.6100,139.6100,1706815,0.0000,1.0000
2018-01-03,141.0500,142.5000,140.8600,141.6800,141.6800,1770470,0.0000,1.0000
2018-01-02,143.1600,143.2200,140.9100,141.1300,141.1300,1880582,0.0000,1.0000
2017-12-29,143.1600,143.5100,142.5000,142.6700,142.6700,1125309,0.0000,1.0000
2017-12-28,141.6500,143.3250,141.5500,142.9100,142.9100,1528660,0.0000,1.0000
2017-12-27,140.6100,142.2500,140.3400,141.5600,141.5600,1002001,0.7000,1.0000
2017-12-26,140.2100,141.7700,139.9300,140.9100,140.2166,821994,0.0000,1.0000
2017-12-22,140.0600,141.0900,138.5200,140.6600,139.9679,3067823,0.0000,1.0000
2017-12-21,140.6100,141.2100,139.4100,139.6100,138.9230,2563592,0.0000,1.0000
2017-12-20,140.8500,142.2650,140.0200,140.1900,139.5002,2576475,0.0000,1.0000
2017-12-19,143.4950,143.9500,141.7500,141.8600,141.1620,2202613,0.0000,1.0000
2017-12-18,143.5500,143.6500,142.0100,142.8400,142.1371,2010995,0.0000,1.0000
2017-12-15,143.9400,144.7800,141.9400,142.7600,142.0575,3630701,0.0000,1.0000
2017-12-14,144.4500,145.0100,143.5800,143.6400,142.9332,2105925,0.0000,1.0000
2017-12-13,143.4800,145.5900,143.4800,143.7300,143.0228,1693566,0.0000,1.0000
2017-12-12,144.1600,145.6000,143.1700,143.5100,142.8038,1852582,0.0000,1.0000
2017-12-11,142.1800,144.5100,141.4600,144.0500,143.3412,2269385,0.0000,1.0000
2017-12-08,144.5000,144.9200,142.2700,142.4700,141.7690,1690412,0.0000,1.0000
2017-12-07,142.7500,144.5400,141.5000,144.1100,143.4009,2172288,0.0000,1.0000
2017-12-06,140.4200,142.3300,140.1400,141.8000,141.1023,1099505,0.0000,1.0000
2017-12-05,138.6400,141.3250,138.5800,140.7600,140.0674,1732504,0.0000,1.0000
2017-12-04,143.7200,144.3942,138.9600,138.9700,138.2862,2231374,0.0000,1.0000
2017-12-01,144.2200,145.1500,141.6700,143.6100,142.9034,1993812,0.0000,1.0000
2017-11-30,146.7200,147.0899,142.5300,143.9300,143.2218,4200385,0.0000,1.0000
2017-11-29,148.4700,148.7900,145.7100,146.3000,145.5801,2197388,0.0000,1.0000
2017-11-28,148.5800,149.4800,147.1600,148.6400,147.9086,2368832,0.0000,1.0000
2017-11-27,147.5100,149.3100,147.5100,148.2300,147.5006,1485897,0.0000,1.0000
2017-11-24,145.7600,147.6600,145.4200,147.3000,146.5752,887597,0.0000,1.0000
2017-11-22,146.3800,146.8700,145.0000,145.3100,144.5950,1694700,0.0000,1.0000
2017-11-21,146.3800,147.3000,145.6400,146.5900,145.8687,1923439,0.0000,1.0000
2017-11-20,146.3500,147.1900,145.6300,146.2200,145.5005,1703515,0.0000,1.0000
2017-11-17,147.9700,148.8500,145.5700,145.8700,145.1522,2053879,0.0000,1.0000
2017-11-16,149.8900,150.1700,147.8300,148.4000,147.6698,2014041,0.0000,1.0000
2017-11-15,149.5500,149.8400,146.8000,148.9300,148.1972,1629940,0.0000,1.0000
2017-11-14,150.0500,150.9700,148.3400,149.4900,148.7544,1854519,0.0000,1.0000
2017-11-13,151.2700,152.8000,148.6200,150.0400,149.3017,2453045,0.0000,1.0000
2017-11-10,151.3300,151.8000,148.4600,150.5400,149.7993,1537154,0.0000,1.0000
2017-11-09,151.8000,153.0075,150.5600,151.8200,151.0730,1808118,0.0000,1.0000
2017-11-08,150.3000,155.2800,150.1500,152.7200,151.9685,2334794,0.0000,1.0000
2017-11-07,149.9900,150.7862,146.8300,150.6600,149.9187,2502843,0.0000,1.0000
2017-11-06,145.0400,150.9600,144.9600,150.1600,149.4211,3936627,0.0000,1.0000
2017-11-03,141.8300,142.4100,140.2300,142.1000,141.4008,1577242,0.0000,1.0000
2017-11-02,140.6500,142.9600,140.5200,142.4400,141.7391,1364057,0.0000,1.0000
2017-11-01,144.2500,144.6600,140.3900,140.8100,140.1171,2819212,0.0000,1.0000
2017-10-31,139.9200,144.3300,138.3000,143.6700,142.9631,2993063,0.0000,1.0000
2017-10-30,138.7600,144.8000,138.4100,142.8700,142.1670,5117766,0.0000,1.0000
2017-10-27,139.2900,140.1400,138.1500,139.0300,138.3459,1556171,0.0000,1.0000
2017-10-26,138.0600,139.2400,137.4100,138.4500,137.7687,1692666,0.0000,1.0000
2017-10-25,137.6700,138.1300,136.6000,137.3700,136.6941,1052899,0.0000,1.0000
2017-10-24,139.0000,139.0700,137.2100,138.0300,137.3508,1863651,0.0000,1.0000
2017-10-23,138.6300,139.2476,137.7400,138.7500,138.0673,1555732,0.0000,1.0000
2017-10-20,138.7800,140.2300,138.2000,139.0700,138.3857,1860906,0.0000,1.0000
2017-10-19,137.4200,139.0000,137.0500,138.3900,137.7090,2054708,0.0000,1.0000
2017-10-18,138.9500,139.1400,137.4100,137.4800,136.8035,1695784,0.0000,1.0000
2017-10-17,139.6500,140.3400,138.0708,139.1300,138.4454,1388299,0.0000,1.0000
2017-10-16,139.7100,140.6800,138.8000,139.5900,138.9031,1590185,0.0000,1.0000
2017-10-13,140.7500,140.9100,139.2700,139.9700,139.2813,1815471,0.0000,1.0000
2017-10-12,137.9900,140.3300,137.3800,140.0300,139.3410,1657943,0.0000,1.0000
2017-10-11,137.0200,138.9900,137.0200,137.9300,137.2513,1983631,0.0000,1.0000
2017-10-10,138.1600,138.4500,136.8700,137.0900,136.4154,2173858,0.0000,1.0000
2017-10-09,139.0000,139.1100,137.5200,137.9400,137.2613,2115772,0.0000,1.0000
2017-10-06,138.5100,139.1300,137.3801,139.1100,138.4255,1340697,0.0000,1.0000
2017-10-05,139.1200,139.9300,139.0000,139.2500,138.5648,1965427,0.0000,1.0000
2017-10-04,136.9000,139.6500,136.6900,138.8400,138.1568,1822066,0.0000,1.0000
