timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-10,233.0700,234.7700,232.0700,233.8900,233.8900,739885,0.0000,1.0000
2018-01-09,231.8200,235.4700,231.0100,234.6600,234.6600,1746207,0.0000,1.0000
2018-01-08,233.4900,233.4900,230.7250,231.8200,231.8200,1629128,0.0000,1.0000
2018-01-05,230.1900,234.5400,229.8800,234.3400,234.3400,1345404,0.0000,1.0000
2018-01-04,229.6000,231.4100,228.8600,230.2100,230.2100,1017834,0.0000,1.0000
2018-01-03,227.8700,229.5450,225.0600,229.1500,229.1500,1302005,0.0000,1.0000
2018-01-02,225.0000,226.6000,223.7500,226.0000,226.0000,1175943,0.0000,1.0000
2017-12-29,227.8100,228.4999,224.8000,225.0100,225.0100,854597,0.0000,1.0000
2017-12-28,226.2000,227.3900,225.0000,227.0400,227.0400,661066,0.0000,1.0000
2017-12-27,226.2100,226.3400,224.1200,225.2400,225.2400,842667,0.0000,1.0000
2017-12-26,225.6700,226.9300,225.0100,225.4300,225.4300,441153,0.0000,1.0000
2017-12-22,226.0100,226.8200,223.6684,225.6000,225.6000,1025088,0.0000,1.0000
2017-12-21,228.1100,228.8600,224.9600,225.0800,225.0800,905937,0.0000,1.0000
2017-12-20,228.9600,231.1800,227.7800,227.9200,227.9200,1063899,0.0000,1.0000
2017-12-19,226.8500,229.1200,225.4500,227.9900,227.9900,1116665,0.0000,1.0000
2017-12-18,228.7300,229.4200,224.5400,227.0200,227.0200,1273803,0.0000,1.0000
2017-12-15,227.1600,229.0800,225.7600,226.2100,226.2100,3059027,0.0000,1.0000
2017-12-14,231.8550,232.5300,226.1200,227.1200,227.1200,1934332,0.0000,1.0000
2017-12-13,229.7400,232.9500,228.3600,232.0600,232.0600,2600062,0.0000,1.0000
2017-12-12,226.1600,229.0900,225.1300,228.7500,228.7500,2115257,0.0000,1.0000
2017-12-11,225.6000,227.6800,225.0800,226.0200,226.0200,1398640,0.0000,1.0000
2017-12-08,225.6400,226.1500,224.1100,224.8500,224.8500,975736,0.0000,1.0000
2017-12-07,222.6400,224.7400,222.5050,223.6400,223.6400,1222123,0.0000,1.0000
2017-12-06,224.3100,224.3100,222.2500,222.7100,222.7100,993786,0.0000,1.0000
2017-12-05,224.9500,225.1000,222.3200,223.4900,223.4900,1870339,0.0000,1.0000
2017-12-04,233.6100,233.6100,224.8100,224.9500,224.9500,1855649,0.7000,1.0000
2017-12-01,235.5000,236.3900,227.0900,232.3400,231.6192,2729222,0.0000,1.0000
2017-11-30,227.4300,236.0400,226.7300,234.9600,234.2311,4622425,0.0000,1.0000
2017-11-29,222.7700,230.4600,222.6700,227.3100,226.6049,2198479,0.0000,1.0000
2017-11-28,220.7700,222.5800,219.2400,222.2800,221.5905,1254472,0.0000,1.0000
2017-11-27,220.8100,221.2150,219.3900,220.0300,219.3474,2115952,0.0000,1.0000
2017-11-24,220.6700,221.4700,219.8500,220.3900,219.7063,443214,0.0000,1.0000
2017-11-22,219.8600,221.0300,219.2800,220.4200,219.7362,1120149,0.0000,1.0000
2017-11-21,220.8800,221.6500,219.2900,220.0200,219.3375,1556192,0.0000,1.0000
2017-11-20,221.0000,221.6300,218.0100,219.5000,218.8191,1298411,0.0000,1.0000
2017-11-17,220.5700,222.2400,220.1500,220.8300,220.1450,1203517,0.0000,1.0000
2017-11-16,217.7100,222.2100,217.7100,220.8900,220.2048,1435642,0.0000,1.0000
2017-11-15,217.5600,219.1400,216.9200,218.2000,217.5231,1133871,0.0000,1.0000
2017-11-14,218.0000,219.4900,215.9350,218.4500,217.7723,1316052,0.0000,1.0000
2017-11-13,217.1800,219.8100,216.7900,218.4600,217.7823,2406749,0.0000,1.0000
2017-11-10,216.1300,218.9800,214.9500,218.2700,217.5929,1590610,0.0000,1.0000
2017-11-09,215.7500,217.1100,213.2900,215.9800,215.3100,916351,0.0000,1.0000
2017-11-08,216.3100,218.8800,215.1700,216.8700,216.1972,1149394,0.0000,1.0000
2017-11-07,217.4200,220.7500,214.4800,217.4700,216.7954,1582717,0.0000,1.0000
2017-11-06,213.6000,220.0000,213.1700,216.3000,215.6290,2516093,0.0000,1.0000
2017-11-03,210.6600,213.4500,209.2500,211.8000,211.1430,1120852,0.0000,1.0000
2017-11-02,210.2000,211.3600,208.4000,210.5900,209.9367,1072579,0.0000,1.0000
2017-11-01,210.0300,210.9800,208.6700,209.5300,208.8800,1842793,0.0000,1.0000
2017-10-31,209.6600,210.0000,206.9800,209.2100,208.5610,1259928,0.0000,1.0000
