timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,169.0400,170.5300,168.7600,169.9700,169.9700,695181,0.0000,1.0000
2018-01-10,169.0800,169.1914,167.7700,168.3500,168.3500,809474,0.0000,1.0000
2018-01-09,169.0700,170.4850,168.3800,169.0600,169.0600,834452,0.0000,1.0000
2018-01-08,168.2600,168.8100,167.1200,168.6300,168.6300,802068,0.0000,1.0000
2018-01-05,167.9600,168.9700,167.0900,168.4500,168.4500,741250,0.0000,1.0000
2018-01-04,167.3100,167.8500,166.6750,167.0500,167.0500,931272,0.0000,1.0000
2018-01-03,165.5600,166.6200,165.0000,166.4100,166.4100,798193,0.0000,1.0000
2018-01-02,164.8800,165.5400,163.8000,165.5100,165.5100,1051870,0.0000,1.0000
2017-12-29,164.0400,164.6700,163.8200,164.0800,164.0800,831678,0.9500,1.0000
2017-12-28,164.1900,164.7800,163.5000,164.6200,163.6724,709314,0.0000,1.0000
2017-12-27,163.4500,163.8900,162.9100,163.6700,162.7278,930054,0.0000,1.0000
2017-12-26,163.4700,163.4700,162.4200,163.0000,162.0617,626358,0.0000,1.0000
2017-12-22,163.4100,163.6050,163.0300,163.4200,162.4793,833841,0.0000,1.0000
2017-12-21,162.9700,163.4900,162.3500,163.1600,162.2208,575223,0.0000,1.0000
2017-12-20,162.7900,163.7050,162.5800,162.8300,161.8927,583366,0.0000,1.0000
2017-12-19,161.9900,163.1700,161.7800,162.5200,161.5844,956046,0.0000,1.0000
2017-12-18,161.4700,162.4200,160.4900,162.1400,161.2066,1057207,0.0000,1.0000
2017-12-15,160.4600,161.6250,160.0110,160.4200,159.4965,1684154,0.0000,1.0000
2017-12-14,162.2100,162.4700,160.5100,160.5300,159.6059,694364,0.0000,1.0000
2017-12-13,163.1000,163.4000,161.9300,162.4900,161.5546,628379,0.0000,1.0000
2017-12-12,163.3600,163.3600,162.4300,162.8900,161.9523,710872,0.0000,1.0000
2017-12-11,163.3700,163.6150,162.5200,163.1200,162.1810,1230353,0.0000,1.0000
2017-12-08,161.3000,161.4800,160.1950,160.9200,159.9937,1004791,0.0000,1.0000
2017-12-07,160.3900,161.1500,159.9000,160.9800,160.0533,1089696,0.0000,1.0000
2017-12-06,161.5000,161.8000,160.1000,160.4200,159.4965,815387,0.0000,1.0000
2017-12-05,162.5100,162.8752,160.9900,161.9800,161.0476,581648,0.0000,1.0000
2017-12-04,162.1900,164.3600,161.9500,162.4000,161.4651,864674,0.0000,1.0000
2017-12-01,163.2900,163.5700,160.8400,161.6400,160.7095,748999,0.0000,1.0000
2017-11-30,163.3300,164.6500,162.5800,163.0400,162.1015,1275493,0.0000,1.0000
2017-11-29,163.0800,163.3200,162.0000,162.6200,161.6839,618321,0.0000,1.0000
2017-11-28,160.8900,163.2700,160.8300,163.2400,162.3003,792911,0.0000,1.0000
2017-11-27,161.7800,161.9299,160.8100,160.9400,160.0135,781506,0.0000,1.0000
2017-11-24,161.8900,162.6000,161.1500,161.5600,160.6300,295575,0.0000,1.0000
2017-11-22,162.5900,162.5900,161.5500,161.6200,160.6896,455299,0.0000,1.0000
2017-11-21,162.1000,162.6800,161.7600,162.2900,161.3558,473963,0.0000,1.0000
2017-11-20,161.5500,162.4900,161.2600,161.5700,160.6399,695934,0.0000,1.0000
2017-11-17,160.8300,162.3700,160.3500,161.5800,160.6499,909963,0.0000,1.0000
2017-11-16,161.1000,161.9800,160.8700,161.1800,160.2522,1185496,0.0000,1.0000
2017-11-15,161.2600,161.6250,160.2400,160.8600,159.9340,769304,0.0000,1.0000
2017-11-14,161.7700,162.2700,161.0100,162.1500,161.2166,1232130,0.0000,1.0000
2017-11-13,162.5300,163.5600,161.3600,162.7600,161.8231,1923414,0.0000,1.0000
2017-11-10,160.2000,160.9350,159.8105,160.3000,159.3772,585251,0.0000,1.0000
2017-11-09,160.0200,162.3100,159.6700,160.5500,159.6258,1162893,0.0000,1.0000
2017-11-08,159.7800,161.1000,159.7100,160.9400,160.0135,672629,0.0000,1.0000
2017-11-07,159.3800,159.9750,158.9700,159.7700,158.8503,637583,0.0000,1.0000
2017-11-06,159.4800,159.9600,158.5700,158.8000,157.8859,434707,0.0000,1.0000
2017-11-03,159.6800,159.6800,158.3800,159.2500,158.3333,460718,0.0000,1.0000
2017-11-02,160.1900,160.7750,158.1700,159.4100,158.4924,880187,0.0000,1.0000
2017-11-01,159.6900,160.6440,158.5300,159.9200,158.9994,899406,0.0000,1.0000
2017-10-31,160.7800,160.7800,159.1900,159.4300,158.5122,863047,0.0000,1.0000
2017-10-30,160.9600,161.1200,159.4400,159.9500,159.0292,852050,0.0000,1.0000
2017-10-27,161.3000,162.8600,160.7200,160.8800,159.9539,1041154,0.0000,1.0000
2017-10-26,159.8500,161.9600,158.6200,161.3900,160.4610,2326473,0.0000,1.0000
2017-10-25,153.8800,154.8250,153.1800,154.4600,153.5708,1523739,0.0000,1.0000
2017-10-24,153.4700,154.2700,153.4700,153.8500,152.9644,711763,0.0000,1.0000
2017-10-23,154.1500,154.4100,153.2450,153.6000,152.7158,883575,0.0000,1.0000
2017-10-20,153.6500,154.7350,153.6000,154.2200,153.3322,811090,0.0000,1.0000
2017-10-19,152.8200,153.2300,152.0196,152.8600,151.9801,702955,0.0000,1.0000
2017-10-18,153.5900,153.8200,152.0500,153.2000,152.3181,1114568,0.0000,1.0000
2017-10-17,153.6800,153.9500,152.8000,153.4700,152.5865,583206,0.0000,1.0000
2017-10-16,153.8900,154.2600,152.2500,153.2200,152.3380,926590,0.0000,1.0000
2017-10-13,153.5000,154.4100,153.4100,153.4600,152.5766,1387966,0.0000,1.0000
2017-10-12,152.5700,153.4000,152.4900,153.3400,152.4573,587959,0.0000,1.0000
2017-10-11,153.1700,153.1700,151.9300,152.9300,152.0497,693788,0.0000,1.0000
2017-10-10,152.8100,153.2800,152.1650,153.1900,152.3082,1068104,0.0000,1.0000
2017-10-09,153.3600,153.3600,152.5600,152.7400,151.8607,690813,0.0000,1.0000
2017-10-06,152.3600,153.3300,152.0200,153.3000,152.4175,1315019,0.9500,1.0000
2017-10-05,153.2300,153.3400,152.4300,153.3100,151.4887,807020,0.0000,1.0000
2017-10-04,153.0500,153.5650,152.7300,152.9000,151.0836,773446,0.0000,1.0000
2017-10-03,152.5400,153.4900,151.7200,153.1900,151.3701,791221,0.0000,1.0000
2017-10-02,151.0400,152.7600,150.5500,152.2000,150.3919,1075700,0.0000,1.0000
2017-09-29,151.5000,151.6000,150.4600,151.2200,149.4235,968793,0.0000,1.0000
2017-09-28,151.4500,152.2600,151.1800,151.3400,149.5421,1087830,0.0000,1.0000
2017-09-27,151.3000,151.5800,150.1050,151.3200,149.5223,938783,0.0000,1.0000
2017-09-26,151.7700,151.9800,150.9000,150.9800,149.1864,671735,0.0000,1.0000
2017-09-25,150.3000,151.5799,149.9400,151.5300,149.7298,1268686,0.0000,1.0000
2017-09-22,151.0000,151.2200,150.1600,150.2600,148.4749,2422371,0.0000,1.0000
2017-09-21,150.7400,151.4700,150.2500,151.0500,149.2555,1586964,0.0000,1.0000
2017-09-20,150.8300,151.1400,150.0600,150.9800,149.1864,2483516,0.0000,1.0000
2017-09-19,150.9100,151.3000,150.0800,150.5000,148.7121,2620399,0.0000,1.0000
