timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,89.5200,90.8200,89.3300,90.7900,90.7900,769773,0.0000,1.0000
2018-01-10,90.5900,90.6900,89.2600,89.5100,89.5100,936307,0.0000,1.0000
2018-01-09,91.0000,91.5100,90.7600,90.8100,90.8100,1236142,0.0000,1.0000
2018-01-08,89.6400,90.7100,89.6400,90.6700,90.6700,1316878,0.0000,1.0000
2018-01-05,89.1400,89.8100,88.9000,89.7100,89.7100,1014021,0.0000,1.0000
2018-01-04,89.0000,89.2700,88.6300,88.6300,88.6300,1298266,0.0000,1.0000
2018-01-03,87.5800,88.9600,87.5001,88.9400,88.9400,1198156,0.0000,1.0000
2018-01-02,88.4700,88.8500,87.5501,87.8000,87.8000,1227122,0.0000,1.0000
2017-12-29,89.0000,89.1500,87.5300,87.8000,87.8000,845452,0.0000,1.0000
2017-12-28,88.2500,88.6500,87.8400,88.6000,88.6000,804485,0.0000,1.0000
2017-12-27,88.0900,88.1900,87.7000,88.0900,88.0900,869957,0.0000,1.0000
2017-12-26,88.0600,88.0600,87.4287,87.7900,87.7900,664315,0.0000,1.0000
2017-12-22,88.5500,89.0200,87.7500,88.1400,88.1400,631354,0.0000,1.0000
2017-12-21,88.4800,89.0700,88.3400,88.4500,88.4500,1053834,0.0000,1.0000
2017-12-20,88.7700,89.1500,88.2400,88.6400,88.6400,996725,0.0000,1.0000
2017-12-19,89.6500,90.0700,88.7900,88.8000,88.8000,1109348,0.0000,1.0000
2017-12-18,89.6850,89.8600,89.2500,89.4500,89.4500,886397,0.0000,1.0000
2017-12-15,89.5100,89.6600,88.9700,89.1300,89.1300,1540203,0.1900,1.0000
2017-12-14,89.6550,89.9300,89.2200,89.2300,89.0402,867074,0.0000,1.0000
2017-12-13,89.6400,90.0100,89.0700,89.5000,89.3096,877630,0.0000,1.0000
2017-12-12,89.2400,89.9500,88.9600,89.6700,89.4793,1355745,0.0000,1.0000
2017-12-11,89.0800,89.8350,88.9000,89.2400,89.0502,1024058,0.0000,1.0000
