timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,69.9700,70.8200,68.7900,70.3600,70.3600,7057056,0.0000,1.0000
2018-01-16,70.9200,71.1800,68.4000,68.7100,68.7100,5371714,0.0000,1.0000
2018-01-12,69.7000,70.7100,69.0500,70.3600,70.3600,8019591,0.0000,1.0000
2018-01-11,68.2900,69.3300,67.2300,69.2400,69.2400,8125800,0.0000,1.0000
2018-01-10,65.9300,66.9400,65.7800,66.8300,66.8300,4504000,0.0000,1.0000
2018-01-09,66.7500,66.7500,64.9000,66.1900,66.1900,5995900,0.0000,1.0000
2018-01-08,66.4900,67.2700,65.6500,66.6300,66.6300,4622400,0.0000,1.0000
2018-01-05,64.8800,66.4700,64.4900,66.3700,66.3700,4999100,0.0000,1.0000
2018-01-04,65.7500,65.8700,64.3600,64.6600,64.6600,3919800,0.0000,1.0000
2018-01-03,64.5500,65.7500,64.4000,65.3100,65.3100,4383900,0.0000,1.0000
2018-01-02,63.5400,64.6700,63.3700,64.3100,64.3100,5138800,0.0000,1.0000
2017-12-29,63.5900,63.8300,63.1200,63.3200,63.3200,3218000,0.0000,1.0000
2017-12-28,63.3400,63.5000,62.6000,63.4000,63.4000,3108800,0.0000,1.0000
2017-12-27,63.6700,63.7400,63.0700,63.3400,63.3400,4840700,0.0000,1.0000
2017-12-26,64.2400,64.4700,63.3800,63.4500,63.4500,3236200,0.0000,1.0000
2017-12-22,64.8600,64.9500,64.3800,64.5100,64.5100,3300500,0.0000,1.0000
2017-12-21,64.5100,65.2000,64.1400,65.0800,65.0800,3362500,0.0000,1.0000
2017-12-20,65.3100,65.4400,64.0100,64.3800,64.3800,4714000,0.0000,1.0000
2017-12-19,66.1000,66.2500,64.3900,64.9000,64.9000,6141600,0.0000,1.0000
2017-12-18,67.0800,67.4000,65.8800,66.0100,66.0100,6236800,0.0000,1.0000
2017-12-15,65.4700,67.0000,64.9900,66.7300,66.7300,9737000,0.0000,1.0000
2017-12-14,64.7000,65.4500,64.5400,65.0300,65.0300,4737100,0.0000,1.0000
2017-12-13,64.8500,65.2800,64.3000,64.6000,64.6000,5536600,0.0000,1.0000
2017-12-12,64.1100,64.6900,63.2000,64.4000,64.4000,6460100,0.0000,1.0000
2017-12-11,62.1400,63.1800,62.1400,63.1700,63.1700,4072700,0.0000,1.0000
2017-12-08,62.2600,63.5100,62.0400,62.4300,62.4300,6009100,0.0000,1.0000
2017-12-07,60.8000,62.4500,60.6900,61.5700,61.5700,7202200,0.0000,1.0000
2017-12-06,59.4800,60.8100,58.6300,60.7500,60.7500,8302600,0.0000,1.0000
2017-12-05,57.6400,60.7200,57.2900,59.5500,59.5500,7681800,0.0000,1.0000
2017-12-04,62.3900,62.4800,58.3500,58.6000,58.6000,12491600,0.0000,1.0000
2017-12-01,61.9600,62.6900,60.7100,61.9600,61.9600,5443400,0.0000,1.0000
2017-11-30,62.5500,62.7300,60.8600,62.4000,62.4000,8947400,0.0000,1.0000
2017-11-29,65.6100,65.7100,61.9500,62.0100,62.0100,9261600,0.0000,1.0000
2017-11-28,66.0200,66.4600,65.8400,65.9700,65.9700,3976600,0.0000,1.0000
2017-11-27,66.1800,66.4500,65.6300,65.7400,65.7400,4116600,0.0000,1.0000
2017-11-24,65.1800,66.1400,65.1200,66.0300,66.0300,1644700,0.0000,1.0000
2017-11-22,64.9100,66.3100,64.8900,65.1400,65.1400,5728900,0.0000,1.0000
2017-11-21,64.4900,64.9500,64.1900,64.5000,64.5000,3749400,0.0000,1.0000
2017-11-20,63.9300,64.1800,63.2800,63.9300,63.9300,3144400,0.0000,1.0000
2017-11-17,64.0000,64.4400,63.1800,64.1000,64.1000,4213400,0.0000,1.0000
2017-11-16,63.1300,64.4100,63.0400,64.1300,64.1300,4589000,0.0000,1.0000
2017-11-15,63.4300,63.6700,62.5000,62.8900,62.8900,4071100,0.0000,1.0000
2017-11-14,63.3700,64.4000,62.7900,64.0300,64.0300,4562800,0.0000,1.0000
2017-11-13,62.7200,63.9700,62.6700,63.6200,63.6200,3036800,0.0000,1.0000
2017-11-10,62.8700,63.0700,62.2500,63.0000,63.0000,4858900,0.0000,1.0000
2017-11-09,63.4900,64.1800,62.5900,63.3100,63.3100,5421700,0.0000,1.0000
2017-11-08,62.5000,64.9000,62.1500,64.5500,64.5500,12604700,0.0000,1.0000
2017-11-07,61.0900,61.3500,60.1000,60.9600,60.9600,7597800,0.0000,1.0000
2017-11-06,63.4100,63.7200,60.7100,60.8700,60.8700,12947200,0.0000,1.0000
2017-11-03,66.8700,67.0300,62.1100,63.2000,63.2000,18879300,0.0000,1.0000
2017-11-02,65.4100,65.8400,64.8300,65.4500,65.4500,6129400,0.0000,1.0000
2017-11-01,65.6900,65.7800,64.2500,65.3300,65.3300,5139100,0.0000,1.0000
2017-10-31,65.3400,66.0300,64.8600,65.4900,65.4900,6876900,0.0000,1.0000
2017-10-30,64.3300,65.5800,64.2700,65.3000,65.3000,6567700,0.0000,1.0000
2017-10-27,62.3600,64.2700,62.3600,64.1400,64.1400,6174600,0.0000,1.0000
2017-10-26,62.2700,62.5900,61.8800,62.0600,62.0600,4846400,0.0000,1.0000
2017-10-25,62.2800,62.6000,61.1900,61.8100,61.8100,5419600,0.0000,1.0000
2017-10-24,61.9400,63.3300,61.7400,62.7300,62.7300,6098700,0.0000,1.0000
2017-10-23,62.7000,62.8800,61.2300,61.4600,61.4600,4281000,0.0000,1.0000
2017-10-20,62.4800,63.1400,62.2300,62.6300,62.6300,5283200,0.0000,1.0000
2017-10-19,60.9500,62.0300,60.3600,61.9900,61.9900,5123500,0.0000,1.0000
2017-10-18,61.7200,62.1200,61.4600,61.5000,61.5000,3930200,0.0000,1.0000
2017-10-17,61.5300,61.8600,60.9700,61.6600,61.6600,2674800,0.0000,1.0000
2017-10-16,61.1200,61.9700,61.0100,61.4800,61.4800,4538700,0.0000,1.0000
2017-10-13,62.3800,62.4400,60.5500,61.0800,61.0800,7151600,0.0000,1.0000
2017-10-12,61.4500,62.5800,61.2000,62.0500,62.0500,4715600,0.0000,1.0000
2017-10-11,61.2700,61.3900,60.5200,61.3600,61.3600,5644600,0.0000,1.0000
