timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,322.1300,328.4000,321.1900,328.1200,328.1200,4632305,0.0000,1.0000
2018-01-10,317.4900,322.1500,315.5000,320.2600,320.2600,4478549,0.0000,1.0000
2018-01-09,310.5900,319.9100,310.4900,318.4300,318.4300,5546203,0.0000,1.0000
2018-01-08,308.6600,310.8600,305.7500,310.1500,310.1500,3970351,0.0000,1.0000
2018-01-05,296.7700,308.8900,296.7200,308.8400,308.8400,6034693,0.0000,1.0000
2018-01-04,297.9400,298.4200,295.4700,296.6700,296.6700,4037238,0.0000,1.0000
2018-01-03,295.9400,298.5000,295.4700,297.8000,297.8000,3194965,0.0000,1.0000
2018-01-02,295.7500,296.9900,295.3960,296.8400,296.8400,2868711,0.0000,1.0000
2017-12-29,296.9400,297.3000,294.8300,294.9100,294.9100,1813317,0.0000,1.0000
2017-12-28,295.8100,296.9900,294.7400,296.3500,296.3500,1432444,0.0000,1.0000
2017-12-27,296.4100,296.8000,294.8000,295.6200,295.6200,1300956,0.0000,1.0000
2017-12-26,295.5400,297.4400,294.6500,295.3600,295.3600,1392455,0.0000,1.0000
2017-12-22,295.1350,296.5200,293.0100,295.1000,295.1000,2247179,0.0000,1.0000
2017-12-21,298.0400,298.3852,294.1301,295.0300,295.0300,4710630,0.0000,1.0000
2017-12-20,298.8800,299.3300,297.1100,297.9000,297.9000,2493059,0.0000,1.0000
2017-12-19,296.3500,297.5800,294.1809,297.2500,297.2500,2563712,0.0000,1.0000
2017-12-18,295.0800,297.1400,294.5200,296.1400,296.1400,2880662,0.0000,1.0000
2017-12-15,296.0500,297.3700,293.0200,293.9400,293.9400,6735640,0.0000,1.0000
2017-12-14,292.6400,296.8200,292.6000,293.8800,293.8800,3875904,0.0000,1.0000
2017-12-13,290.5000,295.8500,289.7000,291.8400,291.8400,4971729,0.0000,1.0000
2017-12-12,288.1600,292.8000,287.7200,289.9400,289.9400,5354004,0.0000,1.0000
2017-12-11,286.2100,286.4900,279.9000,283.1600,283.1600,3916713,0.0000,1.0000
2017-12-08,285.0100,287.3200,283.5600,285.9000,285.9000,4272499,0.0000,1.0000
2017-12-07,278.4900,284.7900,277.8000,281.9700,281.9700,4250615,0.0000,1.0000
2017-12-06,274.8700,279.1400,274.0046,278.2700,278.2700,2513180,0.0000,1.0000
2017-12-05,279.0100,279.4400,274.8600,275.5400,275.5400,2732255,0.0000,1.0000
2017-12-04,276.1600,281.8300,276.0000,277.9700,277.9700,5489835,0.0000,1.0000
2017-12-01,277.5100,278.7300,270.6000,271.3800,271.3800,4542736,0.0000,1.0000
2017-11-30,269.9100,277.0400,269.4300,276.8000,276.8000,4820313,0.0000,1.0000
2017-11-29,269.4800,269.6807,266.1500,269.3000,269.3000,3029095,0.0000,1.0000
2017-11-28,267.0000,268.0100,265.2300,267.9900,267.9900,1884886,0.0000,1.0000
2017-11-27,265.3800,266.8400,264.7200,265.5800,265.5800,1762650,0.0000,1.0000
2017-11-24,265.2600,266.5700,264.5300,265.8800,265.8800,788945,0.0000,1.0000
2017-11-22,267.0000,267.4800,264.5300,265.1500,265.1500,1470345,0.0000,1.0000
2017-11-21,266.2400,267.0000,264.7100,266.9900,266.9900,2173081,0.0000,1.0000
2017-11-20,263.0000,265.6200,262.7600,264.6300,264.6300,2402752,0.0000,1.0000
2017-11-17,262.8200,263.7400,262.0300,262.2600,262.2600,1714329,0.0000,1.0000
2017-11-16,263.7600,265.0400,263.3400,263.7000,263.7000,2702303,0.0000,1.0000
2017-11-15,261.4200,264.7700,260.1500,262.8600,262.8600,2435329,0.0000,1.0000
2017-11-14,262.0000,262.4000,260.2000,261.7600,261.7600,2356038,0.0000,1.0000
2017-11-13,261.6700,263.3600,260.4900,262.4200,262.4200,2604075,0.0000,1.0000
2017-11-10,262.1100,262.5000,259.6000,260.8500,260.8500,1739394,0.0000,1.0000
2017-11-09,265.0100,266.7500,259.5600,262.7000,262.7000,3214697,1.4200,1.0000
2017-11-08,266.1400,267.6200,265.2900,265.5700,264.1422,2841807,0.0000,1.0000
2017-11-07,264.0700,267.2800,264.0700,266.1300,264.6992,3092379,0.0000,1.0000
2017-11-06,262.6200,265.8400,262.5300,264.0700,262.6503,2909514,0.0000,1.0000
2017-11-03,262.4200,263.7900,260.0800,261.7500,260.3427,2600777,0.0000,1.0000
2017-11-02,258.3100,263.2400,258.0000,262.6300,261.2180,2523030,0.0000,1.0000
2017-11-01,258.2900,259.4100,256.2400,258.5000,257.1102,2908029,0.0000,1.0000
2017-10-31,259.3400,259.9300,257.4700,257.9800,256.5930,2701839,0.0000,1.0000
2017-10-30,255.4500,260.4100,255.3300,259.2500,257.8562,3022200,0.0000,1.0000
2017-10-27,258.2600,259.5000,255.8000,256.4600,255.0812,2887175,0.0000,1.0000
2017-10-26,259.7200,261.4400,257.3100,259.2700,257.8761,3413776,0.0000,1.0000
2017-10-25,264.7800,266.0000,254.5000,258.4200,257.0306,7314507,0.0000,1.0000
2017-10-24,263.2400,267.2100,263.2400,266.0000,264.5699,4366377,0.0000,1.0000
2017-10-23,265.1300,265.9800,262.1400,262.3200,260.9097,3299895,0.0000,1.0000
2017-10-20,260.3600,264.8300,259.4400,264.7500,263.3266,3941030,0.0000,1.0000
2017-10-19,258.9800,259.1000,256.0300,259.0400,257.6473,2583242,0.0000,1.0000
2017-10-18,258.4700,260.7300,256.6600,260.0400,258.6419,2050051,0.0000,1.0000
2017-10-17,256.4900,259.0500,256.2600,258.6200,257.2296,2508284,0.0000,1.0000
2017-10-16,261.5000,262.0000,259.6900,259.7500,258.3535,1803881,0.0000,1.0000
2017-10-13,262.9000,263.7900,260.7400,260.7400,259.3382,2241523,0.0000,1.0000
2017-10-12,260.9500,262.9800,260.0000,261.9100,260.5019,2574517,0.0000,1.0000
2017-10-11,261.3200,261.6500,259.0200,261.4400,260.0344,2860910,0.0000,1.0000
2017-10-10,259.7400,261.0600,257.2000,260.9300,259.5272,2738892,0.0000,1.0000
2017-10-09,259.0000,259.0000,257.1100,258.3900,257.0008,2146140,0.0000,1.0000
2017-10-06,258.0000,258.9018,257.0600,258.5800,257.1898,2637586,0.0000,1.0000
2017-10-05,255.2800,258.9900,254.7800,258.8900,257.4981,3908625,0.0000,1.0000
2017-10-04,256.1200,257.1300,254.0700,255.7600,254.3849,3029931,0.0000,1.0000
2017-10-03,255.9900,258.2600,254.6900,255.4600,254.0866,3160665,0.0000,1.0000
2017-10-02,254.6500,255.9900,253.5301,255.9900,254.6137,2672350,0.0000,1.0000
2017-09-29,253.8500,255.2600,252.5910,254.2100,252.8433,2506896,0.0000,1.0000
2017-09-28,254.1100,255.8000,251.1700,254.2700,252.9030,2569319,0.0000,1.0000
2017-09-27,255.2700,258.7700,253.9710,255.2800,253.9075,3775372,0.0000,1.0000
2017-09-26,254.6000,256.4800,253.5400,253.7000,252.3360,2171722,0.0000,1.0000
2017-09-25,256.9700,256.9700,251.5000,254.3200,252.9527,3466052,0.0000,1.0000
2017-09-22,256.3100,259.3000,256.1300,256.4500,255.0712,3325748,0.0000,1.0000
2017-09-21,256.1300,256.9900,254.4239,256.0400,254.6634,2776390,0.0000,1.0000
2017-09-20,253.2600,256.6924,252.2500,255.4600,254.0866,3727586,0.0000,1.0000
2017-09-19,253.0800,255.1700,251.6310,252.4600,251.1027,4119501,0.0000,1.0000
2017-09-18,249.9700,253.7875,248.9100,253.0800,251.7194,5190876,0.0000,1.0000
2017-09-15,247.3600,249.9500,246.2100,249.0000,247.6613,8951477,0.0000,1.0000
2017-09-14,243.0000,245.6100,242.5000,245.2300,243.9116,4983744,0.0000,1.0000
2017-09-13,240.0000,243.4800,237.0900,241.9300,240.6293,4512081,0.0000,1.0000
2017-09-12,240.5900,241.7074,238.9500,240.5800,239.2866,2700552,0.0000,1.0000
2017-09-11,239.5000,241.8500,239.3100,240.5900,239.2965,3596136,0.0000,1.0000
2017-09-08,235.7500,239.3900,235.2100,238.7800,237.4962,3291877,0.0000,1.0000
2017-09-07,234.7500,236.5400,234.2900,236.3100,235.0395,2980468,0.0000,1.0000
2017-09-06,237.5300,237.8564,234.3400,234.6200,233.3586,4006934,0.0000,1.0000
2017-09-05,240.3000,240.3600,236.2300,237.0000,235.7258,3866633,0.0000,1.0000
2017-09-01,239.6600,242.5300,239.1700,240.3300,239.0379,3270681,0.0000,1.0000
2017-08-31,241.0000,241.1000,238.4100,239.6600,238.3715,3062141,0.0000,1.0000
2017-08-30,240.9900,241.4400,239.0000,240.4600,239.1672,2785774,0.0000,1.0000
2017-08-29,237.2100,241.1700,236.0800,240.4900,239.1970,3528448,0.0000,1.0000
2017-08-28,236.2200,237.5547,234.6110,237.1800,235.9048,2354520,0.0000,1.0000
2017-08-25,239.0000,239.0900,235.6000,235.8900,234.6218,2069412,0.0000,1.0000
