timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-12,552.7000,554.6800,546.7100,553.2760,553.2760,461364,0.0000,1.0000
2018-01-11,534.1500,538.9550,530.6100,537.9200,537.9200,765761,0.0000,1.0000
2018-01-10,534.4700,535.8800,529.7800,531.5700,531.5700,474213,0.0000,1.0000
2018-01-09,529.0000,540.0000,528.5700,533.9400,533.9400,542263,0.0000,1.0000
2018-01-08,523.9400,529.7200,523.5200,529.4900,529.4900,538855,0.0000,1.0000
2018-01-05,523.8600,525.9400,520.8900,525.5700,525.5700,459907,0.0000,1.0000
2018-01-04,516.5000,521.3100,515.0100,521.1300,521.1300,386161,0.0000,1.0000
2018-01-03,508.6600,514.7400,508.1600,514.3400,514.3400,445579,0.0000,1.0000
2018-01-02,518.7800,518.7800,506.4801,508.9700,508.9700,526403,0.0000,1.0000
2017-12-29,520.0000,520.0299,513.7100,513.7100,513.7100,304459,0.0000,1.0000
2017-12-28,515.0000,518.3000,514.7100,517.9800,517.9800,209314,0.0000,1.0000
2017-12-27,514.3700,515.6200,512.2600,514.3200,514.3200,209856,0.0000,1.0000
2017-12-26,513.3300,513.9900,510.0100,513.7200,513.7200,176613,0.0000,1.0000
2017-12-22,513.8900,514.6700,508.6400,512.1200,512.1200,253452,0.0000,1.0000
2017-12-21,516.4100,518.6799,512.8800,513.5900,513.5900,369943,0.0000,1.0000
2017-12-20,515.6100,520.4200,512.5400,514.5500,514.5500,265697,0.0000,1.0000
2017-12-19,517.4000,520.7400,515.0600,515.8200,515.8200,407232,0.0000,1.0000
2017-12-18,517.4500,519.4600,515.0701,518.8600,518.8600,385943,0.0000,1.0000
2017-12-15,506.8900,515.7100,506.3700,511.8700,511.8700,854007,0.0000,1.0000
2017-12-14,512.6300,514.7548,506.4900,506.7500,506.7500,333031,0.0000,1.0000
2017-12-13,517.0200,518.8800,511.4000,512.5500,512.5500,477214,0.0000,1.0000
2017-12-12,513.9400,518.5500,511.6700,517.7300,517.7300,430156,0.0000,1.0000
2017-12-11,515.1300,515.7100,510.7900,512.1300,512.1300,396462,0.0000,1.0000
2017-12-08,514.2000,517.3050,511.6100,515.4900,515.4900,469340,0.0000,1.0000
2017-12-07,511.4100,516.4700,511.2700,512.4100,512.4100,416740,0.0000,1.0000
2017-12-06,507.0000,516.5199,506.2000,511.8200,511.8200,386885,0.0000,1.0000
2017-12-05,513.6200,515.4830,510.9000,512.1200,512.1200,501435,0.0000,1.0000
2017-12-04,509.1100,515.6000,508.0950,513.5000,513.5000,715304,0.0000,1.0000
2017-12-01,499.6700,504.4000,490.7300,502.0800,502.0800,524536,2.5000,1.0000
2017-11-30,503.9400,509.0000,499.5600,501.1900,498.7068,1051428,0.0000,1.0000
2017-11-29,495.8300,505.3300,494.1000,500.8200,498.3386,684181,0.0000,1.0000
2017-11-28,482.8500,493.5600,480.6950,493.0600,490.6171,445426,0.0000,1.0000
2017-11-27,480.7000,484.1700,480.2200,481.9600,479.5721,338953,0.0000,1.0000
2017-11-24,481.1300,482.9200,479.3400,479.7400,477.3631,134441,0.0000,1.0000
2017-11-22,481.2000,483.9800,478.3150,478.9400,476.5670,265357,0.0000,1.0000
2017-11-21,477.7100,482.7392,477.0200,481.3600,478.9750,439738,0.0000,1.0000
2017-11-20,474.9900,476.3700,472.8501,474.7700,472.4177,392091,0.0000,1.0000
2017-11-17,471.7500,479.2500,471.6600,473.9900,471.6416,504530,0.0000,1.0000
2017-11-16,473.2100,474.3500,470.5600,474.0200,471.6714,246990,0.0000,1.0000
2017-11-15,467.8600,472.2750,463.7500,470.5000,468.1689,466948,0.0000,1.0000
2017-11-14,463.2200,470.6100,462.6000,470.4500,468.1191,363250,0.0000,1.0000
2017-11-13,462.3800,465.4300,461.0679,465.1100,462.8056,497456,0.0000,1.0000
2017-11-10,466.1500,468.8800,463.5700,465.8300,463.5220,303950,0.0000,1.0000
2017-11-09,469.3600,471.9900,462.5100,466.6000,464.2882,454746,0.0000,1.0000
2017-11-08,472.1400,473.9300,470.9600,472.2000,469.8604,362202,0.0000,1.0000
2017-11-07,475.2100,479.5300,472.2300,473.3700,471.0246,234682,0.0000,1.0000
