timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-10,38.4000,38.4600,37.7850,37.8500,37.8500,2582618,0.0000,1.0000
2018-01-09,38.7200,38.8200,38.4800,38.5000,38.5000,2386556,0.0000,1.0000
2018-01-08,38.5700,38.8250,38.4700,38.6200,38.6200,2601879,0.0000,1.0000
2018-01-05,38.4600,38.6800,38.2500,38.5900,38.5900,2375607,0.0000,1.0000
2018-01-04,38.6300,38.8400,38.3000,38.3500,38.3500,2163373,0.0000,1.0000
2018-01-03,38.6800,38.6800,38.3450,38.5300,38.5300,2564850,0.0000,1.0000
2018-01-02,38.1200,38.6500,38.1109,38.6300,38.6300,2779954,0.0000,1.0000
2017-12-29,37.9200,38.0900,37.7100,37.8500,37.8500,1548634,0.0000,1.0000
2017-12-28,37.6700,37.9400,37.4500,37.9200,37.9200,1535014,0.0000,1.0000
2017-12-27,37.6800,37.8300,37.4200,37.5600,37.5600,1927196,0.0000,1.0000
2017-12-26,37.9900,38.0000,37.4300,37.6000,37.6000,2962567,0.0000,1.0000
2017-12-22,37.6900,37.9700,37.3600,37.9700,37.9700,2676987,0.0000,1.0000
2017-12-21,37.9900,38.2500,37.5800,37.6300,37.6300,2386435,0.0000,1.0000
2017-12-20,38.3400,38.4100,37.7450,37.9900,37.9900,5244398,0.0000,1.0000
2017-12-19,38.7400,39.2000,38.2600,38.2600,38.2600,4272445,0.0000,1.0000
2017-12-18,39.6550,39.8200,38.4900,38.5300,38.5300,4223400,0.0000,1.0000
2017-12-15,38.7900,39.5500,38.3900,39.4000,39.4000,7069409,0.0000,1.0000
2017-12-14,38.5000,38.8000,38.2600,38.2900,38.2900,2391769,0.0000,1.0000
2017-12-13,38.9000,39.0900,38.5600,38.6400,38.6400,3032353,0.0000,1.0000
2017-12-12,39.6000,39.6900,38.8200,38.8900,38.8900,4210171,0.0000,1.0000
2017-12-11,39.6100,39.9500,39.3200,39.6000,39.6000,3121729,0.0000,1.0000
2017-12-08,40.2600,40.3000,38.6100,39.6000,39.6000,6532451,0.0000,1.0000
2017-12-07,40.6700,40.9200,40.6400,40.8100,40.8100,1673926,0.0000,1.0000
2017-12-06,40.8800,41.0700,40.7100,40.8000,40.8000,2165781,0.0000,1.0000
2017-12-05,40.6600,40.9400,40.4200,40.7900,40.7900,2198800,0.0000,1.0000
2017-12-04,40.5400,41.1700,40.1300,40.6500,40.6500,3345379,0.0000,1.0000
2017-12-01,39.9800,40.0800,38.9800,39.7400,39.7400,1628638,0.0000,1.0000
2017-11-30,39.4500,40.0350,39.4000,39.9100,39.9100,2658792,0.1000,1.0000
2017-11-29,39.5600,39.7200,39.4500,39.5600,39.4611,2035104,0.0000,1.0000
2017-11-28,40.2100,40.3200,39.4000,39.5800,39.4811,2442023,0.0000,1.0000
2017-11-27,40.0000,40.2800,39.9400,40.0400,39.9399,1945666,0.0000,1.0000
2017-11-24,39.7100,39.9700,39.6000,39.9400,39.8402,699171,0.0000,1.0000
2017-11-22,39.7400,39.7700,39.4200,39.5200,39.4212,1622952,0.0000,1.0000
2017-11-21,39.9200,39.9900,39.5650,39.6000,39.5010,2269509,0.0000,1.0000
2017-11-20,39.9900,40.0300,39.5700,39.7400,39.6407,2239869,0.0000,1.0000
2017-11-17,40.2200,40.5000,39.9500,39.9800,39.8801,2975074,0.0000,1.0000
2017-11-16,39.5000,40.6900,39.4500,40.5200,40.4187,3243542,0.0000,1.0000
2017-11-15,39.8200,40.1500,39.3600,39.3800,39.2816,3483399,0.0000,1.0000
2017-11-14,40.0900,40.2900,39.9000,39.9900,39.8900,2995851,0.0000,1.0000
2017-11-13,39.8300,40.3600,39.7800,40.3100,40.2093,4336345,0.0000,1.0000
2017-11-10,40.2300,40.2700,39.9400,39.9800,39.8801,2826219,0.0000,1.0000
2017-11-09,40.4500,40.7850,40.1400,40.3200,40.2192,2857010,0.0000,1.0000
2017-11-08,41.0500,41.1600,40.6700,40.7400,40.6382,3323242,0.0000,1.0000
2017-11-07,41.5000,41.7100,41.0400,41.0500,40.9474,2164874,0.0000,1.0000
2017-11-06,41.8200,41.8200,41.1550,41.4500,41.3464,2752961,0.0000,1.0000
2017-11-03,41.8200,42.0900,41.4300,41.7500,41.6457,2863990,0.0000,1.0000
