timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,122.0700,122.3100,120.6800,121.1800,121.1800,1080886,0.0000,1.0000
2018-01-17,122.3300,122.6000,120.8550,122.5000,122.5000,844437,0.0000,1.0000
2018-01-16,122.7400,124.5400,121.4400,121.5600,121.5600,825900,0.0000,1.0000
2018-01-12,123.9900,124.2700,122.2300,122.3300,122.3300,636800,0.0000,1.0000
<!DOCTYPE html>\n\t<html>\n\t  <head>\n\t\t<meta name="viewport" content="width=device-width, initial-scale=1">\n\t\t<meta charset="utf-8">\n\t\t<title>Application Error</title>\n\t\t<style media="screen">\n\t\t  html,body,iframe {\n\t\t\tmargin: 0;\n\t\t\tpadding: 0;\n\t\t  }\n\t\t  html,body {\n\t\t\theight: 100%;\n\t\t\toverflow: hidden;\n\t\t  }\n\t\t  iframe {\n\t\t\twidth: 100%;\n\t\t\theight: 100%;\n\t\t\tborder: 0;\n\t\t  }\n\t\t</style>\n\t  </head>\n\t  <body>\n\t\t<iframe src="//www.herokucdn.com/error-pages/application-error.html"></iframe>\n\t  </body>\n\t</html>
2018-01-11,124.9100,125.1500,123.7300,123.8600,123.8600,447865,0.0000,1.0000
2018-01-10,124.9800,125.4500,123.6150,124.6500,124.6500,574276,0.0000,1.0000
2018-01-09,126.0500,126.4000,125.2200,125.4000,125.4000,594903,0.0000,1.0000
2018-01-08,127.5400,128.0000,125.8200,126.7400,126.7400,626603,0.0000,1.0000
2018-01-05,126.8300,127.9700,126.5150,127.8600,127.8600,858917,0.0000,1.0000
2018-01-04,129.0000,129.0000,126.4600,126.4800,126.4800,2076662,0.0000,1.0000
2018-01-03,129.5700,129.8000,128.7310,129.3500,129.3500,569046,0.0000,1.0000
2018-01-02,130.3900,130.3900,128.8900,129.2800,129.2800,597146,0.0000,1.0000
2017-12-29,129.1000,130.4200,129.0250,130.0300,130.0300,649357,0.0000,1.0000
2017-12-28,128.0600,128.8800,127.6700,128.8400,128.8400,456090,0.8000,1.0000
2017-12-27,128.9500,129.3400,128.0000,129.0900,128.2934,533551,0.0000,1.0000
2017-12-26,127.6900,128.5900,126.9400,128.4900,127.6971,329895,0.0000,1.0000
2017-12-22,126.9150,127.7600,126.7700,127.3400,126.5542,382062,0.0000,1.0000
2017-12-21,127.9200,128.4200,126.7100,126.9400,126.1567,633859,0.0000,1.0000
2017-12-20,128.2100,128.8300,127.6900,127.8500,127.0610,1651861,0.0000,1.0000
2017-12-19,130.5000,130.8800,128.3300,128.8400,128.0449,921509,0.0000,1.0000
2017-12-18,129.8900,132.0000,129.4500,130.9600,130.1519,1879568,0.0000,1.0000
2017-12-15,127.5900,129.7750,127.0850,129.4100,128.6114,2078785,0.0000,1.0000
2017-12-14,126.6600,127.1400,125.8500,126.7100,125.9281,606825,0.0000,1.0000
2017-12-13,126.3700,127.0400,125.8100,126.3700,125.5902,755914,0.0000,1.0000
2017-12-12,125.5900,126.5300,124.7050,126.1800,125.4014,499257,0.0000,1.0000
2017-12-11,124.4600,125.1600,124.2700,125.0500,124.2783,509338,0.0000,1.0000
2017-12-08,124.3700,125.0300,123.2900,124.6600,123.8907,515118,0.0000,1.0000
2017-12-07,125.0300,125.3800,123.8000,123.9500,123.1851,836087,0.0000,1.0000
2017-12-06,125.8300,126.1400,124.4800,125.4100,124.6361,1411498,0.0000,1.0000
2017-12-05,128.1900,128.5200,125.4100,125.4900,124.7156,548049,0.0000,1.0000
2017-12-04,127.0800,128.3200,126.8500,127.8400,127.0511,1802232,0.0000,1.0000
2017-12-01,125.9300,127.1300,125.3400,127.1300,126.3455,780777,0.0000,1.0000
2017-11-30,125.4800,126.2650,124.6000,125.3800,124.6063,1001384,0.0000,1.0000
2017-11-29,124.7300,125.4000,124.1800,125.0500,124.2783,534302,0.0000,1.0000
2017-11-28,125.4500,125.6800,124.1500,124.6900,123.9205,400708,0.0000,1.0000
2017-11-27,125.4900,126.0250,124.9657,125.2300,124.4572,351510,0.0000,1.0000
2017-11-24,125.4100,125.7500,125.0000,125.1600,124.3876,134916,0.0000,1.0000
2017-11-22,124.6800,125.5900,124.5700,125.0000,124.2286,351430,0.0000,1.0000
2017-11-21,125.1200,125.4300,124.4300,125.2000,124.4274,478600,0.0000,1.0000
2017-11-20,125.2500,125.3902,124.4150,124.5700,123.8013,471297,0.0000,1.0000
2017-11-17,124.5600,125.4900,124.5400,125.0400,124.2684,358215,0.0000,1.0000
2017-11-16,123.8900,125.7400,123.8400,125.1800,124.4075,604235,0.0000,1.0000
2017-11-15,124.8500,125.0200,123.9400,124.1500,123.3839,393117,0.0000,1.0000
2017-11-14,125.7200,126.4100,124.1800,124.7800,124.0100,542707,0.0000,1.0000
2017-11-13,126.1900,126.3650,125.2900,125.9300,125.1529,385213,0.0000,1.0000
2017-11-10,125.1000,126.6500,125.0900,125.8500,125.0734,565633,0.0000,1.0000
2017-11-09,124.6200,126.1300,124.1000,126.0100,125.2324,751474,0.0000,1.0000
2017-11-08,124.0800,125.2500,123.9100,124.7400,123.9702,620928,0.0000,1.0000
2017-11-07,123.5200,124.6158,123.0700,124.1900,123.4236,562337,0.0000,1.0000
2017-11-06,120.9600,123.7900,120.9600,123.4300,122.6683,637929,0.0000,1.0000
2017-11-03,122.0700,122.1300,119.7400,120.6800,119.9353,1062808,0.0000,1.0000
2017-11-02,122.0000,123.6900,121.4400,122.7700,122.0124,677367,0.0000,1.0000
2017-11-01,121.2400,122.7400,121.0800,121.9800,121.2273,609089,0.0000,1.0000
2017-10-31,120.5000,121.5200,119.9200,121.1800,120.4322,569733,0.0000,1.0000
2017-10-30,121.0900,121.8100,120.3100,120.8100,120.0645,391106,0.0000,1.0000
2017-10-27,121.0900,121.8400,120.5600,121.2300,120.4819,447624,0.0000,1.0000
2017-10-26,122.2500,122.2500,120.4000,121.2800,120.5316,407446,0.0000,1.0000
2017-10-25,121.4700,122.1800,120.2500,121.5500,120.7999,481002,0.0000,1.0000
2017-10-24,122.6000,123.0400,121.3700,121.4200,120.6707,446400,0.0000,1.0000
2017-10-23,123.3200,123.6800,122.3400,122.8800,122.1217,413273,0.0000,1.0000
2017-10-20,123.8700,123.9300,121.9900,122.9300,122.1714,683713,0.0000,1.0000
2017-10-19,126.5600,126.5900,123.4600,123.6300,122.8671,909383,0.0000,1.0000
2017-10-18,128.1200,128.6500,126.6600,126.6700,125.8883,497195,0.0000,1.0000
2017-10-17,128.1600,128.7299,127.9300,128.0600,127.2698,504703,0.0000,1.0000
2017-10-16,128.3100,128.7200,127.7700,128.3800,127.5878,409126,0.0000,1.0000
2017-10-13,128.3000,128.9900,127.2000,128.2900,127.4983,502724,0.0000,1.0000
2017-10-12,128.1000,128.4799,127.2500,128.0000,127.2101,541125,0.0000,1.0000
2017-10-11,127.0000,128.7300,127.0000,128.2800,127.4884,599527,0.0000,1.0000
2017-10-10,127.0700,127.9800,126.5100,127.1000,126.3157,472776,0.0000,1.0000
2017-10-09,126.6300,127.2800,126.4000,127.1700,126.3852,736402,0.0000,1.0000
2017-10-06,124.9500,126.9400,124.4200,126.9200,126.1368,1226005,0.0000,1.0000
2017-10-05,123.8800,126.0400,123.8800,125.0600,124.2883,737486,0.0000,1.0000
2017-10-04,121.8200,123.8850,121.8200,123.7000,122.9367,831299,0.0000,1.0000
2017-10-03,121.7400,122.6000,120.7200,122.3600,121.6049,840101,0.0000,1.0000
2017-10-02,122.9300,123.3100,121.7700,121.9300,121.1776,654542,0.0000,1.0000
2017-09-29,122.4000,123.3500,122.2900,122.8800,122.1217,682909,0.0000,1.0000
2017-09-28,122.1600,122.9300,121.9200,122.7700,122.0124,535065,0.7500,1.0000
2017-09-27,123.5000,123.8100,122.5000,122.8200,121.3209,453658,0.0000,1.0000
2017-09-26,122.6900,124.1200,122.5000,123.7500,122.2396,611265,0.0000,1.0000
2017-09-25,121.3400,123.4800,121.1400,122.6300,121.1333,419871,0.0000,1.0000
2017-09-22,122.6700,123.7500,121.6600,121.6800,120.1949,458670,0.0000,1.0000
2017-09-21,120.6600,123.6900,120.6600,122.8400,121.3407,979632,0.0000,1.0000
2017-09-20,120.0200,120.8400,119.8850,120.7800,119.3058,624941,0.0000,1.0000
2017-09-19,121.5900,121.6300,119.4700,119.6400,118.1798,802163,0.0000,1.0000
2017-09-18,122.1600,122.7300,121.1000,121.6800,120.1949,813619,0.0000,1.0000
2017-09-15,122.6800,122.6800,120.6100,122.4000,120.9061,830481,0.0000,1.0000
2017-09-14,119.9300,122.3700,119.6000,122.3300,120.8369,508777,0.0000,1.0000
2017-09-13,120.0000,120.3750,119.3400,119.9600,118.4958,513229,0.0000,1.0000
2017-09-12,120.7000,121.5900,119.7100,120.2000,118.7329,411035,0.0000,1.0000
2017-09-11,120.8300,121.3700,120.2600,120.7100,119.2367,540887,0.0000,1.0000
2017-09-08,120.6200,120.9250,119.9500,120.1700,118.7033,438000,0.0000,1.0000
2017-09-07,121.1700,121.4800,119.7900,120.9100,119.4343,481783,0.0000,1.0000
2017-09-06,120.9400,121.8926,120.6300,120.9300,119.4540,406146,0.0000,1.0000
2017-09-05,121.3000,121.9800,119.6900,120.3700,118.9008,531124,0.0000,1.0000
2017-09-01,120.9300,122.0500,120.3700,121.3000,119.8195,513846,0.0000,1.0000
2017-08-31,120.4600,121.2700,120.0500,120.6000,119.1280,829176,0.0000,1.0000
2017-08-30,119.2300,120.4800,118.2200,120.1900,118.7230,409868,0.0000,1.0000
2017-08-29,120.2200,120.5550,118.8900,119.5000,118.0415,482710,0.0000,1.0000
2017-08-28,121.8000,122.2400,119.3200,120.2500,118.7823,627603,0.0000,1.0000
2017-08-25,120.3800,122.0100,119.5600,121.4600,119.9775,513730,0.0000,1.0000
2017-08-24,121.2600,122.3100,119.7700,119.8900,118.4267,1019742,0.0000,1.0000
2017-08-23,119.5300,121.6500,119.3500,121.0500,119.5725,428027,0.0000,1.0000
2017-08-22,120.7700,120.9600,119.3500,119.6200,118.1600,630369,0.0000,1.0000
2017-08-21,119.9400,121.7600,119.3700,120.7700,119.2960,474909,0.0000,1.0000
2017-08-18,120.7300,120.7500,118.3000,119.8300,118.3674,850963,0.0000,1.0000
2017-08-17,121.2800,121.8750,120.6100,121.0600,119.5824,720272,0.0000,1.0000
2017-08-16,122.4800,123.1100,121.4900,122.0300,120.5406,665194,0.0000,1.0000
2017-08-15,122.3500,122.6800,120.4400,122.4300,120.9357,747881,0.0000,1.0000
2017-08-14,120.4300,122.7850,120.4300,122.5100,121.0147,649233,0.0000,1.0000
2017-08-11,120.9500,121.5000,119.0200,120.0500,118.5847,564776,0.0000,1.0000
2017-08-10,121.1900,121.4700,120.4700,121.2700,119.7899,553907,0.0000,1.0000
2017-08-09,122.8000,122.8000,121.4200,121.6700,120.1850,497287,0.0000,1.0000
2017-08-08,122.5100,123.4700,122.1400,122.9600,121.4592,662659,0.0000,1.0000
2017-08-07,124.2100,124.2100,122.5100,122.7500,121.2518,422285,0.0000,1.0000
2017-08-04,123.7000,124.7000,123.3300,124.2200,122.7039,765444,0.0000,1.0000
2017-08-03,121.8500,123.8200,121.8500,123.7100,122.2001,694103,0.0000,1.0000
2017-08-02,122.9900,125.0000,121.1300,121.8300,120.3430,886559,0.0000,1.0000
2017-08-01,123.7000,124.7000,123.3300,124.2200,122.7039,554857,0.0000,1.0000
2017-07-31,122.3200,122.7700,119.9200,120.9100,119.4343,1046746,0.0000,1.0000
2017-07-28,121.2400,122.4600,120.7100,122.3300,120.8369,698996,0.0000,1.0000
