timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,91.6900,94.0050,91.6800,93.9200,93.9200,1060314,0.0000,1.0000
2018-01-10,91.3800,92.4000,91.0850,91.4300,91.4300,1043081,0.0000,1.0000
2018-01-09,90.9100,92.4100,90.9100,91.4600,91.4600,1903264,0.0000,1.0000
2018-01-08,89.3900,91.2100,89.3900,90.7800,90.7800,1078263,0.0000,1.0000
2018-01-05,90.0800,90.6650,89.2300,89.5700,89.5700,860045,0.0000,1.0000
2018-01-04,90.3400,90.6100,89.1800,89.7200,89.7200,1609604,0.0000,1.0000
2018-01-03,89.1800,89.6000,88.4500,89.4900,89.4900,1212981,0.0000,1.0000
2018-01-02,89.7400,90.0790,88.8200,89.7400,89.7400,976451,0.0000,1.0000
2017-12-29,89.7000,89.8900,89.0500,89.0900,89.0900,633156,0.0000,1.0000
2017-12-28,89.5100,89.5500,88.3700,89.4600,89.4600,753831,0.0000,1.0000
2017-12-27,88.9700,89.7950,88.2150,89.5000,89.5000,669486,0.0000,1.0000
2017-12-26,88.6000,89.7200,88.4600,88.7900,88.7900,740266,0.0000,1.0000
2017-12-22,87.2200,89.2400,86.8900,88.7000,88.7000,1351563,0.0000,1.0000
2017-12-21,86.9800,87.2600,86.3600,87.1300,87.1300,941489,0.0000,1.0000
2017-12-20,87.3200,87.6600,86.7200,86.7500,86.7500,1231541,0.0000,1.0000
2017-12-19,86.7800,87.3100,86.4200,86.6300,86.6300,1024732,0.0000,1.0000
2017-12-18,86.8800,87.7900,86.3600,87.1600,87.1600,1784055,0.0000,1.0000
2017-12-15,85.6000,86.7500,85.1900,86.2100,86.2100,2861112,0.4600,1.0000
2017-12-14,88.0500,88.0500,85.6200,85.7900,85.3347,2290435,0.0000,1.0000
2017-12-13,88.0900,88.5400,87.5800,87.7700,87.3042,1490039,0.0000,1.0000
2017-12-12,88.1900,88.4400,87.4200,88.0000,87.5329,866218,0.0000,1.0000
2017-12-11,88.2800,88.4199,87.6100,87.9700,87.5031,920502,0.0000,1.0000
2017-12-08,87.4100,88.4100,87.1000,88.3800,87.9109,1245734,0.0000,1.0000
2017-12-07,86.8500,87.7500,86.4300,87.4200,86.9560,1663431,0.0000,1.0000
2017-12-06,85.7200,87.3300,85.4600,87.1500,86.6875,1413496,0.0000,1.0000
2017-12-05,86.9300,87.3700,85.7100,85.9200,85.4640,1623889,0.0000,1.0000
2017-12-04,87.5500,89.1100,86.5800,86.7600,86.2995,2544671,0.0000,1.0000
2017-12-01,86.6000,87.0250,84.5600,86.5400,86.0807,2029013,0.0000,1.0000
2017-11-30,84.3500,87.1700,84.3500,86.6500,86.1901,3268456,0.0000,1.0000
2017-11-29,81.4000,84.5600,81.1400,84.4900,84.0416,2180711,0.0000,1.0000
2017-11-28,80.2000,81.6300,79.7200,81.5300,81.0973,1403904,0.0000,1.0000
2017-11-27,79.5000,80.0400,79.3600,79.5400,79.1178,1067027,0.0000,1.0000
2017-11-24,79.4500,79.9200,77.9000,79.6700,79.2472,325519,0.0000,1.0000
2017-11-22,78.7100,79.7700,78.7000,79.2400,78.8194,884580,0.0000,1.0000
2017-11-21,78.5800,79.0000,78.3000,78.7900,78.3718,1298741,0.0000,1.0000
2017-11-20,78.6100,78.9400,78.2300,78.4300,78.0137,1341838,0.0000,1.0000
2017-11-17,78.7500,79.3099,77.5200,78.4400,78.0237,2504448,0.0000,1.0000
2017-11-16,80.0700,80.5300,79.9500,80.4000,79.9733,921786,0.0000,1.0000
2017-11-15,80.1000,80.1900,79.5200,79.9500,79.5257,1109810,0.0000,1.0000
2017-11-14,80.1000,80.6100,80.0000,80.3700,79.9434,1015639,0.0000,1.0000
2017-11-13,80.3400,80.5000,79.7900,80.3600,79.9335,1185665,0.0000,1.0000
2017-11-10,80.3100,80.4800,80.0400,80.3300,79.9036,1114484,0.0000,1.0000
2017-11-09,80.2100,81.0900,80.1400,80.6800,80.2518,2253894,0.0000,1.0000
2017-11-08,80.2600,80.9300,79.9950,80.6300,80.2021,1567423,0.0000,1.0000
2017-11-07,79.4900,80.8000,79.1000,80.5000,80.0727,2328544,0.0000,1.0000
2017-11-06,79.4500,79.6600,78.3200,79.0800,78.6603,2176159,0.0000,1.0000
2017-11-03,79.5000,80.1400,78.9900,79.4400,79.0184,2327213,0.0000,1.0000
2017-11-02,80.1500,81.3500,78.6000,79.5500,79.1278,4156129,0.0000,1.0000
2017-11-01,80.9000,80.9400,77.8300,79.3300,78.9090,2990948,0.0000,1.0000
2017-10-31,78.3000,79.3300,78.3000,78.5300,78.1132,2245851,0.0000,1.0000
2017-10-30,79.6700,80.0300,78.0200,78.3500,77.9342,1659472,0.0000,1.0000
2017-10-27,80.0800,80.0800,78.5000,79.8200,79.3964,1602274,0.0000,1.0000
2017-10-26,79.6300,80.8300,79.1600,79.5900,79.1676,2069945,0.0000,1.0000
2017-10-25,78.4300,78.9100,77.9400,78.6000,78.1828,1205031,0.0000,1.0000
2017-10-24,78.7300,79.6500,77.0800,78.8300,78.4116,1205895,0.0000,1.0000
2017-10-23,78.6800,78.7150,77.7900,78.4300,78.0137,1041613,0.0000,1.0000
2017-10-20,78.3800,78.7000,77.6200,78.3000,77.8844,1432732,0.0000,1.0000
2017-10-19,77.2600,78.0450,76.7500,77.9800,77.5661,691914,0.0000,1.0000
2017-10-18,75.9500,77.6700,75.9300,77.3400,76.9295,1580128,0.0000,1.0000
2017-10-17,77.0600,77.3000,75.9500,76.0200,75.6165,1582768,0.0000,1.0000
2017-10-16,78.1300,78.7000,76.4700,77.3300,76.9196,1546505,0.0000,1.0000
2017-10-13,78.5800,78.9400,77.1500,77.2600,76.8499,1620825,0.0000,1.0000
2017-10-12,76.9300,77.2500,76.4100,77.1800,76.7704,1054046,0.0000,1.0000
2017-10-11,76.9900,77.4300,76.4300,76.7000,76.2929,851385,0.0000,1.0000
2017-10-10,77.7400,78.8600,76.8600,77.0900,76.6808,2483924,0.0000,1.0000
2017-10-09,76.5500,76.7300,75.3900,75.4500,75.0496,809935,0.0000,1.0000
2017-10-06,75.9300,76.5700,75.6650,76.5200,76.1139,1281805,0.0000,1.0000
2017-10-05,74.7900,76.1500,74.6100,76.0500,75.6464,1860793,0.0000,1.0000
2017-10-04,76.0400,76.1500,74.3000,75.0200,74.6218,1813663,0.0000,1.0000
2017-10-03,76.9700,77.0800,76.0500,76.1300,75.7259,2330614,0.0000,1.0000
2017-10-02,76.2800,77.3800,75.6200,77.3000,76.8897,1963413,0.0000,1.0000
2017-09-29,75.3700,76.1600,75.2500,76.1000,75.6961,1320099,0.0000,1.0000
2017-09-28,75.6900,76.0100,75.2500,75.4800,75.0794,952216,0.0000,1.0000
2017-09-27,75.1700,75.7300,74.9300,75.6800,75.2783,2074560,0.0000,1.0000
2017-09-26,74.0000,75.1100,73.4900,74.8900,74.4925,1929436,0.0000,1.0000
2017-09-25,73.2900,73.9400,72.9200,73.9200,73.5277,1028880,0.0000,1.0000
2017-09-22,73.1600,73.8000,72.8000,73.1300,72.7419,1096462,0.0000,1.0000
2017-09-21,72.8700,73.3950,72.5200,73.0000,72.6126,1040594,0.0000,1.0000
2017-09-20,72.9500,73.2600,72.3500,72.7900,72.4037,1827262,0.0000,1.0000
2017-09-19,72.3700,72.8700,72.1500,72.6000,72.2147,1039101,0.0000,1.0000
2017-09-18,71.6000,72.3000,71.3050,72.2500,71.8665,1126805,0.0000,1.0000
