timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,144.3800,144.4300,142.5300,143.1400,143.1400,586608,0.0000,1.0000
2018-01-17,142.9600,145.1700,142.4250,144.3200,144.3200,859395,0.0000,1.0000
2018-01-16,141.4500,143.4100,141.1800,142.4100,142.4100,867382,0.0000,1.0000
2018-01-12,141.9700,142.0000,140.2500,140.9600,140.9600,1101285,0.0000,1.0000
2018-01-11,144.1000,144.5800,142.7600,142.9600,142.9600,332488,0.0000,1.0000
2018-01-10,145.4500,145.6100,142.1700,144.4300,144.4300,726772,0.0000,1.0000
2018-01-09,146.5000,146.7800,145.7126,146.1600,146.1600,540103,0.0000,1.0000
2018-01-08,145.2000,146.4800,145.0100,146.4400,146.4400,646918,0.0000,1.0000
2018-01-05,145.7600,145.9400,144.8050,145.7300,145.7300,627261,0.0000,1.0000
2018-01-04,144.7500,146.9200,144.0050,145.6900,145.6900,765872,0.0000,1.0000
2018-01-03,145.6000,145.6000,143.1400,143.4300,143.4300,1033277,0.0000,1.0000
2018-01-02,148.7900,148.8800,144.8600,144.9900,144.9900,862141,0.0000,1.0000
2017-12-29,148.6400,149.6800,148.6400,148.7400,148.7400,428894,0.0000,1.0000
2017-12-28,149.0900,149.6100,148.4600,149.0000,149.0000,455426,0.0000,1.0000
2017-12-27,150.0000,150.3300,149.1400,149.2900,149.2900,372428,0.0000,1.0000
2017-12-26,149.5500,150.4000,149.3000,149.6900,149.6900,342792,0.0000,1.0000
2017-12-22,149.4000,149.9000,149.0600,149.5200,149.5200,405445,0.0000,1.0000
2017-12-21,149.0300,149.6300,148.4000,148.7800,148.7800,716254,0.0000,1.0000
2017-12-20,148.6600,149.0900,147.5200,148.3900,148.3900,610010,0.0000,1.0000
2017-12-19,148.2900,149.3300,147.9000,148.0500,148.0500,668532,0.0000,1.0000
2017-12-18,148.7900,149.2100,147.0600,148.1000,148.1000,565020,0.0000,1.0000
2017-12-15,147.5700,148.2300,146.8650,147.6300,147.6300,1061788,0.0000,1.0000
2017-12-14,146.3700,146.9100,145.8900,146.2600,146.2600,755466,0.0000,1.0000
2017-12-13,145.3200,147.3800,145.1650,146.6100,146.6100,847649,0.0000,1.0000
2017-12-12,145.2500,145.6900,144.1150,145.1500,145.1500,813208,0.0000,1.0000
2017-12-11,144.9900,145.0900,143.2600,145.0500,145.0500,736526,0.0000,1.0000
2017-12-08,144.1100,145.2600,143.1553,145.2300,145.2300,692217,0.0000,1.0000
2017-12-07,144.7700,145.1850,143.1900,144.2400,144.2400,1027143,0.0000,1.0000
2017-12-06,144.3300,145.3200,144.0100,145.0500,145.0500,835962,0.0000,1.0000
2017-12-05,143.4100,144.7300,142.0700,144.6600,144.6600,1202007,0.0000,1.0000
2017-12-04,140.0000,143.1800,139.3750,142.9900,142.9900,1514177,0.0000,1.0000
2017-12-01,139.3000,139.9700,137.5200,139.6400,139.6400,912445,0.0000,1.0000
2017-11-30,139.0100,140.3700,138.0900,139.2900,139.2900,1095761,0.0000,1.0000
2017-11-29,136.8300,139.3000,135.9500,139.2200,139.2200,1268487,0.0000,1.0000
2017-11-28,136.0000,136.9600,135.0800,136.9600,136.9600,612086,0.0000,1.0000
2017-11-27,135.2000,136.1800,134.6800,135.6700,135.6700,644185,0.0000,1.0000
2017-11-24,135.2800,135.6600,134.2800,135.3900,135.3900,305881,0.0000,1.0000
2017-11-22,134.8900,135.5100,134.5600,134.9500,134.9500,511625,0.0000,1.0000
2017-11-21,134.7400,136.4800,134.7400,135.1500,135.1500,651404,0.0000,1.0000
2017-11-20,133.9300,136.0900,133.6400,134.5900,134.5900,641695,0.0000,1.0000
2017-11-17,133.8400,135.6200,133.2500,133.5100,133.5100,631388,0.0000,1.0000
2017-11-16,133.0000,134.9400,132.7000,134.5400,134.5400,690121,0.0000,1.0000
2017-11-15,134.9000,135.7800,132.6700,132.7800,132.7800,629578,0.0000,1.0000
2017-11-14,135.0000,135.8700,134.5200,135.3100,135.3100,799723,0.0000,1.0000
2017-11-13,132.2000,135.3300,132.1000,135.0800,135.0800,1144795,0.0000,1.0000
2017-11-10,130.2900,132.4000,130.2900,132.0500,132.0500,718351,0.0000,1.0000
2017-11-09,130.8600,131.9100,130.0900,130.6800,130.6800,504944,0.0000,1.0000
2017-11-08,130.0000,131.5800,129.6900,131.0500,131.0500,898457,0.0000,1.0000
2017-11-07,127.5000,129.8700,127.4100,129.7000,129.7000,794040,0.0000,1.0000
2017-11-06,128.4200,128.7000,127.6600,127.7300,127.7300,865646,0.0000,1.0000
2017-11-03,129.4700,129.7700,127.9200,128.1100,128.1100,1084436,0.0000,1.0000
