timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-10,101.6900,103.7000,101.3000,103.1400,103.1400,2592719,0.0000,1.0000
2018-01-09,101.0500,101.9700,100.6400,101.6900,101.6900,2161033,0.0000,1.0000
2018-01-08,101.4200,101.4500,100.5100,100.8000,100.8000,1735729,0.0000,1.0000
2018-01-05,101.5800,101.7000,100.7400,101.4300,101.4300,2055849,0.0000,1.0000
2018-01-04,100.3600,102.1610,99.6900,101.4200,101.4200,2147454,0.0000,1.0000
2018-01-03,99.5000,99.7800,98.7500,99.4400,99.4400,2319744,0.0000,1.0000
2018-01-02,100.0800,100.2000,98.7600,99.6100,99.6100,1647439,0.0000,1.0000
2017-12-29,100.6300,100.6300,99.5600,99.5800,99.5800,1098859,0.0000,1.0000
2017-12-28,100.0900,100.5800,99.6400,100.3000,100.3000,1023246,0.0000,1.0000
2017-12-27,99.6300,99.9100,99.2200,99.7500,99.7500,1169417,0.0000,1.0000
2017-12-26,100.3000,100.6000,99.2653,99.9200,99.9200,1168066,0.0000,1.0000
2017-12-22,99.9800,101.4300,99.6200,100.5000,100.5000,2060635,0.0000,1.0000
2017-12-21,99.0200,99.7300,98.7100,99.5200,99.5200,1559929,0.0000,1.0000
2017-12-20,99.0000,99.4300,98.3100,98.5900,98.5900,2029786,0.0000,1.0000
2017-12-19,99.7150,99.8900,98.6600,98.7400,98.7400,2419583,0.0000,1.0000
2017-12-18,98.2800,99.9500,97.5950,99.3100,99.3100,2966127,0.0000,1.0000
2017-12-15,95.0100,97.3100,94.8500,96.3100,96.3100,3978020,0.0000,1.0000
2017-12-14,94.5050,95.4600,93.8500,94.0600,94.0600,1978070,0.0000,1.0000
2017-12-13,96.2500,96.4000,94.7000,94.7200,94.7200,1868215,0.0000,1.0000
2017-12-12,96.1400,96.6700,95.8900,96.2100,96.2100,1828086,0.0000,1.0000
2017-12-11,96.0000,96.0900,95.2300,95.9700,95.9700,1375037,0.0000,1.0000
2017-12-08,95.5000,95.7900,94.1800,95.7900,95.7900,1692284,0.0000,1.0000
2017-12-07,93.5200,95.2500,93.3200,95.0700,95.0700,1742356,0.0000,1.0000
2017-12-06,93.6200,94.1899,93.1101,93.8700,93.8700,1441644,0.0000,1.0000
2017-12-05,95.0500,95.6200,93.7200,93.9100,93.9100,2259482,0.0000,1.0000
2017-12-04,94.4400,96.2400,94.1600,94.8900,94.8900,3420024,0.0000,1.0000
2017-12-01,92.1800,92.7700,89.6800,92.7200,92.7200,2647697,0.0000,1.0000
2017-11-30,91.6700,93.4189,91.4100,92.0000,92.0000,3712037,0.0000,1.0000
2017-11-29,90.5800,92.3100,89.7300,90.9700,90.9700,3229402,0.0000,1.0000
2017-11-28,87.2200,89.8500,86.7000,89.7500,89.7500,2151047,0.0000,1.0000
2017-11-27,87.3300,87.3800,86.5650,86.8700,86.8700,1628327,0.0000,1.0000
2017-11-24,87.8000,87.8000,87.2400,87.3800,87.3800,506444,0.0000,1.0000
2017-11-22,87.9800,88.1400,87.1000,87.2600,87.2600,1265188,0.0000,1.0000
2017-11-21,88.8400,89.0400,87.5800,87.9500,87.9500,1298812,0.0000,1.0000
2017-11-20,87.9900,88.4600,87.6800,88.2700,88.2700,1602228,0.0000,1.0000
2017-11-17,86.9300,88.2300,86.8900,87.8300,87.8300,1635825,0.0000,1.0000
2017-11-16,87.9200,88.5600,86.9400,87.1500,87.1500,1983396,0.0000,1.0000
2017-11-15,85.1800,87.9600,85.1700,87.6300,87.6300,2788185,0.0000,1.0000
2017-11-14,86.4300,86.6000,85.4100,86.0000,86.0000,3246445,0.0000,1.0000
2017-11-13,86.6200,87.1800,86.0100,86.9500,86.9500,2272592,0.0000,1.0000
2017-11-10,87.1900,87.5300,86.7800,87.1500,87.1500,1587191,0.4000,1.0000
2017-11-09,88.3800,88.6200,86.8100,88.1100,87.7074,2143019,0.0000,1.0000
2017-11-08,89.8000,89.9900,88.5800,88.9700,88.5635,2240863,0.0000,1.0000
2017-11-07,92.2900,92.5600,89.9600,90.1200,89.7083,1817762,0.0000,1.0000
2017-11-06,91.8500,92.3700,91.3300,92.3000,91.8783,1364915,0.0000,1.0000
2017-11-03,92.0900,92.4000,91.4200,91.6000,91.1815,2049671,0.0000,1.0000
2017-11-02,91.4900,92.6900,91.0000,92.4500,92.0276,1333794,0.0000,1.0000
2017-11-01,92.6600,92.9900,91.4100,91.9000,91.4801,1698565,0.0000,1.0000
2017-10-31,92.6300,93.0000,92.0100,92.1800,91.7588,2173156,0.0000,1.0000
2017-10-30,92.1000,93.4000,92.1000,92.4300,92.0077,1843990,0.0000,1.0000
2017-10-27,92.6700,92.9800,92.0000,92.7800,92.3561,2227578,0.0000,1.0000
2017-10-26,91.0000,92.7200,90.9800,92.5200,92.0973,3150509,0.0000,1.0000
2017-10-25,91.1000,92.0000,89.9700,90.8200,90.4051,5520841,0.0000,1.0000
2017-10-24,89.9400,90.0000,88.7900,89.5200,89.1110,2537586,0.0000,1.0000
2017-10-23,89.6100,90.0000,89.0100,89.7200,89.3101,2216242,0.0000,1.0000
2017-10-20,88.5600,89.6800,88.4000,89.6700,89.2603,3761623,0.0000,1.0000
2017-10-19,85.8100,87.5000,85.6000,87.4800,87.0803,2038462,0.0000,1.0000
2017-10-18,86.3300,86.7700,85.9500,86.6600,86.2641,1162911,0.0000,1.0000
2017-10-17,86.9800,86.9800,85.9100,86.0700,85.6768,1445023,0.0000,1.0000
2017-10-16,85.7900,86.8700,85.5200,86.8500,86.4532,2206225,0.0000,1.0000
2017-10-13,84.3000,85.8300,83.8800,85.3600,84.9700,1913901,0.0000,1.0000
2017-10-12,86.4000,86.6000,84.5000,84.5900,84.2035,2782301,0.0000,1.0000
2017-10-11,87.5000,87.5000,86.7100,86.7500,86.3537,1568060,0.0000,1.0000
2017-10-10,87.3500,87.9900,87.2100,87.3000,86.9011,1298089,0.0000,1.0000
2017-10-09,87.4900,87.7200,87.0600,87.3000,86.9011,1426635,0.0000,1.0000
2017-10-06,87.0500,87.2200,86.4300,87.0400,86.6423,1913659,0.0000,1.0000
2017-10-05,86.4600,87.4300,86.0400,87.0900,86.6921,1680835,0.0000,1.0000
2017-10-04,86.4000,86.6100,85.9700,86.3400,85.9455,2034193,0.0000,1.0000
2017-10-03,85.9300,86.3900,85.5300,86.3700,85.9754,2356408,0.0000,1.0000
2017-10-02,84.9800,86.0300,84.6900,85.9200,85.5274,3794866,0.0000,1.0000
2017-09-29,84.3600,84.8800,83.8000,84.6600,84.2732,1966809,0.0000,1.0000
2017-09-28,83.9500,84.4500,83.3400,84.1200,83.7357,1982631,0.0000,1.0000
2017-09-27,83.8000,84.4400,83.1800,83.9300,83.5465,2374766,0.0000,1.0000
2017-09-26,82.6800,83.1500,82.2500,82.8000,82.4217,1717450,0.0000,1.0000
2017-09-25,81.8900,82.7200,81.7900,82.4800,82.1032,1771279,0.0000,1.0000
2017-09-22,81.3100,82.0800,81.1500,81.9400,81.5656,1688180,0.0000,1.0000
2017-09-21,81.5600,82.1500,80.8900,81.5800,81.2073,2626531,0.0000,1.0000
2017-09-20,81.2100,82.0700,80.6500,81.8000,81.4263,3154573,0.0000,1.0000
2017-09-19,80.2000,81.3700,80.2000,80.9600,80.5901,2690147,0.0000,1.0000
2017-09-18,80.1900,80.5400,79.6900,80.2500,79.8834,3521334,0.0000,1.0000
2017-09-15,78.6000,80.1300,78.5700,80.0400,79.6743,4405259,0.0000,1.0000
2017-09-14,80.1700,80.5800,78.4600,78.7000,78.3404,4228539,0.0000,1.0000
2017-09-13,79.4400,80.5800,79.2000,80.2100,79.8435,3483373,0.0000,1.0000
2017-09-12,79.3900,80.0000,79.1900,79.5700,79.2065,2264377,0.0000,1.0000
2017-09-11,78.8800,79.6200,78.3900,79.0600,78.6988,2360605,0.0000,1.0000
2017-09-08,77.4500,78.5600,76.9800,78.2100,77.8527,2945547,0.0000,1.0000
2017-09-07,79.5300,79.5800,77.7600,78.2300,77.8726,3642982,0.0000,1.0000
2017-09-06,78.9900,80.0000,78.8000,79.4700,79.1069,3291288,0.0000,1.0000
2017-09-05,79.6400,79.7500,78.2800,78.6600,78.3006,2581374,0.0000,1.0000
2017-09-01,79.8600,80.7600,79.6100,80.3100,79.9431,2433131,0.0000,1.0000
2017-08-31,80.5200,80.6600,79.5000,79.6100,79.2463,3603728,0.0000,1.0000
2017-08-30,79.7400,80.7500,79.5300,80.0900,79.7241,2091621,0.0000,1.0000
2017-08-29,79.7500,79.9100,78.9300,79.7400,79.3757,3158879,0.0000,1.0000
2017-08-28,81.6900,81.7600,80.3500,80.5500,80.1820,1347912,0.0000,1.0000
2017-08-25,81.7500,82.3700,81.4400,81.4900,81.1177,1204471,0.0000,1.0000
2017-08-24,81.5000,81.8400,81.1600,81.4300,81.0580,901428,0.0000,1.0000
2017-08-23,81.0200,82.1200,81.0000,81.2900,80.9186,1134147,0.0000,1.0000
2017-08-22,81.7100,82.0700,80.7900,81.4400,81.0679,1873972,0.0000,1.0000
2017-08-21,81.6400,81.7300,81.0900,81.4200,81.0480,1232284,0.0000,1.0000
2017-08-18,81.6800,82.4900,81.3200,81.5300,81.1575,2403496,0.0000,1.0000
2017-08-17,83.7900,84.0400,81.9600,81.9900,81.6154,1718778,0.0000,1.0000
2017-08-16,84.7300,85.0000,83.6000,83.8200,83.4370,1177770,0.0000,1.0000
2017-08-15,84.9300,85.1200,83.3200,84.1500,83.7655,2306392,0.0000,1.0000
2017-08-14,83.8100,84.7100,83.5300,84.2600,83.8750,1779960,0.0000,1.0000
2017-08-11,83.3700,83.4700,82.3300,82.8000,82.4217,1933771,0.0000,1.0000
2017-08-10,84.5000,84.6400,82.9900,83.0600,82.6805,2025683,0.0000,1.0000
2017-08-09,84.9600,85.2800,84.4500,85.1400,84.7510,1331181,0.0000,1.0000
2017-08-08,85.0300,87.3700,85.0300,85.5100,85.1193,1988160,0.0000,1.0000
2017-08-07,84.6200,85.4200,84.3800,85.1500,84.7610,1388253,0.0000,1.0000
2017-08-04,85.3300,85.4200,84.2600,84.4100,84.0243,2618921,0.0000,1.0000
2017-08-03,85.3100,85.6300,84.4900,84.5900,84.2035,2208385,0.4000,1.0000
2017-08-02,85.8500,86.0200,85.3800,85.7100,84.9169,2696282,0.0000,1.0000
2017-08-01,86.6400,86.7300,85.6400,86.0100,85.2141,1674120,0.0000,1.0000
2017-07-31,85.4200,86.6500,85.1600,86.1800,85.3825,2927419,0.0000,1.0000
2017-07-28,84.8500,85.1400,83.8100,84.9700,84.1837,2120467,0.0000,1.0000
2017-07-27,85.9200,85.9500,84.4000,84.8000,84.0153,2884162,0.0000,1.0000
2017-07-26,87.1800,87.2200,85.6200,85.7100,84.9169,2499715,0.0000,1.0000
2017-07-25,88.0000,88.2000,86.6600,87.0900,86.2841,3263150,0.0000,1.0000
2017-07-24,87.5200,87.5500,86.6500,87.1200,86.3138,3908549,0.0000,1.0000
2017-07-21,85.3700,88.2400,84.5500,87.9400,87.1262,9614800,0.0000,1.0000
2017-07-20,81.2100,81.5200,80.0400,81.0100,80.2604,4795988,0.0000,1.0000
2017-07-19,81.9500,81.9900,80.7700,81.3800,80.6269,3164317,0.0000,1.0000
2017-07-18,81.7200,81.8700,80.9700,81.5700,80.8152,1343020,0.0000,1.0000
2017-07-17,82.4100,82.5900,81.8900,82.1700,81.4096,1916244,0.0000,1.0000
2017-07-14,81.8400,82.8600,81.1800,82.5000,81.7366,1965263,0.0000,1.0000
2017-07-13,82.2500,82.7800,82.0200,82.5900,81.8257,1632684,0.0000,1.0000
2017-07-12,80.9900,82.3800,80.6400,82.2000,81.4393,2471467,0.0000,1.0000
2017-07-11,82.0800,82.1600,80.8000,81.0400,80.2901,2743462,0.0000,1.0000
2017-07-10,82.3800,82.4800,81.9600,82.0500,81.2907,2387580,0.0000,1.0000
2017-07-07,82.6600,82.6800,81.9200,82.5000,81.7366,1569291,0.0000,1.0000
2017-07-06,82.3200,82.9400,81.9400,82.1100,81.3502,3514946,0.0000,1.0000
2017-07-05,83.3900,83.8100,82.0500,82.7000,81.9347,2882065,0.0000,1.0000
2017-07-03,83.4200,84.4800,83.2200,83.5600,82.7868,1558376,0.0000,1.0000
2017-06-30,82.0200,83.1800,81.5900,82.6200,81.8555,2911991,0.0000,1.0000
2017-06-29,81.7500,83.0000,80.4700,81.4700,80.7161,6009615,0.0000,1.0000
2017-06-28,82.1200,83.5200,82.0500,82.9800,82.2121,3773097,0.0000,1.0000
2017-06-27,80.8500,82.2400,80.7600,81.3800,80.6269,2045511,0.0000,1.0000
2017-06-26,79.8900,80.8400,79.6200,80.5900,79.8442,2149023,0.0000,1.0000
2017-06-23,80.7500,80.7800,79.3700,79.5200,78.7841,2771905,0.0000,1.0000
2017-06-22,80.7300,80.8300,80.0700,80.3900,79.6461,2240116,0.0000,1.0000
2017-06-21,81.3000,81.3000,80.6900,80.8800,80.1316,2575285,0.0000,1.0000
2017-06-20,81.6300,81.7500,81.0900,81.2200,80.4684,2682345,0.0000,1.0000
2017-06-19,81.7300,81.9500,81.2900,81.7300,80.9737,3225890,0.0000,1.0000
2017-06-16,81.4600,81.6500,80.9300,81.3100,80.5576,3255538,0.0000,1.0000
2017-06-15,79.6100,81.5500,79.4900,81.3500,80.5972,3854218,0.0000,1.0000
2017-06-14,79.4600,80.2000,78.4600,80.0900,79.3489,2858385,0.0000,1.0000
2017-06-13,80.5000,80.9200,79.8500,80.5700,79.8244,2690727,0.0000,1.0000
2017-06-12,80.1500,80.9600,79.6100,80.1700,79.4281,2622110,0.0000,1.0000
2017-06-09,80.0700,80.4200,79.3100,80.0700,79.3291,3476989,0.0000,1.0000
2017-06-08,78.9000,80.1600,78.7900,79.4200,78.6851,2306510,0.0000,1.0000
2017-06-07,78.5200,79.5200,78.2100,78.9000,78.1699,2442435,0.0000,1.0000
2017-06-06,77.7700,78.4300,77.1000,78.2700,77.5457,2504527,0.0000,1.0000
2017-06-05,78.0500,78.8300,77.7800,78.3300,77.6052,2017310,0.0000,1.0000
2017-06-02,77.4200,78.3400,76.9100,78.0400,77.3178,2527770,0.0000,1.0000
2017-06-01,77.4600,77.9700,76.8100,77.9200,77.1989,3295232,0.0000,1.0000
2017-05-31,78.3900,78.3900,76.0500,76.9200,76.2082,4205013,0.0000,1.0000
2017-05-30,79.4000,79.5900,78.2300,78.2800,77.5556,2351073,0.0000,1.0000
2017-05-26,79.5000,80.1100,79.0800,79.7900,79.0516,2359637,0.0000,1.0000
2017-05-25,79.9000,80.5100,79.1800,79.5100,78.7742,2117081,0.0000,1.0000
2017-05-24,80.3500,80.3500,79.7500,79.9200,79.1804,1582276,0.0000,1.0000
2017-05-23,79.6900,80.6800,79.1100,80.3400,79.5966,1995112,0.0000,1.0000
2017-05-22,80.7300,80.9300,79.2800,79.6300,78.8931,2399851,0.0000,1.0000
2017-05-19,79.5700,81.1000,79.2500,80.2700,79.5272,2781860,0.0000,1.0000
2017-05-18,78.4600,80.1400,78.3400,79.2700,78.5365,4884650,0.0000,1.0000
2017-05-17,80.6900,80.6900,78.1700,78.4700,77.7439,3145845,0.0000,1.0000
2017-05-16,81.3100,81.4200,80.5600,80.6900,79.9433,1984035,0.0000,1.0000
2017-05-15,80.0100,81.5500,80.0100,81.1500,80.3991,2479813,0.0000,1.0000
2017-05-12,79.8300,80.3600,78.6900,79.4000,78.6653,3931119,0.0000,1.0000
2017-05-11,80.9900,81.2800,79.6600,80.1600,79.4182,3741154,0.4000,1.0000
2017-05-10,82.0200,82.4400,81.5300,81.6700,80.5125,2805572,0.0000,1.0000
2017-05-09,82.2000,82.8100,81.8200,82.3200,81.1533,1832887,0.0000,1.0000
2017-05-08,82.3400,82.4100,81.8400,82.1200,80.9561,1717675,0.0000,1.0000
2017-05-05,82.8800,82.9900,82.0000,82.2700,81.1040,2269861,0.0000,1.0000
2017-05-04,83.0200,83.2100,82.1700,82.4900,81.3209,3154418,0.0000,1.0000
2017-05-03,82.0800,82.8200,81.7800,82.4900,81.3209,2451444,0.0000,1.0000
2017-05-02,81.5800,82.4700,80.9700,82.4600,81.2913,3020580,0.0000,1.0000
2017-05-01,81.1700,81.9900,80.7600,81.5700,80.4139,3543401,0.0000,1.0000
2017-04-28,81.4300,82.1700,79.9100,80.3800,79.2408,6133211,0.0000,1.0000
2017-04-27,83.1900,83.6200,82.2600,82.3100,81.1434,3604560,0.0000,1.0000
2017-04-26,82.0000,84.2600,81.9900,83.0600,81.8828,7386158,0.0000,1.0000
2017-04-25,85.3700,86.0300,85.2200,85.5800,84.3671,3080861,0.0000,1.0000
2017-04-24,84.6300,85.0500,84.1400,84.6800,83.4798,2897655,0.0000,1.0000
2017-04-21,83.6400,83.9600,82.6500,82.6700,81.4983,2524853,0.0000,1.0000
2017-04-20,82.3300,84.0500,82.3300,83.7200,82.5334,2945338,0.0000,1.0000
2017-04-19,82.4300,82.9200,81.5800,81.9100,80.7491,2157822,0.0000,1.0000
2017-04-18,82.5500,83.2200,81.1600,81.9000,80.7392,3119402,0.0000,1.0000
2017-04-17,80.5800,83.0300,80.0500,83.0000,81.8236,3759420,0.0000,1.0000
2017-04-13,82.0500,82.9600,80.9000,81.0200,79.8717,3400095,0.0000,1.0000
2017-04-12,82.6400,83.1700,82.0300,82.4200,81.2519,2317110,0.0000,1.0000
2017-04-11,82.4000,83.1100,81.6200,83.0900,81.9124,2351190,0.0000,1.0000
2017-04-10,83.5500,83.8200,82.5300,82.7700,81.5969,2463343,0.0000,1.0000
2017-04-07,83.2500,84.3300,82.7900,83.5400,82.3560,2767335,0.0000,1.0000
2017-04-06,83.9300,84.7500,82.5500,84.2300,83.0362,4378949,0.0000,1.0000
2017-04-05,86.5800,86.6200,83.9800,84.1300,82.9376,2483680,0.0000,1.0000
2017-04-04,85.3800,85.9000,85.1200,85.2600,84.0516,1840284,0.0000,1.0000
2017-04-03,86.8800,86.9100,84.6700,85.8000,84.5840,3158771,0.0000,1.0000
2017-03-31,86.6700,87.2400,86.2800,86.6600,85.4318,2661912,0.0000,1.0000
2017-03-30,84.8200,87.2600,84.5200,87.1400,85.9050,4081656,0.0000,1.0000
2017-03-29,84.8900,85.1900,84.0300,84.6800,83.4798,2488421,0.0000,1.0000
2017-03-28,82.0100,84.6300,81.9000,84.1700,82.9771,3784720,0.0000,1.0000
2017-03-27,81.9300,82.8700,81.3200,82.1300,80.9660,4282097,0.0000,1.0000
2017-03-24,83.9900,84.5200,83.1800,83.8000,82.6123,1966056,0.0000,1.0000
2017-03-23,83.6000,85.0600,83.2300,83.7800,82.5926,2671234,0.0000,1.0000
2017-03-22,83.0800,84.4400,82.1500,83.6800,82.4940,3133651,0.0000,1.0000
2017-03-21,87.1000,87.1000,83.3400,83.6500,82.4644,4559025,0.0000,1.0000
2017-03-20,88.1100,88.2300,86.5800,86.7800,85.5501,2801965,0.0000,1.0000
2017-03-17,90.4300,90.7000,88.0100,88.2300,86.9795,3388267,0.0000,1.0000
2017-03-16,90.3800,91.0900,89.9600,90.2100,88.9314,1781858,0.0000,1.0000
2017-03-15,91.0100,91.9600,89.1300,89.9200,88.6456,3178963,0.0000,1.0000
2017-03-14,91.3600,91.7800,90.7800,91.7500,90.4496,1730819,0.0000,1.0000
2017-03-13,92.2000,92.4100,91.6500,91.7900,90.4891,1830233,0.0000,1.0000
2017-03-10,92.8200,93.0000,91.5700,92.1900,90.8834,1644275,0.0000,1.0000
2017-03-09,92.7700,93.3500,91.8500,92.1100,90.8045,1653535,0.0000,1.0000
2017-03-08,94.0200,94.4300,92.2800,92.4000,91.0904,2028560,0.0000,1.0000
2017-03-07,93.0700,93.3400,92.4900,92.8200,91.5045,1641333,0.0000,1.0000
2017-03-06,93.5000,93.6800,92.8500,93.0000,91.6819,1936761,0.0000,1.0000
2017-03-03,94.1900,94.6400,93.3300,93.9400,92.6086,2541665,0.0000,1.0000
2017-03-02,96.2100,96.3300,94.2800,94.3300,92.9931,1625881,0.0000,1.0000
2017-03-01,95.0000,96.9200,94.8100,96.1200,94.7577,3387946,0.0000,1.0000
2017-02-28,93.0400,93.9300,92.9900,93.8600,92.5297,3122357,0.0000,1.0000
2017-02-27,92.3900,93.7200,92.0600,93.6600,92.3326,1730363,0.0000,1.0000
2017-02-24,92.5300,92.8000,91.7700,92.6100,91.2974,2252140,0.0000,1.0000
2017-02-23,93.2500,93.5200,92.8900,93.4100,92.0861,2142975,0.0000,1.0000
2017-02-22,92.4200,93.2400,92.0900,92.8900,91.5735,1821376,0.0000,1.0000
2017-02-21,91.7000,93.5700,91.6100,92.8500,91.5340,3825225,0.0000,1.0000
2017-02-17,90.3400,92.0400,90.0800,91.8100,90.5088,4044661,0.0000,1.0000
2017-02-16,90.9800,91.2500,89.8200,90.5100,89.2272,1801044,0.0000,1.0000
2017-02-15,90.4900,91.3600,89.6100,90.9300,89.6412,2297708,0.0000,1.0000
