timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,27.8000,28.1450,27.5500,27.9800,27.9800,5328277,0.0000,1.0000
2018-01-16,28.7800,28.8500,27.9500,28.0300,28.0300,4339500,0.0000,1.0000
2018-01-12,28.3000,28.9500,28.2600,28.8800,28.8800,6908199,0.0000,1.0000
2018-01-11,28.1900,28.9100,28.0000,28.4000,28.4000,6340114,0.0000,1.0000
2018-01-10,29.1400,29.2200,27.8100,27.9600,27.9600,5018091,0.0000,1.0000
2018-01-09,28.9400,29.2400,28.8000,29.1200,29.1200,4224274,0.0000,1.0000
2018-01-08,28.8600,28.9200,28.5100,28.9100,28.9100,4198793,0.0000,1.0000
2018-01-05,28.5800,29.0900,28.5800,28.7600,28.7600,4456464,0.0000,1.0000
2018-01-04,29.0900,29.3300,28.7700,28.9100,28.9100,4538216,0.0000,1.0000
2018-01-03,29.1800,29.5600,28.9600,29.0300,29.0300,5326327,0.0000,1.0000
2018-01-02,28.3100,28.9500,28.2200,28.9000,28.9000,5244308,0.0000,1.0000
2017-12-29,28.6900,28.7100,28.1946,28.6000,28.6000,5089206,0.0000,1.0000
2017-12-28,28.3200,28.6000,28.0900,28.5400,28.5400,4401191,0.0000,1.0000
2017-12-27,28.0100,28.2200,27.9500,28.1300,28.1300,3586784,0.0000,1.0000
2017-12-26,27.7500,28.1100,27.6600,28.1000,28.1000,2898063,0.0000,1.0000
2017-12-22,27.7000,27.8200,27.4200,27.5900,27.5900,4291876,0.0000,1.0000
2017-12-21,26.8300,27.7800,26.7450,27.7200,27.7200,7290702,0.0000,1.0000
2017-12-20,26.7600,27.0500,26.5801,26.9700,26.9700,3538928,0.0000,1.0000
2017-12-19,27.1300,27.2100,26.7700,26.8200,26.8200,3398763,0.0000,1.0000
2017-12-18,26.8700,27.3600,26.7300,27.0900,27.0900,4848355,0.0000,1.0000
2017-12-15,27.4500,27.4700,26.4600,26.6400,26.6400,6903684,0.0000,1.0000
2017-12-14,27.6800,27.7300,27.2500,27.2600,27.2600,4482773,0.0000,1.0000
2017-12-13,27.5800,28.0700,27.4400,27.7600,27.7600,4001221,0.0000,1.0000
2017-12-12,28.3900,28.5100,27.5900,27.6000,27.6000,3131933,0.0000,1.0000
2017-12-11,28.0300,28.6300,28.0000,28.3300,28.3300,3266998,0.0000,1.0000
2017-12-08,27.8900,28.0800,27.7000,27.7500,27.7500,3983813,0.0000,1.0000
2017-12-07,27.9500,28.1200,27.6500,27.7800,27.7800,3178666,0.0000,1.0000
2017-12-06,28.2800,28.3850,27.8933,28.0500,28.0500,3203827,0.0000,1.0000
2017-12-05,28.4300,28.4950,28.1400,28.3300,28.3300,3944950,0.0000,1.0000
2017-12-04,28.5100,29.2700,28.4400,28.5700,28.5700,4390168,0.0000,1.0000
2017-12-01,29.2300,29.5400,28.3700,28.6800,28.6800,7238323,0.0000,1.0000
2017-11-30,29.2100,29.5700,28.5800,28.9500,28.9500,8371917,0.0000,1.0000
2017-11-29,29.3900,29.4700,28.9100,29.1700,29.1700,3337186,0.0000,1.0000
2017-11-28,29.2500,29.3100,29.0200,29.1000,29.1000,2873613,0.0000,1.0000
2017-11-27,29.4000,29.4650,29.0800,29.1400,29.1400,2855849,0.0000,1.0000
2017-11-24,29.4900,29.5000,29.1900,29.2500,29.2500,995518,0.0000,1.0000
2017-11-22,29.2800,29.4800,29.1300,29.4400,29.4400,2645327,0.0000,1.0000
2017-11-21,29.1300,29.3000,28.9100,29.0700,29.0700,2791350,0.0000,1.0000
2017-11-20,29.2400,29.3700,28.9200,29.0100,29.0100,4078043,0.0000,1.0000
2017-11-17,28.9100,29.4100,28.8200,29.3900,29.3900,5598370,0.0000,1.0000
2017-11-16,28.5800,28.8400,28.3201,28.7400,28.7400,3802842,0.0000,1.0000
2017-11-15,28.3600,28.5600,27.9500,28.4500,28.4500,3992217,0.0000,1.0000
2017-11-14,28.8100,28.9200,28.2900,28.4600,28.4600,4607147,0.0000,1.0000
2017-11-13,28.8900,29.2600,28.7600,29.0600,29.0600,4422254,0.0000,1.0000
2017-11-10,28.3100,29.0600,28.3000,28.9900,28.9900,5958258,0.0000,1.0000
2017-11-09,28.2500,28.8200,28.1300,28.5600,28.5600,7250105,0.0000,1.0000
2017-11-08,27.8000,28.1100,27.3400,27.8200,27.8200,6921065,0.0000,1.0000
2017-11-07,27.4500,27.9200,27.1700,27.8400,27.8400,10820919,0.0500,1.0000
2017-11-06,28.6000,29.0300,28.4000,28.7800,28.7284,7725912,0.0000,1.0000
2017-11-03,28.2300,28.4100,28.0100,28.2300,28.1794,6105178,0.0000,1.0000
2017-11-02,27.9700,28.2900,27.7800,28.2600,28.2093,7343830,0.0000,1.0000
2017-11-01,27.7500,28.1000,27.5500,27.9100,27.8600,7148786,0.0000,1.0000
2017-10-31,27.4000,28.0000,27.2400,27.7000,27.6503,9220710,0.0000,1.0000
2017-10-30,26.8500,27.3100,26.6500,27.1900,27.1413,7793632,0.0000,1.0000
2017-10-27,25.2000,27.0200,24.6100,26.7500,26.7020,12698684,0.0000,1.0000
2017-10-26,24.4100,24.6800,24.1000,24.6500,24.6058,5654025,0.0000,1.0000
2017-10-25,24.7900,24.9800,24.3800,24.4200,24.3762,5051779,0.0000,1.0000
2017-10-24,25.2700,25.3300,24.8200,24.9200,24.8753,3953408,0.0000,1.0000
2017-10-23,25.6700,25.7100,25.2200,25.2300,25.1848,3591687,0.0000,1.0000
2017-10-20,25.5200,25.6000,25.3500,25.5300,25.4842,3535652,0.0000,1.0000
2017-10-19,25.5000,25.5800,25.2100,25.4800,25.4343,3576458,0.0000,1.0000
2017-10-18,25.7800,26.0000,25.5900,25.6200,25.5741,3875843,0.0000,1.0000
2017-10-17,25.6900,25.9500,25.5800,25.8800,25.8336,3982864,0.0000,1.0000
2017-10-16,25.9900,26.1100,25.6600,25.6900,25.6439,4988517,0.0000,1.0000
2017-10-13,26.2300,26.3900,25.9000,26.0000,25.9534,6530415,0.0000,1.0000
2017-10-12,25.4200,26.0700,25.3200,26.0000,25.9534,5759009,0.0000,1.0000
2017-10-11,25.4400,25.5300,25.2500,25.5100,25.4643,3313266,0.0000,1.0000
2017-10-10,25.6100,25.6700,25.2400,25.3600,25.3145,5561097,0.0000,1.0000
2017-10-09,25.7100,25.7500,25.2800,25.4400,25.3944,4768063,0.0000,1.0000
2017-10-06,26.1900,26.2800,25.6400,25.7100,25.6639,4555779,0.0000,1.0000
2017-10-05,26.5700,26.6500,26.3200,26.3900,26.3427,3527936,0.0000,1.0000
2017-10-04,26.7400,26.7900,26.2300,26.4300,26.3826,3325199,0.0000,1.0000
2017-10-03,26.7200,26.7800,26.5200,26.5800,26.5323,3058977,0.0000,1.0000
2017-10-02,26.4800,26.8200,26.2900,26.7700,26.7220,6340812,0.0000,1.0000
2017-09-29,26.5900,26.8300,26.4400,26.7500,26.7020,4977541,0.0000,1.0000
2017-09-28,26.8300,26.9500,26.4500,26.8200,26.7719,6835346,0.0000,1.0000
2017-09-27,27.0000,27.0900,26.5200,26.8300,26.7819,6054575,0.0000,1.0000
2017-09-26,26.8100,27.0100,26.7800,26.8700,26.8218,4983954,0.0000,1.0000
2017-09-25,26.7300,26.9100,26.5600,26.8000,26.7520,3686936,0.0000,1.0000
2017-09-22,26.3400,26.6100,26.2600,26.5800,26.5323,4440281,0.0000,1.0000
2017-09-21,26.1300,26.4900,25.9600,26.4100,26.3627,3799121,0.0000,1.0000
2017-09-20,26.3400,26.4500,25.9800,26.2900,26.2429,6866825,0.0000,1.0000
2017-09-19,26.4600,26.5400,26.0800,26.2100,26.1630,6258362,0.0000,1.0000
2017-09-18,26.7800,27.0600,26.4800,26.5200,26.4725,5558682,0.0000,1.0000
2017-09-15,26.7500,26.8300,26.4200,26.8100,26.7619,5910364,0.0000,1.0000
2017-09-14,26.5300,26.8800,26.4300,26.7400,26.6921,6389870,0.0000,1.0000
2017-09-13,26.5700,26.6600,26.1600,26.4100,26.3627,5009653,0.0000,1.0000
2017-09-12,26.1500,26.4800,25.9800,26.3300,26.2828,4579065,0.0000,1.0000
2017-09-11,26.1200,26.2000,25.9300,26.0300,25.9833,5277176,0.0000,1.0000
2017-09-08,26.5200,26.6000,25.9100,25.9700,25.9234,6680432,0.0000,1.0000
2017-09-07,26.9000,26.9500,26.5700,26.6400,26.5922,3838636,0.0000,1.0000
2017-09-06,27.0600,27.1300,26.7100,26.9200,26.8717,5867731,0.0000,1.0000
2017-09-05,26.6600,27.1400,26.5100,26.9600,26.9117,6618158,0.0000,1.0000
2017-09-01,25.5500,26.9500,25.5500,26.8700,26.8218,10048516,0.0000,1.0000
2017-08-31,24.9400,25.6600,24.6500,25.5500,25.5042,7628186,0.0000,1.0000
2017-08-30,24.7200,24.9900,24.5300,24.7900,24.7456,2508498,0.0000,1.0000
2017-08-29,24.5500,24.9000,24.2600,24.8700,24.8254,3007607,0.0000,1.0000
2017-08-28,24.7700,24.9700,24.5400,24.7600,24.7156,3104741,0.0000,1.0000
2017-08-25,25.0300,25.0500,24.4700,24.8500,24.8054,3606175,0.0000,1.0000
2017-08-24,24.8900,25.1100,24.7400,24.9800,24.9352,3904205,0.0000,1.0000
2017-08-23,24.8600,25.2100,24.6900,24.9000,24.8554,4708643,0.0000,1.0000
2017-08-22,24.5900,25.1000,24.5900,24.9800,24.9352,3109350,0.0000,1.0000
2017-08-21,24.3400,24.6900,24.1700,24.5000,24.4561,4320507,0.0000,1.0000
2017-08-18,24.5100,24.5600,24.1500,24.3900,24.3463,6404431,0.0000,1.0000
2017-08-17,24.4900,24.9000,24.4600,24.5300,24.4860,3688672,0.0000,1.0000
2017-08-16,24.5900,24.8700,24.4500,24.5400,24.4960,3397159,0.0000,1.0000
2017-08-15,24.3800,24.6600,24.0700,24.5900,24.5459,3698865,0.0000,1.0000
2017-08-14,24.7200,24.8900,24.4300,24.4500,24.4062,3397272,0.0000,1.0000
2017-08-11,24.4800,24.9100,24.4500,24.6100,24.5659,3623695,0.0000,1.0000
2017-08-10,24.8900,25.0500,24.5200,24.5800,24.5359,5902282,0.0000,1.0000
2017-08-09,24.7500,25.2300,24.6700,24.8300,24.7855,5947406,0.0000,1.0000
2017-08-08,24.2800,24.7100,24.2800,24.5700,24.5260,3279501,0.0500,1.0000
2017-08-07,24.6400,24.6800,24.2400,24.3700,24.2769,4073069,0.0000,1.0000
2017-08-04,24.5700,24.8500,24.4000,24.7100,24.6156,3753259,0.0000,1.0000
2017-08-03,24.6700,24.9800,24.2700,24.5700,24.4761,6489427,0.0000,1.0000
2017-08-02,25.1900,25.6300,24.5100,24.5700,24.4761,5784294,0.0000,1.0000
2017-08-01,25.0500,25.5500,25.0500,25.3600,25.2631,7486295,0.0000,1.0000
2017-07-31,25.3200,25.4500,24.7100,24.8700,24.7750,6082711,0.0000,1.0000
2017-07-28,25.1000,26.0800,24.5700,25.5000,25.4026,8267406,0.0000,1.0000
2017-07-27,25.1800,25.2900,24.9100,25.1800,25.0838,6256391,0.0000,1.0000
2017-07-26,25.2300,25.4600,25.0000,25.1600,25.0639,3189555,0.0000,1.0000
2017-07-25,25.1200,25.4500,25.0800,25.1200,25.0240,4424469,0.0000,1.0000
2017-07-24,24.9000,25.0400,24.6500,24.7800,24.6853,4078978,0.0000,1.0000
2017-07-21,24.9800,25.1200,24.8400,24.9800,24.8846,5985285,0.0000,1.0000
2017-07-20,25.3300,25.6100,24.9400,25.0000,24.9045,4627619,0.0000,1.0000
