timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,136.8000,137.5800,136.5100,137.4000,137.4000,993317,0.0000,1.0000
2018-01-17,136.9000,137.0700,136.4000,136.8500,136.8500,1113854,0.0000,1.0000
2018-01-16,137.7300,138.1900,136.5400,136.6500,136.6500,1545921,0.0000,1.0000
2018-01-12,137.9500,138.1400,137.6100,137.8300,137.8300,1255374,0.0000,1.0000
2018-01-11,138.0000,138.1000,137.5600,137.6100,137.6100,383465,0.0000,1.0000
2018-01-10,137.7400,138.0350,137.2300,137.9500,137.9500,657862,0.0000,1.0000
2018-01-09,137.1000,138.0300,136.8700,137.9400,137.9400,1328662,0.0000,1.0000
2018-01-08,136.7400,137.4700,136.5900,136.8900,136.8900,1009778,0.0000,1.0000
2018-01-05,136.5000,136.7500,136.1800,136.6600,136.6600,1411876,0.0000,1.0000
2018-01-04,136.7500,136.9850,136.4100,136.4300,136.4300,545240,0.0000,1.0000
2018-01-03,135.8300,136.6400,135.7100,136.5500,136.5500,1362393,0.0000,1.0000
2018-01-02,135.8000,136.0300,135.2000,135.8800,135.8800,1009723,0.0000,1.0000
2017-12-29,135.5000,135.9900,135.4050,135.6200,135.6200,605243,0.0000,1.0000
2017-12-28,135.1900,135.7200,135.0500,135.7000,135.7000,372706,0.0000,1.0000
2017-12-27,135.1000,135.3600,134.7500,135.3100,135.3100,377891,0.0000,1.0000
2017-12-26,135.2000,135.3500,134.8400,134.9300,134.9300,386129,0.0000,1.0000
2017-12-22,135.1600,135.4400,134.8900,135.0900,135.0900,583102,0.0000,1.0000
2017-12-21,135.0600,135.4900,134.8200,134.9800,134.9800,1009605,0.0000,1.0000
2017-12-20,135.0800,135.4600,134.6400,135.0700,135.0700,889043,0.0000,1.0000
2017-12-19,134.8500,135.3000,134.5400,134.8900,134.8900,1123963,0.0000,1.0000
2017-12-18,134.8400,135.1900,134.2200,134.8300,134.8300,1101352,0.0000,1.0000
2017-12-15,134.2000,134.8000,133.7250,134.5300,134.5300,2153370,0.0000,1.0000
2017-12-14,134.3500,134.5600,133.6800,133.7100,133.7100,1291476,0.0000,1.0000
2017-12-13,134.4000,134.8100,134.1100,134.2100,134.2100,1481750,0.0000,1.0000
2017-12-12,134.5000,134.8950,134.4500,134.5200,134.5200,774194,0.0000,1.0000
