timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,20.5600,20.6900,20.3700,20.5200,20.5200,3170640,0.0000,1.0000
2018-01-10,20.4600,20.5350,20.2950,20.5200,20.5200,3590556,0.0000,1.0000
2018-01-09,20.2700,20.6800,20.1400,20.5900,20.5900,2648490,0.0000,1.0000
2018-01-08,20.3100,20.4750,20.1700,20.3200,20.3200,3212604,0.0000,1.0000
2018-01-05,20.0900,20.4300,19.9050,20.4000,20.4000,3188303,0.0000,1.0000
2018-01-04,19.9700,20.1300,19.7000,20.0800,20.0800,3221250,0.0000,1.0000
2018-01-03,19.8900,19.9150,19.6300,19.7700,19.7700,4152648,0.0000,1.0000
2018-01-02,19.9500,20.0700,19.8500,19.8800,19.8800,3543914,0.0000,1.0000
2017-12-29,20.0700,20.1000,19.8800,19.8900,19.8900,2459908,0.0000,1.0000
2017-12-28,19.8300,20.0900,19.8200,20.0700,20.0700,2662165,0.0000,1.0000
2017-12-27,20.1800,20.2600,19.7350,19.8500,19.8500,2708051,0.0000,1.0000
2017-12-26,19.9100,20.3050,19.9100,20.1500,20.1500,1972085,0.0000,1.0000
2017-12-22,19.8700,20.0400,19.7700,19.9300,19.9300,2045261,0.0000,1.0000
2017-12-21,20.0000,20.0400,19.6700,19.7500,19.7500,4015805,0.0000,1.0000
2017-12-20,19.4600,19.5400,19.2150,19.4500,19.4500,3627039,0.0000,1.0000
2017-12-19,19.8100,19.8300,19.3400,19.3800,19.3800,4553547,0.0000,1.0000
2017-12-18,19.8000,19.8600,19.6150,19.7000,19.7000,5461327,0.0000,1.0000
2017-12-15,19.6450,19.8800,19.5400,19.7800,19.7800,7613964,0.0000,1.0000
2017-12-14,19.6600,19.7100,19.3100,19.5400,19.5400,3853878,0.0000,1.0000
2017-12-13,18.6800,19.4800,18.6600,19.4200,19.4200,7794240,0.0000,1.0000
2017-12-12,18.3100,18.7700,18.3000,18.6200,18.6200,7852628,0.0000,1.0000
2017-12-11,17.7700,17.9100,17.6000,17.9100,17.9100,4599225,0.0000,1.0000
2017-12-08,17.6200,17.8100,17.4200,17.7800,17.7800,3902105,0.0000,1.0000
2017-12-07,17.5600,17.7750,17.5600,17.6000,17.6000,3986714,0.0000,1.0000
2017-12-06,17.6400,17.8000,17.5400,17.6300,17.6300,4449244,0.0000,1.0000
2017-12-05,17.5700,17.7000,17.3100,17.6400,17.6400,5640301,0.0000,1.0000
2017-12-04,17.2300,17.6400,17.1250,17.5600,17.5600,6278397,0.0000,1.0000
2017-12-01,17.2300,17.3000,16.6900,17.0500,17.0500,5982734,0.0000,1.0000
2017-11-30,17.1700,17.2950,17.0701,17.2300,17.2300,5098552,0.0000,1.0000
2017-11-29,17.1100,17.4200,17.0300,17.0900,17.0900,3870198,0.1250,1.0000
2017-11-28,16.9800,17.2100,16.9100,17.2000,17.0751,5433560,0.0000,1.0000
2017-11-27,16.9800,17.0600,16.7100,17.0000,16.8766,4980532,0.0000,1.0000
2017-11-24,17.0000,17.0800,16.9000,17.0000,16.8766,1062645,0.0000,1.0000
2017-11-22,16.8900,17.1000,16.8200,16.9800,16.8567,3266491,0.0000,1.0000
2017-11-21,17.1300,17.1600,16.8350,16.8700,16.7475,4233051,0.0000,1.0000
2017-11-20,17.1500,17.2850,16.9346,17.1000,16.9758,3835349,0.0000,1.0000
2017-11-17,16.8100,17.1800,16.8100,17.0500,16.9262,6770590,0.0000,1.0000
2017-11-16,16.9900,17.0500,16.7300,16.8500,16.7277,5428458,0.0000,1.0000
2017-11-15,16.9000,17.1400,16.6900,16.8200,16.6979,8649118,0.0000,1.0000
