timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,160.8900,162.9700,160.0000,161.8000,161.8000,572572,0.0000,1.0000
2018-01-17,161.3300,163.0500,161.3300,162.6700,162.6700,777339,0.0000,1.0000
2018-01-16,161.1100,162.1100,160.8100,161.2200,161.2200,654900,0.0000,1.0000
2018-01-12,161.8100,162.2500,160.0600,160.4600,160.4600,449058,0.0000,1.0000
2018-01-11,160.3000,162.2400,159.8500,162.0500,162.0500,529892,0.0000,1.0000
2018-01-10,160.9800,161.3200,159.7900,160.3300,160.3300,403080,0.0000,1.0000
2018-01-09,162.0000,162.2237,161.1500,161.2200,161.2200,448988,0.0000,1.0000
2018-01-08,161.3800,162.5800,159.8300,161.9000,161.9000,652081,0.0000,1.0000
2018-01-05,161.3200,161.7700,160.6700,161.6400,161.6400,584767,0.0000,1.0000
2018-01-04,158.6900,161.2900,158.4200,161.1700,161.1700,567625,0.0000,1.0000
2018-01-03,156.2100,158.6700,156.2100,158.4200,158.4200,528696,0.0000,1.0000
2018-01-02,157.2600,157.5300,155.9400,156.8500,156.8500,472288,0.0000,1.0000
2017-12-29,156.9900,157.1000,155.8100,155.8300,155.8300,413457,0.0000,1.0000
2017-12-28,155.9800,156.7200,154.8100,156.6200,156.6200,439405,0.0000,1.0000
2017-12-27,155.9600,156.4800,155.2620,156.0200,156.0200,376343,0.0000,1.0000
2017-12-26,156.5400,157.6400,155.4100,155.5200,155.5200,501351,0.0000,1.0000
2017-12-22,162.0000,163.4500,153.0100,156.8500,156.8500,2156991,0.0000,1.0000
2017-12-21,160.5300,160.5850,157.6650,159.6500,159.6500,831005,0.0000,1.0000
2017-12-20,159.3300,160.0500,158.8900,159.0900,159.0900,511651,0.0000,1.0000
2017-12-19,161.0000,161.0000,158.4000,158.9900,158.9900,650565,0.0000,1.0000
2017-12-18,159.0000,160.2100,158.5900,159.8800,159.8800,849230,0.0000,1.0000
2017-12-15,157.8900,158.9199,156.7000,158.0000,158.0000,972403,0.0000,1.0000
2017-12-14,158.0200,158.1100,156.9000,157.1800,157.1800,505120,0.0000,1.0000
2017-12-13,157.6000,158.8600,157.0300,157.2900,157.2900,497170,0.0000,1.0000
2017-12-12,158.3100,158.3900,156.9600,157.1900,157.1900,316516,0.0000,1.0000
2017-12-11,158.9800,159.8300,157.9500,158.3300,158.3300,437248,0.0000,1.0000
2017-12-08,158.5400,159.2100,157.8450,159.1800,159.1800,324830,0.0000,1.0000
2017-12-07,156.0400,158.8600,155.9900,158.0000,158.0000,339485,0.0000,1.0000
2017-12-06,156.8800,157.6000,156.1400,156.5000,156.5000,368813,0.0000,1.0000
2017-12-05,158.8800,159.5300,156.1000,156.2800,156.2800,611124,0.0000,1.0000
