timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,0.0000,0.0000,0.0000,83.9300,83.9300,0,0.0000,1.0000
2018-01-17,0.0000,0.0000,0.0000,83.9300,83.9300,0,0.0000,1.0000
<!DOCTYPE html>\n\t<html>\n\t  <head>\n\t\t<meta name="viewport" content="width=device-width, initial-scale=1">\n\t\t<meta charset="utf-8">\n\t\t<title>Application Error</title>\n\t\t<style media="screen">\n\t\t  html,body,iframe {\n\t\t\tmargin: 0;\n\t\t\tpadding: 0;\n\t\t  }\n\t\t  html,body {\n\t\t\theight: 100%;\n\t\t\toverflow: hidden;\n\t\t  }\n\t\t  iframe {\n\t\t\twidth: 100%;\n\t\t\theight: 100%;\n\t\t\tborder: 0;\n\t\t  }\n\t\t</style>\n\t  </head>\n\t  <body>\n\t\t<iframe src="//www.herokucdn.com/error-pages/application-error.html"></iframe>\n\t  </body>\n\t</html>
2018-01-10,0.0000,0.0000,0.0000,83.9300,83.9300,0,0.0000,1.0000
2017-08-31,83.5400,85.1600,83.3100,83.9300,83.9300,33154128,0.0000,1.0000
2017-08-30,81.7300,83.2800,81.6600,83.1900,83.1900,1717148,0.0000,1.0000
2017-08-29,82.5100,82.6000,82.1000,82.2400,82.2400,1827509,0.0000,1.0000
2017-08-28,82.8600,83.0400,82.3300,82.8800,82.8800,1364129,0.0000,1.0000
2017-08-25,82.6800,82.9200,82.3300,82.6600,82.6600,1440374,0.0000,1.0000
2017-08-24,82.8400,82.9200,82.3500,82.3900,82.3900,2029016,0.0000,1.0000
2017-08-23,82.8200,83.4700,82.6000,82.7600,82.7600,2594426,0.0000,1.0000
2017-08-22,82.1500,83.1600,82.0100,83.0100,83.0100,1644388,0.0000,1.0000
2017-08-21,81.3300,81.9200,80.8700,81.8300,81.8300,1650696,0.0000,1.0000
2017-08-18,80.7600,81.4200,80.4800,81.1800,81.1800,1940821,0.0000,1.0000
2017-08-17,81.6800,81.9500,80.8600,80.8600,80.8600,3318969,0.0000,1.0000
2017-08-16,81.7500,82.0300,81.4000,82.0100,82.0100,2397065,0.0000,1.0000
2017-08-15,81.2100,81.6600,81.0100,81.5800,81.5800,1902623,0.0000,1.0000
2017-08-14,81.2900,81.7900,81.0000,81.1500,81.1500,1596349,0.0000,1.0000
2017-08-11,81.0400,81.2500,80.6900,80.9700,80.9700,1943988,0.0000,1.0000
2017-08-10,81.0300,81.1900,80.1000,80.8100,80.8100,2408468,0.0000,1.0000
2017-08-09,81.2000,81.6200,80.9300,81.3300,81.3300,1515707,0.0000,1.0000
2017-08-08,81.5900,81.9500,80.9300,81.1200,81.1200,1559641,0.0000,1.0000
2017-08-07,81.9500,82.2300,81.4700,81.7900,81.7900,1589302,0.0000,1.0000
2017-08-04,81.5000,82.1300,81.3900,82.0100,82.0100,2237451,0.0000,1.0000
2017-08-03,82.3600,82.6000,81.0200,81.3300,81.3300,1896010,0.0000,1.0000
2017-08-02,82.2300,82.5400,81.7700,82.3200,82.3200,1490306,0.0000,1.0000
2017-08-01,82.6000,82.8400,81.9500,82.6600,82.6600,3298571,0.0000,1.0000
2017-07-31,84.2500,84.3300,82.2100,82.2100,82.2100,2166422,0.0000,1.0000
2017-07-28,84.9800,85.5000,83.3700,83.9800,83.9800,2349859,0.0000,1.0000
2017-07-27,85.1600,85.9800,84.0200,84.5900,84.5900,2190615,0.3800,1.0000
2017-07-26,85.1400,85.3500,84.2000,84.8100,84.4307,1488926,0.0000,1.0000
2017-07-25,85.8000,86.3600,85.1200,85.4900,85.1077,2195271,0.0000,1.0000
2017-07-24,84.4900,85.1500,84.1100,84.3500,83.9728,1815010,0.0000,1.0000
2017-07-21,84.8300,85.0400,84.2500,84.5400,84.1619,1730448,0.0000,1.0000
2017-07-20,85.4600,85.4800,84.6200,84.8300,84.4506,1539677,0.0000,1.0000
2017-07-19,84.2300,85.3500,84.1900,85.3500,84.9683,1453399,0.0000,1.0000
2017-07-18,84.3800,84.5500,83.8300,84.0000,83.6243,1153799,0.0000,1.0000
2017-07-17,84.7800,85.0000,84.2200,84.6600,84.2814,1256868,0.0000,1.0000
2017-07-14,83.9800,84.9700,83.7900,84.7500,84.3710,1397666,0.0000,1.0000
2017-07-13,84.6400,84.9600,83.7100,83.8000,83.4252,1636678,0.0000,1.0000
2017-07-12,83.3500,84.9700,83.0000,84.8400,84.4606,2245597,0.0000,1.0000
2017-07-11,82.5800,82.6700,81.8000,82.5700,82.2007,1303353,0.0000,1.0000
2017-07-10,81.8000,83.0900,81.5500,82.5700,82.2007,1470534,0.0000,1.0000
2017-07-07,81.7700,82.0800,81.1900,82.0300,81.6631,1831842,0.0000,1.0000
2017-07-06,81.0400,81.8600,80.4800,81.5900,81.2251,2192517,0.0000,1.0000
2017-07-05,82.0800,82.0800,80.6900,81.2200,80.8568,1494223,0.0000,1.0000
2017-07-03,81.2700,82.4300,81.0200,82.1300,81.7627,1180328,0.0000,1.0000
2017-06-30,80.5200,81.1900,80.1400,80.7100,80.3491,2336989,0.0000,1.0000
2017-06-29,81.1600,82.1600,80.3300,80.4600,80.1002,2453204,0.0000,1.0000
2017-06-28,81.4100,81.6200,81.0800,81.2800,80.9165,1164881,0.0000,1.0000
2017-06-27,81.3000,81.3000,80.5300,80.6900,80.3291,1532246,0.0000,1.0000
2017-06-26,81.2200,81.6400,80.7200,81.1600,80.7970,1580072,0.0000,1.0000
2017-06-23,81.2000,81.5600,80.9200,80.9900,80.6278,1833020,0.0000,1.0000
2017-06-22,81.0000,81.6800,80.9800,81.3400,80.9762,1528484,0.0000,1.0000
2017-06-21,83.4400,83.4400,80.8500,80.9200,80.5581,2583975,0.0000,1.0000
2017-06-20,83.2000,83.6700,82.9000,83.1200,82.7483,1630022,0.0000,1.0000
2017-06-19,82.6600,83.8200,82.6600,83.5600,83.1863,2116047,0.0000,1.0000
2017-06-16,82.6200,82.8400,81.7200,82.4700,82.1012,4577614,0.0000,1.0000
2017-06-15,82.7200,82.8000,80.8100,82.1700,81.8025,3365441,0.0000,1.0000
2017-06-14,83.7200,83.9300,82.4500,82.8200,82.4496,3215779,0.0000,1.0000
2017-06-13,82.1400,83.9000,82.0900,83.8800,83.5049,3042376,0.0000,1.0000
2017-06-12,82.7400,83.3200,81.9500,82.1400,81.7727,3381412,0.0000,1.0000
2017-06-09,81.7500,82.9700,81.5700,82.9000,82.5293,2853163,0.0000,1.0000
2017-06-08,81.3500,81.8100,81.1800,81.6700,81.3048,2492105,0.0000,1.0000
2017-06-07,81.2900,81.4100,80.6400,81.3500,80.9862,2002414,0.0000,1.0000
2017-06-06,80.4500,81.6400,80.2600,81.0600,80.6975,1645854,0.0000,1.0000
2017-06-05,80.2500,80.8200,80.1800,80.6600,80.2993,1465326,0.0000,1.0000
2017-06-02,80.0900,80.8000,80.0900,80.5100,80.1499,1951440,0.0000,1.0000
2017-06-01,78.7800,80.0600,78.7800,80.0400,79.6820,2156959,0.0000,1.0000
2017-05-31,77.7800,78.9900,77.3500,78.9200,78.5671,3118819,0.0000,1.0000
2017-05-30,77.7200,77.9200,77.4000,77.6800,77.3326,1379259,0.0000,1.0000
2017-05-26,77.3100,78.0500,77.2100,77.8500,77.5018,1101591,0.0000,1.0000
2017-05-25,78.7600,78.9500,77.1300,77.3900,77.0439,1724340,0.0000,1.0000
2017-05-24,77.5000,78.5400,77.4800,78.3800,78.0295,2601033,0.0000,1.0000
2017-05-23,77.5700,77.9500,77.2700,77.3400,76.9941,2016710,0.0000,1.0000
2017-05-22,78.1200,78.6000,77.3100,77.3800,77.0339,2565840,0.0000,1.0000
2017-05-19,77.2100,78.5500,77.0900,77.8200,77.4720,2430468,0.0000,1.0000
2017-05-18,76.3000,77.4200,75.5000,77.0400,76.6955,2591122,0.0000,1.0000
2017-05-17,79.1000,79.1000,76.5000,76.5600,76.2176,2540286,0.0000,1.0000
2017-05-16,79.7000,79.8400,79.0600,79.1000,78.7463,1784268,0.0000,1.0000
2017-05-15,79.6000,80.4000,79.3100,79.4600,79.1046,2884822,0.0000,1.0000
2017-05-12,78.7900,79.3500,78.7700,79.3000,78.9454,1993034,0.0000,1.0000
2017-05-11,78.7100,79.1900,77.4400,78.9600,78.6069,2668317,0.3800,1.0000
2017-05-10,79.3900,79.6800,78.8300,79.1800,78.4484,3515195,0.0000,1.0000
2017-05-09,80.1700,80.5200,79.2300,79.4900,78.7555,2174855,0.0000,1.0000
2017-05-08,80.9900,80.9900,79.9500,80.2600,79.5184,2638006,0.0000,1.0000
2017-05-05,79.1600,81.2600,78.8500,81.1400,80.3902,5351425,0.0000,1.0000
2017-05-04,79.3000,79.3000,78.2200,78.7900,78.0620,4425938,0.0000,1.0000
2017-05-03,79.4600,79.7300,78.0800,79.0000,78.2700,4714000,0.0000,1.0000
2017-05-02,79.7600,80.0000,79.1600,79.9400,79.2013,2314645,0.0000,1.0000
2017-05-01,79.9100,80.0800,79.2600,79.4900,78.7555,1926806,0.0000,1.0000
2017-04-28,80.2000,80.2000,79.1700,79.7500,79.0131,1955327,0.0000,1.0000
2017-04-27,81.5900,81.5900,79.9500,80.1300,79.3896,3399861,0.0000,1.0000
2017-04-26,82.0100,82.2800,81.3800,81.6100,80.8559,2453192,0.0000,1.0000
2017-04-25,81.3200,82.3000,81.0100,82.2100,81.4504,3243319,0.0000,1.0000
2017-04-24,79.4200,80.0700,79.2400,79.3700,78.6366,2345907,0.0000,1.0000
2017-04-21,78.4100,78.8000,78.1200,78.6500,77.9233,2098744,0.0000,1.0000
2017-04-20,78.0800,79.0200,77.8500,78.2900,77.5666,2319182,0.0000,1.0000
2017-04-19,78.2100,78.2900,77.5100,77.7700,77.0514,2428549,0.0000,1.0000
2017-04-18,77.7100,78.2700,77.3900,77.8800,77.1604,2256698,0.0000,1.0000
2017-04-17,77.7200,78.1200,77.2700,78.0900,77.3684,2353739,0.0000,1.0000
2017-04-13,78.1700,78.2000,77.3400,77.4400,76.7244,2620307,0.0000,1.0000
2017-04-12,79.0100,79.3200,78.3000,78.4300,77.7053,1975800,0.0000,1.0000
2017-04-11,79.6100,79.9700,78.8900,79.1400,78.4087,1992299,0.0000,1.0000
2017-04-10,79.8900,80.1900,79.5700,80.0000,79.2608,2919806,0.0000,1.0000
2017-04-07,80.2500,80.5000,79.9200,80.0500,79.3103,1917738,0.0000,1.0000
2017-04-06,80.5900,81.1400,80.2200,80.6400,79.8949,1935111,0.0000,1.0000
2017-04-05,80.0200,81.5200,79.9500,80.4700,79.7264,4883313,0.0000,1.0000
2017-04-04,79.5900,79.8600,79.1100,79.8000,79.0626,3601118,0.0000,1.0000
