timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-10,166.7400,168.4400,164.1000,164.9400,164.9400,5473728,0.0000,1.0000
2018-01-09,162.0100,165.9800,161.5200,165.6000,165.6000,4278219,0.0000,1.0000
2018-01-08,160.0500,161.1800,158.9000,161.1100,161.1100,2682271,0.0000,1.0000
2018-01-05,159.8000,160.4700,156.5900,160.3200,160.3200,1547629,0.0000,1.0000
2018-01-04,159.2000,160.1050,157.3500,159.6400,159.6400,1743726,0.0000,1.0000
2018-01-03,157.8900,159.1000,157.6400,158.7300,158.7300,1383659,0.0000,1.0000
2018-01-02,156.6700,158.0600,156.5500,158.0100,158.0100,1852340,0.0000,1.0000
2017-12-29,157.9500,157.9900,156.4700,156.5100,156.5100,1229587,0.0000,1.0000
2017-12-28,158.4800,158.6600,157.3000,157.7000,157.7000,1221565,0.6000,1.0000
2017-12-27,158.6200,159.1000,158.2200,158.5800,157.9789,1736372,0.0000,1.0000
2017-12-26,157.9500,158.7600,156.8100,158.7500,158.1483,2389804,0.0000,1.0000
2017-12-22,155.8700,158.1000,155.1100,157.5300,156.9329,1710947,0.0000,1.0000
2017-12-21,154.8200,156.3000,154.2500,155.8600,155.2692,2145655,0.0000,1.0000
2017-12-20,154.7300,155.2400,154.0000,154.3700,153.7849,1429987,0.0000,1.0000
2017-12-19,154.4900,154.9800,152.0200,154.4800,153.8945,1796726,0.0000,1.0000
2017-12-18,152.7400,154.6700,152.4200,154.0400,153.4561,1799013,0.0000,1.0000
2017-12-15,151.1400,152.0000,150.5500,150.8700,150.2982,2320404,0.0000,1.0000
2017-12-14,152.4000,152.5800,149.3100,149.4400,148.8736,1420159,0.0000,1.0000
2017-12-13,151.6800,153.3400,151.2600,151.9500,151.3741,1602559,0.0000,1.0000
2017-12-12,151.2400,151.7100,150.3900,151.0700,150.4974,1631647,0.0000,1.0000
2017-12-11,150.8000,151.5800,150.5600,151.3300,150.7564,1428826,0.0000,1.0000
2017-12-08,151.8100,152.4600,151.0500,151.5800,151.0055,1041114,0.0000,1.0000
2017-12-07,149.1600,151.4800,149.0000,151.1100,150.5373,1432029,0.0000,1.0000
2017-12-06,150.5300,151.3800,149.4200,149.4500,148.8835,1404132,0.0000,1.0000
2017-12-05,151.6400,152.5400,150.2600,150.6700,150.0989,1790853,0.0000,1.0000
2017-12-04,151.9900,152.6800,150.9200,150.9700,150.3978,1833916,0.0000,1.0000
2017-12-01,150.2500,150.4900,146.9300,149.9400,149.3717,2022456,0.0000,1.0000
2017-11-30,148.9500,150.7500,148.0000,149.8600,149.2920,3726437,0.0000,1.0000
2017-11-29,148.9200,149.1990,147.1700,148.4400,147.8774,2421766,0.0000,1.0000
