timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,56.0000,57.9000,55.8700,57.8500,57.8500,1098793,0.0000,1.0000
2018-01-10,57.6800,58.9100,55.0900,55.8600,55.8600,1477749,0.0000,1.0000
2018-01-09,56.2100,59.6000,56.2100,57.8100,57.8100,2156101,0.0000,1.0000
2018-01-08,56.7300,56.7300,55.5500,55.8500,55.8500,758584,0.0000,1.0000
2018-01-05,56.5000,57.8400,54.7100,56.4800,56.4800,2419465,0.0000,1.0000
2018-01-04,54.2900,56.9200,54.1000,56.4100,56.4100,1217775,0.0000,1.0000
2018-01-03,55.1000,55.8050,53.7300,53.9700,53.9700,1471931,0.0000,1.0000
2018-01-02,53.0000,55.2000,52.8200,55.0100,55.0100,1134345,0.0000,1.0000
2017-12-29,53.0700,53.3100,52.4700,52.4700,52.4700,421082,0.0000,1.0000
2017-12-28,53.2100,53.2400,52.6300,52.9200,52.9200,527755,0.0000,1.0000
2017-12-27,52.0000,53.5100,51.5900,53.0000,53.0000,881043,0.0000,1.0000
2017-12-26,52.9400,53.2100,52.0800,52.1100,52.1100,652902,0.0000,1.0000
2017-12-22,52.6300,53.5900,52.5000,52.9500,52.9500,1142169,0.0000,1.0000
2017-12-21,55.1000,55.2500,53.1400,53.4900,53.4900,1394560,0.0000,1.0000
2017-12-20,54.6250,54.8100,53.6300,54.6100,54.6100,1166746,0.0000,1.0000
2017-12-19,55.6700,56.0100,53.2100,53.9200,53.9200,2370711,0.0000,1.0000
2017-12-18,52.2000,53.5100,51.5800,53.1100,53.1100,1903032,0.0000,1.0000
2017-12-15,49.3250,51.4300,49.0050,50.9500,50.9500,4276140,0.0000,1.0000
2017-12-14,48.7700,49.8400,47.1000,49.0000,49.0000,4819276,0.0000,1.0000
2017-12-13,50.6000,51.4200,49.4000,49.5500,49.5500,3814994,0.0000,1.0000
2017-12-12,49.9900,51.5300,49.5900,50.6800,50.6800,4548542,0.0000,1.0000
2017-12-11,50.7000,51.0900,50.0000,50.2600,50.2600,4630480,0.0000,1.0000
2017-12-08,52.0700,53.3300,50.7300,51.0000,51.0000,7325215,0.0000,1.0000
2017-12-07,54.1100,54.4100,52.0500,52.9100,52.9100,4022843,0.0000,1.0000
2017-12-06,55.8300,56.6100,53.6700,54.1300,54.1300,6288744,0.0000,1.0000
2017-12-05,51.5400,57.2500,50.0100,56.5000,56.5000,24670300,34.7667,1.0000
2017-12-04,103.5500,104.9900,101.7050,104.3000,64.5685,2734118,0.0000,1.0000
2017-12-01,104.1700,104.5200,101.4850,103.5100,64.0794,1845051,0.0000,1.0000
2017-11-30,102.6000,104.9900,101.2400,104.6700,64.7975,2212285,0.0000,1.0000
2017-11-29,102.2200,102.4500,101.3600,102.0500,63.1756,1282368,0.0000,1.0000
2017-11-28,101.0000,101.9600,100.6200,101.7200,62.9713,1214982,0.0000,1.0000
2017-11-27,101.0000,101.4700,100.4400,100.7700,62.3832,1115261,0.0000,1.0000
2017-11-24,100.7800,100.9800,100.2500,100.8600,62.4389,629568,0.0000,1.0000
2017-11-22,102.0000,102.5750,100.5100,100.7800,62.3894,2084348,0.0000,1.0000
2017-11-21,102.6800,102.7999,101.9100,102.0000,63.1446,1830559,0.0000,1.0000
2017-11-20,102.0000,102.9900,101.3106,102.1400,63.2313,2952032,0.0000,1.0000
2017-11-17,98.9200,99.2800,97.6700,98.7000,61.1017,1492700,0.0000,1.0000
2017-11-16,98.7500,99.7700,98.5300,99.2400,61.4360,1169873,0.0000,1.0000
2017-11-15,99.2800,99.8900,97.5510,98.1600,60.7674,2262349,0.0000,1.0000
2017-11-14,98.0100,100.2900,98.0100,100.2900,62.0860,3539668,0.0000,1.0000
2017-11-13,94.9800,95.9500,94.6700,95.5700,59.1640,2211288,0.0000,1.0000
2017-11-10,95.4900,96.3800,95.0800,95.2900,58.9907,1910505,0.0000,1.0000
2017-11-09,95.7200,96.2600,94.5600,95.5800,59.1702,1209884,0.0000,1.0000
2017-11-08,96.5100,97.2499,96.0200,96.3500,59.6469,1195780,0.0000,1.0000
2017-11-07,97.2800,97.8800,96.8700,97.2600,60.2103,1178393,0.2900,1.0000
2017-11-06,97.2900,97.9400,96.4200,97.2700,60.0374,1438292,0.0000,1.0000
2017-11-03,99.1700,99.2200,96.6400,96.8900,59.8029,2475755,0.0000,1.0000
2017-11-02,99.0500,99.9000,96.2403,99.3100,61.2966,3079304,0.0000,1.0000
2017-11-01,100.5000,101.1300,99.0900,99.3800,61.3398,1848890,0.0000,1.0000
2017-10-31,98.3000,99.5000,98.1600,99.3800,61.3398,1318449,0.0000,1.0000
2017-10-30,98.2400,98.4000,97.4400,98.2500,60.6423,1144646,0.0000,1.0000
2017-10-27,99.0500,99.0700,97.4000,98.7300,60.9386,1572689,0.0000,1.0000
2017-10-26,98.3000,99.5000,97.9000,99.0700,61.1484,1128195,0.0000,1.0000
2017-10-25,97.9800,98.2950,96.8300,97.4100,60.1239,968550,0.0000,1.0000
2017-10-24,98.1600,98.8500,97.8100,98.2700,60.6547,1060009,0.0000,1.0000
2017-10-23,97.4500,98.5600,97.1000,97.7700,60.3461,966125,0.0000,1.0000
2017-10-20,98.2400,98.5800,96.6700,96.8400,59.7720,1616368,0.0000,1.0000
2017-10-19,97.2400,97.7700,95.8300,97.6400,60.2658,1226954,0.0000,1.0000
2017-10-18,97.4500,97.8500,96.9200,97.7300,60.3214,1417457,0.0000,1.0000
2017-10-17,98.0000,98.1000,96.7900,97.2400,60.0189,1587680,0.0000,1.0000
2017-10-16,98.0000,98.0100,96.6800,97.9800,60.4757,2072619,0.0000,1.0000
2017-10-13,98.5700,98.9200,97.3800,97.4800,60.1671,1233956,0.0000,1.0000
2017-10-12,97.7900,98.3400,97.4700,98.1000,60.5497,1935043,0.0000,1.0000
2017-10-11,98.4100,99.9600,97.6000,99.2500,61.2595,2158614,0.0000,1.0000
2017-10-10,98.6400,99.3400,97.3700,98.6200,60.8707,2003495,0.0000,1.0000
2017-10-09,100.5200,100.9900,99.8700,100.1200,61.7965,949156,0.0000,1.0000
2017-10-06,101.9500,102.1300,100.3600,100.4500,62.0002,1361510,0.0000,1.0000
2017-10-05,102.6500,102.9300,101.3900,102.3100,63.1483,1825355,0.0000,1.0000
2017-10-04,99.6100,102.3100,99.6100,102.3100,63.1483,1651589,0.0000,1.0000
2017-10-03,100.5000,101.1264,99.4000,99.6200,61.4879,1646850,0.0000,1.0000
2017-10-02,98.4300,99.9500,98.0100,99.9500,61.6916,1503991,0.0000,1.0000
2017-09-29,97.7400,99.3100,97.6300,98.4000,60.7349,2296120,0.0000,1.0000
2017-09-28,98.4900,99.3400,96.5350,97.7400,60.3275,3847866,0.0000,1.0000
2017-09-27,103.7400,103.9700,98.2800,98.7800,60.9694,4822012,0.0000,1.0000
2017-09-26,103.5000,104.0900,102.8000,103.1100,63.6420,2262349,0.0000,1.0000
2017-09-25,102.7600,103.6590,102.4000,103.4500,63.8519,2100386,0.0000,1.0000
2017-09-22,101.0300,102.9500,100.9300,102.7800,63.4383,1283509,0.0000,1.0000
2017-09-21,101.4100,101.4100,100.5700,101.0400,62.3644,1042808,0.0000,1.0000
2017-09-20,101.1400,101.5700,100.2800,101.1500,62.4323,1129740,0.0000,1.0000
2017-09-19,100.8400,101.2800,99.9900,100.9000,62.2780,1437280,0.0000,1.0000
2017-09-18,100.4200,100.8300,99.7600,100.5700,62.0743,1363019,0.0000,1.0000
2017-09-15,97.9100,100.4999,97.9100,100.1900,61.8397,2169492,0.0000,1.0000
2017-09-14,98.0700,98.8258,97.2700,97.8900,60.4201,1819412,0.0000,1.0000
2017-09-13,97.8000,98.3100,97.4400,97.9900,60.4818,1096159,0.0000,1.0000
2017-09-12,97.8800,98.0700,97.3900,97.7900,60.3584,1419037,0.0000,1.0000
2017-09-11,97.3300,97.9800,96.7950,97.4900,60.1732,1369112,0.0000,1.0000
2017-09-08,96.8700,97.1700,95.8100,96.6600,59.6609,1255542,0.0000,1.0000
2017-09-07,96.9300,97.1200,96.1300,96.8700,59.7905,1295809,0.0000,1.0000
2017-09-06,97.2100,97.4700,96.3000,96.7300,59.7041,1315170,0.0000,1.0000
2017-09-05,97.5000,98.2700,96.4000,96.5900,59.6177,1304190,0.0000,1.0000
2017-09-01,96.5900,98.0000,96.5300,97.6200,60.2535,1054439,0.0000,1.0000
2017-08-31,95.5700,96.6700,95.2550,96.4000,59.5005,1686230,0.0000,1.0000
2017-08-30,94.3000,95.0800,94.0200,95.0500,58.6672,809226,0.0000,1.0000
2017-08-29,93.7800,94.4800,93.5900,94.2600,58.1796,859021,0.0000,1.0000
2017-08-28,94.5200,94.8300,93.9500,94.4900,58.3216,966671,0.0000,1.0000
2017-08-25,95.4400,95.4400,94.1700,94.2600,58.1796,853406,0.0000,1.0000
2017-08-24,94.5300,95.1600,94.0400,94.5300,58.3462,1264283,0.0000,1.0000
2017-08-23,93.5400,94.5400,93.3900,94.1900,58.1364,827107,0.0000,1.0000
2017-08-22,93.0000,94.6100,93.0000,94.1800,58.1302,957505,0.0000,1.0000
2017-08-21,92.5300,93.2000,92.0010,92.9100,57.3463,806669,0.0000,1.0000
2017-08-18,92.1400,92.6700,91.4600,92.2700,56.9513,1561887,0.0000,1.0000
2017-08-17,93.4700,93.9550,92.4200,92.4200,57.0439,1902174,0.0000,1.0000
2017-08-16,93.9400,94.4400,93.7600,94.1000,58.0808,1220165,0.0000,1.0000
2017-08-15,93.5400,93.8950,92.8100,93.3400,57.6117,1041553,0.0000,1.0000
2017-08-14,93.3100,93.7900,93.0779,93.4900,57.7043,988966,0.0000,1.0000
2017-08-11,91.4500,92.5500,91.0700,92.3400,56.9945,1482882,0.0000,1.0000
2017-08-10,92.2000,92.5000,90.7300,91.1500,56.2600,2305646,0.0000,1.0000
2017-08-09,93.4200,94.2100,92.2800,92.8000,57.2784,1701979,0.0000,1.0000
2017-08-08,93.3200,94.6300,93.2400,93.9200,57.9697,1468391,0.0000,1.0000
2017-08-07,93.0900,93.7800,92.3300,93.4700,57.6920,1619564,0.2900,1.0000
2017-08-04,93.2000,93.4400,92.4900,93.1900,57.3413,1441610,0.0000,1.0000
2017-08-03,91.2400,93.6200,91.2000,92.8600,57.1382,2785235,0.0000,1.0000
2017-08-02,87.1200,91.0700,86.9500,91.0200,56.0060,2681574,0.0000,1.0000
2017-08-01,90.7300,90.7700,88.5800,89.8300,55.2738,2472146,0.0000,1.0000
2017-07-31,90.4500,91.1190,89.8800,90.4200,55.6368,2003108,0.0000,1.0000
2017-07-28,90.2400,90.5200,89.7000,89.9500,55.3476,1309617,0.0000,1.0000
2017-07-27,91.0200,91.2800,89.6904,90.5100,55.6922,1551070,0.0000,1.0000
2017-07-26,90.6700,91.4300,89.8900,90.6700,55.7907,1788263,0.0000,1.0000
2017-07-25,91.3800,91.3800,90.5100,90.9300,55.9506,1706025,0.0000,1.0000
2017-07-24,90.8900,91.1900,90.2800,90.5000,55.6861,1869053,0.0000,1.0000
2017-07-21,91.6400,91.7300,89.8100,90.9300,55.9506,1727080,0.0000,1.0000
2017-07-20,93.4000,93.4300,92.4500,93.1000,57.2859,1309130,0.0000,1.0000
2017-07-19,91.7900,92.9500,91.4300,92.8900,57.1567,1386195,0.0000,1.0000
2017-07-18,92.0000,92.1100,90.9400,91.6100,56.3691,1289209,0.0000,1.0000
2017-07-17,91.6800,92.2000,91.0700,91.9300,56.5660,1441309,0.0000,1.0000
2017-07-14,91.8500,91.9100,90.5900,91.4300,56.2583,1957396,0.0000,1.0000
2017-07-13,92.6000,93.2200,91.6100,91.7800,56.4737,1898390,0.0000,1.0000
2017-07-12,92.2300,93.4300,92.2300,92.6000,56.9782,1911450,0.0000,1.0000
2017-07-11,90.9200,92.4600,90.0700,91.7700,56.4675,2122359,0.0000,1.0000
2017-07-10,89.1700,91.1500,88.9203,90.9300,55.9506,1870765,0.0000,1.0000
2017-07-07,86.8000,89.3400,86.5700,89.1200,54.8369,1612660,0.0000,1.0000
2017-07-06,87.5100,88.0186,86.4700,86.7300,53.3663,1166280,0.0000,1.0000
2017-07-05,87.7900,88.1410,86.7700,87.9000,54.0862,1475791,0.0000,1.0000
2017-07-03,88.2800,89.1800,87.7200,87.8000,54.0247,676846,0.0000,1.0000
2017-06-30,87.1200,88.0900,86.9600,87.6500,53.9324,1568587,0.0000,1.0000
2017-06-29,86.9400,87.3100,85.5300,86.4300,53.1817,1479866,0.0000,1.0000
2017-06-28,87.0300,87.6200,86.5200,87.0100,53.5386,1805208,0.0000,1.0000
2017-06-27,85.6700,86.7700,85.6700,86.4900,53.2186,3242008,0.0000,1.0000
2017-06-26,86.0300,87.0700,85.9900,86.5400,53.2494,1141240,0.0000,1.0000
2017-06-23,85.7900,86.5700,85.3300,86.0300,52.9356,1087249,0.0000,1.0000
2017-06-22,85.6500,86.0900,84.9300,85.7500,52.7633,1080160,0.0000,1.0000
2017-06-21,85.6300,86.3300,85.3500,85.8100,52.8002,1223496,0.0000,1.0000
2017-06-20,85.9400,86.2100,84.1800,84.3200,51.8834,1616912,0.0000,1.0000
2017-06-19,85.2300,86.6200,85.0550,86.5000,53.2248,1467942,0.0000,1.0000
2017-06-16,85.5800,85.8700,84.2000,85.0100,52.3080,2361364,0.0000,1.0000
2017-06-15,85.9500,86.4700,85.2400,85.9100,52.8618,1270057,0.0000,1.0000
2017-06-14,86.9400,87.0800,85.7600,85.9300,52.8741,899007,0.0000,1.0000
2017-06-13,85.8100,86.6300,84.8300,86.6200,53.2986,1825372,0.0000,1.0000
2017-06-12,85.6300,85.9498,84.3900,85.1600,52.4003,1922967,0.0000,1.0000
2017-06-09,86.1600,86.8300,85.3500,85.6900,52.7264,1969069,0.0000,1.0000
2017-06-08,87.3100,87.8231,85.8400,86.0300,52.9356,3022036,0.0000,1.0000
2017-06-07,88.8500,90.0500,87.8000,88.2000,54.2708,1525051,0.0000,1.0000
2017-06-06,87.9600,89.1900,87.3400,88.8500,54.6708,1801739,0.0000,1.0000
2017-06-05,88.9500,89.0000,87.7100,88.1300,54.2278,1631522,0.0000,1.0000
2017-06-02,89.4200,89.7300,88.6000,89.0400,54.7877,2280430,0.0000,1.0000
2017-06-01,88.8400,89.9300,88.0300,89.1800,54.8738,2551976,0.0000,1.0000
2017-05-31,86.6600,88.1550,86.1700,87.9700,54.1293,2195183,0.0000,1.0000
2017-05-30,87.1500,87.4800,86.6000,86.6000,53.2863,1232404,0.0000,1.0000
2017-05-26,86.8700,87.9900,86.3900,87.5000,53.8401,1003136,0.0000,1.0000
2017-05-25,86.7500,88.0000,85.8750,86.6300,53.3048,1130805,0.0000,1.0000
2017-05-24,86.4300,86.5700,85.8200,86.5100,53.2309,1232306,0.0000,1.0000
2017-05-23,87.0600,87.3600,86.2900,86.4000,53.1633,1150027,0.0000,1.0000
2017-05-22,86.4000,87.4600,86.1300,87.1000,53.5940,1510528,0.0000,1.0000
2017-05-19,85.6100,86.3300,85.2400,85.9000,52.8556,1650690,0.0000,1.0000
2017-05-18,84.9000,85.5100,83.5300,85.1300,52.3818,2462562,0.0000,1.0000
2017-05-17,86.2200,87.1000,85.0600,85.2000,52.4249,2419007,0.0000,1.0000
2017-05-16,87.2900,87.6200,86.5300,87.0600,53.5694,2302138,0.0000,1.0000
2017-05-15,86.9400,87.4300,86.4800,86.7000,53.3479,1916540,0.0000,1.0000
2017-05-12,86.8000,87.2800,86.2900,86.6900,53.3417,2214230,0.0000,1.0000
2017-05-11,87.5800,87.8900,86.5600,86.8700,53.4525,2667091,0.0000,1.0000
2017-05-10,88.3700,88.5500,87.3000,87.7600,54.0001,1662350,0.0000,1.0000
2017-05-09,87.6300,88.7200,87.2900,88.2700,54.3139,1937027,0.0000,1.0000
2017-05-08,87.3800,88.2400,86.9350,87.4100,53.7847,2499467,0.2900,1.0000
2017-05-05,88.2000,88.3450,87.0800,87.7000,53.7847,3117425,0.0000,1.0000
2017-05-04,86.9000,89.5809,86.7800,88.0600,54.0055,4423274,0.0000,1.0000
2017-05-03,84.6500,88.3500,84.0200,87.0100,53.3616,118397,0.0000,1.0000
2017-05-02,80.0500,80.4050,77.2400,78.4500,48.1119,2928465,0.0000,1.0000
2017-05-01,80.4100,80.8900,79.7900,80.0000,49.0625,1345344,0.0000,1.0000
2017-04-28,80.0400,80.4850,79.1400,80.4000,49.3078,1610114,0.0000,1.0000
2017-04-27,80.3100,80.3900,79.2500,79.9600,49.0379,1685932,0.0000,1.0000
2017-04-26,79.2400,80.3900,78.0700,79.2500,48.6025,2175394,0.0000,1.0000
2017-04-25,80.4300,80.7400,79.1200,79.4200,48.7068,1933670,0.0000,1.0000
2017-04-24,77.8600,79.7400,77.7824,79.2500,48.6025,2619181,0.0000,1.0000
2017-04-21,77.6000,77.7250,76.6000,76.6000,46.9773,1532163,0.0000,1.0000
2017-04-20,76.1100,78.1100,76.1100,77.9000,47.7746,2289422,0.0000,1.0000
2017-04-19,75.0500,75.8500,74.7600,75.3700,46.2230,1440646,0.0000,1.0000
2017-04-18,74.2000,74.5300,73.4600,74.3500,45.5974,1214475,0.0000,1.0000
2017-04-17,73.8100,74.7100,73.7400,74.7100,45.8182,1349177,0.0000,1.0000
2017-04-13,74.2500,74.7800,73.7400,73.7500,45.2295,1150896,0.0000,1.0000
2017-04-12,74.9100,75.1300,74.0900,74.2800,45.5545,2812047,0.0000,1.0000
2017-04-11,75.5000,75.8500,74.1100,74.9100,45.9409,1911823,0.0000,1.0000
2017-04-10,75.1400,76.2100,75.1110,75.5300,46.3211,1099143,0.0000,1.0000
2017-04-07,75.0700,75.3400,74.1000,75.1400,46.0819,1537637,0.0000,1.0000
2017-04-06,75.0000,75.6700,74.6000,75.1200,46.0697,2094308,0.0000,1.0000
2017-04-05,76.6400,77.8000,75.0700,75.0900,46.0513,2510821,0.0000,1.0000
2017-04-04,77.7600,77.9950,75.8700,75.9800,46.5971,3037510,0.0000,1.0000
2017-04-03,80.7300,80.8200,76.8250,78.2500,47.9892,2432892,0.0000,1.0000
2017-03-31,80.8300,81.1500,80.3300,80.4900,49.3630,1737513,0.0000,1.0000
2017-03-30,80.4200,81.0475,80.0900,81.0000,49.6758,1000232,0.0000,1.0000
2017-03-29,80.5800,81.0100,80.0000,80.4900,49.3630,780724,0.0000,1.0000
2017-03-28,79.4900,81.1200,79.2150,80.3800,49.2955,1264353,0.0000,1.0000
2017-03-27,78.1600,79.5300,77.4000,79.4500,48.7252,1548013,0.0000,1.0000
2017-03-24,78.8000,79.5800,78.4800,78.9000,48.3879,1580449,0.0000,1.0000
