timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,119.9100,120.9300,119.6200,119.9100,119.9100,322873,0.0000,1.0000
2018-01-16,120.3700,120.6400,118.4300,119.4200,119.4200,224300,0.0000,1.0000
<!DOCTYPE html>\n\t<html>\n\t  <head>\n\t\t<meta name="viewport" content="width=device-width, initial-scale=1">\n\t\t<meta charset="utf-8">\n\t\t<title>Application Error</title>\n\t\t<style media="screen">\n\t\t  html,body,iframe {\n\t\t\tmargin: 0;\n\t\t\tpadding: 0;\n\t\t  }\n\t\t  html,body {\n\t\t\theight: 100%;\n\t\t\toverflow: hidden;\n\t\t  }\n\t\t  iframe {\n\t\t\twidth: 100%;\n\t\t\theight: 100%;\n\t\t\tborder: 0;\n\t\t  }\n\t\t</style>\n\t  </head>\n\t  <body>\n\t\t<iframe src="//www.herokucdn.com/error-pages/application-error.html"></iframe>\n\t  </body>\n\t</html>
2018-01-12,120.2800,120.8500,119.7000,119.9600,119.9600,190819,0.0000,1.0000
2018-01-11,119.8800,121.0500,119.7700,120.3300,120.3300,254491,0.0000,1.0000
2018-01-10,120.0000,120.2300,119.1350,119.8600,119.8600,191851,0.0000,1.0000
2018-01-09,119.6600,120.5750,119.4300,120.0200,120.0200,214071,0.0000,1.0000
2018-01-08,119.8000,120.5600,119.2900,119.5800,119.5800,249554,0.0000,1.0000
2018-01-05,118.9700,119.8600,118.6800,119.7700,119.7700,220884,0.0000,1.0000
2018-01-04,118.5500,119.2500,117.9700,118.4600,118.4600,343367,0.0000,1.0000
2018-01-03,118.1200,118.7700,117.5600,118.3300,118.3300,312433,0.0000,1.0000
2018-01-02,118.7500,118.8100,117.5400,117.7900,117.7900,187880,0.0000,1.0000
2017-12-29,118.5900,119.5200,117.8100,118.4100,118.4100,242647,0.0000,1.0000
2017-12-28,118.2700,118.5800,117.8300,118.0000,118.0000,177873,0.0000,1.0000
2017-12-27,119.8700,119.9500,117.4000,118.2000,118.2000,374797,0.0000,1.0000
2017-12-26,119.6000,120.2350,119.0100,119.6000,119.6000,107482,0.0000,1.0000
2017-12-22,120.0500,120.2800,118.9350,119.7800,119.7800,262122,0.0000,1.0000
2017-12-21,120.5300,121.0000,119.5000,119.5600,119.5600,172837,0.0000,1.0000
2017-12-20,119.2100,120.9800,119.0000,120.2200,120.2200,303534,0.0000,1.0000
2017-12-19,120.0000,120.8800,117.8400,118.6900,118.6900,440141,0.0000,1.0000
2017-12-18,120.8900,121.8050,119.7000,119.8500,119.8500,260554,0.0000,1.0000
2017-12-15,121.2300,121.2500,119.9700,120.3300,120.3300,977722,0.0000,1.0000
2017-12-14,120.3400,121.1800,119.7000,119.8900,119.8900,212158,0.0000,1.0000
2017-12-13,121.3200,121.9500,120.0700,120.2000,120.2000,201316,0.0000,1.0000
2017-12-12,121.2800,121.5900,120.8900,120.9200,120.9200,224441,0.0000,1.0000
2017-12-11,121.3700,123.1600,120.4100,120.6900,120.6900,155935,0.0000,1.0000
2017-12-08,121.8400,121.8400,120.9300,121.3300,121.3300,189918,0.0000,1.0000
2017-12-07,120.6100,122.3800,120.6100,121.4200,121.4200,236405,0.0000,1.0000
2017-12-06,122.0500,122.5700,119.9900,120.4400,120.4400,203680,0.0000,1.0000
2017-12-05,122.3000,123.6500,121.9500,122.0500,122.0500,235138,0.0000,1.0000
2017-12-04,123.6400,124.4700,122.5100,122.5900,122.5900,209494,0.0000,1.0000
2017-12-01,123.1900,123.3000,120.8000,122.7600,122.7600,120926,0.0000,1.0000
2017-11-30,121.9100,123.4600,121.4000,123.1100,123.1100,225959,0.0000,1.0000
2017-11-29,122.2200,122.9199,121.2100,121.3700,121.3700,137572,0.0000,1.0000
2017-11-28,120.7600,122.0500,120.0850,121.9700,121.9700,120633,0.0000,1.0000
2017-11-27,120.6600,121.4700,119.8800,120.6500,120.6500,133877,0.0000,1.0000
2017-11-24,120.4900,120.9900,118.7200,120.3500,120.3500,52850,0.0000,1.0000
2017-11-22,120.9100,121.4300,120.2900,120.7100,120.7100,155838,0.0000,1.0000
2017-11-21,120.7300,121.8100,120.4200,120.6800,120.6800,177810,0.5025,1.0000
2017-11-20,119.2100,121.0300,119.2100,120.8600,120.3588,205696,0.0000,1.0000
2017-11-17,117.7300,119.4900,117.7300,119.2700,118.7754,163696,0.0000,1.0000
2017-11-16,117.0100,118.4500,117.0100,117.8700,117.3812,218811,0.0000,1.0000
2017-11-15,115.8200,117.0200,113.7600,116.5200,116.0368,157144,0.0000,1.0000
2017-11-14,116.4300,117.5400,116.0800,116.1800,115.6982,186646,0.0000,1.0000
2017-11-13,116.5000,117.8000,115.8900,116.5300,116.0468,220022,0.0000,1.0000
2017-11-10,114.7000,115.3000,114.0000,114.6200,114.1447,114647,0.0000,1.0000
2017-11-09,113.9400,115.2200,113.2800,114.9700,114.4933,174751,0.0000,1.0000
2017-11-08,113.4300,114.9500,112.4300,114.2500,113.7762,201814,0.0000,1.0000
2017-11-07,115.3000,115.3400,113.5400,113.5500,113.0791,150213,0.0000,1.0000
2017-11-06,113.5500,115.4800,113.1400,115.0400,114.5630,283032,0.0000,1.0000
2017-11-03,112.4800,114.2800,112.3600,113.9800,113.5074,308260,0.0000,1.0000
2017-11-02,107.7200,113.7000,107.2600,112.9500,112.4816,625521,0.0000,1.0000
2017-11-01,117.3900,117.3900,115.6900,115.9400,115.4592,299689,0.0000,1.0000
2017-10-31,117.7100,118.2900,116.6800,116.8300,116.3455,270936,0.0000,1.0000
2017-10-30,117.9900,118.3300,117.4500,117.7100,117.2219,203731,0.0000,1.0000
2017-10-27,118.1800,118.8500,117.0800,118.2500,117.7597,166437,0.0000,1.0000
2017-10-26,116.2000,119.0400,115.3100,118.5800,118.0883,228128,0.0000,1.0000
2017-10-25,116.5100,116.5700,115.0500,116.1800,115.6982,158351,0.0000,1.0000
2017-10-24,117.2400,117.6500,116.0300,116.5100,116.0269,177269,0.0000,1.0000
2017-10-23,118.1900,118.4300,116.7600,117.2800,116.7937,260085,0.0000,1.0000
2017-10-20,118.5700,118.8800,117.9900,118.1300,117.6402,210512,0.0000,1.0000
2017-10-19,118.7600,118.9400,117.0500,118.2100,117.7198,277241,0.0000,1.0000
2017-10-18,119.9700,120.7800,118.6800,118.8400,118.3472,242448,0.0000,1.0000
2017-10-17,120.3800,120.4700,119.5400,119.9900,119.4924,217169,0.0000,1.0000
2017-10-16,119.8100,120.3600,119.6200,120.2900,119.7912,239936,0.0000,1.0000
2017-10-13,119.4300,120.4800,118.6700,120.0200,119.5223,191207,0.0000,1.0000
2017-10-12,118.3800,119.2300,117.6000,118.9400,118.4468,166949,0.0000,1.0000
2017-10-11,117.9700,118.3600,117.7300,118.2700,117.7796,279280,0.0000,1.0000
2017-10-10,118.1300,118.5600,117.8300,118.0000,117.5107,174154,0.0000,1.0000
2017-10-09,118.1700,118.2700,117.5300,117.9600,117.4709,170832,0.0000,1.0000
2017-10-06,118.1200,118.4200,117.5400,117.9700,117.4808,346180,0.0000,1.0000
2017-10-05,118.5000,119.0000,117.8500,118.3000,117.8095,232875,0.0000,1.0000
2017-10-04,118.6000,118.8200,117.4900,118.3500,117.8592,213760,0.0000,1.0000
2017-10-03,118.2100,118.9300,117.3100,118.7600,118.2675,155580,0.0000,1.0000
2017-10-02,116.5300,118.3200,116.0200,118.1300,117.6402,191996,0.0000,1.0000
2017-09-29,116.3100,117.2300,115.5800,116.4100,115.9273,213528,0.0000,1.0000
2017-09-28,114.7800,116.3600,114.3000,116.3600,115.8775,230475,0.0000,1.0000
2017-09-27,114.3700,115.3000,113.8500,114.9200,114.4435,212277,0.0000,1.0000
2017-09-26,114.6600,115.0800,113.0300,114.1500,113.6767,257996,0.0000,1.0000
2017-09-25,113.6100,114.9000,112.9200,114.5800,114.1049,312471,0.0000,1.0000
2017-09-22,112.3200,113.5700,111.7700,113.5100,113.0393,239782,0.0000,1.0000
2017-09-21,112.5200,112.5200,111.7500,112.0300,111.5655,178680,0.0000,1.0000
2017-09-20,110.9900,112.2700,110.8700,112.1700,111.7049,259020,0.0000,1.0000
2017-09-19,111.0400,111.1300,109.8100,110.9100,110.4501,181306,0.0000,1.0000
2017-09-18,109.9500,111.0400,109.6800,111.0300,110.5696,149754,0.0000,1.0000
2017-09-15,109.0900,109.8000,109.0400,109.7400,109.2849,208071,0.0000,1.0000
2017-09-14,110.9100,110.9100,108.7400,109.4000,108.9464,370762,0.0000,1.0000
