timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,104.4500,104.5200,103.5200,104.0900,104.0900,1296686,0.0000,1.0000
2018-01-16,104.1500,104.6600,102.9700,104.1400,104.1400,2154700,0.0000,1.0000
2018-01-12,104.9200,104.9200,103.2200,103.9200,103.9200,1296356,0.0000,1.0000
2018-01-11,104.7100,105.1100,103.6800,103.9300,103.9300,943649,0.0000,1.0000
2018-01-10,105.3900,105.5600,103.8400,104.6400,104.6400,2099245,0.0000,1.0000
2018-01-09,106.5500,106.9700,105.5200,105.6800,105.6800,867065,0.0000,1.0000
2018-01-08,106.3600,107.0400,106.1500,106.9800,106.9800,681640,0.0000,1.0000
2018-01-05,106.7100,106.8800,105.5900,106.2000,106.2000,1230022,0.0000,1.0000
2018-01-04,107.6100,108.4950,106.2200,106.3000,106.3000,923205,0.0000,1.0000
2018-01-03,108.2700,109.1000,107.3400,108.1000,108.1000,1146518,0.0000,1.0000
2018-01-02,109.6800,110.4900,108.3500,108.4500,108.4500,988672,0.0000,1.0000
2017-12-29,109.7600,110.1000,109.1800,109.4600,109.4600,632548,0.0000,1.0000
2017-12-28,108.9500,109.6800,108.7900,109.6100,109.6100,805861,0.0000,1.0000
2017-12-27,108.3300,108.7500,108.1400,108.7400,108.7400,457325,0.0000,1.0000
2017-12-26,108.5100,109.2600,108.0800,108.1300,108.1300,602879,0.0000,1.0000
2017-12-22,108.4100,108.8900,108.1500,108.7200,108.7200,692504,0.0000,1.0000
2017-12-21,107.7200,108.6200,107.5800,108.2500,108.2500,706546,0.0000,1.0000
2017-12-20,109.0100,109.6400,108.2000,108.2500,108.2500,791140,0.0000,1.0000
2017-12-19,111.1600,111.3100,108.9500,109.0100,109.0100,928239,0.0000,1.0000
2017-12-18,113.2900,113.6900,110.8100,111.1600,111.1600,931724,0.0000,1.0000
2017-12-15,113.6100,114.0000,112.7000,113.2300,113.2300,1636719,0.8825,1.0000
2017-12-14,113.2800,114.1700,112.7600,113.6200,112.7413,754801,0.0000,1.0000
2017-12-13,114.1400,114.4830,113.6400,113.8200,112.9398,793557,0.0000,1.0000
2017-12-12,116.0000,116.2900,113.9300,114.0100,113.1283,1051787,0.0000,1.0000
2017-12-11,115.2800,116.0596,114.8000,115.9900,115.0930,674918,0.0000,1.0000
2017-12-08,114.8200,115.5500,114.5200,115.4900,114.5968,1304192,0.0000,1.0000
2017-12-07,114.9500,115.0900,114.4600,115.0700,114.1801,884596,0.0000,1.0000
2017-12-06,114.6800,115.1500,114.1200,115.0000,114.1106,1065428,0.0000,1.0000
2017-12-05,115.4400,115.5950,113.2400,114.3500,113.4657,891566,0.0000,1.0000
2017-12-04,115.5200,116.7400,114.9400,115.5300,114.6365,1269153,0.0000,1.0000
2017-12-01,116.0000,116.4000,114.6200,115.2100,114.3190,673516,0.0000,1.0000
2017-11-30,114.6800,115.8500,114.1600,115.5700,114.6762,1112754,0.0000,1.0000
2017-11-29,114.1100,115.4400,113.7500,114.5600,113.6740,1044878,0.0000,1.0000
2017-11-28,113.8700,114.3600,113.6000,114.3400,113.4557,652538,0.0000,1.0000
2017-11-27,112.5000,113.8700,112.5000,113.6400,112.7612,1483941,0.0000,1.0000
2017-11-24,112.8300,113.4050,112.6100,112.6500,111.7788,181970,0.0000,1.0000
2017-11-22,112.6200,112.9450,112.2000,112.6200,111.7490,1040007,0.0000,1.0000
2017-11-21,112.6400,112.7800,112.2900,112.6400,111.7689,717418,0.0000,1.0000
2017-11-20,112.9800,113.3500,112.0000,112.2300,111.3621,739178,0.0000,1.0000
2017-11-17,113.6400,114.0800,112.5500,112.9200,112.0467,968891,0.0000,1.0000
2017-11-16,114.4900,114.6700,113.8500,113.9900,113.1084,811617,0.0000,1.0000
2017-11-15,115.8300,116.2100,114.3900,114.4700,113.5847,720248,0.0000,1.0000
2017-11-14,113.8200,115.7000,113.6800,115.5800,114.6862,700434,0.0000,1.0000
2017-11-13,112.7200,114.3300,112.5000,114.2400,113.3565,1062761,0.0000,1.0000
2017-11-10,112.7500,112.9400,112.1900,112.4500,111.5804,632372,0.0000,1.0000
2017-11-09,112.9400,113.5300,112.8100,113.2200,112.3444,528370,0.0000,1.0000
2017-11-08,112.6400,113.3800,112.4300,113.1900,112.3146,744111,0.0000,1.0000
2017-11-07,111.7100,113.0500,111.3500,112.8100,111.9376,841454,0.0000,1.0000
2017-11-06,111.3200,112.2200,110.3300,111.5800,110.7171,1032082,0.0000,1.0000
2017-11-03,110.6300,112.1100,110.5100,110.9000,110.0423,1324799,0.0000,1.0000
2017-11-02,110.4200,111.0200,109.9400,110.8000,109.9431,1679542,0.0000,1.0000
