timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,135.2800,137.0600,135.1100,137.0300,137.0300,1563354,0.0000,1.0000
2018-01-10,136.5200,136.5200,134.6300,135.1200,135.1200,881043,0.0000,1.0000
2018-01-09,136.6200,137.4100,136.3700,136.6600,136.6600,887439,0.0000,1.0000
2018-01-08,136.6400,137.0000,136.0450,136.7000,136.7000,1099850,0.0000,1.0000
2018-01-05,135.9000,137.2700,135.2000,137.1800,137.1800,1047694,0.0000,1.0000
2018-01-04,135.7200,136.8200,135.5500,136.4700,136.4700,722319,0.0000,1.0000
2018-01-03,134.7300,135.4900,134.0000,135.3700,135.3700,762235,0.0000,1.0000
2018-01-02,134.2000,134.8000,133.4136,134.5000,134.5000,940746,0.0000,1.0000
2017-12-29,135.0300,135.5100,134.1800,134.1800,134.1800,611072,0.0000,1.0000
2017-12-28,134.5200,134.6200,133.8100,134.5300,134.5300,861235,0.0000,1.0000
2017-12-27,133.9900,134.5600,133.5600,134.1000,134.1000,702621,0.0000,1.0000
2017-12-26,133.9900,134.2500,133.5204,133.7000,133.7000,324320,0.0000,1.0000
2017-12-22,133.6400,134.1900,133.2200,133.9700,133.9700,655617,0.0000,1.0000
2017-12-21,134.4150,134.8800,133.4100,133.5100,133.5100,1563199,0.0000,1.0000
2017-12-20,135.7000,135.7900,134.0200,134.0800,134.0800,1238059,0.0000,1.0000
2017-12-19,136.1500,136.2600,134.8400,135.0900,135.0900,867254,0.0000,1.0000
2017-12-18,135.4600,136.2995,135.1850,135.8400,135.8400,1475715,0.4100,1.0000
2017-12-15,134.7100,135.4900,134.2900,135.1900,134.7832,1388445,0.0000,1.0000
2017-12-14,134.9100,135.4700,134.3500,134.3700,133.9657,977825,0.0000,1.0000
2017-12-13,135.0100,135.7400,134.5500,135.0000,134.5938,784381,0.0000,1.0000
2017-12-12,134.7000,134.9000,133.7600,134.8500,134.4442,1143601,0.0000,1.0000
2017-12-11,135.8000,136.0000,134.4600,134.6700,134.2648,1485550,0.0000,1.0000
2017-12-08,136.5800,136.5800,135.0800,135.3300,134.9228,857333,0.0000,1.0000
2017-12-07,136.5200,137.0300,135.5400,135.9200,135.5110,937790,0.0000,1.0000
2017-12-06,137.2900,137.5600,136.6150,136.8800,136.4681,1018117,0.0000,1.0000
2017-12-05,137.4300,137.9550,137.1000,137.4200,137.0065,1154370,0.0000,1.0000
2017-12-04,135.4800,137.7900,135.0701,137.2600,136.8470,1509106,0.0000,1.0000
2017-12-01,136.4500,136.6200,133.9610,134.8900,134.4841,1019216,0.0000,1.0000
2017-11-30,135.2300,136.7800,135.1500,135.9200,135.5110,1453220,0.0000,1.0000
2017-11-29,134.2700,135.0700,133.6400,135.0000,134.5938,897673,0.0000,1.0000
2017-11-28,133.4700,134.2500,133.4700,134.2500,133.8460,1825561,0.0000,1.0000
2017-11-27,132.9700,133.5850,132.5900,132.8100,132.4104,880210,0.0000,1.0000
2017-11-24,133.2900,133.5500,132.6600,132.8600,132.4602,281941,0.0000,1.0000
2017-11-22,132.8600,133.6095,132.2250,132.9900,132.5898,1328452,0.0000,1.0000
2017-11-21,132.6200,133.2500,132.1537,132.4500,132.0514,1056487,0.0000,1.0000
2017-11-20,131.2800,132.7000,131.0700,132.1300,131.7324,1222422,0.0000,1.0000
2017-11-17,131.5800,131.9500,130.8350,131.4500,131.0544,1421562,0.0000,1.0000
2017-11-16,130.5200,132.5300,130.3600,131.9900,131.5928,1399179,0.0000,1.0000
2017-11-15,131.2000,131.3500,130.1200,130.2300,129.8381,1099824,0.0000,1.0000
2017-11-14,131.1800,131.9700,130.2400,131.4000,131.0046,1356659,0.0000,1.0000
2017-11-13,130.2200,131.8000,129.8000,131.6400,131.2439,1064751,0.0000,1.0000
2017-11-10,129.8200,130.6300,129.2500,130.3000,129.9079,1269887,0.0000,1.0000
2017-11-09,130.4300,130.6700,129.5100,130.2500,129.8581,825422,0.0000,1.0000
2017-11-08,130.9500,131.3500,130.1100,130.3900,129.9976,1012077,0.0000,1.0000
2017-11-07,131.5800,132.1000,130.5750,130.9500,130.5559,957421,0.0000,1.0000
2017-11-06,131.2000,132.8900,131.1600,131.9100,131.5131,710608,0.0000,1.0000
2017-11-03,131.2300,132.4100,130.8400,131.3800,130.9847,1869828,0.0000,1.0000
2017-11-02,131.3500,131.6200,130.4300,131.2400,130.8451,1142247,0.0000,1.0000
2017-11-01,130.0900,131.7200,129.1600,131.2700,130.8750,1269155,0.0000,1.0000
2017-10-31,131.7600,133.7400,129.1500,130.6600,130.2668,1996867,0.0000,1.0000
2017-10-30,131.6500,131.8500,130.8200,130.9200,130.5260,1089926,0.0000,1.0000
2017-10-27,132.5200,132.8900,131.3200,131.9900,131.5928,907871,0.0000,1.0000
2017-10-26,133.3000,133.8800,132.4200,132.6700,132.2708,806207,0.0000,1.0000
2017-10-25,132.3800,132.8400,131.6275,132.4700,132.0714,738289,0.0000,1.0000
2017-10-24,133.0800,133.3000,132.2000,132.3000,131.9019,705219,0.0000,1.0000
2017-10-23,132.6000,133.2900,132.4000,132.6000,132.2010,686809,0.0000,1.0000
2017-10-20,132.2100,132.8000,131.8500,132.8000,132.4004,620083,0.0000,1.0000
2017-10-19,131.5600,131.9600,130.9500,131.7400,131.3436,626165,0.0000,1.0000
2017-10-18,132.6700,133.3000,131.2900,131.7000,131.3037,1102342,0.0000,1.0000
2017-10-17,134.1400,134.5000,132.3400,132.5800,132.1810,1263754,0.0000,1.0000
2017-10-16,134.3200,134.8100,134.1200,134.4500,134.0454,949682,0.0000,1.0000
2017-10-13,134.2300,134.8700,133.8510,134.0900,133.6865,888535,0.0000,1.0000
2017-10-12,132.4300,133.9200,132.4300,133.9100,133.5070,667898,0.0000,1.0000
2017-10-11,132.9300,133.0800,131.5300,132.5500,132.1511,673746,0.0000,1.0000
2017-10-10,132.0600,132.9500,132.0600,132.7000,132.3007,776498,0.0000,1.0000
2017-10-09,132.0100,132.2000,131.5200,132.0600,131.6626,619229,0.0000,1.0000
2017-10-06,131.3700,132.0200,131.2700,131.9700,131.5729,747303,0.0000,1.0000
2017-10-05,131.1700,131.8100,130.4300,131.7400,131.3436,765679,0.0000,1.0000
2017-10-04,130.7200,131.5200,130.3954,130.7600,130.3665,832278,0.0000,1.0000
2017-10-03,130.9000,131.4300,130.3900,130.5600,130.1671,849617,0.0000,1.0000
2017-10-02,128.5800,130.7500,128.3820,130.6500,130.2569,1168650,0.0000,1.0000
2017-09-29,129.2700,129.6500,128.5300,128.6100,128.2230,852703,0.0000,1.0000
2017-09-28,128.9500,129.5799,128.7500,129.2700,128.8810,585960,0.0000,1.0000
2017-09-27,130.2800,130.2800,127.6300,128.9700,128.5819,1050235,0.0000,1.0000
2017-09-26,131.8000,131.9900,130.1700,130.2300,129.8381,561916,0.0000,1.0000
2017-09-25,131.3400,131.6600,130.4700,131.4900,131.0943,856018,0.0000,1.0000
2017-09-22,131.0000,131.4400,130.7350,131.3300,130.9348,746098,0.0000,1.0000
2017-09-21,130.8600,131.1800,130.5800,130.9400,130.5460,1094382,0.0000,1.0000
2017-09-20,130.9500,131.3800,130.2400,130.8000,130.4064,823323,0.0000,1.0000
2017-09-19,130.9600,131.1200,130.3800,130.7400,130.3466,648877,0.0000,1.0000
2017-09-18,131.0500,131.4400,130.4700,130.5300,130.1372,883467,0.3700,1.0000
2017-09-15,131.0300,131.4900,130.5400,131.0500,130.2863,1202988,0.0000,1.0000
2017-09-14,129.3200,131.0299,129.2100,131.0100,130.2466,1101685,0.0000,1.0000
2017-09-13,129.7300,129.9050,129.2400,129.4200,128.6658,745124,0.0000,1.0000
2017-09-12,129.8200,130.3800,129.2000,129.9800,129.2226,1151922,0.0000,1.0000
2017-09-11,131.4900,131.4900,129.5800,129.8300,129.0734,1701576,0.0000,1.0000
2017-09-08,131.1400,131.3700,130.4800,131.1200,130.3559,709385,0.0000,1.0000
2017-09-07,131.1000,131.6200,130.5200,131.5300,130.7635,992388,0.0000,1.0000
2017-09-06,132.8600,134.2800,129.9700,130.8900,130.1273,1963261,0.0000,1.0000
2017-09-05,132.9200,133.3900,132.2000,133.2300,132.4536,856929,0.0000,1.0000
2017-09-01,133.5700,133.6800,131.9800,132.8500,132.0758,726143,0.0000,1.0000
2017-08-31,131.5800,133.4600,131.3500,133.3000,132.5232,1249799,0.0000,1.0000
2017-08-30,130.8700,131.0400,130.4600,130.9800,130.2167,605392,0.0000,1.0000
2017-08-29,130.9700,131.0200,130.4700,130.8700,130.1074,573535,0.0000,1.0000
2017-08-28,131.0100,131.5200,130.5100,131.4600,130.6939,737883,0.0000,1.0000
2017-08-25,131.0900,131.5248,130.7600,131.0400,130.2764,470385,0.0000,1.0000
2017-08-24,130.7800,131.2672,130.0100,130.3300,129.5705,698671,0.0000,1.0000
2017-08-23,131.2000,131.3700,130.6400,130.7800,130.0179,467605,0.0000,1.0000
2017-08-22,130.6300,131.6400,130.4100,131.4800,130.7138,503526,0.0000,1.0000
2017-08-21,130.1600,130.7400,129.6300,130.4000,129.6401,547064,0.0000,1.0000
2017-08-18,130.3500,130.6500,129.7300,130.1100,129.3518,716382,0.0000,1.0000
2017-08-17,131.5100,132.1550,130.2200,130.2300,129.4711,697552,0.0000,1.0000
2017-08-16,131.4300,132.7300,131.4300,132.4100,131.6384,670516,0.0000,1.0000
2017-08-15,131.1600,131.8800,130.9700,131.1500,130.3858,819835,0.0000,1.0000
2017-08-14,130.4300,131.4600,130.0000,131.4600,130.6939,672004,0.0000,1.0000
2017-08-11,130.7200,130.8800,129.7400,129.8100,129.0536,618650,0.0000,1.0000
2017-08-10,132.0600,132.3300,130.1900,130.2300,129.4711,767026,0.0000,1.0000
2017-08-09,131.3600,132.3800,131.3500,132.3600,131.5887,689646,0.0000,1.0000
2017-08-08,131.9500,132.0700,130.8300,131.2400,130.4752,636825,0.0000,1.0000
2017-08-07,133.0000,133.1900,131.9200,131.9500,131.1811,892774,0.0000,1.0000
2017-08-04,132.6900,133.2500,132.3500,132.9000,132.1256,628210,0.0000,1.0000
2017-08-03,132.9000,133.0000,132.2400,132.6200,131.8472,899080,0.0000,1.0000
2017-08-02,131.3900,133.0600,131.1900,132.9000,132.1256,1046635,0.0000,1.0000
2017-08-01,132.6900,133.2500,132.3500,132.9000,132.1256,1596859,0.0000,1.0000
2017-07-31,132.5000,133.0600,131.5000,131.6700,130.9027,1392917,0.0000,1.0000
2017-07-28,131.9400,132.5600,131.3900,131.9200,131.1513,840698,0.0000,1.0000
2017-07-27,132.4800,132.8250,131.1100,131.8200,131.0519,826821,0.0000,1.0000
2017-07-26,132.8300,132.8300,132.1500,132.4500,131.6782,595394,0.0000,1.0000
2017-07-25,132.7600,133.2600,132.5401,132.9000,132.1256,580546,0.0000,1.0000
2017-07-24,132.7600,133.1800,131.6400,132.0400,131.2706,710747,0.0000,1.0000
2017-07-21,132.2900,133.4200,132.2600,133.0500,132.2747,605342,0.0000,1.0000
2017-07-20,132.8500,133.1500,132.1100,132.4500,131.6782,791519,0.0000,1.0000
2017-07-19,132.6800,133.0600,132.3400,133.0500,132.2747,770724,0.0000,1.0000
2017-07-18,132.0100,132.7100,131.9500,132.4500,131.6782,630297,0.0000,1.0000
2017-07-17,132.8000,132.9900,131.7900,132.1700,131.3998,1017665,0.0000,1.0000
2017-07-14,132.2800,132.9400,131.9300,132.7200,131.9466,523804,0.0000,1.0000
2017-07-13,133.0500,133.1100,131.8500,132.0600,131.2905,576812,0.0000,1.0000
2017-07-12,132.6600,133.4100,132.5600,133.0400,132.2647,819460,0.0000,1.0000
2017-07-11,132.1700,132.6500,131.4500,131.8900,131.1214,607093,0.0000,1.0000
2017-07-10,132.6300,132.8400,131.6750,132.0500,131.2805,767767,0.0000,1.0000
2017-07-07,132.1800,132.7850,131.6200,132.6200,131.8472,853581,0.0000,1.0000
2017-07-06,133.0700,133.4650,132.1400,132.1800,131.4098,766805,0.0000,1.0000
2017-07-05,133.2800,133.9900,133.1200,133.2700,132.4934,969076,0.0000,1.0000
2017-07-03,133.1900,133.4700,132.4900,132.9400,132.1653,715554,0.0000,1.0000
2017-06-30,132.0000,133.2300,131.8100,132.7500,131.9764,988632,0.0000,1.0000
2017-06-29,132.8900,132.9900,130.8800,131.4500,130.6840,795413,0.0000,1.0000
2017-06-28,132.6200,133.3000,132.3650,132.9000,132.1256,620419,0.0000,1.0000
2017-06-27,132.0000,132.4600,131.7000,131.7800,131.0121,866223,0.0000,1.0000
2017-06-26,131.7400,132.5000,131.5200,132.0200,131.2507,948733,0.0000,1.0000
2017-06-23,131.7000,132.3600,131.3100,131.6600,130.8928,999920,0.0000,1.0000
2017-06-22,132.1400,132.8000,131.6300,131.6800,130.9127,780329,0.0000,1.0000
2017-06-21,134.0300,134.5400,132.0400,132.1400,131.3700,1081680,0.0000,1.0000
2017-06-20,134.1600,134.4500,133.8800,134.1100,133.3285,604553,0.0000,1.0000
2017-06-19,134.4300,134.7400,133.8950,134.6100,133.8256,613546,0.0000,1.0000
2017-06-16,133.6900,134.2800,133.5000,134.2800,133.4975,1577027,0.3700,1.0000
2017-06-15,133.7300,134.3800,132.8600,133.8500,132.7044,980753,0.0000,1.0000
2017-06-14,134.7900,134.8900,133.6400,133.8800,132.7341,649374,0.0000,1.0000
2017-06-13,133.2200,134.6000,132.7600,134.4900,133.3389,774795,0.0000,1.0000
2017-06-12,133.5100,133.9700,132.8000,133.1800,132.0401,775648,0.0000,1.0000
2017-06-09,133.3100,133.8400,132.8400,133.8100,132.6647,1089084,0.0000,1.0000
2017-06-08,133.4000,133.6000,132.4500,132.7300,131.5939,878082,0.0000,1.0000
2017-06-07,133.5700,133.9600,133.2500,133.5200,132.3772,727402,0.0000,1.0000
2017-06-06,133.3500,133.9300,132.4200,133.3500,132.2086,740331,0.0000,1.0000
2017-06-05,134.3600,134.3700,133.6300,133.6600,132.5160,691583,0.0000,1.0000
2017-06-02,133.8600,134.4000,133.2600,134.3300,133.1803,816021,0.0000,1.0000
