timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-10,122.0500,122.1200,120.8500,121.1800,121.1800,1026797,0.0000,1.0000
2018-01-09,122.0000,122.9100,121.6500,122.2500,122.2500,718823,0.0000,1.0000
2018-01-08,122.9400,122.9400,121.8900,121.9900,121.9900,2727340,0.0000,1.0000
2018-01-05,121.9300,122.9200,121.4800,122.8300,122.8300,844108,0.0000,1.0000
2018-01-04,120.4400,121.9000,120.4200,121.6400,121.6400,1236962,0.0000,1.0000
2018-01-03,119.6900,120.3500,119.1650,120.1600,120.1600,1493709,0.0000,1.0000
2018-01-02,118.1700,119.5900,117.3700,119.5400,119.5400,1670630,0.0000,1.0000
2017-12-29,120.0500,120.0500,117.8200,117.9200,117.9200,802242,0.0000,1.0000
2017-12-28,119.8200,119.8200,118.4600,119.7300,119.7300,548864,0.0000,1.0000
2017-12-27,119.0200,119.8500,118.7525,119.7800,119.7800,624154,0.0000,1.0000
2017-12-26,119.7500,119.9650,118.2700,118.9800,118.9800,617187,0.0000,1.0000
2017-12-22,119.0550,120.0000,118.7950,119.7300,119.7300,770045,0.0000,1.0000
2017-12-21,118.8800,119.7000,118.1500,119.5700,119.5700,736390,0.0000,1.0000
2017-12-20,119.7200,120.7700,118.8300,118.8900,118.8900,817746,0.0000,1.0000
2017-12-19,118.6500,119.7500,118.0000,119.4400,119.4400,986751,0.0000,1.0000
2017-12-18,119.8200,120.0100,117.7300,118.3300,118.3300,971028,0.0000,1.0000
2017-12-15,119.0700,120.1050,117.9300,119.5100,119.5100,2401778,0.0000,1.0000
2017-12-14,117.1400,120.0450,116.2210,118.1900,118.1900,1302516,0.0000,1.0000
2017-12-13,118.5000,118.5500,116.9000,117.4000,117.4000,1313631,0.0000,1.0000
2017-12-12,118.4800,118.5200,117.7300,118.2200,118.2200,990613,0.0000,1.0000
2017-12-11,117.4200,118.5250,116.8400,118.5200,118.5200,1270713,0.0000,1.0000
2017-12-08,117.0000,117.4900,116.1100,117.4000,117.4000,1140646,0.0000,1.0000
2017-12-07,115.4500,116.8300,114.8999,116.8300,116.8300,1094425,0.0000,1.0000
2017-12-06,113.9700,115.8000,113.5050,115.6900,115.6900,1422160,0.0000,1.0000
2017-12-05,113.5000,114.4600,112.3600,114.3900,114.3900,1290386,0.0000,1.0000
2017-12-04,113.6400,114.6200,112.9100,113.4000,113.4000,1307079,0.0000,1.0000
2017-12-01,114.1200,114.4400,111.2900,112.9300,112.9300,1358450,0.0000,1.0000
2017-11-30,112.6500,114.9700,112.2550,114.1200,114.1200,1852639,0.0000,1.0000
2017-11-29,112.2600,114.4900,112.0201,112.6500,112.6500,1728235,0.0000,1.0000
2017-11-28,110.7200,112.5500,110.1200,112.0900,112.0900,1420959,0.0000,1.0000
2017-11-27,110.0900,110.7200,109.4200,110.5000,110.5000,657050,0.0000,1.0000
2017-11-24,109.6900,111.0100,109.6700,109.9000,109.9000,343978,0.0000,1.0000
2017-11-22,110.5200,110.7100,109.5600,109.8100,109.8100,523055,0.3900,1.0000
2017-11-21,110.8700,111.4300,110.6600,110.7100,110.3182,716921,0.0000,1.0000
2017-11-20,111.2700,112.1900,110.6800,110.9100,110.5175,580067,0.0000,1.0000
2017-11-17,109.1100,111.6100,109.0200,111.3700,110.9759,902198,0.0000,1.0000
2017-11-16,110.4900,110.4900,109.1400,109.5800,109.1922,1127932,0.0000,1.0000
2017-11-15,109.4700,110.8500,108.4200,110.2100,109.8200,867580,0.0000,1.0000
2017-11-14,108.4500,111.1200,108.4500,109.3100,108.9231,1126374,0.0000,1.0000
2017-11-13,106.7700,109.3600,106.4500,108.7900,108.4050,1657451,0.0000,1.0000
2017-11-10,110.1800,110.1800,105.3100,108.7400,108.3552,2159688,0.0000,1.0000
2017-11-09,106.3400,109.2900,106.2200,108.9500,108.5644,2002106,0.0000,1.0000
2017-11-08,107.4000,107.9800,106.9200,107.2000,106.8206,2538979,0.0000,1.0000
2017-11-07,108.1400,108.6000,106.7500,107.4200,107.0398,1865050,0.0000,1.0000
2017-11-06,108.7000,110.0000,107.9100,108.0300,107.6477,1738586,0.0000,1.0000
2017-11-03,110.5000,110.5000,108.6400,108.7000,108.3153,939725,0.0000,1.0000
2017-11-02,110.0900,110.3400,107.6300,108.9200,108.5345,1240050,0.0000,1.0000
2017-11-01,109.1200,111.2900,108.8900,109.8000,109.4114,1438251,0.0000,1.0000
2017-10-31,108.9900,110.3200,108.5300,108.5300,108.1459,1037303,0.0000,1.0000
2017-10-30,109.0000,109.3900,108.1100,109.0100,108.6242,1157775,0.0000,1.0000
2017-10-27,109.3100,110.6600,109.0700,109.3900,109.0029,1434568,0.0000,1.0000
2017-10-26,107.3000,109.3000,107.0400,108.9500,108.5644,1338690,0.0000,1.0000
2017-10-25,109.4000,109.7000,107.4300,107.5400,107.1594,2283376,0.0000,1.0000
2017-10-24,109.3000,110.0900,108.6700,108.8000,108.4150,1860481,0.0000,1.0000
2017-10-23,109.3100,109.9400,108.3200,109.3600,108.9730,2267555,0.0000,1.0000
2017-10-20,110.9300,112.9500,109.7600,109.9700,109.5808,1968700,0.0000,1.0000
2017-10-19,110.5500,111.8200,110.0100,110.5100,110.1189,1405210,0.0000,1.0000
2017-10-18,108.7500,110.7500,108.5200,110.6200,110.2285,2230834,0.0000,1.0000
2017-10-17,109.0000,110.0800,108.4800,108.5800,108.1957,1530553,0.0000,1.0000
2017-10-16,109.6800,110.2600,108.6300,108.7000,108.3153,3078362,0.0000,1.0000
2017-10-13,109.5500,110.3500,108.0600,109.5000,109.1125,2156597,0.0000,1.0000
2017-10-12,109.8500,110.8500,106.5800,108.8100,108.4249,5943222,0.0000,1.0000
2017-10-11,113.5600,114.4600,109.6900,110.5000,110.1089,2519987,0.0000,1.0000
2017-10-10,112.8600,113.6600,112.1900,113.5400,113.1382,1919730,0.0000,1.0000
2017-10-09,111.3500,113.5500,110.6800,112.2500,111.8527,1708549,0.0000,1.0000
2017-10-06,113.1700,113.4300,110.9000,111.3400,110.9460,2866332,0.0000,1.0000
2017-10-05,111.8500,113.6400,110.7800,112.9700,112.5702,3268578,0.0000,1.0000
2017-10-04,110.5500,112.0900,108.7700,111.9300,111.5339,3973669,0.0000,1.0000
2017-10-03,108.0000,112.4600,107.0800,110.4500,110.0591,6567457,0.0000,1.0000
2017-10-02,106.0900,108.6100,106.0000,107.8100,107.4285,3658099,0.0000,1.0000
2017-09-29,106.0000,107.6000,105.7200,105.9900,105.6149,3730444,0.0000,1.0000
2017-09-28,106.4300,106.5200,103.7800,106.3700,105.9936,3774768,0.0000,1.0000
2017-09-27,107.0000,108.9900,106.0000,106.4400,106.0633,7594239,0.0000,1.0000
2017-09-26,102.7900,106.1500,101.7400,106.0500,105.6747,7544452,0.0000,1.0000
2017-09-25,106.2300,107.1700,104.5100,105.0900,104.7181,8051771,0.0000,1.0000
2017-09-22,100.1000,105.2000,99.8000,105.0400,104.6683,12453149,0.0000,1.0000
2017-09-21,96.5000,98.4700,95.2500,98.2500,97.9023,5476444,0.0000,1.0000
2017-09-20,95.0000,97.4100,93.1000,96.0000,95.6603,7909898,0.0000,1.0000
2017-09-19,92.5000,95.3500,91.8800,94.8700,94.5343,7796280,0.0000,1.0000
2017-09-18,93.0000,95.0600,92.0800,94.3800,94.0460,10799938,0.0000,1.0000
2017-09-15,94.4000,95.6900,90.7200,92.9800,92.6509,16625159,0.0000,1.0000
2017-09-14,98.6900,100.7500,89.5900,96.6600,96.3179,33968594,0.0000,1.0000
2017-09-13,116.5500,116.7500,98.0400,98.9900,98.6397,17508900,0.0000,1.0000
2017-09-12,112.9700,116.0800,112.1800,115.9600,115.5496,6917235,0.0000,1.0000
2017-09-11,121.5300,122.0000,111.1700,113.1200,112.7197,9786512,0.0000,1.0000
2017-09-08,121.8200,125.5000,117.2500,123.2300,122.7939,16854700,0.0000,1.0000
2017-09-07,141.4500,143.2700,141.3500,142.7200,142.2149,380845,0.0000,1.0000
2017-09-06,141.5800,142.1400,141.0200,141.3900,140.8896,449644,0.0000,1.0000
2017-09-05,141.4200,142.4900,140.5700,141.1000,140.6006,495015,0.0000,1.0000
2017-09-01,142.7300,143.3700,141.5900,141.5900,141.0889,363046,0.0000,1.0000
