timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-10,58.5800,58.9850,57.9300,57.9900,57.9900,2225748,0.0000,1.0000
2018-01-09,58.7300,59.2000,58.3700,58.7000,58.7000,2097851,0.0000,1.0000
2018-01-08,57.9500,58.8300,57.2800,58.7300,58.7300,2866620,0.0000,1.0000
2018-01-05,58.6000,58.6000,57.1500,57.8100,57.8100,3092391,0.0000,1.0000
2018-01-04,59.1500,59.2400,58.3700,58.9700,58.9700,1888361,0.0000,1.0000
2018-01-03,58.9500,59.6600,58.1600,58.9300,58.9300,4423640,0.0000,1.0000
2018-01-02,57.5100,58.7500,57.1300,58.6200,58.6200,3246510,0.0000,1.0000
2017-12-29,57.4600,57.6000,56.7500,56.9200,56.9200,2610831,0.0000,1.0000
2017-12-28,55.4900,57.4900,55.3100,57.2600,57.2600,3280443,0.0000,1.0000
2017-12-27,55.4800,55.6700,54.8400,55.3300,55.3300,2966418,0.0000,1.0000
2017-12-26,55.0800,55.6600,54.9300,55.4500,55.4500,1624160,0.0000,1.0000
2017-12-22,55.3900,55.7074,54.7000,54.7700,54.7700,2203357,0.0000,1.0000
2017-12-21,54.0350,55.6200,53.4300,55.4200,55.4200,2818922,0.0000,1.0000
2017-12-20,54.1700,54.6500,53.6426,54.2200,54.2200,3068195,0.0000,1.0000
2017-12-19,55.3950,55.8000,54.3100,54.4200,54.4200,4116599,0.0000,1.0000
2017-12-18,55.1100,56.1100,54.9600,55.3300,55.3300,3570681,0.0000,1.0000
2017-12-15,56.2100,56.4900,54.6300,54.7100,54.7100,5300521,0.0000,1.0000
2017-12-14,56.7000,56.8900,55.8800,56.0100,56.0100,2806861,0.0000,1.0000
2017-12-13,55.6500,57.5700,55.6500,56.8100,56.8100,3621735,0.0000,1.0000
2017-12-12,57.6700,57.8100,55.9400,55.9900,55.9900,2650629,0.0000,1.0000
2017-12-11,56.6000,57.8500,56.5700,57.1300,57.1300,2790291,0.0000,1.0000
2017-12-08,56.2800,56.6100,55.4700,56.3800,56.3800,5678226,0.0000,1.0000
2017-12-07,57.0000,57.2950,55.7350,55.8000,55.8000,2856002,0.0000,1.0000
2017-12-06,59.0500,59.0500,57.0700,57.1800,57.1800,2751451,0.0000,1.0000
2017-12-05,58.8500,59.6800,58.6100,59.0200,59.0200,2743519,0.0000,1.0000
2017-12-04,59.5700,60.2900,59.2396,59.6500,59.6500,4862094,0.0000,1.0000
2017-12-01,59.9900,60.3500,58.6100,59.5700,59.5700,3877494,0.0000,1.0000
2017-11-30,57.9500,59.7300,57.9500,59.6000,59.6000,4524177,0.0000,1.0000
2017-11-29,56.9000,58.2800,56.6800,58.1100,58.1100,2846614,0.0000,1.0000
2017-11-28,56.8800,57.2400,56.3400,56.8700,56.8700,2814373,0.0000,1.0000
2017-11-27,57.8000,57.9100,56.4700,56.8800,56.8800,3647539,0.0000,1.0000
2017-11-24,58.1200,58.3400,57.2200,57.6500,57.6500,1167237,0.0000,1.0000
2017-11-22,58.3200,58.7800,58.0000,58.1800,58.1800,1721472,0.0000,1.0000
2017-11-21,59.3400,59.6100,57.9200,58.3200,58.3200,2273590,0.0000,1.0000
2017-11-20,58.7500,59.4000,57.9700,59.3300,59.3300,3718614,0.0000,1.0000
2017-11-17,59.3500,59.7000,58.7600,59.0300,59.0300,2701100,0.0000,1.0000
2017-11-16,60.2100,60.2100,58.7400,59.3000,59.3000,2659023,0.0000,1.0000
2017-11-15,59.9200,60.0000,58.5600,59.5100,59.5100,6585633,0.0000,1.0000
2017-11-14,64.4300,64.5400,60.3300,60.6000,60.6000,5615524,0.0000,1.0000
2017-11-13,65.1900,65.8200,64.2300,64.5800,64.5800,8092176,0.0000,1.0000
2017-11-10,65.8200,66.0300,64.4300,65.1800,65.1800,21244607,0.0000,1.0000
2017-11-09,64.5400,65.9500,64.5400,65.9100,65.9100,9250714,0.0300,1.0000
2017-11-08,63.3700,64.8100,62.8100,64.4500,64.4207,5371413,0.0000,1.0000
2017-11-07,63.8300,64.1200,62.7600,63.2400,63.2112,2598570,0.0000,1.0000
2017-11-06,63.2800,64.0400,62.5900,63.8300,63.8010,3651505,0.0000,1.0000
2017-11-03,62.1400,63.2400,60.8100,62.7800,62.7514,2818809,0.0000,1.0000
2017-11-02,61.9000,62.9900,61.5400,62.0300,62.0018,2147754,0.0000,1.0000
2017-11-01,63.0800,63.3800,61.9200,62.0600,62.0318,3334579,0.0000,1.0000
2017-10-31,62.2100,63.0800,61.6400,62.5400,62.5115,2908254,0.0000,1.0000
2017-10-30,63.3000,63.6400,61.6200,61.9500,61.9218,5353171,0.0000,1.0000
2017-10-27,59.5500,65.0300,59.2400,63.3100,63.2812,11369009,0.0000,1.0000
2017-10-26,60.8600,60.8600,58.2000,60.0700,60.0427,6712425,0.0000,1.0000
2017-10-25,63.6000,63.9100,60.6400,60.8600,60.8323,5829649,0.0000,1.0000
2017-10-24,63.5600,64.3400,63.1400,64.0500,64.0209,2782389,0.0000,1.0000
2017-10-23,63.6900,64.6500,62.9400,62.9700,62.9414,3304679,0.0000,1.0000
2017-10-20,63.0800,63.7800,62.8400,63.3500,63.3212,1808295,0.0000,1.0000
2017-10-19,62.6500,63.1700,62.3700,63.0600,63.0313,2913102,0.0000,1.0000
2017-10-18,63.2200,63.7300,62.6300,62.9400,62.9114,1558875,0.0000,1.0000
2017-10-17,62.5200,63.5000,62.4000,63.3200,63.2912,2313568,0.0000,1.0000
2017-10-16,63.1000,63.6000,62.2800,62.5600,62.5315,1888339,0.0000,1.0000
2017-10-13,64.0100,64.0600,62.9400,63.0100,62.9813,2029354,0.0000,1.0000
2017-10-12,62.7400,63.8600,62.3100,63.4900,63.4611,2249604,0.0000,1.0000
2017-10-11,62.9700,63.2500,62.5100,63.1000,63.0713,1773903,0.0000,1.0000
2017-10-10,63.3500,63.6000,62.5900,62.8800,62.8514,2936237,0.0000,1.0000
2017-10-09,63.6500,63.9700,62.6200,62.9000,62.8714,3490473,0.0000,1.0000
2017-10-06,64.3600,64.8400,63.2700,63.6100,63.5811,4987129,0.0000,1.0000
2017-10-05,64.6100,65.5200,64.2500,65.0500,65.0204,3211481,0.0000,1.0000
2017-10-04,64.5800,64.7800,63.2300,64.2100,64.1808,4222106,0.0000,1.0000
2017-10-03,65.3100,65.7000,64.2000,64.2100,64.1808,1917511,0.0000,1.0000
2017-10-02,64.5100,65.5600,64.3300,65.3600,65.3303,2569510,0.0000,1.0000
2017-09-29,64.7000,65.5500,64.5500,65.2400,65.2103,2577737,0.0000,1.0000
2017-09-28,65.2800,65.5200,64.3200,65.0600,65.0304,3039947,0.0000,1.0000
2017-09-27,65.4300,65.5900,64.2100,65.2800,65.2503,2350438,0.0000,1.0000
2017-09-26,65.1000,65.8700,64.7500,64.9500,64.9205,3062299,0.0000,1.0000
2017-09-25,64.5700,65.1100,64.2100,64.4500,64.4207,2058093,0.0000,1.0000
2017-09-22,63.7500,64.5600,63.5600,64.2600,64.2308,2087577,0.0000,1.0000
2017-09-21,64.0800,64.6400,63.3700,63.8400,63.8110,3917053,0.0000,1.0000
2017-09-20,64.5400,65.1900,64.0700,64.5000,64.4707,4092901,0.0000,1.0000
2017-09-19,64.3600,64.5400,63.6500,64.1200,64.0908,2197411,0.0000,1.0000
2017-09-18,65.1200,65.4500,64.1400,64.3200,64.2907,2324677,0.0000,1.0000
2017-09-15,64.6300,65.1700,64.1800,64.8600,64.8305,3034554,0.0000,1.0000
2017-09-14,63.5900,65.9400,63.5100,64.8700,64.8405,6842246,0.0000,1.0000
2017-09-13,62.4800,63.3400,62.4800,63.1100,63.0813,4284296,0.0000,1.0000
2017-09-12,61.2500,62.5700,60.8500,62.2300,62.2017,2428691,0.0000,1.0000
2017-09-11,60.8600,61.2400,60.1900,60.9800,60.9523,2979129,0.0000,1.0000
2017-09-08,61.4700,61.5400,59.6700,60.6700,60.6424,3656352,0.0000,1.0000
2017-09-07,62.8400,62.9200,61.4700,62.1100,62.0817,1914782,0.0000,1.0000
