timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,59.3400,60.5000,59.0100,60.0600,60.0600,2508134,0.0000,1.0000
2018-01-17,58.3600,58.4300,57.7200,58.1300,58.1300,1482060,0.0000,1.0000
2018-01-16,57.3800,58.2600,57.1700,58.0300,58.0300,1868483,0.0000,1.0000
<!DOCTYPE html>\n\t<html>\n\t  <head>\n\t\t<meta name="viewport" content="width=device-width, initial-scale=1">\n\t\t<meta charset="utf-8">\n\t\t<title>Application Error</title>\n\t\t<style media="screen">\n\t\t  html,body,iframe {\n\t\t\tmargin: 0;\n\t\t\tpadding: 0;\n\t\t  }\n\t\t  html,body {\n\t\t\theight: 100%;\n\t\t\toverflow: hidden;\n\t\t  }\n\t\t  iframe {\n\t\t\twidth: 100%;\n\t\t\theight: 100%;\n\t\t\tborder: 0;\n\t\t  }\n\t\t</style>\n\t  </head>\n\t  <body>\n\t\t<iframe src="//www.herokucdn.com/error-pages/application-error.html"></iframe>\n\t  </body>\n\t</html>
2018-01-12,56.3900,57.2900,56.1677,57.0700,57.0700,2108958,0.0000,1.0000
2018-01-11,54.1900,56.1900,54.1400,56.1500,56.1500,1691531,0.0000,1.0000
2018-01-10,53.6200,54.0700,53.5000,54.0600,54.0600,1176057,0.0000,1.0000
2018-01-09,53.7600,53.9300,53.3650,53.8100,53.8100,939271,0.0000,1.0000
2018-01-08,53.3300,53.8200,52.8700,53.7800,53.7800,1148867,0.0000,1.0000
2018-01-05,53.3400,53.5200,52.9300,53.4100,53.4100,944617,0.0000,1.0000
2018-01-04,53.3200,53.5000,52.7500,53.2600,53.2600,823029,0.0000,1.0000
2018-01-03,53.1300,53.2900,52.7056,53.1000,53.1000,1183529,0.0000,1.0000
2018-01-02,51.8000,52.4300,51.7800,52.3300,52.3300,1007850,0.0000,1.0000
2017-12-29,51.7300,52.0300,51.3900,51.6500,51.6500,1061628,0.0000,1.0000
2017-12-28,51.6900,51.7900,51.3000,51.7600,51.7600,442385,0.0000,1.0000
2017-12-27,51.4800,51.5000,51.1900,51.4500,51.4500,788292,0.0000,1.0000
2017-12-26,51.1000,51.4700,50.9700,51.4500,51.4500,601221,0.0000,1.0000
2017-12-22,50.9900,51.3000,50.5200,51.0700,51.0700,462966,0.0000,1.0000
2017-12-21,50.7600,51.4025,50.5500,51.2600,51.2600,1244872,0.0000,1.0000
2017-12-20,50.5800,51.1800,50.4210,50.9000,50.9000,834159,0.0000,1.0000
2017-12-19,50.8100,51.4400,50.6000,50.6200,50.6200,1122455,0.0000,1.0000
2017-12-18,50.5900,50.9300,50.3200,50.8400,50.8400,835914,0.0000,1.0000
2017-12-15,50.3800,50.9200,50.0500,50.4500,50.4500,1914778,0.0000,1.0000
2017-12-14,50.0800,50.1600,49.7500,49.8700,49.8700,1201208,0.0000,1.0000
2017-12-13,50.2900,50.4800,49.8900,50.0300,50.0300,1089545,0.0000,1.0000
2017-12-12,50.2400,50.7300,50.1700,50.4300,50.4300,966671,0.0000,1.0000
2017-12-11,50.3900,50.3900,49.8200,50.1300,50.1300,1402039,0.0000,1.0000
2017-12-08,49.9200,50.4000,49.5000,50.3800,50.3800,969575,0.0000,1.0000
2017-12-07,48.9800,49.6450,48.9800,49.5400,49.5400,1105131,0.0000,1.0000
2017-12-06,48.7900,49.5200,48.7700,49.1500,49.1500,1019928,0.0000,1.0000
2017-12-05,49.3400,49.3700,48.7500,48.8600,48.8600,1303293,0.0000,1.0000
2017-12-04,48.9100,50.3800,48.8200,49.3900,49.3900,1944342,0.2100,1.0000
2017-12-01,48.4600,48.9300,47.5200,48.6700,48.4639,1100914,0.0000,1.0000
2017-11-30,48.2300,48.7500,48.0400,48.4100,48.2050,1477278,0.0000,1.0000
2017-11-29,47.7000,48.7500,47.6800,48.2000,47.9959,1280800,0.0000,1.0000
2017-11-28,46.9600,47.6850,46.8200,47.6400,47.4383,1846304,0.0000,1.0000
2017-11-27,46.7900,47.1300,46.5000,46.9300,46.7313,997493,0.0000,1.0000
2017-11-24,47.4100,47.4350,46.8000,46.8900,46.6915,601098,0.0000,1.0000
2017-11-22,47.7800,47.8100,47.1000,47.2600,47.0599,2030082,0.0000,1.0000
2017-11-21,46.9900,47.8400,46.9000,47.5600,47.3586,1410921,0.0000,1.0000
2017-11-20,46.6000,47.2300,46.4800,46.7800,46.5819,1322080,0.0000,1.0000
2017-11-17,46.4500,46.8150,46.3800,46.7000,46.5023,1323760,0.0000,1.0000
2017-11-16,45.4000,46.5300,45.3439,46.4200,46.2235,3307237,0.0000,1.0000
2017-11-15,45.5400,45.6200,45.0000,45.2700,45.0783,1161534,0.0000,1.0000
2017-11-14,46.4300,46.4300,45.4700,45.6600,45.4667,1232758,0.0000,1.0000
2017-11-13,46.9600,47.0400,46.2280,46.6800,46.4824,1146794,0.0000,1.0000
2017-11-10,47.0000,47.3200,46.8700,47.0400,46.8408,888079,0.0000,1.0000
2017-11-09,47.1800,47.4500,46.8500,47.0500,46.8508,1633516,0.0000,1.0000
2017-11-08,47.9700,48.3500,47.2800,47.6200,47.4184,1841272,0.0000,1.0000
2017-11-07,48.7000,48.7700,47.9800,48.0800,47.8764,1656887,0.0000,1.0000
2017-11-06,47.0700,48.6550,47.0700,48.5700,48.3644,2445348,0.0000,1.0000
2017-11-03,44.5600,46.9400,44.5600,46.8600,46.6616,2712342,0.0000,1.0000
2017-11-02,43.8800,44.5200,43.8400,44.4600,44.2718,2240333,0.0000,1.0000
2017-11-01,43.4300,44.1500,43.1400,43.9400,43.7540,2107107,0.0000,1.0000
2017-10-31,43.1400,43.5400,42.9114,43.0900,42.9076,1426787,0.0000,1.0000
2017-10-30,42.6400,43.0400,42.5000,42.9900,42.8080,1339676,0.0000,1.0000
2017-10-27,42.5000,42.8800,42.4900,42.7400,42.5590,836844,0.0000,1.0000
2017-10-26,42.6500,42.9900,42.5500,42.6900,42.5093,715373,0.0000,1.0000
2017-10-25,42.6700,42.7350,42.4400,42.5000,42.3201,1273691,0.0000,1.0000
2017-10-24,42.5900,42.7392,42.5300,42.7200,42.5391,1200301,0.0000,1.0000
2017-10-23,43.2400,43.2400,42.4950,42.5800,42.3997,1898718,0.0000,1.0000
2017-10-20,43.2900,43.4500,43.0300,43.1900,43.0071,1142002,0.0000,1.0000
2017-10-19,42.4100,43.0600,42.2700,43.0600,42.8777,1499142,0.0000,1.0000
