timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,71.7400,72.5500,70.5600,72.0000,72.0000,1571391,0.0000,1.0000
2018-01-16,74.0900,74.1500,70.1900,71.2200,71.2200,2023100,0.0000,1.0000
2018-01-12,75.5600,75.7800,72.3610,73.4100,73.4100,4030236,0.0000,1.0000
2018-01-11,70.3600,76.6100,70.3000,76.2700,76.2700,6330673,0.0000,1.0000
2018-01-10,69.3700,70.0300,68.9200,69.6400,69.6400,1448815,0.0000,1.0000
2018-01-09,69.8200,70.2000,68.3902,70.0200,70.0200,1286178,0.0000,1.0000
2018-01-08,69.2500,70.1300,67.7000,69.6200,69.6200,1067348,0.0000,1.0000
2018-01-05,69.0000,69.5900,68.2500,69.1700,69.1700,1021333,0.0000,1.0000
2018-01-04,70.0000,70.2000,66.2000,69.1400,69.1400,3032663,0.0000,1.0000
2018-01-03,70.8700,71.5900,69.0200,69.8000,69.8000,1923969,0.0000,1.0000
2018-01-02,67.8400,70.5000,67.8400,70.4300,70.4300,1752173,0.0000,1.0000
2017-12-29,68.5000,68.6700,67.4700,67.5200,67.5200,1499589,0.0000,1.0000
2017-12-28,69.0700,69.9800,67.9100,68.3500,68.3500,946227,0.0000,1.0000
2017-12-27,67.5500,69.0200,66.6100,68.8400,68.8400,1146950,0.0000,1.0000
2017-12-26,68.4700,68.7900,67.3200,68.0400,68.0400,971747,0.0000,1.0000
2017-12-22,69.0000,69.5000,68.4900,68.8500,68.8500,775902,0.0000,1.0000
2017-12-21,68.5000,69.4500,68.3700,69.1100,69.1100,852157,0.0000,1.0000
2017-12-20,69.4100,69.7400,67.9000,68.6900,68.6900,893817,0.0000,1.0000
2017-12-19,70.3800,70.9200,68.7200,69.1500,69.1500,1407782,0.0000,1.0000
2017-12-18,69.9300,70.7800,69.6500,70.6300,70.6300,1300953,0.0000,1.0000
2017-12-15,67.8700,69.7500,67.2700,68.9600,68.9600,2921857,0.0000,1.0000
2017-12-14,68.4700,68.8015,67.4301,67.8900,67.8900,1529762,0.0000,1.0000
2017-12-13,69.2000,69.9300,68.3500,68.4800,68.4800,1848562,0.0000,1.0000
2017-12-12,70.0200,71.1900,68.6800,68.9100,68.9100,2518453,0.0000,1.0000
2017-12-11,71.4000,71.8000,69.1511,70.0500,70.0500,3810473,0.0000,1.0000
2017-12-08,68.9600,70.2700,68.2700,70.0200,70.0200,3628806,0.0000,1.0000
2017-12-07,64.0000,68.7000,63.5400,68.4300,68.4300,4910647,0.0000,1.0000
2017-12-06,62.0800,65.4300,62.0500,63.2400,63.2400,4666635,0.0000,1.0000
2017-12-05,57.1400,62.0300,56.8100,61.2100,61.2100,5429199,0.0000,1.0000
2017-12-04,60.4000,60.7100,56.1300,57.2700,57.2700,4210833,0.0000,1.0000
2017-12-01,61.6800,61.9000,59.2460,60.3000,60.3000,1777478,0.0000,1.0000
2017-11-30,60.6800,62.2400,59.3000,62.1000,62.1000,1620445,0.0000,1.0000
2017-11-29,62.0600,62.4300,58.7700,60.0200,60.0200,1868704,0.0000,1.0000
2017-11-28,62.0000,62.6000,61.5000,62.1300,62.1300,1367345,0.0000,1.0000
2017-11-27,60.8300,63.1000,60.2800,61.6500,61.6500,2040373,0.0000,1.0000
2017-11-24,60.8300,60.9600,60.1700,60.6100,60.6100,466784,0.0000,1.0000
2017-11-22,60.1100,60.8400,59.5400,60.5100,60.5100,1677955,0.0000,1.0000
2017-11-21,61.3800,61.4900,59.9500,60.2400,60.2400,1067852,0.0000,1.0000
2017-11-20,60.4400,61.1500,59.6700,61.0600,61.0600,1342212,0.0000,1.0000
2017-11-17,60.7600,60.8000,59.5300,60.1800,60.1800,1314766,0.0000,1.0000
2017-11-16,60.9600,61.5600,60.2000,60.3500,60.3500,1308169,0.0000,1.0000
2017-11-15,60.7500,61.5900,60.3300,60.6000,60.6000,1363219,0.0000,1.0000
2017-11-14,61.4800,62.2200,60.5600,61.2800,61.2800,1151533,0.0000,1.0000
2017-11-13,60.9700,62.0500,60.8600,61.5700,61.5700,1198493,0.0000,1.0000
2017-11-10,60.3000,62.5600,60.1600,61.5900,61.5900,1952617,0.0000,1.0000
2017-11-09,61.1600,61.7500,60.1600,60.5400,60.5400,1656551,0.0000,1.0000
2017-11-08,60.7500,62.2400,60.0800,61.7900,61.7900,2294759,0.0000,1.0000
2017-11-07,61.6000,62.1900,60.6200,60.9600,60.9600,2286130,0.0000,1.0000
2017-11-06,59.7200,62.5700,59.7200,61.4700,61.4700,3871939,0.0000,1.0000
2017-11-03,57.8200,60.2900,57.5300,59.8700,59.8700,3133745,0.0000,1.0000
