timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,7.8300,7.9765,7.4100,7.4200,7.4200,2848290,0.0000,1.0000
2018-01-16,8.4000,8.4400,7.7800,7.8200,7.8200,2951000,0.0000,1.0000
2018-01-12,7.7300,8.3200,7.7100,8.3000,8.3000,2639479,0.0000,1.0000
2018-01-11,7.4300,7.9700,7.4300,7.7200,7.7200,3841740,0.0000,1.0000
2018-01-10,7.0600,7.4500,7.0100,7.4300,7.4300,2123000,0.0000,1.0000
2018-01-09,7.3400,7.7500,7.1200,7.1300,7.1300,3558100,0.0000,1.0000
2018-01-08,7.1900,7.4300,7.0900,7.3400,7.3400,1889200,0.0000,1.0000
2018-01-05,7.3200,7.4400,7.1800,7.2500,7.2500,1628700,0.0000,1.0000
2018-01-04,7.1700,7.4000,7.0000,7.3400,7.3400,2157400,0.0000,1.0000
2018-01-03,7.3500,7.4600,7.1600,7.2200,7.2200,1828400,0.0000,1.0000
2018-01-02,6.7900,7.3200,6.5900,7.2700,7.2700,3625000,0.0000,1.0000
2017-12-29,6.9200,7.1600,6.7100,6.7600,6.7600,4765800,0.0000,1.0000
2017-12-28,6.7900,7.0400,6.6500,6.8300,6.8300,3449900,0.0000,1.0000
2017-12-27,6.9400,7.0000,6.6500,6.8100,6.8100,3127900,0.0000,1.0000
2017-12-26,6.9200,7.2300,6.9200,6.9600,6.9600,2482500,0.0000,1.0000
2017-12-22,7.0400,7.1000,6.8100,6.9800,6.9800,3251700,0.0000,1.0000
2017-12-21,7.3500,7.4200,7.0900,7.1100,7.1100,3643500,0.0000,1.0000
2017-12-20,7.4800,7.6100,7.2400,7.3400,7.3400,3637200,0.0000,1.0000
2017-12-19,8.1900,8.2600,7.3200,7.4400,7.4400,4604900,0.0000,1.0000
2017-12-18,8.0800,8.5900,8.0000,8.2000,8.2000,4555500,0.0000,1.0000
2017-12-15,8.3300,8.8600,7.8900,8.0800,8.0800,10252500,0.0000,1.0000
2017-12-14,9.5200,9.6500,8.3200,8.6900,8.6900,7292000,0.0000,1.0000
2017-12-13,10.1200,10.6200,10.0200,10.2000,9.6000,5800700,0.0000,1.0000
2017-12-12,10.1500,10.3700,9.7400,10.0500,9.4588,4658400,0.0000,1.0000
2017-12-11,9.9200,10.5000,9.9100,10.0600,9.4682,4705200,0.0000,1.0000
2017-12-08,9.2400,10.2500,9.1900,9.7500,9.1765,4732700,0.0000,1.0000
2017-12-07,8.8300,9.3200,8.8000,9.1500,8.6118,2843800,0.0000,1.0000
2017-12-06,8.9700,9.1300,8.6700,8.7800,8.2635,3141100,0.0000,1.0000
2017-12-05,9.2000,9.3500,8.6200,9.1000,8.5647,17941700,0.0000,1.0000
2017-12-04,8.7000,9.3500,8.6900,9.2000,8.6588,5084000,0.0000,1.0000
