timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,17.6500,17.7000,17.2600,17.3500,17.3500,187015875,0.0000,1.0000
2018-01-16,18.3200,18.5100,17.9600,18.2100,18.2100,204909400,0.0000,1.0000
2018-01-12,19.1200,19.1500,18.7050,18.7600,18.7600,87032593,0.0000,1.0000
2018-01-11,19.2300,19.3850,19.0000,19.0200,19.0200,99685224,0.0000,1.0000
2018-01-10,18.5900,19.0600,18.5800,18.9300,18.9300,77058800,0.0000,1.0000
2018-01-09,18.3300,18.6600,18.1100,18.5600,18.5600,66400200,0.0000,1.0000
2018-01-08,18.6700,18.7000,18.1000,18.2800,18.2800,82097600,0.0000,1.0000
2018-01-05,18.8600,18.8700,18.5000,18.5400,18.5400,79879700,0.0000,1.0000
2018-01-04,18.3800,18.6200,18.3000,18.5300,18.5300,82554500,0.0000,1.0000
2018-01-03,18.3000,18.3400,18.0300,18.1500,18.1500,81472300,0.0000,1.0000
2018-01-02,17.5800,17.9900,17.5300,17.9800,17.9800,77570300,0.0000,1.0000
2017-12-29,17.2700,17.5300,17.2700,17.4500,17.4500,76149500,0.0000,1.0000
2017-12-28,17.3500,17.4000,17.2500,17.3600,17.3600,60934900,0.0000,1.0000
2017-12-27,17.4600,17.6300,17.3100,17.3800,17.3800,60126700,0.0000,1.0000
2017-12-26,17.4500,17.6600,17.4000,17.4300,17.4300,55337900,0.0000,1.0000
2017-12-22,17.5100,17.5600,17.4000,17.5000,17.5000,46370400,0.0000,1.0000
2017-12-21,17.4600,17.6900,17.4400,17.4700,17.4700,67877700,0.0000,1.0000
2017-12-20,17.6300,17.6500,17.3600,17.4500,17.4500,75365000,0.0000,1.0000
2017-12-19,17.7700,17.8000,17.5500,17.5900,17.5900,65496100,0.0000,1.0000
2017-12-18,17.8700,18.0500,17.7500,17.7600,17.7600,53913400,0.0000,1.0000
2017-12-15,17.7800,17.8300,17.6600,17.8200,17.8200,88381900,0.0000,1.0000
2017-12-14,17.7700,17.8200,17.6400,17.6400,17.6400,48545800,0.0000,1.0000
2017-12-13,17.9200,17.9900,17.7600,17.7600,17.7600,42104500,0.0000,1.0000
2017-12-12,17.9500,18.0400,17.6500,17.9100,17.9100,66832400,0.0000,1.0000
2017-12-11,17.6100,17.7900,17.5300,17.6500,17.6500,58171200,0.0000,1.0000
2017-12-08,17.7200,17.8200,17.6600,17.7100,17.7100,54443500,0.0000,1.0000
2017-12-07,17.8100,18.0600,17.6300,17.7100,17.7100,55584700,0.0000,1.0000
2017-12-06,17.6100,17.8400,17.6000,17.6600,17.6600,43913600,0.0000,1.0000
