timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-10,33.5300,33.6800,33.3000,33.3300,33.3300,4217251,0.0000,1.0000
2018-01-09,33.7600,33.9250,33.6500,33.6500,33.6500,5119034,0.0000,1.0000
2018-01-08,33.6400,33.8000,33.4250,33.7700,33.7700,4825613,0.0000,1.0000
2018-01-05,33.8100,33.8900,33.5100,33.6400,33.6400,6067813,0.0000,1.0000
2018-01-04,33.5400,33.7800,33.4200,33.7600,33.7600,5905339,0.0000,1.0000
2018-01-03,32.5600,33.4400,32.5600,33.4200,33.4200,5614560,0.0000,1.0000
2018-01-02,32.3200,32.7000,32.2200,32.6200,32.6200,6122101,0.0000,1.0000
2017-12-29,32.3500,32.3900,31.9800,31.9900,31.9900,3122284,0.0000,1.0000
2017-12-28,32.4600,32.5300,32.2329,32.3000,32.3000,2683683,0.0000,1.0000
2017-12-27,32.4000,32.4600,32.2100,32.3500,32.3500,1656442,0.0000,1.0000
2017-12-26,32.3300,32.4000,32.2500,32.3800,32.3800,2859784,0.0000,1.0000
2017-12-22,32.3900,32.4600,32.2900,32.3800,32.3800,2390033,0.0000,1.0000
2017-12-21,32.5300,32.6700,32.2900,32.3000,32.3000,2902045,0.0000,1.0000
2017-12-20,32.2900,32.4700,32.2250,32.4200,32.4200,2779681,0.0000,1.0000
2017-12-19,32.3500,32.5000,32.2400,32.2600,32.2600,3608797,0.0000,1.0000
2017-12-18,32.2300,32.4500,32.2000,32.3200,32.3200,4696163,0.0000,1.0000
2017-12-15,31.9900,32.1000,31.8150,32.0500,32.0500,13135494,0.0000,1.0000
2017-12-14,32.2600,32.3700,31.8000,31.8100,31.8100,6568266,0.0000,1.0000
2017-12-13,32.6100,32.6400,32.2800,32.2900,32.2900,5239135,0.0000,1.0000
2017-12-12,32.4800,32.8150,32.3600,32.6400,32.6400,4908370,0.0000,1.0000
2017-12-11,32.4000,32.7500,32.4000,32.5700,32.5700,4741019,0.0000,1.0000
2017-12-08,31.8600,32.3700,31.7900,32.3500,32.3500,4253399,0.0000,1.0000
2017-12-07,31.6600,31.9200,31.6200,31.7300,31.7300,4457380,0.0000,1.0000
2017-12-06,32.1400,32.2500,31.6400,31.6700,31.6700,5297353,0.0000,1.0000
2017-12-05,32.2100,32.3900,32.0800,32.2400,32.2400,4383368,0.0000,1.0000
2017-12-04,32.0800,32.4000,32.0400,32.2100,32.2100,6388065,0.0000,1.0000
2017-12-01,32.3900,32.5300,31.2000,31.8500,31.8500,6243592,0.0000,1.0000
2017-11-30,32.5800,32.7750,32.3600,32.3900,32.3900,10616665,0.0000,1.0000
2017-11-29,32.5300,32.7200,32.2200,32.4800,32.4800,6212686,0.0000,1.0000
2017-11-28,32.1000,32.6400,32.0500,32.4400,32.4400,6791043,0.0000,1.0000
2017-11-27,31.7800,32.0800,31.7000,32.0500,32.0500,6402354,0.0000,1.0000
2017-11-24,31.9300,31.9700,31.6700,31.8500,31.8500,1968941,0.0000,1.0000
2017-11-22,31.9500,32.0900,31.7700,31.8000,31.8000,3092341,0.0000,1.0000
