timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,226.1300,230.4195,225.9400,227.5300,227.5300,1291719,0.0000,1.0000
2018-01-17,227.6200,228.3500,223.6200,225.2300,225.2300,1750382,0.0000,1.0000
2018-01-16,237.1700,237.5300,231.1600,231.8100,231.8100,872300,0.0000,1.0000
2018-01-12,238.5100,239.7000,235.3400,235.6700,235.6700,932861,0.0000,1.0000
2018-01-11,232.5000,238.0000,231.7000,237.7200,237.7200,677764,0.0000,1.0000
2018-01-10,230.5000,233.3150,227.6400,231.7500,231.7500,835821,0.0000,1.0000
2018-01-09,238.5100,239.7800,236.4150,237.2900,237.2900,763812,0.0000,1.0000
2018-01-08,237.2900,238.9900,234.7200,238.2500,238.2500,952381,0.0000,1.0000
2018-01-05,236.3500,238.6200,235.3200,238.2500,238.2500,769418,0.0000,1.0000
2018-01-04,235.0400,236.9500,233.1600,236.0600,236.0600,949776,0.0000,1.0000
2018-01-03,235.3600,236.7750,232.4000,234.2300,234.2300,901222,0.0000,1.0000
2018-01-02,237.0500,238.7900,233.0000,235.7100,235.7100,632689,0.0000,1.0000
2017-12-29,237.9600,240.4850,236.0500,236.2500,236.2500,522865,0.0000,1.0000
2017-12-28,237.4300,238.2000,235.2700,237.9600,237.9600,440439,0.0000,1.0000
2017-12-27,236.0100,237.1100,235.0400,237.0000,237.0000,332038,0.0000,1.0000
2017-12-26,234.0000,238.0000,234.0000,236.0100,236.0100,554886,0.0000,1.0000
2017-12-22,232.5350,235.8550,232.3900,234.8400,234.8400,484872,0.0000,1.0000
2017-12-21,231.6400,235.6900,230.8950,235.0200,235.0200,576404,0.0000,1.0000
2017-12-20,230.3900,232.0300,229.4300,230.9400,230.9400,567766,0.0000,1.0000
2017-12-19,229.1300,230.6800,227.4600,228.5900,228.5900,509918,0.0000,1.0000
2017-12-18,231.0600,231.6850,227.9400,229.9200,229.9200,712088,0.0000,1.0000
2017-12-15,226.1200,230.7100,224.5950,229.9700,229.9700,1224273,0.0000,1.0000
2017-12-14,224.7600,225.6890,222.3750,222.6700,222.6700,494402,0.0000,1.0000
2017-12-13,223.1000,224.5600,221.4700,224.3000,224.3000,491539,0.0000,1.0000
2017-12-12,223.4500,224.2300,221.2400,222.3900,222.3900,640502,0.0000,1.0000
2017-12-11,223.4900,225.8600,223.0900,223.5400,223.5400,399650,0.0000,1.0000
2017-12-08,223.0400,225.0400,222.2500,223.9100,223.9100,574088,0.0000,1.0000
2017-12-07,221.7100,224.1100,220.5501,222.2700,222.2700,695873,0.0000,1.0000
2017-12-06,226.2100,226.2100,220.3200,221.4300,221.4300,1651340,0.0000,1.0000
2017-12-05,229.1700,230.2600,225.8200,226.7100,226.7100,1212232,0.0000,1.0000
2017-12-04,221.4100,231.9100,221.4100,227.5000,227.5000,1479808,0.0000,1.0000
2017-12-01,221.0700,221.3100,215.0000,218.2300,218.2300,999893,0.0000,1.0000
2017-11-30,216.7500,222.4100,216.1300,221.3100,221.3100,1092988,0.0000,1.0000
2017-11-29,211.5700,218.3299,210.7300,216.7700,216.7700,1262569,0.0000,1.0000
2017-11-28,203.3000,212.1200,202.2400,211.5700,211.5700,1036204,0.0000,1.0000
2017-11-27,200.6800,203.5100,200.3300,203.1000,203.1000,547021,0.0000,1.0000
2017-11-24,201.9300,202.0000,198.2500,200.1500,200.1500,219031,0.0000,1.0000
2017-11-22,200.4300,204.7600,200.1600,200.4000,200.4000,378608,0.0000,1.0000
2017-11-21,200.0000,201.9500,198.0700,199.6300,199.6300,795014,0.0000,1.0000
2017-11-20,197.7200,199.7700,196.9400,199.6200,199.6200,650405,0.0000,1.0000
2017-11-17,198.2100,200.7200,196.7800,197.8200,197.8200,588548,0.0000,1.0000
2017-11-16,195.9200,200.6100,195.7300,198.5000,198.5000,563020,0.0000,1.0000
2017-11-15,194.6300,198.2400,193.5000,195.7300,195.7300,878786,0.0000,1.0000
2017-11-14,194.5000,196.3200,191.3900,195.5800,195.5800,1028901,0.0000,1.0000
2017-11-13,203.2000,203.2000,194.2100,195.7900,195.7900,1295429,0.0000,1.0000
2017-11-10,204.0100,214.5000,202.3600,203.4800,203.4800,2439493,1.2800,1.0000
2017-11-09,205.8400,209.0200,200.0800,206.0700,204.7818,1760025,0.0000,1.0000
2017-11-08,205.1600,210.3100,203.8000,208.1300,206.8289,1068467,0.0000,1.0000
2017-11-07,204.0000,206.0000,201.4100,205.1800,203.8974,823099,0.0000,1.0000
2017-11-06,199.3200,204.7700,199.2900,203.5800,202.3074,842128,0.0000,1.0000
2017-11-03,199.0300,201.3200,198.0100,200.0100,198.7597,722232,0.0000,1.0000
2017-11-02,196.2300,199.2300,193.0700,199.0300,197.7858,977865,0.0000,1.0000
2017-11-01,199.7500,200.7500,194.2900,195.5800,194.3574,926684,0.0000,1.0000
2017-10-31,200.5400,202.5300,197.5100,197.7000,196.4641,766101,0.0000,1.0000
2017-10-30,200.0400,203.5600,199.3200,199.3900,198.1436,1019904,0.0000,1.0000
2017-10-27,200.3500,201.3100,197.7700,199.7600,198.5113,999411,0.0000,1.0000
2017-10-26,197.8800,205.1700,195.0700,201.1800,199.9224,1481104,0.0000,1.0000
2017-10-25,197.0700,197.5000,192.6400,197.1300,195.8977,1859940,0.0000,1.0000
2017-10-24,210.5000,211.7300,198.0400,198.3500,197.1101,1994510,0.0000,1.0000
2017-10-23,207.4300,210.8000,206.8900,209.5000,208.1904,886228,0.0000,1.0000
2017-10-20,205.5900,210.1700,204.7600,207.8100,206.5109,873650,0.0000,1.0000
2017-10-19,207.4300,207.8900,202.8400,204.6500,203.3707,1770142,0.0000,1.0000
2017-10-18,209.1100,213.7500,206.1800,208.8100,207.5047,3056307,0.0000,1.0000
2017-10-17,188.2500,207.8000,186.4300,205.4200,204.1359,6056351,0.0000,1.0000
2017-10-16,181.3100,182.9500,179.6500,182.3600,181.2200,1568416,0.0000,1.0000
2017-10-13,178.0300,181.9300,177.7100,181.0500,179.9182,1259347,0.0000,1.0000
2017-10-12,172.4000,177.6800,172.4000,177.5500,176.4401,807065,0.0000,1.0000
2017-10-11,169.7700,172.9200,166.4600,172.5000,171.4217,1421116,0.0000,1.0000
2017-10-10,177.9900,179.4400,173.3600,173.9100,172.8229,1039535,0.0000,1.0000
2017-10-09,180.3200,181.8000,177.0400,177.6000,176.4898,683560,0.0000,1.0000
2017-10-06,181.5000,182.8300,179.5200,180.0700,178.9443,558257,0.0000,1.0000
2017-10-05,181.0000,182.9400,180.0100,182.2500,181.1107,508635,0.0000,1.0000
2017-10-04,182.2300,182.8600,179.4900,180.9000,179.7692,849388,0.0000,1.0000
2017-10-03,182.0000,182.6400,180.5800,182.3600,181.2200,519797,0.0000,1.0000
2017-10-02,179.7500,182.9700,179.0000,182.2200,181.0809,675343,0.0000,1.0000
2017-09-29,179.8000,181.9900,179.4600,179.7500,178.6263,562862,0.0000,1.0000
2017-09-28,179.9300,182.1700,178.6200,180.0800,178.9543,601814,0.0000,1.0000
2017-09-27,181.3800,183.0700,177.2500,180.8600,179.7294,1187444,0.0000,1.0000
2017-09-26,179.1500,181.6400,177.2700,180.9900,179.8586,800475,0.0000,1.0000
2017-09-25,176.8900,179.0900,175.6300,178.7900,177.6723,747956,0.0000,1.0000
2017-09-22,175.8900,177.5500,175.2100,176.6100,175.5060,573935,0.0000,1.0000
2017-09-21,175.1700,176.7000,174.7600,175.5900,174.4923,436274,0.0000,1.0000
2017-09-20,170.3600,176.6600,170.3600,175.1800,174.0849,1065020,0.0000,1.0000
2017-09-19,170.9600,171.1500,168.0200,170.6300,169.5634,753039,0.0000,1.0000
2017-09-18,169.1100,172.2500,168.2800,171.0200,169.9509,1086582,0.0000,1.0000
2017-09-15,169.1400,169.5400,167.6600,168.9500,167.8939,923867,0.0000,1.0000
2017-09-14,168.1100,170.4700,168.0400,169.2900,168.2317,770299,0.0000,1.0000
2017-09-13,166.1400,168.7700,166.1400,168.5100,167.4566,1040617,0.0000,1.0000
2017-09-12,165.3600,167.1400,163.8600,166.2900,165.2505,521287,0.0000,1.0000
2017-09-11,165.7000,167.6500,164.3700,164.5900,163.5611,628927,0.0000,1.0000
2017-09-08,162.4200,165.8100,162.1100,164.9700,163.9387,756650,0.0000,1.0000
2017-09-07,163.6900,163.6900,159.2400,162.5800,161.5637,849001,0.0000,1.0000
2017-09-06,162.7000,165.1200,162.3700,163.9400,162.9152,1095547,0.0000,1.0000
2017-09-05,163.8100,165.1000,161.2800,161.3600,160.3513,702624,0.0000,1.0000
2017-09-01,162.5600,165.7600,162.2600,163.7900,162.7661,664469,0.0000,1.0000
2017-08-31,160.8800,163.2500,159.5100,162.5700,161.5537,776323,0.0000,1.0000
2017-08-30,157.1000,160.1500,155.6000,159.6400,158.6421,715559,0.0000,1.0000
2017-08-29,157.2000,159.1600,155.1000,157.1600,156.1776,889480,0.0000,1.0000
2017-08-28,159.6000,160.1900,155.0000,156.2500,155.2732,931755,0.0000,1.0000
2017-08-25,159.2400,160.3000,158.1900,159.7900,158.7911,657694,0.0000,1.0000
2017-08-24,161.8800,162.6400,158.1200,158.3300,157.3402,714356,0.0000,1.0000
2017-08-23,163.3800,164.1677,161.3800,161.5400,160.5302,607487,0.0000,1.0000
2017-08-22,158.9700,165.1400,158.8500,164.4200,163.3922,1092176,0.0000,1.0000
2017-08-21,161.0000,161.3700,158.3500,158.4100,157.4197,863604,0.0000,1.0000
