timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,55.3600,55.4050,54.8700,55.0900,55.0900,1374098,0.0000,1.0000
2018-01-10,55.1200,55.3200,54.8000,55.0400,55.0400,1891000,0.0000,1.0000
2018-01-09,55.0600,55.4300,54.7800,54.9700,54.9700,2313800,0.0000,1.0000
2018-01-08,55.1300,55.1400,54.6200,54.7800,54.7800,1660800,0.0000,1.0000
2018-01-05,55.4100,55.4400,54.9500,55.1600,55.1600,1132400,0.0000,1.0000
2018-01-04,55.1200,55.7200,54.9500,55.4000,55.4000,1593400,0.0000,1.0000
2018-01-03,55.1000,55.1500,54.2900,54.8300,54.8300,3156900,0.0000,1.0000
2018-01-02,56.3400,56.7300,55.0200,55.2700,55.2700,1568100,0.0000,1.0000
2017-12-29,56.7500,56.7900,56.2800,56.2800,56.2800,935600,0.0000,1.0000
2017-12-28,56.4800,56.5900,56.3200,56.5600,56.5600,839800,0.0000,1.0000
2017-12-27,55.9900,56.3400,55.7900,56.2800,56.2800,856800,0.0000,1.0000
2017-12-26,55.6600,56.0000,55.5300,55.9700,55.9700,976000,0.0000,1.0000
2017-12-22,56.0400,56.1200,55.0700,55.5500,55.5500,1689400,0.0000,1.0000
2017-12-21,56.6200,56.8000,55.7600,55.9300,55.9300,2187900,0.0000,1.0000
2017-12-20,56.9400,57.1400,56.3000,56.3500,56.3500,2977200,0.0000,1.0000
2017-12-19,56.6900,57.0300,56.0700,56.7300,56.7300,3612900,0.0000,1.0000
2017-12-18,56.2200,56.2300,55.4300,55.6400,55.6400,2499000,0.0000,1.0000
2017-12-15,55.4000,56.0900,55.1700,55.7500,55.7500,4792500,0.0000,1.0000
2017-12-14,55.6700,55.7600,55.0600,55.2100,55.2100,2670300,0.0000,1.0000
2017-12-13,55.8900,56.0400,55.4700,55.5500,55.5500,3273700,0.0000,1.0000
2017-12-12,55.5000,56.1500,55.4000,56.0300,56.0300,2633900,0.0000,1.0000
2017-12-11,55.2000,55.4200,54.8600,55.4200,55.4200,2123200,0.0000,1.0000
2017-12-08,54.7800,55.1900,54.6400,55.1700,55.1700,2172000,0.0000,1.0000
2017-12-07,54.5400,55.0700,54.4900,54.7700,54.7700,2062900,0.0000,1.0000
2017-12-06,54.4600,54.9900,54.1800,54.9200,54.9200,3541400,0.0000,1.0000
2017-12-05,56.5300,56.7200,54.3900,54.6400,54.6400,4893800,0.0000,1.0000
2017-12-04,58.0000,58.6100,56.5000,56.5000,56.5000,4029300,0.0000,1.0000
2017-12-01,57.5400,57.6500,56.1200,57.4300,57.4300,1754700,0.0000,1.0000
2017-11-30,57.7700,57.9300,56.8400,57.4400,57.4400,2099600,0.0000,1.0000
2017-11-29,57.0000,58.1600,56.8300,57.6500,57.4000,2413700,0.0000,1.0000
2017-11-28,55.7300,56.8400,55.5900,56.6900,56.4442,1682300,0.0000,1.0000
2017-11-27,55.7300,55.9900,55.6400,55.8000,55.5580,1064400,0.0000,1.0000
2017-11-24,56.0600,56.1300,55.6100,55.6400,55.3987,435600,0.0000,1.0000
