timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,52.0500,52.8900,52.0000,52.3400,52.3400,2997003,0.0000,1.0000
2018-01-17,52.2100,52.9500,52.1500,52.5100,52.5100,1673369,0.0000,1.0000
2018-01-16,53.8100,54.3000,51.5500,51.9800,51.9800,4757900,0.0000,1.0000
2018-01-12,53.6300,54.6400,53.5500,54.4100,54.4100,1963340,0.0000,1.0000
2018-01-11,52.1900,53.8300,52.0500,53.6300,53.6300,3108515,0.0000,1.0000
2018-01-10,51.8500,52.4600,51.6600,52.1500,52.1500,1335000,0.0000,1.0000
2018-01-09,51.8300,52.6200,51.5200,52.2700,52.2700,2294600,0.0000,1.0000
2018-01-08,50.8900,51.9400,50.7200,51.5400,51.5400,1742500,0.0000,1.0000
2018-01-05,51.0800,51.0800,50.2700,50.9700,50.9700,2226600,0.0000,1.0000
2018-01-04,50.1000,51.1600,49.3300,50.9700,50.9700,3136900,0.0000,1.0000
2018-01-03,50.3800,51.0600,49.7700,50.1000,50.1000,6693800,0.0000,1.0000
2018-01-02,51.1800,52.0900,50.6800,52.0600,52.0600,1583600,0.0000,1.0000
2017-12-29,51.4900,51.7800,50.8700,50.8800,50.8800,1487000,0.0000,1.0000
2017-12-28,51.3200,51.6200,50.8800,51.5700,51.5700,1105300,0.0000,1.0000
2017-12-27,51.7800,52.1600,51.0800,51.2800,51.2800,751800,0.0000,1.0000
2017-12-26,51.7800,51.9100,51.2300,51.7700,51.7700,1464400,0.0000,1.0000
2017-12-22,51.9300,52.2500,51.2700,51.8400,51.8400,1222800,0.0000,1.0000
2017-12-21,51.0400,52.0000,50.8700,51.8100,51.8100,1700800,0.0000,1.0000
2017-12-20,51.3400,51.5100,50.6800,50.7100,50.7100,1435900,0.0000,1.0000
2017-12-19,51.9600,52.3000,51.0300,51.1900,51.1900,3006600,0.0000,1.0000
2017-12-18,50.9200,51.8600,50.8400,51.6500,51.6500,1582000,0.0000,1.0000
2017-12-15,50.4500,50.9900,50.3600,50.4600,50.4600,2788000,0.0000,1.0000
2017-12-14,50.7600,51.0300,50.0000,50.0200,50.0200,1307100,0.0000,1.0000
2017-12-13,50.9300,51.3500,50.5000,51.0100,50.6450,1277900,0.0000,1.0000
2017-12-12,50.7800,51.4300,50.2500,51.0200,50.6549,1755800,0.0000,1.0000
2017-12-11,51.0900,52.0900,50.7300,50.7900,50.4266,1765700,0.0000,1.0000
2017-12-08,51.1200,51.3100,50.4100,51.1900,50.8237,1721500,0.0000,1.0000
2017-12-07,50.6900,51.5200,50.4500,51.1800,50.8138,1720700,0.0000,1.0000
2017-12-06,50.4700,51.0800,49.9700,50.8800,50.5159,2109100,0.0000,1.0000
2017-12-05,52.1400,52.2300,50.0300,50.6400,50.2776,3321500,0.0000,1.0000
2017-12-04,50.3500,52.1500,50.2500,51.8100,51.4393,3527300,0.0000,1.0000
2017-12-01,50.1800,50.2500,48.8700,50.0300,49.6720,2514600,0.0000,1.0000
2017-11-30,48.9500,50.2900,48.6700,50.2000,49.8408,2425500,0.0000,1.0000
2017-11-29,49.2500,50.6900,48.9200,48.9800,48.6295,2957600,0.0000,1.0000
2017-11-28,47.6500,49.2700,47.4500,49.2500,48.8976,2606300,0.0000,1.0000
2017-11-27,47.4000,47.6400,47.0800,47.5200,47.1800,1088300,0.0000,1.0000
2017-11-24,47.7000,47.7200,47.2000,47.4000,47.0608,587000,0.0000,1.0000
2017-11-22,46.7800,47.9500,46.6800,47.6800,47.3388,2185900,0.0000,1.0000
2017-11-21,46.7700,47.0300,46.0100,46.6800,46.3460,2129300,0.0000,1.0000
2017-11-20,47.1900,47.8300,46.4500,46.7600,46.4254,2693700,0.0000,1.0000
2017-11-17,47.8200,47.9600,46.4900,47.2500,46.9119,3495500,0.0000,1.0000
2017-11-16,47.5100,48.8300,47.3200,48.1000,47.7558,2571300,0.0000,1.0000
2017-11-15,46.8100,47.5300,46.4600,47.4700,47.1303,2149700,0.0000,1.0000
2017-11-14,46.7500,47.3000,46.5100,46.9300,46.5942,1489000,0.0000,1.0000
2017-11-13,47.0600,47.1900,46.6100,46.8800,46.5446,2101900,0.0000,1.0000
2017-11-10,45.7000,47.4100,45.5500,47.3000,46.9615,4136600,0.0000,1.0000
2017-11-09,45.1200,45.9300,44.5300,45.8500,45.5219,2301700,0.0000,1.0000
2017-11-08,44.7300,45.5200,44.5200,45.5100,45.1844,1876200,0.0000,1.0000
2017-11-07,45.1700,45.3800,44.5400,44.7800,44.4596,1931400,0.0000,1.0000
2017-11-06,47.0000,47.0500,44.9900,45.1500,44.8269,3222300,0.0000,1.0000
2017-11-03,48.2200,48.2500,46.9000,47.0400,46.7034,1937300,0.0000,1.0000
2017-11-02,47.6000,48.4300,47.1700,48.3200,47.9742,1544800,0.0000,1.0000
2017-11-01,47.5100,48.1200,47.5100,47.8000,47.4580,877500,0.0000,1.0000
2017-10-31,47.2000,47.3900,46.5300,47.3400,47.0013,2035100,0.0000,1.0000
2017-10-30,47.5300,47.8400,47.0000,47.2000,46.8623,1870800,0.0000,1.0000
2017-10-27,48.7800,48.7800,47.7200,47.8400,47.4977,1542200,0.0000,1.0000
2017-10-26,49.0600,49.1000,48.5700,48.8000,48.4508,1186900,0.0000,1.0000
2017-10-25,49.1400,49.3700,48.1900,48.8900,48.5402,3277000,0.0000,1.0000
2017-10-24,48.7400,49.5200,48.5700,49.4700,49.1160,1684100,0.0000,1.0000
2017-10-23,49.6500,49.7100,48.4000,48.5100,48.1629,2176100,0.0000,1.0000
2017-10-20,48.7100,49.5600,48.5000,49.5000,49.1458,2897900,0.0000,1.0000
2017-10-19,48.0000,48.2500,47.4800,48.0900,47.7459,1965300,0.0000,1.0000
2017-10-18,47.8000,48.4600,47.5400,48.0200,47.6764,3866400,0.0000,1.0000
2017-10-17,45.7500,48.5700,45.2500,47.5200,47.1800,13981300,0.0000,1.0000
2017-10-16,46.5200,46.9200,46.2100,46.5700,46.2368,3887500,0.0000,1.0000
2017-10-13,46.4200,46.7200,45.5900,46.6200,46.2864,2703800,0.0000,1.0000
2017-10-12,46.2700,46.7300,45.9400,46.4600,46.1276,1878900,0.0000,1.0000
2017-10-11,46.2900,46.5000,45.6100,46.2700,45.9389,1877900,0.0000,1.0000
2017-10-10,45.7400,46.4100,45.7300,46.3200,45.9886,1631800,0.0000,1.0000
2017-10-09,46.3000,46.5800,45.6000,45.7800,45.4524,1624500,0.0000,1.0000
2017-10-06,46.6200,47.0100,45.7600,46.2100,45.8793,2675600,0.0000,1.0000
2017-10-05,48.8100,48.9500,46.5100,46.8500,46.5148,3846900,0.0000,1.0000
2017-10-04,49.0000,49.1200,48.6600,48.7800,48.4310,824900,0.0000,1.0000
2017-10-03,48.7500,48.9900,48.5300,48.9500,48.5997,646900,0.0000,1.0000
2017-10-02,48.2000,48.5900,47.8600,48.5500,48.2026,1197900,0.0000,1.0000
2017-09-29,48.9300,49.0400,48.1600,48.2100,47.8650,1604500,0.0000,1.0000
2017-09-28,49.0700,49.4800,48.8700,49.1500,48.7983,1237000,0.0000,1.0000
2017-09-27,49.7000,50.2800,49.2600,49.3000,48.9472,1328500,0.0000,1.0000
2017-09-26,48.9600,49.7500,48.8500,49.5900,49.2352,1129300,0.0000,1.0000
2017-09-25,48.2600,49.1400,48.2200,48.9500,48.5997,1326800,0.0000,1.0000
2017-09-22,47.9700,48.4400,47.8900,48.2400,47.8948,1030900,0.0000,1.0000
2017-09-21,48.2900,48.6700,47.9500,47.9600,47.6168,1053200,0.0000,1.0000
