timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,158.9000,159.6500,157.7700,157.7800,157.7800,2655788,0.0000,1.0000
2018-01-17,157.6900,158.9500,157.4510,158.4100,158.4100,3156590,0.0000,1.0000
2018-01-16,159.1400,159.8500,157.2800,157.8900,157.8900,3311300,0.0000,1.0000
2018-01-12,158.5800,159.4900,157.8000,159.0700,159.0700,2343709,0.0000,1.0000
2018-01-11,157.1200,158.0000,157.0100,157.9200,157.9200,2329321,0.0000,1.0000
2018-01-10,156.1700,157.1200,155.0200,157.0900,157.0900,2562100,0.0000,1.0000
2018-01-09,155.0100,156.7700,154.8100,156.0100,156.0100,3391800,0.0000,1.0000
2018-01-08,156.0000,156.1400,154.2300,154.7400,154.7400,2739900,0.0000,1.0000
2018-01-05,154.9800,156.2500,154.5100,155.5800,155.5800,2479000,0.0000,1.0000
2018-01-04,152.8100,154.5000,152.7100,154.5000,154.5000,4496500,0.0000,1.0000
2018-01-03,152.9000,153.6000,151.8000,152.4400,152.4400,6337600,0.0000,1.0000
2018-01-02,153.8200,154.0000,152.7100,153.7100,153.7100,2863600,0.0000,1.0000
2017-12-29,154.3700,154.7200,153.3600,153.3600,153.3600,1669300,0.0000,1.0000
2017-12-28,154.0100,154.3900,153.6300,154.1300,154.1300,1654100,0.0000,1.0000
2017-12-27,154.0300,154.1000,153.3200,153.9500,153.9500,1764100,0.0000,1.0000
2017-12-26,153.4500,154.4300,153.4500,153.7600,153.7600,1407400,0.0000,1.0000
2017-12-22,154.2100,154.2900,153.1300,153.4900,153.4900,2152000,0.0000,1.0000
2017-12-21,155.1400,155.2700,153.5000,153.7200,153.7200,4858400,0.0000,1.0000
2017-12-20,154.9400,155.1900,154.1000,154.7300,154.7300,3582700,0.0000,1.0000
2017-12-19,155.1500,155.4200,154.0200,154.1100,154.1100,4251300,0.0000,1.0000
2017-12-18,155.0000,155.3100,154.0000,154.5900,154.5900,3574800,0.0000,1.0000
2017-12-15,154.1700,154.6400,153.5800,154.2500,154.2500,4293900,0.0000,1.0000
2017-12-14,155.9000,156.4300,153.1700,153.2300,153.2300,3141700,0.0000,1.0000
2017-12-13,153.4500,156.5300,153.1200,155.8000,155.8000,5064200,0.0000,1.0000
2017-12-12,153.4100,154.6200,153.0000,153.7400,153.7400,2959300,0.0000,1.0000
2017-12-11,152.9800,153.9200,152.9400,153.2100,153.2100,3623700,0.0000,1.0000
2017-12-08,153.9100,154.1100,153.0700,153.6600,153.6600,1482400,0.0000,1.0000
2017-12-07,153.0000,153.7900,152.8300,153.2800,153.2800,2044800,0.0000,1.0000
2017-12-06,153.2900,153.7400,152.8100,153.0000,153.0000,2896400,0.0000,1.0000
2017-12-05,153.8300,154.8200,153.0200,153.0600,153.0600,2582500,0.0000,1.0000
2017-12-04,155.8200,156.1900,153.7700,153.7700,153.7700,3250400,0.0000,1.0000
2017-12-01,155.7000,156.2800,152.8800,154.4000,154.4000,3013500,0.0000,1.0000
2017-11-30,153.9300,156.7000,153.4300,155.9600,155.9600,5681100,0.0000,1.0000
2017-11-29,153.0500,153.5600,152.3900,153.2400,153.2400,3346200,0.0000,1.0000
2017-11-28,151.0700,153.1300,151.0200,152.7600,152.7600,3656600,0.0000,1.0000
