timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-10,145.3300,145.3900,143.9300,145.1500,145.1500,422900,0.0000,1.0000
2018-01-09,146.7500,146.9600,145.2500,145.6200,145.6200,763300,0.0000,1.0000
2018-01-08,143.8100,146.6300,143.6200,146.4000,146.4000,590300,0.0000,1.0000
2018-01-05,142.6900,143.8500,142.0100,143.7400,143.7400,686800,0.0000,1.0000
2018-01-04,142.9300,143.5600,142.0100,142.4300,142.4300,651000,0.0000,1.0000
2018-01-03,142.4700,143.2600,140.8400,142.8200,142.8200,766300,0.0000,1.0000
2018-01-02,142.0400,142.7800,141.3100,142.0700,142.0700,932400,0.0000,1.0000
2017-12-29,143.2900,143.2900,141.6200,141.6500,141.6500,616500,0.0000,1.0000
2017-12-28,143.8600,143.8600,141.9000,143.2200,143.2200,540500,0.0000,1.0000
2017-12-27,142.3000,143.3500,142.0500,143.2200,143.2200,285700,0.0000,1.0000
2017-12-26,142.6800,143.1900,141.8400,142.2000,142.2000,323000,0.0000,1.0000
2017-12-22,143.0400,143.1000,141.9700,142.7800,142.7800,350200,0.0000,1.0000
2017-12-21,142.8600,143.1100,141.7300,142.7900,142.7900,387600,0.0000,1.0000
2017-12-20,142.8900,143.1900,141.9100,142.3400,142.3400,524200,0.0000,1.0000
2017-12-19,142.7100,143.8400,142.0600,142.5700,142.5700,469200,0.0000,1.0000
2017-12-18,144.7000,144.7000,142.5500,142.6700,142.6700,687000,0.0000,1.0000
2017-12-15,142.2600,144.6000,141.7100,144.0900,144.0900,2392400,0.0000,1.0000
2017-12-14,142.5700,142.5700,141.2400,141.2700,141.2700,562200,0.0000,1.0000
2017-12-13,141.3300,143.5600,141.1800,141.9400,141.9400,657600,0.0000,1.0000
2017-12-12,142.3600,142.7900,140.8900,141.4200,141.4200,662200,0.0000,1.0000
2017-12-11,138.0800,143.9100,138.0800,142.6400,142.6400,492200,0.0000,1.0000
2017-12-08,143.9600,144.1000,142.8500,143.2500,143.2500,462200,0.0000,1.0000
2017-12-07,142.2300,143.5900,142.2300,143.2000,143.2000,312800,0.0000,1.0000
2017-12-06,142.4100,143.2200,141.7900,142.5200,142.5200,428100,0.0000,1.0000
2017-12-05,142.0600,143.7900,141.1800,142.5800,142.5800,704900,0.0000,1.0000
2017-12-04,144.0400,144.0400,141.1100,141.6900,141.6900,688300,0.0000,1.0000
2017-12-01,144.2000,144.4100,140.9800,142.8600,142.8600,784900,0.0000,1.0000
2017-11-30,143.9800,144.9400,142.5900,144.5000,144.5000,2345000,0.0000,1.0000
2017-11-29,144.2000,144.6300,142.0000,143.2200,143.2200,658600,0.0000,1.0000
2017-11-28,143.8900,144.4700,143.5200,144.2000,144.2000,601600,0.0000,1.0000
2017-11-27,144.0300,144.2400,143.1000,143.5000,143.5000,502100,0.0000,1.0000
2017-11-24,142.7700,144.2400,142.3500,143.9400,143.9400,310700,0.0000,1.0000
2017-11-22,144.0000,144.0000,142.5200,142.5200,142.5200,596300,0.0000,1.0000
2017-11-21,142.9800,144.7500,142.5100,144.0000,144.0000,1053500,0.0000,1.0000
2017-11-20,140.3700,142.0400,140.2500,141.9200,141.9200,571300,0.0000,1.0000
2017-11-17,140.0900,141.1200,139.7300,139.8400,139.8400,610700,0.0000,1.0000
2017-11-16,139.2700,140.4800,139.2600,140.3500,140.3500,502500,0.0000,1.0000
2017-11-15,139.1300,139.2000,137.8200,138.9700,138.4000,413600,0.0000,1.0000
2017-11-14,138.5500,139.3700,137.2500,139.3400,138.7685,462500,0.0000,1.0000
2017-11-13,138.2200,139.4800,137.8600,138.9700,138.4000,392200,0.0000,1.0000
2017-11-10,136.9300,138.8800,136.9300,138.7600,138.1909,591800,0.0000,1.0000
2017-11-09,140.4600,140.8100,136.7700,137.5600,136.9958,672100,0.0000,1.0000
2017-11-08,139.2900,141.5400,139.0000,141.2900,140.7105,601000,0.0000,1.0000
2017-11-07,139.0300,139.7200,138.3400,139.3700,138.7984,511400,0.0000,1.0000
2017-11-06,139.5600,139.5600,138.3500,138.9900,138.4199,844800,0.0000,1.0000
2017-11-03,137.8700,139.7500,137.2600,139.4100,138.8382,994000,0.0000,1.0000
2017-11-02,137.1600,137.2700,135.9500,137.1000,136.5377,609900,0.0000,1.0000
2017-11-01,140.8600,141.9700,136.7900,137.1500,136.5874,1037200,0.0000,1.0000
2017-10-31,135.6500,139.5300,135.2100,139.3200,138.7486,830000,0.0000,1.0000
2017-10-30,136.7000,136.8400,135.1600,135.6400,135.0836,705600,0.0000,1.0000
2017-10-27,136.4600,137.0600,136.1100,136.5300,135.9700,296300,0.0000,1.0000
2017-10-26,136.8800,137.3900,135.5300,135.8600,135.3028,400700,0.0000,1.0000
2017-10-25,137.0000,137.4400,136.0800,136.5600,135.9999,444100,0.0000,1.0000
2017-10-24,137.1700,137.3900,136.4800,136.9600,136.3983,405600,0.0000,1.0000
2017-10-23,137.2100,137.6400,136.6000,136.8200,136.2588,535800,0.0000,1.0000
