timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,108.5000,109.6600,108.1000,108.9300,108.9300,1507150,0.0000,1.0000
2018-01-16,107.3100,109.2900,107.2500,108.2900,108.2900,1635937,0.0000,1.0000
2018-01-12,110.2800,110.4700,109.2300,109.2700,109.2700,621443,0.0000,1.0000
2018-01-11,110.7500,110.7900,110.2300,110.4500,110.4500,223581,0.0000,1.0000
2018-01-10,111.3400,111.9900,109.5700,110.8200,110.8200,1309601,0.0000,1.0000
2018-01-09,114.1700,114.4417,113.6500,113.7800,113.7800,584070,0.0000,1.0000
2018-01-08,113.2300,114.6300,113.0000,114.0600,114.0600,869675,0.0000,1.0000
2018-01-05,112.5600,113.1400,111.6200,112.9600,112.9600,761310,0.0000,1.0000
2018-01-04,112.1800,112.7300,111.8300,112.4200,112.4200,676693,0.0000,1.0000
2018-01-03,112.2300,112.4300,111.3700,111.6400,111.6400,817175,0.0000,1.0000
2018-01-02,113.4800,113.9900,111.9600,112.1100,112.1100,841068,0.0000,1.0000
2017-12-29,114.0900,114.7450,113.5100,113.5100,113.5100,415186,0.0000,1.0000
2017-12-28,114.8600,114.9900,114.0400,114.3600,114.3600,536436,0.0000,1.0000
2017-12-27,115.2300,115.5800,114.2700,114.5800,114.5800,427539,0.0000,1.0000
2017-12-26,114.9500,115.4600,114.6700,115.0100,115.0100,406410,0.0000,1.0000
2017-12-22,115.1000,115.3800,114.4000,114.9500,114.9500,347375,0.0000,1.0000
2017-12-21,115.3700,115.4800,114.5400,114.6600,114.6600,571242,0.0000,1.0000
2017-12-20,115.2800,115.8190,114.3400,114.9900,114.9900,876072,0.0000,1.0000
2017-12-19,115.1100,115.8200,114.8200,115.4500,115.4500,1155800,0.0000,1.0000
2017-12-18,113.5500,115.3150,112.6500,114.2600,114.2600,1263025,0.0000,1.0000
2017-12-15,114.0300,114.8980,113.1900,114.1400,114.1400,1436993,0.0000,1.0000
2017-12-14,113.2900,113.9751,112.8800,113.3600,113.3600,808508,0.0000,1.0000
2017-12-13,113.2700,113.6700,112.8900,113.1600,113.1600,971805,0.0000,1.0000
2017-12-12,113.1100,113.5600,112.1800,113.4000,113.4000,794354,0.0000,1.0000
2017-12-11,113.0000,113.0600,112.0000,112.8000,112.8000,577147,0.0000,1.0000
2017-12-08,113.5700,113.7100,112.8500,113.2000,113.2000,586258,0.0000,1.0000
2017-12-07,113.4700,113.9400,112.9500,113.5600,113.5600,689635,0.0000,1.0000
2017-12-06,112.7400,113.9000,112.4900,113.7600,113.7600,790451,0.0000,1.0000
2017-12-05,112.8500,113.5600,112.0200,112.7600,112.7600,1004772,0.0000,1.0000
2017-12-04,111.4400,113.1350,111.3600,112.8200,112.8200,1170973,0.0000,1.0000
2017-12-01,111.0400,111.0400,108.9810,111.0100,111.0100,723898,0.0000,1.0000
2017-11-30,110.7000,111.8900,110.2600,110.9300,110.9300,1732688,0.0000,1.0000
2017-11-29,109.8700,111.5900,109.2200,110.5000,110.5000,843905,0.0000,1.0000
2017-11-28,108.6000,109.8700,108.0100,109.8400,109.8400,915928,0.0000,1.0000
2017-11-27,107.7500,108.6975,107.1400,108.3700,108.3700,634618,0.0000,1.0000
2017-11-24,108.3400,108.4600,107.4300,107.4500,107.4500,291197,0.0000,1.0000
2017-11-22,108.5100,108.9100,107.8600,108.1200,108.1200,939415,0.0000,1.0000
2017-11-21,109.3000,109.9900,108.3900,108.5100,108.5100,1060778,0.6560,1.0000
2017-11-20,109.1000,110.7500,108.8300,110.1000,109.4384,884269,0.0000,1.0000
2017-11-17,109.2800,110.6400,108.9800,109.1000,108.4444,1979507,0.0000,1.0000
2017-11-16,108.0400,110.1150,107.5600,109.7000,109.0408,1202673,0.0000,1.0000
2017-11-15,109.4500,110.9500,107.0600,107.4200,106.7745,922261,0.0000,1.0000
2017-11-14,108.0000,110.3100,107.6500,109.8600,109.1998,978446,0.0000,1.0000
2017-11-13,108.7700,109.5500,108.0500,108.1800,107.5299,936096,0.0000,1.0000
2017-11-10,107.3400,108.8700,107.3400,108.6000,107.9474,749875,0.0000,1.0000
2017-11-09,107.4700,108.3400,107.3000,107.7700,107.1224,852276,0.0000,1.0000
2017-11-08,105.9500,107.9200,105.9400,107.7500,107.1025,798460,0.0000,1.0000
2017-11-07,104.1800,106.0900,104.0900,105.9700,105.3332,953568,0.0000,1.0000
2017-11-06,106.0400,106.0400,104.1400,104.3800,103.7528,780295,0.0000,1.0000
2017-11-03,106.4200,106.7900,105.8300,105.9200,105.2835,809369,0.0000,1.0000
2017-11-02,106.4100,106.7900,105.6600,106.5900,105.9495,870626,0.0000,1.0000
2017-11-01,106.5700,106.8700,105.6100,106.7300,106.0886,811000,0.0000,1.0000
2017-10-31,105.2100,106.3900,105.0200,106.1800,105.5419,1133409,0.0000,1.0000
2017-10-30,104.3300,105.6300,104.1900,104.7300,104.1007,1449681,0.0000,1.0000
2017-10-27,102.7600,104.1200,102.6200,104.0800,103.4546,1803630,0.0000,1.0000
2017-10-26,107.4700,107.5000,102.5200,102.8700,102.2518,2600484,0.0000,1.0000
2017-10-25,108.7000,109.0600,107.7500,108.6000,107.9474,1026881,0.0000,1.0000
2017-10-24,109.3900,109.7600,109.2300,109.3600,108.7028,786576,0.0000,1.0000
2017-10-23,109.1300,109.2800,107.9500,109.1200,108.4643,929946,0.0000,1.0000
2017-10-20,109.4900,109.9900,108.8600,109.0200,108.3649,716818,0.0000,1.0000
2017-10-19,110.0100,110.2300,109.0900,109.3500,108.6929,683463,0.0000,1.0000
2017-10-18,110.9200,110.9200,109.9900,110.0500,109.3887,671456,0.0000,1.0000
2017-10-17,110.7700,110.8900,110.0000,110.8200,110.1541,546015,0.0000,1.0000
2017-10-16,110.2200,110.9900,109.7500,110.9400,110.2733,601509,0.0000,1.0000
2017-10-13,110.2000,110.3600,109.4900,110.0700,109.4086,1035320,0.0000,1.0000
2017-10-12,109.4600,110.6400,109.4600,109.9700,109.3092,1030344,0.0000,1.0000
2017-10-11,109.0900,110.3900,109.0900,109.5200,108.8619,873856,0.0000,1.0000
2017-10-10,108.1300,109.0900,107.3800,109.0300,108.3748,616433,0.0000,1.0000
2017-10-09,108.7300,108.9400,107.7200,107.8900,107.2417,597043,0.0000,1.0000
2017-10-06,108.8600,109.2300,108.3100,108.6500,107.9971,988429,0.0000,1.0000
2017-10-05,108.3800,108.9800,108.0700,108.9200,108.2655,869282,0.0000,1.0000
2017-10-04,107.9500,109.0000,107.1200,108.2400,107.5896,810522,0.0000,1.0000
2017-10-03,108.9500,109.1100,107.3600,107.6600,107.0130,943073,0.0000,1.0000
2017-10-02,109.2000,109.6800,108.6900,108.8400,108.1860,876611,0.0000,1.0000
2017-09-29,108.0800,109.4800,107.7800,109.1700,108.5140,1187792,0.0000,1.0000
2017-09-28,107.6100,108.7500,107.4000,107.8200,107.1721,896523,0.0000,1.0000
2017-09-27,107.2500,108.2900,107.2000,108.2200,107.5697,1166294,0.0000,1.0000
2017-09-26,107.0100,107.4100,106.6100,107.2100,106.5658,831620,0.0000,1.0000
2017-09-25,106.6000,106.8900,105.9400,106.8300,106.1880,1480204,0.0000,1.0000
2017-09-22,107.6300,107.8600,106.0000,106.4800,105.8401,1146993,0.0000,1.0000
2017-09-21,108.5000,108.6400,107.0800,107.5500,106.9037,902412,0.0000,1.0000
2017-09-20,108.9300,109.2400,107.7300,108.4200,107.7685,686134,0.0000,1.0000
2017-09-19,109.6700,109.8100,109.1500,109.4100,108.7525,944999,0.0000,1.0000
2017-09-18,110.5300,110.6900,109.5500,109.7500,109.0905,919090,0.0000,1.0000
2017-09-15,109.4300,110.5500,109.4300,110.5000,109.8360,1221967,0.0000,1.0000
2017-09-14,109.1800,109.5100,108.9200,109.3200,108.6631,537863,0.0000,1.0000
2017-09-13,109.2100,110.6000,109.0500,109.4200,108.7625,777275,0.0000,1.0000
