timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,263.8800,267.1200,262.5600,265.2100,265.2100,770689,0.0000,1.0000
2018-01-10,262.2700,263.8400,261.0100,263.1000,263.1000,926400,0.0000,1.0000
2018-01-09,257.8600,264.0800,257.5500,263.0800,263.0800,1162800,0.0000,1.0000
2018-01-08,263.8800,263.8800,257.0500,258.5500,258.5500,1313000,0.0000,1.0000
2018-01-05,258.4200,264.9000,258.3900,264.3300,264.3300,1226500,0.0000,1.0000
2018-01-04,252.8600,259.9700,252.8600,258.3600,258.3600,1346100,0.0000,1.0000
2018-01-03,252.0300,256.6000,250.2500,251.2800,251.2800,1214700,0.0000,1.0000
2018-01-02,249.3600,252.8600,248.0100,251.6400,251.6400,816900,0.0000,1.0000
2017-12-29,250.0300,250.9300,247.9700,248.0700,248.0700,794600,0.0000,1.0000
2017-12-28,248.5000,250.4900,247.7100,249.0100,249.0100,824000,0.0000,1.0000
2017-12-27,246.0100,249.7500,245.4800,248.1500,248.1500,1084300,0.0000,1.0000
2017-12-26,245.0900,249.9300,245.0900,246.2500,246.2500,980400,0.0000,1.0000
2017-12-22,244.2700,245.3700,242.8100,245.0000,245.0000,692900,0.0000,1.0000
2017-12-21,244.9300,246.5500,243.2900,243.5800,243.5800,889400,0.0000,1.0000
2017-12-20,245.0000,247.2500,244.4100,245.1600,245.1600,1037700,0.0000,1.0000
2017-12-19,245.7200,248.0900,242.0000,245.1600,245.1600,1654200,0.0000,1.0000
2017-12-18,253.3600,253.3700,246.3500,246.3800,246.3800,1262000,0.0000,1.0000
2017-12-15,252.5600,257.2400,250.0000,253.6400,253.6400,2329500,0.0000,1.0000
2017-12-14,258.2800,258.8000,250.4100,250.6100,250.6100,1352800,0.0000,1.0000
2017-12-13,254.6300,258.0700,253.2400,256.2400,256.2400,1004100,0.0000,1.0000
2017-12-12,252.8800,255.6500,250.8300,254.6400,254.6400,898900,0.0000,1.0000
2017-12-11,256.4900,257.5500,251.7500,253.0300,253.0300,947300,0.0000,1.0000
2017-12-08,253.5600,258.1100,251.7600,256.4900,256.4900,985200,0.0000,1.0000
2017-12-07,251.9000,255.1900,250.7100,253.9000,253.9000,1031700,0.0000,1.0000
2017-12-06,254.0600,254.5700,249.4000,250.3000,250.3000,1295700,0.0000,1.0000
2017-12-05,252.2700,255.6600,251.3200,253.3400,253.3400,927700,0.0000,1.0000
2017-12-04,261.5200,262.5000,251.1900,252.2800,252.2800,2500000,0.0000,1.0000
2017-12-01,260.8100,261.9700,251.6200,258.5300,258.5300,1370700,0.0000,1.0000
2017-11-30,251.1200,261.3400,250.2900,260.8600,260.8600,1937500,0.0000,1.0000
2017-11-29,243.6400,251.0600,242.7700,250.1300,250.1300,1452900,0.0000,1.0000
2017-11-28,243.7500,245.2400,241.5700,244.2200,244.2200,1075200,0.0000,1.0000
2017-11-27,241.8200,244.0700,239.5400,243.5600,243.5600,1743500,0.0000,1.0000
2017-11-24,239.3800,241.7400,237.2000,240.5100,240.5100,557600,0.0000,1.0000
2017-11-22,236.6400,239.4200,235.5600,238.3000,238.3000,1259700,0.0000,1.0000
2017-11-21,234.0400,236.7000,233.8200,236.4200,236.4200,1200100,0.0000,1.0000
2017-11-20,233.1600,235.3000,231.9000,233.4800,233.4800,1768400,0.0000,1.0000
2017-11-17,234.8800,237.6900,233.2800,233.4600,233.4600,1032400,0.0000,1.0000
2017-11-16,233.8900,238.0600,232.8700,235.9100,235.9100,2041300,0.0000,1.0000
2017-11-15,239.4100,239.4100,233.1300,233.2800,233.2800,1618800,0.0000,1.0000
2017-11-14,240.7400,241.5700,237.9000,239.5600,239.5600,1925400,0.0000,1.0000
2017-11-13,244.4900,244.9700,240.7700,240.9400,240.9400,1445100,0.0000,1.0000
2017-11-10,245.9500,247.2600,241.6200,244.3900,244.3900,1265500,0.0000,1.0000
2017-11-09,241.3800,247.5100,240.2900,247.4600,247.4600,1950900,0.0000,1.0000
2017-11-08,252.8600,254.1600,238.5900,243.4800,243.4800,2594300,0.0000,1.0000
2017-11-07,255.1400,257.2300,253.9900,256.3100,256.3100,1075400,0.0000,1.0000
2017-11-06,256.0800,258.3300,253.8200,254.4800,254.4800,1197700,0.0000,1.0000
2017-11-03,255.9100,258.5300,253.9400,256.6900,256.6900,688600,0.0000,1.0000
2017-11-02,254.9200,257.9100,253.9200,256.3500,256.3500,656300,0.0000,1.0000
2017-11-01,256.2500,258.4900,254.2500,255.4800,255.4800,604900,0.0000,1.0000
2017-10-31,255.6700,256.8500,253.1700,255.3500,255.3500,796100,0.0000,1.0000
2017-10-30,258.9200,260.3100,255.3700,255.6600,255.6600,1374100,0.0000,1.0000
2017-10-27,252.4600,264.5600,251.2300,258.9700,258.9700,1892200,0.0000,1.0000
2017-10-26,249.9400,254.2800,248.3200,251.5200,251.5200,1142100,0.0000,1.0000
2017-10-25,247.0700,249.0700,245.9100,248.3600,248.3600,744600,0.0000,1.0000
2017-10-24,245.4400,247.5400,243.1000,246.4900,246.4900,648400,0.0000,1.0000
2017-10-23,246.1500,248.9000,244.1800,246.1300,246.1300,729500,0.0000,1.0000
2017-10-20,243.9000,246.8900,243.2700,245.8100,245.8100,742200,0.0000,1.0000
2017-10-19,241.3500,243.0100,238.5800,242.6900,242.6900,796700,0.0000,1.0000
