timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,74.9600,75.5900,74.8000,75.2700,75.2700,2133381,0.0000,1.0000
2018-01-17,74.8900,75.0500,74.4200,74.8000,74.8000,1954580,0.0000,1.0000
2018-01-16,74.9900,75.5800,74.3400,74.5800,74.5800,2137700,0.0000,1.0000
2018-01-12,74.6100,75.0100,74.4900,74.7800,74.7800,1699323,0.0000,1.0000
2018-01-11,74.4600,74.6100,74.0200,74.3800,74.3800,2178501,0.0000,1.0000
2018-01-10,74.1000,74.5500,73.7600,74.4600,74.4600,2476500,0.0000,1.0000
2018-01-09,73.2500,74.3300,73.2100,74.0500,74.0500,2413600,0.0000,1.0000
2018-01-08,72.9100,73.3400,72.5900,73.1200,73.1200,1952000,0.0000,1.0000
2018-01-05,72.1600,72.8900,71.9500,72.8500,72.8500,2152200,0.0000,1.0000
2018-01-04,70.9100,72.9400,70.6200,72.2500,72.2500,3035000,0.0000,1.0000
2018-01-03,69.9400,71.2800,69.6000,70.9100,70.9100,4312600,0.0000,1.0000
2018-01-02,70.7700,70.7700,69.5600,69.8500,69.8500,3195300,0.0000,1.0000
2017-12-29,70.8700,71.1700,70.4700,70.5600,70.5600,1865300,0.0000,1.0000
2017-12-28,70.3600,70.6100,70.0900,70.5200,70.5200,1680900,0.0000,1.0000
2017-12-27,70.2900,70.5900,69.9800,70.2700,70.2700,3004500,0.0000,1.0000
2017-12-26,70.2400,70.3800,69.6900,70.0400,70.0400,1024900,0.0000,1.0000
2017-12-22,70.4300,70.6600,69.8300,70.2500,70.2500,2407200,0.0000,1.0000
2017-12-21,70.2200,70.5400,69.9400,70.1100,70.1100,2040100,0.0000,1.0000
2017-12-20,71.2100,71.2700,69.8200,70.0200,70.0200,3457400,0.0000,1.0000
2017-12-19,71.5000,71.8800,71.0500,71.0700,71.0700,3645200,0.0000,1.0000
2017-12-18,70.7900,71.3500,70.6800,71.2100,71.2100,2587200,0.0000,1.0000
2017-12-15,70.9300,71.2900,70.4200,70.4900,70.4900,3811400,0.0000,1.0000
2017-12-14,70.5600,71.0800,70.0700,70.3200,70.3200,2982100,0.0000,1.0000
2017-12-13,71.0300,71.4800,70.4500,70.4800,70.4800,2007900,0.0000,1.0000
2017-12-12,71.2100,71.3700,70.8100,71.2000,71.0000,2128900,0.0000,1.0000
2017-12-11,70.9500,71.1800,70.5000,70.8100,70.6111,1482800,0.0000,1.0000
2017-12-08,70.2700,70.9400,69.9200,70.9300,70.7308,1653100,0.0000,1.0000
2017-12-07,70.4800,70.6800,69.3000,70.3900,70.1923,2652500,0.0000,1.0000
2017-12-06,71.0300,71.1700,70.1100,70.7400,70.5413,2282400,0.0000,1.0000
2017-12-05,71.7500,72.3200,70.3100,70.9500,70.7507,3436500,0.0000,1.0000
