timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,36.4000,36.4000,36.0500,36.3300,36.3300,1882117,0.0000,1.0000
2018-01-16,36.3600,37.1100,36.2000,36.2300,36.2300,1346001,0.0000,1.0000
2018-01-12,36.5800,36.6000,36.0500,36.2200,36.2200,1665066,0.0000,1.0000
2018-01-11,36.5000,36.6800,36.1610,36.5800,36.5800,1949188,0.0000,1.0000
2018-01-10,36.7500,36.7800,36.2400,36.5500,36.5500,1335800,0.0000,1.0000
2018-01-09,37.0800,37.2800,36.8200,36.8300,36.8300,1122500,0.0000,1.0000
2018-01-08,36.7100,37.1100,36.4300,37.0400,37.0400,1442600,0.0000,1.0000
2018-01-05,37.0000,37.1600,36.5600,36.8000,36.8000,1893200,0.0000,1.0000
2018-01-04,37.1300,37.2800,36.8900,36.9200,36.9200,1827800,0.0000,1.0000
2018-01-03,37.5900,37.6900,37.0100,37.1000,37.1000,1869700,0.0000,1.0000
2018-01-02,37.8000,37.9400,37.4600,37.6100,37.6100,1307700,0.0000,1.0000
2017-12-29,38.0300,38.1300,37.7000,37.7300,37.7300,1084900,0.0000,1.0000
2017-12-28,37.4600,38.0400,37.4500,37.9800,37.9800,1186000,0.0000,1.0000
2017-12-27,37.7700,37.9500,37.3200,37.4500,37.4500,1376300,0.0000,1.0000
2017-12-26,37.7300,38.0000,37.5000,37.6600,37.6600,1148400,0.0000,1.0000
2017-12-22,37.2100,37.7200,37.2000,37.6600,37.6600,2339900,0.0000,1.0000
2017-12-21,37.2800,37.4200,36.9300,37.1500,37.1500,1488800,0.0000,1.0000
2017-12-20,37.9300,38.0800,37.1700,37.1800,37.1800,2254400,0.0000,1.0000
2017-12-19,37.9700,38.3400,37.7700,37.9500,37.9500,1531600,0.0000,1.0000
2017-12-18,37.8200,38.3900,37.8200,37.9400,37.9400,2340800,0.0000,1.0000
2017-12-15,38.0700,38.1600,37.5000,37.6800,37.6800,6050800,0.0000,1.0000
2017-12-14,37.9300,38.8500,37.9100,37.9600,37.9600,4013300,0.0000,1.0000
2017-12-13,37.9500,38.4200,37.7500,38.3400,37.7520,7927000,0.0000,1.0000
2017-12-12,38.3600,39.4900,37.5900,37.8000,37.2203,8606900,0.0000,1.0000
2017-12-11,40.2400,40.7500,40.0400,40.7000,40.0758,801900,0.0000,1.0000
2017-12-08,40.0700,40.1600,39.9200,40.1200,39.5047,1050700,0.0000,1.0000
2017-12-07,40.0700,40.1500,39.8300,39.9900,39.3767,725000,0.0000,1.0000
2017-12-06,40.3400,40.4200,40.0700,40.0700,39.4555,982600,0.0000,1.0000
2017-12-05,40.5500,40.6300,40.3400,40.3500,39.7312,762000,0.0000,1.0000
2017-12-04,40.9100,41.0700,40.5100,40.5300,39.9084,1626000,0.0000,1.0000
2017-12-01,40.8900,41.1300,40.3500,40.7500,40.1250,1260600,0.0000,1.0000
2017-11-30,40.5700,40.9300,40.5500,40.8700,40.2432,1408100,0.0000,1.0000
2017-11-29,40.7000,40.8000,40.4100,40.5200,39.8986,1191900,0.0000,1.0000
2017-11-28,40.6000,41.0700,40.5500,40.6800,40.0561,1279900,0.0000,1.0000
2017-11-27,41.4000,41.4600,40.2100,40.5000,39.8789,2999900,0.0000,1.0000
2017-11-24,41.2500,41.5100,41.1500,41.4400,40.8045,511900,0.0000,1.0000
2017-11-22,41.2900,41.3300,40.4900,41.1400,40.5091,980200,0.0000,1.0000
2017-11-21,41.0000,41.5300,40.7900,41.3500,40.7158,1839400,0.0000,1.0000
2017-11-20,40.7500,40.9200,40.4600,40.9200,40.2924,765400,0.0000,1.0000
2017-11-17,40.6700,40.7800,40.3000,40.7700,40.1447,1352800,0.0000,1.0000
2017-11-16,40.5900,40.9900,40.0000,40.8200,40.1940,1517600,0.0000,1.0000
2017-11-15,41.0000,41.0000,40.5100,40.5300,39.9084,812200,0.0000,1.0000
2017-11-14,40.8200,41.1800,40.6300,41.0000,40.3712,1164600,0.0000,1.0000
2017-11-13,40.7400,41.0300,40.6600,40.9900,40.3614,752200,0.0000,1.0000
2017-11-10,40.4100,40.8300,40.4100,40.6600,40.0364,931300,0.0000,1.0000
2017-11-09,40.5900,41.0000,40.5300,40.6300,40.0069,614000,0.0000,1.0000
2017-11-08,40.6000,40.9200,40.6000,40.7700,40.1447,993300,0.0000,1.0000
2017-11-07,40.6300,40.9600,40.3900,40.6000,39.9773,1007000,0.0000,1.0000
2017-11-06,40.1400,40.8700,40.1400,40.6400,40.0167,929600,0.0000,1.0000
2017-11-03,39.6700,40.1400,39.5600,40.1200,39.5047,593800,0.0000,1.0000
2017-11-02,39.9200,40.2800,39.7400,39.8900,39.2782,913500,0.0000,1.0000
2017-11-01,40.1800,40.3300,39.7600,39.8100,39.1995,827000,0.0000,1.0000
2017-10-31,40.0300,40.0500,39.5900,40.0000,39.3865,1151000,0.0000,1.0000
2017-10-30,39.9200,40.1400,39.7600,40.1100,39.4949,1037200,0.0000,1.0000
2017-10-27,39.3700,40.0200,39.3300,40.0000,39.3865,1065000,0.0000,1.0000
2017-10-26,39.9500,40.1100,39.6500,39.6600,39.0518,948400,0.0000,1.0000
2017-10-25,39.7600,40.1600,39.0100,39.8100,39.1995,1868600,0.0000,1.0000
2017-10-24,40.1000,40.2400,39.8400,39.9000,39.2881,1692400,0.0000,1.0000
2017-10-23,41.0000,41.0100,40.0000,40.0600,39.4456,1675500,0.0000,1.0000
2017-10-20,41.0500,41.1700,40.7900,40.9200,40.2924,848500,0.0000,1.0000
2017-10-19,40.7300,41.1600,40.5100,40.9600,40.3318,1021000,0.0000,1.0000
2017-10-18,40.2700,41.0800,40.2300,40.7900,40.1644,2147100,0.0000,1.0000
2017-10-17,39.7800,40.1400,39.6000,40.1100,39.4949,998700,0.0000,1.0000
2017-10-16,39.8600,39.9600,39.6200,39.8100,39.1995,651500,0.0000,1.0000
2017-10-13,40.0000,40.0000,39.4800,39.8600,39.2487,889100,0.0000,1.0000
2017-10-12,38.8500,39.8700,38.7800,39.8100,39.1995,1329000,0.0000,1.0000
2017-10-11,38.8700,39.2800,38.7100,38.9400,38.3428,1207500,0.0000,1.0000
2017-10-10,38.4200,38.8400,38.4200,38.8000,38.2049,635900,0.0000,1.0000
2017-10-09,38.1300,38.6200,38.1300,38.3200,37.7323,976100,0.0000,1.0000
2017-10-06,38.0700,38.3600,37.5100,38.1200,37.5354,2530200,0.0000,1.0000
2017-10-05,39.0700,39.3700,38.9800,39.0100,38.4117,890800,0.0000,1.0000
2017-10-04,38.9600,39.1400,38.4800,39.0200,38.4216,1091400,0.0000,1.0000
2017-10-03,39.1400,39.2800,38.7000,38.9500,38.3526,809300,0.0000,1.0000
2017-10-02,38.8300,39.3700,38.6200,39.2500,38.6480,1018300,0.0000,1.0000
2017-09-29,38.7300,39.1000,38.6000,38.9000,38.3034,1091300,0.0000,1.0000
2017-09-28,38.1100,38.8700,37.9600,38.7800,38.1852,1042100,0.0000,1.0000
2017-09-27,39.2900,39.3800,38.0800,38.1300,37.5452,1832000,0.0000,1.0000
2017-09-26,40.1900,40.2000,39.3500,39.3600,38.7564,1038700,0.0000,1.0000
2017-09-25,40.1900,40.4400,40.0000,40.0800,39.4653,935900,0.0000,1.0000
2017-09-22,39.8800,40.6400,39.8800,40.1300,39.5145,821400,0.0000,1.0000
2017-09-21,39.6700,39.9000,39.4200,39.7700,39.1601,918700,0.0000,1.0000
2017-09-20,39.9100,40.1000,39.4200,39.7200,39.1108,1452200,0.0000,1.0000
2017-09-19,39.4700,39.8400,39.4100,39.8400,39.2290,1276300,0.0000,1.0000
2017-09-18,39.5100,39.8700,39.2700,39.4200,38.8154,1044800,0.0000,1.0000
2017-09-15,39.1300,39.6600,39.1300,39.4700,38.8647,4769800,0.0000,1.0000
2017-09-14,39.1600,39.2500,38.5500,39.1500,38.5496,1411500,0.0000,1.0000
2017-09-13,40.1200,40.1700,39.5900,39.7100,38.5594,1376500,0.0000,1.0000
2017-09-12,40.3700,40.4400,40.0100,40.1400,38.9770,1055700,0.0000,1.0000
2017-09-11,40.0500,40.3900,40.0100,40.3800,39.2100,937800,0.0000,1.0000
2017-09-08,39.7700,40.2300,39.7700,40.0400,38.8799,1379700,0.0000,1.0000
2017-09-07,39.4300,39.9400,39.4000,39.8700,38.7148,905600,0.0000,1.0000
2017-09-06,39.6400,39.7300,39.2100,39.2400,38.1030,1210600,0.0000,1.0000
2017-09-05,39.5300,39.9900,39.4000,39.5600,38.4138,1303200,0.0000,1.0000
2017-09-01,39.4400,39.5600,39.2900,39.4400,38.2972,901700,0.0000,1.0000
2017-08-31,39.6000,39.7400,39.3600,39.4200,38.2778,1388100,0.0000,1.0000
2017-08-30,39.1100,39.5800,38.9700,39.5100,38.3652,1358000,0.0000,1.0000
2017-08-29,39.0300,39.4300,38.9800,39.2400,38.1030,1368700,0.0000,1.0000
2017-08-28,38.4700,39.2800,38.3400,39.0600,37.9283,1781200,0.0000,1.0000
2017-08-25,38.7300,38.7800,38.4700,38.4700,37.3554,947600,0.0000,1.0000
2017-08-24,38.3700,38.8000,38.1700,38.5300,37.4136,1276400,0.0000,1.0000
2017-08-23,37.6500,38.7200,37.6000,38.3900,37.2777,1312300,0.0000,1.0000
2017-08-22,37.5800,37.9200,37.5000,37.7300,36.6368,849200,0.0000,1.0000
2017-08-21,36.9700,37.8000,36.9200,37.5800,36.4911,838500,0.0000,1.0000
2017-08-18,37.1500,37.2100,36.6400,36.8900,35.8211,835000,0.0000,1.0000
2017-08-17,37.4700,37.7300,37.0900,37.1300,36.0542,1332800,0.0000,1.0000
2017-08-16,37.5100,37.6400,36.9800,37.4900,36.4037,2085100,0.0000,1.0000
2017-08-15,37.5500,37.5500,37.0900,37.3900,36.3066,966400,0.0000,1.0000
2017-08-14,37.3900,37.8600,37.2800,37.6300,36.5397,924400,0.0000,1.0000
2017-08-11,37.7100,37.7400,37.0900,37.1300,36.0542,1066500,0.0000,1.0000
2017-08-10,38.2000,38.2000,37.7400,37.8300,36.7339,1283100,0.0000,1.0000
2017-08-09,37.3300,38.3700,37.2500,38.3100,37.2000,1728200,0.0000,1.0000
2017-08-08,37.0700,37.6600,37.0500,37.1800,36.1027,1014500,0.0000,1.0000
2017-08-07,36.9100,37.2300,36.7700,37.1200,36.0445,543700,0.0000,1.0000
2017-08-04,37.3500,37.5700,36.7700,37.0000,35.9279,1056700,0.0000,1.0000
2017-08-03,37.0000,37.7600,36.8700,37.4000,36.3164,1239200,0.0000,1.0000
2017-08-02,36.8300,37.0200,36.4900,36.9200,35.8503,1049000,0.0000,1.0000
2017-08-01,36.3700,37.2500,36.3700,36.8700,35.8017,1540900,0.0000,1.0000
2017-07-31,35.1900,36.7200,35.1900,36.4300,35.3745,2486700,0.0000,1.0000
2017-07-28,34.7900,35.4400,34.3500,35.1900,34.1704,1752900,0.0000,1.0000
2017-07-27,34.9500,35.0100,34.6700,34.7600,33.7529,827700,0.0000,1.0000
2017-07-26,35.0400,35.1100,34.7600,34.9600,33.9471,956600,0.0000,1.0000
2017-07-25,35.0000,35.0000,34.6300,34.8600,33.8499,793800,0.0000,1.0000
2017-07-24,34.9800,35.0500,34.6700,34.8900,33.8791,691500,0.0000,1.0000
2017-07-21,34.6900,35.0600,34.6100,35.0000,33.9859,606300,0.0000,1.0000
2017-07-20,34.9800,35.1200,34.6800,34.6900,33.6849,821100,0.0000,1.0000
2017-07-19,34.6900,34.9900,34.5600,34.9500,33.9373,477900,0.0000,1.0000
2017-07-18,34.7100,34.8500,34.5700,34.6800,33.6752,598100,0.0000,1.0000
2017-07-17,34.6400,34.8200,34.3600,34.7400,33.7334,853400,0.0000,1.0000
2017-07-14,34.2300,34.8800,34.1100,34.7800,33.7723,943900,0.0000,1.0000
2017-07-13,33.9700,34.1300,33.8200,33.9400,32.9566,965300,0.0000,1.0000
2017-07-12,33.6000,34.1500,33.5000,33.9900,33.0052,935800,0.0000,1.0000
2017-07-11,33.4900,33.4900,32.9200,33.3400,32.3740,1121400,0.0000,1.0000
2017-07-10,34.4000,34.4400,33.4500,33.4600,32.4905,1358400,0.0000,1.0000
2017-07-07,34.1900,34.6600,34.0600,34.4300,33.4324,866300,0.0000,1.0000
2017-07-06,34.3800,34.5500,33.8900,34.0700,33.0828,838400,0.0000,1.0000
2017-07-05,34.8100,34.8900,34.2000,34.5200,33.5198,864700,0.0000,1.0000
2017-07-03,34.6500,35.0400,34.6200,34.8800,33.8694,469000,0.0000,1.0000
2017-06-30,34.2100,34.5100,33.9200,34.3600,33.3644,1007500,0.0000,1.0000
2017-06-29,34.5500,34.7900,33.8800,34.1900,33.1994,919500,0.0000,1.0000
2017-06-28,34.5100,34.9800,34.3000,34.7200,33.7140,743100,0.0000,1.0000
2017-06-27,34.5600,34.9900,34.2300,34.2700,33.2771,697700,0.0000,1.0000
2017-06-26,34.5900,34.8500,34.5700,34.7500,33.7431,524600,0.0000,1.0000
2017-06-23,34.1200,34.5900,34.0700,34.5200,33.5198,1266900,0.0000,1.0000
2017-06-22,34.0400,34.2300,33.8300,34.1200,33.1314,835400,0.0000,1.0000
2017-06-21,34.7500,34.7500,33.9800,34.0500,33.0634,980900,0.0000,1.0000
2017-06-20,34.7400,34.9500,34.6000,34.8100,33.8014,1068600,0.0000,1.0000
2017-06-19,34.2000,34.7300,34.1600,34.7200,33.7140,742700,0.0000,1.0000
2017-06-16,34.7400,34.7500,34.0600,34.2100,33.2188,1900900,0.0000,1.0000
2017-06-15,33.9400,34.7900,33.9300,34.6200,33.6169,1020000,0.0000,1.0000
2017-06-14,34.5000,34.6500,34.0800,34.1900,33.1994,911800,0.0000,1.0000
2017-06-13,33.7200,34.4200,33.7000,34.2100,33.2188,1491600,0.0000,1.0000
2017-06-12,33.3100,34.3100,33.3100,34.3000,32.7721,1482000,0.0000,1.0000
2017-06-09,33.2400,33.4600,33.0300,33.3100,31.8262,1414400,0.0000,1.0000
2017-06-08,33.6900,33.6900,33.0600,33.4500,31.9600,2316900,0.0000,1.0000
2017-06-07,34.5000,34.6000,32.5300,33.6900,32.1893,4726800,0.0000,1.0000
2017-06-06,34.9900,35.1000,34.7000,35.0000,33.4409,689300,0.0000,1.0000
2017-06-05,35.1400,35.3500,34.7600,34.8100,33.2594,955400,0.0000,1.0000
2017-06-02,35.2200,35.6900,35.1600,35.2600,33.6893,946800,0.0000,1.0000
2017-06-01,34.9900,35.0400,34.6400,34.9900,33.4314,1202400,0.0000,1.0000
2017-05-31,35.1600,35.3100,34.8300,34.9200,33.3645,1590800,0.0000,1.0000
2017-05-30,35.1500,35.3900,35.0100,35.0400,33.4791,658100,0.0000,1.0000
2017-05-26,35.1100,35.2500,34.9900,35.1700,33.6034,708900,0.0000,1.0000
2017-05-25,34.9100,35.1300,34.7500,35.0800,33.5174,949900,0.0000,1.0000
2017-05-24,34.8100,35.1700,34.6000,34.8000,33.2498,1256000,0.0000,1.0000
2017-05-23,34.8800,35.0100,34.6700,34.7200,33.1734,703200,0.0000,1.0000
2017-05-22,35.0000,35.1200,34.4900,34.8100,33.2594,1247400,0.0000,1.0000
2017-05-19,35.4900,35.4900,34.9000,34.9800,33.4218,1183200,0.0000,1.0000
2017-05-18,35.1400,35.6900,34.8500,35.4100,33.8327,2426000,0.0000,1.0000
