timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,121.3800,121.7200,119.8000,120.6500,120.6500,1237670,0.0000,1.0000
2018-01-16,121.4200,121.4900,119.6900,120.6400,120.6400,1062395,0.0000,1.0000
2018-01-12,121.3300,121.5079,119.6200,121.0600,121.0600,978426,0.0000,1.0000
2018-01-11,117.3600,121.1900,116.7500,120.9300,120.9300,937832,0.0000,1.0000
2018-01-10,120.3500,120.6600,119.3900,120.1100,120.1100,889300,0.0000,1.0000
2018-01-09,118.4000,120.5400,118.3400,120.3100,120.3100,945800,0.0000,1.0000
2018-01-08,116.1400,118.1700,116.1300,118.0300,118.0300,828800,0.0000,1.0000
2018-01-05,117.6400,118.0400,115.3300,116.2700,116.2700,1436200,0.0000,1.0000
2018-01-04,117.1700,118.0600,115.4300,116.8900,116.8900,1318000,0.0000,1.0000
2018-01-03,116.3300,118.0500,115.9500,116.8700,116.8700,980200,0.0000,1.0000
2018-01-02,115.9600,116.8900,114.7400,116.0900,116.0900,863600,0.0000,1.0000
2017-12-29,115.3500,116.8400,114.8200,114.9800,114.9800,1133900,0.0000,1.0000
2017-12-28,111.3800,115.3700,111.3300,115.2400,115.2400,1355500,0.0000,1.0000
2017-12-27,114.9600,115.5500,114.4300,115.4700,115.4700,348700,0.0000,1.0000
2017-12-26,115.0000,115.7400,114.4000,114.9200,114.9200,503500,0.0000,1.0000
2017-12-22,112.6300,114.9600,112.3300,114.5300,114.5300,789400,0.0000,1.0000
2017-12-21,113.1600,113.4900,111.1000,112.7200,112.7200,846500,0.0000,1.0000
2017-12-20,113.6800,113.8300,112.5400,112.7500,112.7500,1323400,0.0000,1.0000
2017-12-19,113.0200,113.0200,111.9700,112.7400,112.7400,772000,0.0000,1.0000
2017-12-18,113.2000,113.6400,112.6700,112.8300,112.8300,846400,0.0000,1.0000
2017-12-15,111.8900,113.0400,111.0200,112.3700,112.3700,1442300,0.0000,1.0000
2017-12-14,112.0000,112.2400,110.9500,111.3900,111.3900,796000,0.0000,1.0000
2017-12-13,111.1500,112.8100,110.7900,111.8700,111.8700,1089200,0.0000,1.0000
2017-12-12,111.6700,111.6700,110.5200,111.2400,111.2400,978700,0.0000,1.0000
