timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,85.8000,86.3610,85.4700,86.2100,86.2100,4046344,0.0000,1.0000
2018-01-16,85.9300,86.5900,85.1500,85.2900,85.2900,4771564,0.0000,1.0000
2018-01-12,86.5200,87.4080,86.0300,86.9800,86.9800,2728878,0.0000,1.0000
2018-01-11,86.1700,86.5900,85.8700,86.3900,86.3900,2647480,0.0000,1.0000
2018-01-10,85.6100,86.1700,85.4900,86.1000,86.1000,1673330,0.0000,1.0000
2018-01-09,86.2000,86.4200,85.7400,86.0600,86.0600,2425989,0.0000,1.0000
2018-01-08,86.6900,86.7090,85.4000,86.1300,86.1300,3015436,0.0000,1.0000
2018-01-05,86.0900,86.7500,85.9300,86.5700,86.5700,2910172,0.0000,1.0000
2018-01-04,85.2800,85.8000,84.7400,85.5200,85.5200,2459830,0.0000,1.0000
2018-01-03,84.7400,85.4150,84.2700,85.1400,85.1400,3068865,0.0000,1.0000
2018-01-02,84.4600,85.0000,84.0600,84.6800,84.6800,3455236,0.0000,1.0000
2017-12-29,85.1200,85.4400,84.4600,84.4600,84.4600,2551377,0.0000,1.0000
2017-12-28,85.3000,85.4400,84.8900,85.0500,85.0500,1731683,0.0000,1.0000
2017-12-27,85.1900,85.4590,84.9800,85.1400,85.1400,1301457,0.0000,1.0000
2017-12-26,85.2900,85.4300,84.9600,84.9900,84.9900,1099897,0.0000,1.0000
2017-12-22,85.6700,85.7800,84.7500,85.0700,85.0700,1743038,0.0000,1.0000
2017-12-21,86.1100,86.1800,85.4350,85.6100,85.6100,1937645,0.0000,1.0000
2017-12-20,86.5700,86.9400,85.6400,85.7400,85.7400,3015254,0.0000,1.0000
2017-12-19,86.2400,86.7700,85.8500,86.7100,86.7100,4022483,0.0000,1.0000
2017-12-18,86.9700,87.4500,85.9900,86.0800,86.0800,3722456,0.0000,1.0000
2017-12-15,86.6900,87.6050,86.2700,86.5400,86.5400,6109217,0.0000,1.0000
2017-12-14,88.1400,88.3300,86.1200,86.5000,86.5000,4364272,0.0000,1.0000
2017-12-13,86.4100,89.0899,86.3400,87.8900,87.8900,5769573,0.0000,1.0000
2017-12-12,86.4900,86.9000,85.9910,86.7100,86.7100,4249629,0.0000,1.0000
2017-12-11,86.4600,86.8400,86.0700,86.6700,86.6700,3336804,0.0000,1.0000
2017-12-08,85.6600,86.4600,85.4700,86.4500,86.4500,3756428,0.0000,1.0000
2017-12-07,85.2100,85.8700,84.6500,85.8700,85.8700,4342995,0.0000,1.0000
2017-12-06,86.0400,86.3900,84.5300,85.3200,85.3200,3126047,0.0000,1.0000
2017-12-05,85.5900,86.5800,85.2100,86.0600,86.0600,3868734,0.0000,1.0000
2017-12-04,85.4900,86.7800,85.3600,85.5800,85.5800,4224457,0.0000,1.0000
2017-12-01,84.9800,85.4100,84.1800,85.3200,85.3200,2736331,0.0000,1.0000
2017-11-30,85.2500,85.4800,84.3200,84.6400,84.6400,5002100,0.0000,1.0000
2017-11-29,84.7900,85.2400,84.4500,84.9600,84.9600,2316034,0.0000,1.0000
2017-11-28,85.0700,85.3600,84.7400,85.0500,85.0500,2616891,0.0000,1.0000
2017-11-27,84.1500,85.2500,84.0300,84.8100,84.8100,2980862,0.0000,1.0000
2017-11-24,83.8700,84.1700,83.5800,84.0300,84.0300,817624,0.0000,1.0000
2017-11-22,83.6700,84.2600,83.4800,83.6800,83.6800,2227682,0.0000,1.0000
2017-11-21,83.6500,84.5300,83.3700,83.5100,83.5100,3528321,0.0000,1.0000
2017-11-20,83.0900,83.3200,82.8200,83.1800,83.1800,2205863,0.0000,1.0000
2017-11-17,83.0000,83.4800,82.8000,82.8900,82.8900,4092443,0.0000,1.0000
2017-11-16,82.4100,83.6300,81.8400,83.4400,83.4400,2594709,0.0000,1.0000
2017-11-15,82.5100,83.1400,81.4200,82.1900,82.1900,1827865,0.0000,1.0000
2017-11-14,82.6900,83.1100,82.2100,82.4900,82.4900,2684795,0.5200,1.0000
2017-11-13,83.3300,83.3300,82.5300,82.8600,82.3409,2478737,0.0000,1.0000
2017-11-10,83.6700,83.8700,82.5700,83.2900,82.7682,2691533,0.0000,1.0000
2017-11-09,83.8200,84.2600,83.6300,83.9900,83.4639,2096762,0.0000,1.0000
2017-11-08,83.0000,84.3900,83.0000,84.0100,83.4837,2329113,0.0000,1.0000
2017-11-07,83.0400,83.4200,82.7700,83.2800,82.7583,1706956,0.0000,1.0000
2017-11-06,83.2900,83.4300,82.9200,82.9400,82.4204,1856541,0.0000,1.0000
2017-11-03,82.7100,83.5900,82.6600,83.5100,82.9869,1534808,0.0000,1.0000
2017-11-02,82.5500,83.9200,82.3100,83.1300,82.6092,2697249,0.0000,1.0000
2017-11-01,82.1700,83.8200,82.0000,82.8900,82.3708,3305537,0.0000,1.0000
2017-10-31,82.7600,83.1000,81.7200,81.9400,81.4267,3837470,0.0000,1.0000
2017-10-30,83.7600,83.7600,82.4300,82.6500,82.1323,4667181,0.0000,1.0000
2017-10-27,84.0700,84.8100,83.5900,83.8600,83.3347,2890662,0.0000,1.0000
2017-10-26,84.6700,85.1100,83.8300,84.1600,83.6328,3820737,0.0000,1.0000
2017-10-25,85.9100,86.3700,84.6800,84.8500,84.3185,3387641,0.0000,1.0000
2017-10-24,87.4200,88.3300,83.7500,85.1700,84.6365,8671970,0.0000,1.0000
2017-10-23,87.4700,88.1900,87.1200,87.1800,86.6339,4899884,0.0000,1.0000
2017-10-20,86.5200,87.3800,86.3300,87.2300,86.6836,3218361,0.0000,1.0000
2017-10-19,85.6900,86.3800,85.5100,86.3600,85.8190,3233406,0.0000,1.0000
2017-10-18,86.3300,86.5600,85.5200,85.7300,85.1930,3996812,0.0000,1.0000
2017-10-17,85.9400,86.5000,85.4200,86.0600,85.5209,3611395,0.0000,1.0000
2017-10-16,86.4800,86.7400,85.7800,85.9500,85.4116,3787730,0.0000,1.0000
2017-10-13,86.4000,86.7000,85.7100,86.5500,86.0078,3026538,0.0000,1.0000
2017-10-12,86.1000,86.4500,85.9100,86.4300,85.8886,1887794,0.0000,1.0000
2017-10-11,86.3500,86.6600,85.4500,86.0600,85.5209,3152907,0.0000,1.0000
2017-10-10,85.3800,86.7000,85.2500,86.1600,85.6203,4936331,0.0000,1.0000
2017-10-09,87.1400,87.2800,86.4600,87.0500,86.5047,1698825,0.0000,1.0000
2017-10-06,87.3100,87.4900,86.6400,87.0800,86.5345,2285061,0.0000,1.0000
2017-10-05,86.7700,89.0900,86.3900,87.6500,87.1009,5139850,0.0000,1.0000
2017-10-04,86.5000,87.1600,86.2800,86.9600,86.4153,2311985,0.0000,1.0000
2017-10-03,86.2400,86.5600,85.9300,86.4500,85.9085,2104050,0.0000,1.0000
2017-10-02,85.7800,86.6800,85.7400,86.3500,85.8091,2711850,0.0000,1.0000
2017-09-29,85.1700,85.6100,84.3900,85.5400,85.0042,3491966,0.0000,1.0000
2017-09-28,84.5900,85.5800,84.1500,85.0000,84.4675,2839762,0.0000,1.0000
2017-09-27,84.3400,84.8000,83.9700,84.6500,84.1197,3062469,0.0000,1.0000
2017-09-26,84.4300,85.1300,84.0100,84.2200,83.6924,2131203,0.0000,1.0000
2017-09-25,83.8700,84.6500,83.8000,84.6400,84.1098,4192074,0.0000,1.0000
2017-09-22,83.3400,84.0300,82.7400,83.9100,83.3844,3138534,0.0000,1.0000
2017-09-21,82.0100,83.7000,81.8800,83.3300,82.8080,4322690,0.0000,1.0000
2017-09-20,82.0600,82.4200,81.3900,82.0200,81.5062,2785591,0.0000,1.0000
2017-09-19,82.6400,82.8400,81.5500,81.7300,81.2180,2252117,0.0000,1.0000
2017-09-18,82.5500,82.6700,82.0700,82.5200,82.0031,2199956,0.0000,1.0000
2017-09-15,83.3000,83.5700,82.1800,82.4400,81.9236,5255786,0.0000,1.0000
2017-09-14,82.3300,83.9900,82.1200,83.0700,82.5496,3370295,0.0000,1.0000
2017-09-13,81.9600,82.5800,81.8800,82.4300,81.9136,2430831,0.0000,1.0000
2017-09-12,82.6000,82.7300,81.9300,82.1700,81.6553,2559631,0.0000,1.0000
2017-09-11,82.9400,83.3500,81.7700,82.6300,82.1124,4323716,0.0000,1.0000
2017-09-08,81.6100,83.1200,81.5400,82.9200,82.4006,3934793,0.0000,1.0000
2017-09-07,80.6200,82.7500,80.3700,81.5400,81.0292,6212731,0.0000,1.0000
2017-09-06,80.2100,80.6700,79.8600,80.5100,80.0057,2631613,0.0000,1.0000
2017-09-05,79.4700,80.0500,79.0500,79.8200,79.3200,3696551,0.0000,1.0000
2017-09-01,81.5400,81.7100,79.4300,80.0800,79.5784,4345026,0.0000,1.0000
2017-08-31,80.7700,81.3500,80.3400,81.2900,80.7808,3927901,0.0000,1.0000
2017-08-30,79.1000,80.7700,78.7500,80.4900,79.9858,5010277,0.0000,1.0000
2017-08-29,78.5400,78.8400,78.1200,78.5500,78.0579,2151488,0.0000,1.0000
2017-08-28,79.1000,79.4300,78.6300,78.8400,78.3461,1890279,0.0000,1.0000
2017-08-25,78.9600,79.5300,78.7400,78.7900,78.2964,2169261,0.0000,1.0000
2017-08-24,78.3300,79.2400,78.2600,78.8600,78.3660,4167593,0.0000,1.0000
2017-08-23,78.2000,78.5200,78.0500,78.1500,77.6604,1778745,0.0000,1.0000
2017-08-22,77.5300,78.6500,77.5300,78.2600,77.7698,2126691,0.0000,1.0000
