timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,331.4600,335.7400,330.3200,334.8600,334.8600,1000322,0.0000,1.0000
2018-01-16,336.3500,336.6699,330.0000,330.1100,330.1100,1369098,0.0000,1.0000
2018-01-12,331.3500,336.3500,331.0300,336.2500,336.2500,1428012,0.0000,1.0000
2018-01-11,331.8500,332.0800,330.1600,331.1300,331.1300,1151731,0.0000,1.0000
2018-01-10,331.0700,333.7400,330.0100,331.0500,331.0500,1503400,0.0000,1.0000
2018-01-09,329.0000,331.8300,328.4200,330.5100,330.5100,865400,0.0000,1.0000
2018-01-08,328.9600,330.4100,327.8100,328.1600,328.1600,1084500,0.0000,1.0000
2018-01-05,325.9900,330.1800,325.9800,329.6800,329.6800,1241100,0.0000,1.0000
2018-01-04,321.1900,326.9000,320.9900,326.7200,326.7200,1443000,0.0000,1.0000
2018-01-03,318.9800,321.5200,318.6300,321.2100,321.2100,893400,0.0000,1.0000
2018-01-02,322.0000,322.6200,317.5000,318.5400,318.5400,1189600,0.0000,1.0000
2017-12-29,322.2200,323.1500,321.0200,321.0500,321.0500,731200,0.0000,1.0000
2017-12-28,319.8300,322.3000,319.7100,322.1000,322.1000,721700,0.0000,1.0000
2017-12-27,319.6700,319.6700,318.0700,319.4400,319.4400,574700,0.0000,1.0000
2017-12-26,318.3600,319.7700,317.9700,318.5100,318.5100,516900,0.0000,1.0000
2017-12-22,318.3000,319.2400,317.6000,318.0300,318.0300,542100,0.0000,1.0000
2017-12-21,319.0000,319.2000,317.0100,317.1900,317.1900,868700,0.0000,1.0000
2017-12-20,319.8400,321.2600,317.6500,317.7200,317.7200,932400,0.0000,1.0000
2017-12-19,322.7600,323.1300,319.7800,319.9700,319.9700,931000,0.0000,1.0000
2017-12-18,323.5900,323.9400,319.0000,322.7600,322.7600,1254400,0.0000,1.0000
2017-12-15,318.6900,323.3800,318.4300,322.8200,322.8200,1929400,0.0000,1.0000
2017-12-14,318.2100,319.0300,316.4200,317.0100,317.0100,867600,0.0000,1.0000
2017-12-13,316.6600,319.8300,316.3000,317.7900,317.7900,862400,0.0000,1.0000
2017-12-12,316.3800,316.9000,314.9100,315.8900,315.8900,1082200,0.0000,1.0000
2017-12-11,315.4500,317.2400,315.1500,316.1700,316.1700,765800,0.0000,1.0000
2017-12-08,316.5600,316.5600,313.4500,315.8500,315.8500,853900,0.0000,1.0000
2017-12-07,311.8300,315.3600,311.8100,314.4200,314.4200,972300,0.0000,1.0000
2017-12-06,311.9800,313.0700,310.2500,311.9700,311.9700,824800,0.0000,1.0000
2017-12-05,314.5000,314.5000,310.0700,310.1400,310.1400,1171000,0.0000,1.0000
2017-12-04,315.9400,316.5200,311.6100,311.7800,311.7800,1365900,0.0000,1.0000
2017-12-01,319.0600,319.6300,311.1300,313.5700,313.5700,1707400,0.0000,1.0000
2017-11-30,319.6200,320.9400,318.4800,319.1200,319.1200,2626200,0.0000,1.0000
2017-11-29,319.5000,321.2100,318.3300,320.7600,318.7600,1190500,0.0000,1.0000
2017-11-28,316.7800,319.4300,316.1700,319.0100,317.0209,967200,0.0000,1.0000
2017-11-27,316.0000,316.8900,315.0500,316.7000,314.7253,657800,0.0000,1.0000
2017-11-24,315.0900,316.2300,315.0200,315.8200,313.8508,320900,0.0000,1.0000
2017-11-22,316.3100,316.8600,314.3500,314.8700,312.9067,685700,0.0000,1.0000
2017-11-21,315.2400,317.6200,314.6100,316.9400,314.9638,858000,0.0000,1.0000
2017-11-20,310.2000,315.5700,310.0100,314.6500,312.6881,901800,0.0000,1.0000
2017-11-17,311.5900,312.4300,309.5000,309.7000,307.7690,692300,0.0000,1.0000
2017-11-16,311.0900,312.8000,311.0000,312.6500,310.7006,635500,0.0000,1.0000
2017-11-15,313.1000,313.7800,310.5400,310.6400,308.7031,754900,0.0000,1.0000
2017-11-14,312.0000,314.0000,310.7000,313.7400,311.7838,605700,0.0000,1.0000
2017-11-13,311.0000,313.2800,310.3100,312.9500,310.9987,702800,0.0000,1.0000
2017-11-10,310.3000,311.6800,309.7600,311.1700,309.2298,630800,0.0000,1.0000
2017-11-09,314.8500,315.0600,310.2800,311.0800,309.1404,890600,0.0000,1.0000
2017-11-08,313.4400,315.7000,313.3000,315.6400,313.6719,729600,0.0000,1.0000
2017-11-07,310.0800,313.3700,310.0800,313.2900,311.3366,874200,0.0000,1.0000
2017-11-06,309.7200,311.9300,308.6800,310.0800,308.1466,717300,0.0000,1.0000
2017-11-03,310.9200,311.8500,309.0400,309.9900,308.0572,652200,0.0000,1.0000
2017-11-02,306.1100,310.8600,306.1100,310.8600,308.9217,868900,0.0000,1.0000
2017-11-01,309.0500,309.6600,306.2300,306.6000,304.6883,1016100,0.0000,1.0000
