{\n    "Error Message": "Invalid API call. Please retry or visit the documentation (https://www.alphavantage.co/documentation/) for TIME_SERIES_DAILY_ADJUSTED."\n}
timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,136.6450,139.5400,136.6450,139.4300,139.4300,1326509,0.0000,1.0000
2018-01-10,136.9100,137.7900,136.5100,137.7000,137.7000,1116284,0.0000,1.0000
2018-01-09,136.5200,138.3000,136.0000,137.7100,137.7100,3011217,0.0000,1.0000
2018-01-08,134.1100,136.5800,134.1100,136.3400,136.3400,3175584,0.0000,1.0000
2018-01-05,136.4500,136.4500,134.2000,134.4000,134.4000,3289909,0.0000,1.0000
2018-01-04,136.8500,137.1500,134.9500,135.7000,135.7000,3089776,0.0000,1.0000
2018-01-03,134.0100,136.8000,133.7000,136.4500,136.4500,1503486,0.0000,1.0000
2018-01-02,135.8900,135.9800,132.2000,133.7500,133.7500,2897242,0.0000,1.0000
2017-12-29,136.5100,137.6000,135.3500,135.7300,135.7300,1663280,0.0000,1.0000
2017-12-28,136.4600,136.6400,135.5000,136.5700,136.5700,1388572,0.0000,1.0000
2017-12-27,133.7000,136.3300,133.6000,136.2500,136.2500,1972462,0.0000,1.0000
2017-12-26,133.9600,134.2250,133.1500,133.3000,133.3000,1149662,0.0000,1.0000
2017-12-22,133.7000,134.7400,133.5000,133.9700,133.9700,2779125,0.0000,1.0000
2017-12-21,134.4500,135.1800,133.4700,133.9500,133.9500,1892065,0.0000,1.0000
2017-12-20,133.6800,134.2600,133.2650,133.8400,133.8400,1450907,0.0000,1.0000
2017-12-19,133.8800,134.0400,132.6450,133.1400,133.1400,2834682,0.0000,1.0000
2017-12-18,130.4500,134.3100,130.3300,133.3400,133.3400,3568948,0.0000,1.0000
2017-12-15,128.7000,129.9000,128.0800,129.8200,129.8200,3804282,0.0000,1.0000
2017-12-14,128.5800,128.7850,127.6900,127.7200,127.7200,2408781,0.0000,1.0000
2017-12-13,128.8800,129.6400,128.3500,128.4700,128.4700,2099529,0.0000,1.0000
2017-12-12,128.6000,129.0200,127.9300,128.7600,128.7600,1517103,0.0000,1.0000
2017-12-11,128.8400,129.2500,128.0000,128.5700,128.5700,1432705,0.0000,1.0000
2017-12-08,128.4100,129.9900,128.3900,129.3200,129.3200,4313002,0.0000,1.0000
2017-12-07,127.2100,127.9800,126.9042,127.8500,127.8500,1370028,0.0000,1.0000
2017-12-06,127.7400,128.0500,127.1500,127.3000,127.3000,1587571,0.0000,1.0000
2017-12-05,127.9200,129.4700,127.3800,127.5300,127.5300,2016684,0.0000,1.0000
2017-12-04,127.7100,129.5600,127.6700,127.7300,127.7300,2117355,0.0000,1.0000
2017-12-01,126.0300,127.3400,124.4500,126.8600,126.8600,2371086,0.0000,1.0000
2017-11-30,126.1400,127.9700,125.6500,127.0000,127.0000,3102675,0.0000,1.0000
2017-11-29,127.2500,127.4300,125.6100,126.4900,126.4900,2721723,0.0000,1.0000
2017-11-28,127.2500,127.5500,126.5600,126.9000,126.9000,3061441,0.0000,1.0000
2017-11-27,126.3300,127.3700,126.3300,126.9300,126.9300,2560242,0.0000,1.0000
2017-11-24,126.5100,127.1000,126.3800,126.5000,126.5000,729150,0.0000,1.0000
2017-11-22,127.9600,128.0000,126.0700,126.3900,126.3900,2313317,0.0000,1.0000
2017-11-21,126.3300,128.3700,126.3300,127.6200,127.6200,3412740,0.3300,1.0000
2017-11-20,125.3300,126.2400,125.0600,125.9100,125.5853,1857138,0.0000,1.0000
2017-11-17,123.9800,125.6400,123.7700,125.4800,125.1564,2930128,0.0000,1.0000
2017-11-16,121.9400,124.4200,121.5000,124.3800,124.0592,3478847,0.0000,1.0000
2017-11-15,122.9100,122.9600,121.3800,122.2600,121.9447,3052418,0.0000,1.0000
2017-11-14,120.0800,123.1000,119.9500,123.0600,122.7426,2134312,0.0000,1.0000
2017-11-13,119.6700,120.8800,119.6000,120.3900,120.0795,2355415,0.0000,1.0000
2017-11-10,119.0400,120.8700,118.0100,120.1100,119.8002,3361173,0.0000,1.0000
