timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,171.1600,173.8400,170.7600,172.8300,172.8300,1651812,0.0000,1.0000
2018-01-16,166.9000,171.8300,166.5000,170.6600,170.6600,2683607,0.0000,1.0000
2018-01-12,163.3700,166.3100,162.3000,166.2500,166.2500,1838400,0.0000,1.0000
2018-01-11,161.0000,162.7900,159.1900,162.3000,162.3000,1544200,0.0000,1.0000
2018-01-10,159.7200,160.7200,157.7100,160.6700,160.6700,1278700,0.0000,1.0000
2018-01-09,158.5700,161.4200,157.6900,160.6400,160.6400,2008200,0.0000,1.0000
2018-01-08,157.3000,159.8800,156.1400,159.1500,159.1500,1502600,0.0000,1.0000
2018-01-05,156.2400,157.2300,154.7600,157.1600,157.1600,938800,0.0000,1.0000
2018-01-04,156.7900,158.1400,152.5000,155.0600,155.0600,1946500,0.0000,1.0000
2018-01-03,157.9700,158.6000,155.0300,156.7600,156.7600,1588400,0.0000,1.0000
2018-01-02,156.9100,159.0800,156.6600,159.0000,159.0000,809900,0.0000,1.0000
2017-12-29,158.2800,158.3500,155.8500,155.9500,155.9500,641700,0.0000,1.0000
2017-12-28,157.8400,158.8100,156.3700,157.7300,157.7300,692400,0.0000,1.0000
2017-12-27,159.0000,159.1400,157.0900,158.0200,158.0200,673800,0.0000,1.0000
2017-12-26,158.5400,160.1300,157.2400,158.9000,158.9000,957200,0.0000,1.0000
2017-12-22,160.1000,160.1000,157.4800,158.4400,158.4400,1249000,0.0000,1.0000
2017-12-21,160.6600,161.5900,159.0700,159.3900,159.3900,1056000,0.0000,1.0000
2017-12-20,160.7200,161.8900,159.6600,160.6400,160.6400,1119000,0.0000,1.0000
2017-12-19,160.0400,161.9200,159.6600,159.9700,159.9700,2045100,0.0000,1.0000
2017-12-18,159.9200,160.8100,156.7600,160.2600,160.2600,2662400,0.0000,1.0000
2017-12-15,159.0000,164.2900,157.5600,162.6000,162.6000,3323300,0.0000,1.0000
2017-12-14,156.6300,161.2500,156.2000,157.2000,157.2000,2443500,0.0000,1.0000
2017-12-13,154.2800,157.0400,153.7500,155.2100,155.2100,1461100,0.0000,1.0000
2017-12-12,154.4600,155.6900,153.9000,154.5500,154.5500,1981500,0.0000,1.0000
2017-12-11,152.9300,155.0000,152.2900,153.8100,153.8100,1423200,0.0000,1.0000
2017-12-08,150.5800,153.0500,149.8500,152.5700,152.5700,1400500,0.0000,1.0000
2017-12-07,150.6600,151.3000,149.0600,150.0100,150.0100,1315100,0.0000,1.0000
2017-12-06,150.6900,152.2600,149.6400,150.4700,150.4700,1262900,0.0000,1.0000
2017-12-05,153.2900,153.3200,147.4100,150.6900,150.6900,1908800,0.0000,1.0000
2017-12-04,144.3100,153.6000,144.3100,153.0900,153.0900,2866400,0.0000,1.0000
2017-12-01,147.0400,147.7400,143.8700,146.3900,146.3900,2560700,0.0000,1.0000
2017-11-30,148.9100,149.4900,144.4600,147.7400,147.7400,2767600,0.0000,1.0000
2017-11-29,148.1200,152.3900,147.6200,148.1200,147.7800,3283200,0.0000,1.0000
2017-11-28,145.0200,147.8600,144.6500,147.7500,147.4108,3752800,0.0000,1.0000
2017-11-27,144.2800,145.9600,144.2800,144.8500,144.5175,1831600,0.0000,1.0000
2017-11-24,145.8000,146.4200,144.0500,144.6600,144.3279,768700,0.0000,1.0000
2017-11-22,143.0000,146.6100,142.6100,145.8000,145.4653,2220500,0.0000,1.0000
2017-11-21,138.9000,142.9700,138.3900,142.8700,142.5421,2326100,0.0000,1.0000
2017-11-20,141.4000,142.0000,136.8300,138.2400,137.9227,3618300,0.0000,1.0000
2017-11-17,141.7100,142.8400,140.8900,142.1300,141.8038,1849000,0.0000,1.0000
2017-11-16,138.9700,143.0200,138.5000,142.7000,142.3724,2732100,0.0000,1.0000
2017-11-15,136.0000,138.9500,135.3700,138.8600,138.5413,3334000,0.0000,1.0000
2017-11-14,137.9800,137.9800,135.0300,136.1700,135.8574,1482300,0.0000,1.0000
2017-11-13,137.4600,140.4300,135.6900,138.0500,137.7331,2289800,0.0000,1.0000
2017-11-10,139.2700,140.8100,137.1500,137.6100,137.2941,2088200,0.0000,1.0000
2017-11-09,140.0000,142.5100,139.1900,140.1100,139.7884,1817000,0.0000,1.0000
2017-11-08,136.6500,141.7300,136.3500,140.3600,140.0378,2206300,0.0000,1.0000
2017-11-07,135.6900,137.8800,135.3000,136.9300,136.6157,2083400,0.0000,1.0000
2017-11-06,136.8400,137.1400,134.7800,135.2100,134.8996,2752300,0.0000,1.0000
2017-11-03,136.4900,138.9500,136.2400,137.6100,137.2941,1750400,0.0000,1.0000
2017-11-02,139.6700,140.7100,135.6900,137.0600,136.7454,2763300,0.0000,1.0000
2017-11-01,138.7800,142.9300,138.0000,139.6700,139.3494,2843600,0.0000,1.0000
2017-10-31,135.7500,141.3400,135.7500,137.8800,137.5635,4050400,0.0000,1.0000
2017-10-30,135.2400,137.0500,134.2500,135.0200,134.7101,4156500,0.0000,1.0000
2017-10-27,143.6300,143.6300,134.4100,135.6200,135.3087,4208200,0.0000,1.0000
2017-10-26,158.8100,162.6100,142.6000,143.5400,143.2105,7193800,0.0000,1.0000
2017-10-25,150.2500,152.5000,149.1800,151.3800,151.0325,2183300,0.0000,1.0000
2017-10-24,147.9000,150.6100,147.0000,149.7500,149.4063,1355000,0.0000,1.0000
2017-10-23,150.3800,150.6000,148.1800,148.3000,147.9596,1936600,0.0000,1.0000
2017-10-20,150.5600,151.9700,150.2500,150.7800,150.4339,1404100,0.0000,1.0000
2017-10-19,146.3600,150.4300,146.3300,149.9600,149.6158,2322200,0.0000,1.0000
2017-10-18,146.4200,148.1200,145.8400,146.2100,145.8744,1583000,0.0000,1.0000
2017-10-17,146.5300,147.5000,145.6200,146.4100,146.0739,1614200,0.0000,1.0000
2017-10-16,146.4300,148.6000,145.5800,146.6100,146.2735,1603600,0.0000,1.0000
2017-10-13,150.1400,150.9100,145.2600,147.1700,146.8322,2388400,0.0000,1.0000
2017-10-12,149.9400,151.5000,149.2300,150.6700,150.3241,1025600,0.0000,1.0000
2017-10-11,148.8800,150.1700,148.8800,149.9400,149.5958,1288200,0.0000,1.0000
2017-10-10,149.4100,150.6000,148.3900,149.4100,149.0670,1708900,0.0000,1.0000
2017-10-09,152.0000,152.0000,146.4300,148.1400,147.8000,1873700,0.0000,1.0000
2017-10-06,153.8800,155.7800,148.9800,151.2900,150.9427,2666300,0.0000,1.0000
2017-10-05,154.1900,154.5700,152.8900,153.7200,153.3671,1706200,0.0000,1.0000
2017-10-04,153.8800,156.2000,153.3400,153.6100,153.2574,1351000,0.0000,1.0000
2017-10-03,155.3400,155.8000,152.4400,153.9900,153.6365,1467100,0.0000,1.0000
2017-10-02,153.8100,156.2800,153.6100,155.2600,154.9036,1610300,0.0000,1.0000
2017-09-29,154.5900,156.2700,153.1300,153.6100,153.2574,1440100,0.0000,1.0000
2017-09-28,155.3500,155.4800,152.1000,153.7200,153.3671,2297900,0.0000,1.0000
2017-09-27,155.2000,156.3400,154.3400,155.9500,155.5920,1129400,0.0000,1.0000
2017-09-26,154.5100,155.9200,154.0400,154.8800,154.5245,1199500,0.0000,1.0000
2017-09-25,153.2200,154.6900,152.8200,154.5100,154.1553,1752500,0.0000,1.0000
2017-09-22,152.3200,154.3500,151.6900,154.0100,153.6565,1616700,0.0000,1.0000
2017-09-21,150.1200,153.2400,149.7100,152.5700,152.2198,1386300,0.0000,1.0000
2017-09-20,148.9400,150.7100,148.0300,150.1800,149.8353,2017500,0.0000,1.0000
2017-09-19,150.7100,151.2300,148.2500,148.3700,148.0294,2044600,0.0000,1.0000
2017-09-18,150.4100,150.9100,148.0100,148.4200,148.0793,2494800,0.0000,1.0000
2017-09-15,151.8400,151.9100,149.3800,149.8800,149.5360,2903100,0.0000,1.0000
2017-09-14,154.3000,154.9900,151.3400,151.6800,151.3318,1908100,0.0000,1.0000
2017-09-13,156.1200,157.7900,155.7300,157.6800,157.3181,1118900,0.0000,1.0000
2017-09-12,159.0500,159.0500,152.3800,156.3600,156.0011,2424400,0.0000,1.0000
2017-09-11,158.0000,159.9200,157.4100,159.2400,158.8745,1351300,0.0000,1.0000
2017-09-08,157.2200,160.7800,156.7400,156.9400,156.5798,1436600,0.0000,1.0000
2017-09-07,152.1100,156.4700,152.0400,155.8400,155.4823,2462500,0.0000,1.0000
2017-09-06,148.7400,152.5000,148.6300,152.0900,151.7409,2437800,0.0000,1.0000
2017-09-05,148.6200,149.5400,146.7400,147.8200,147.4807,1552600,0.0000,1.0000
2017-09-01,149.4800,150.8700,148.9500,149.4100,149.0670,885500,0.0000,1.0000
2017-08-31,147.1800,150.3500,146.9700,149.3100,148.9673,1873400,0.0000,1.0000
2017-08-30,146.7700,147.1900,145.7200,146.7000,146.3633,1002300,0.0000,1.0000
2017-08-29,147.1600,148.0900,146.8500,147.2100,146.5329,1308700,0.0000,1.0000
2017-08-28,148.1500,148.8200,147.1600,148.3300,147.6477,1019100,0.0000,1.0000
2017-08-25,147.6600,148.0300,147.1600,147.5800,146.9012,954700,0.0000,1.0000
2017-08-24,147.5900,148.1200,146.7400,146.8700,146.1944,1209300,0.0000,1.0000
2017-08-23,147.7800,148.4700,146.5400,147.1900,146.5130,1804900,0.0000,1.0000
2017-08-22,146.4400,149.0400,145.6200,148.2800,147.5979,1897400,0.0000,1.0000
2017-08-21,146.0600,146.7900,145.1300,146.1400,145.4678,2343700,0.0000,1.0000
2017-08-18,146.2000,147.2600,145.6800,146.0000,145.3284,1980300,0.0000,1.0000
2017-08-17,147.2800,149.3300,146.4400,146.8300,146.1546,1871400,0.0000,1.0000
2017-08-16,149.8300,149.9200,147.1300,147.6400,146.9609,2517000,0.0000,1.0000
2017-08-15,149.4800,149.6800,148.9800,149.2600,148.5734,1271100,0.0000,1.0000
2017-08-14,151.0600,151.7000,148.9700,149.0800,148.3943,1386800,0.0000,1.0000
2017-08-11,151.3900,151.5400,149.7300,149.9900,149.3001,1623800,0.0000,1.0000
2017-08-10,153.3600,153.3600,151.0300,151.0700,150.3751,1990500,0.0000,1.0000
2017-08-09,156.7100,156.7800,153.5700,154.2700,153.5604,1474900,0.0000,1.0000
2017-08-08,155.3900,158.3300,155.0500,157.2600,156.5366,1510100,0.0000,1.0000
2017-08-07,154.7500,155.6800,153.8000,155.6800,154.9639,969400,0.0000,1.0000
2017-08-04,156.1000,156.7100,153.9800,154.6900,153.9785,1090100,0.0000,1.0000
2017-08-03,157.1500,158.0500,153.9700,155.3400,154.6255,2338500,0.0000,1.0000
2017-08-02,159.9900,160.6900,155.0000,159.6100,158.8758,2467800,0.0000,1.0000
2017-08-01,163.3000,163.4500,160.5500,161.2600,160.5182,1319500,0.0000,1.0000
2017-07-31,162.5500,162.8000,161.4700,161.8700,161.1254,1377100,0.0000,1.0000
2017-07-28,163.0900,163.0900,159.3400,162.5100,161.7625,1962900,0.0000,1.0000
2017-07-27,160.0000,163.8300,156.0900,162.5300,161.7824,3253900,0.0000,1.0000
2017-07-26,166.1300,167.5700,164.3100,166.3500,165.5848,1405000,0.0000,1.0000
2017-07-25,166.8300,168.0800,166.0100,167.6300,166.8589,939700,0.0000,1.0000
2017-07-24,165.0000,167.3600,165.0000,166.7400,165.9731,1365200,0.0000,1.0000
2017-07-21,165.4800,166.1800,164.6200,165.9200,165.1568,1217300,0.0000,1.0000
2017-07-20,164.6600,166.8700,164.6100,165.0700,164.3107,1908200,0.0000,1.0000
2017-07-19,166.2200,166.2600,162.5900,164.8500,164.0917,1992900,0.0000,1.0000
2017-07-18,167.6200,167.6500,165.1600,165.4100,164.6492,1575800,0.0000,1.0000
2017-07-17,167.5700,168.8700,166.6700,168.1200,167.3467,1624200,0.0000,1.0000
2017-07-14,166.0900,168.3300,165.7000,167.5000,166.7296,908900,0.0000,1.0000
2017-07-13,166.6800,167.0400,165.0700,166.3300,165.5649,720800,0.0000,1.0000
2017-07-12,166.0000,167.3900,165.0700,166.3400,165.5749,947400,0.0000,1.0000
2017-07-11,165.0000,165.7300,163.6400,165.2000,164.4401,1075300,0.0000,1.0000
2017-07-10,164.0000,165.6100,163.6100,164.7100,163.9524,1557600,0.0000,1.0000
2017-07-07,163.5900,165.2700,162.7100,164.6800,163.9225,1119600,0.0000,1.0000
2017-07-06,164.9900,166.3700,162.2500,163.0800,162.3299,1333700,0.0000,1.0000
2017-07-05,164.6800,166.2500,163.8500,165.2700,164.5098,1029000,0.0000,1.0000
2017-07-03,165.2900,167.0400,164.4800,164.5500,163.7931,577100,0.0000,1.0000
2017-06-30,164.4900,165.3200,163.2700,164.5400,163.7832,1235200,0.0000,1.0000
2017-06-29,166.9800,167.3000,162.3400,163.6400,162.8873,2021600,0.0000,1.0000
