timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-12,23.0300,23.5400,22.9900,23.5300,23.5300,696078,0.0000,1.0000
2018-01-11,22.3800,23.1000,22.3500,22.9000,22.9000,1809932,0.0000,1.0000
2018-01-10,22.1800,22.5300,22.1400,22.3900,22.3900,1215304,0.0000,1.0000
2018-01-09,22.5600,22.9800,22.3500,22.4000,22.4000,1798254,0.0000,1.0000
2018-01-08,23.1000,23.1700,21.9900,22.3900,22.3900,3083351,0.0000,1.0000
2018-01-05,23.4600,23.7614,22.8900,22.9000,22.9000,2277372,0.0000,1.0000
2018-01-04,24.0000,24.1000,23.2300,23.4000,23.4000,3476561,0.0000,1.0000
2018-01-03,23.6000,24.1991,23.1200,23.5100,23.5100,2256701,0.0000,1.0000
2018-01-02,22.8200,23.5400,22.6100,23.5200,23.5200,3544469,0.0000,1.0000
2017-12-29,22.7500,23.2500,22.5500,22.5600,22.5600,2199433,0.0000,1.0000
2017-12-28,23.3500,23.5200,22.7200,22.8000,22.8000,2236954,0.0000,1.0000
2017-12-27,23.4200,24.0100,23.1600,23.2800,23.2800,2557839,0.0000,1.0000
2017-12-26,23.2700,24.8000,23.2300,23.4800,23.4800,6167125,0.0000,1.0000
2017-12-22,24.0100,24.1000,23.1600,23.3200,23.3200,2504489,0.0000,1.0000
2017-12-21,23.4000,23.8200,23.3000,23.5700,23.5700,2577874,0.0000,1.0000
2017-12-20,23.5200,24.2200,23.2000,23.3300,23.3300,3605376,0.0000,1.0000
2017-12-19,23.7100,24.1450,23.0900,23.1100,23.1100,3507628,0.0000,1.0000
2017-12-18,23.8500,23.9200,23.2600,23.7000,23.7000,2905380,0.0000,1.0000
2017-12-15,23.3400,23.9800,23.0500,23.3600,23.3600,3918196,0.0000,1.0000
2017-12-14,24.0500,24.3400,22.9800,23.1100,23.1100,2554999,0.0000,1.0000
2017-12-13,24.0600,24.6200,23.8400,23.8600,23.8600,2893280,0.0000,1.0000
2017-12-12,23.1400,24.5400,23.1400,24.0600,24.0600,3904783,0.0000,1.0000
2017-12-11,22.4200,23.8400,22.3750,23.1400,23.1400,3031425,0.0000,1.0000
2017-12-08,21.3200,22.3950,21.0400,22.3000,22.3000,2944134,0.0000,1.0000
2017-12-07,21.2300,21.4600,20.9300,21.2500,21.2500,2238527,0.0000,1.0000
2017-12-06,21.7900,21.8300,21.2700,21.3500,21.3500,2012132,0.0000,1.0000
2017-12-05,21.9300,22.2100,21.3300,21.7300,21.7300,2833069,0.0000,1.0000
2017-12-04,21.9600,22.5000,21.8700,21.9600,21.9600,2720733,0.0000,1.0000
2017-12-01,21.9000,22.1000,21.0500,21.8200,21.8200,4965738,0.0000,1.0000
2017-11-30,22.3800,22.7700,21.6900,21.8200,21.8200,8647326,0.0000,1.0000
2017-11-29,22.0800,23.0000,22.0500,22.1300,22.1300,4241992,0.0000,1.0000
2017-11-28,21.7400,22.0800,21.4300,21.9200,21.9200,2624966,0.0000,1.0000
2017-11-27,21.1400,21.9600,21.0100,21.7600,21.7600,2932899,0.0000,1.0000
2017-11-24,21.4700,21.5000,21.0600,21.2200,21.2200,1196098,0.0000,1.0000
2017-11-22,20.6500,21.6000,20.2500,21.3700,21.3700,4170111,0.0000,1.0000
2017-11-21,21.8300,22.1600,21.3400,21.3900,21.3900,3833706,0.0000,1.0000
2017-11-20,22.2900,22.3500,21.1500,21.8100,21.8100,4339331,0.0000,1.0000
2017-11-17,22.2300,22.5800,21.9100,22.3800,22.3800,2567126,0.0000,1.0000
2017-11-16,22.1600,22.5800,21.2300,22.4500,22.4500,3175265,0.0000,1.0000
2017-11-15,21.6400,22.4900,20.8800,21.9100,21.9100,4231531,0.0000,1.0000
2017-11-14,21.5600,22.1000,20.8100,21.7200,21.7200,5261983,0.0000,1.0000
2017-11-13,21.3500,22.2400,21.0000,21.9000,21.9000,4256103,0.0000,1.0000
2017-11-10,21.8600,22.7900,21.1200,21.7600,21.7600,5840569,0.0000,1.0000
2017-11-09,19.9800,22.3000,19.8700,22.2000,22.2000,8823295,0.0000,1.0000
2017-11-08,19.7400,20.9600,19.0000,19.9800,19.9800,15872999,0.0000,1.0000
2017-11-07,26.0900,26.9100,19.0000,20.1100,20.1100,34281551,0.0000,1.0000
2017-11-06,31.0500,31.7000,30.6900,31.1800,31.1800,1786980,0.0000,1.0000
2017-11-03,30.4700,31.3000,30.0800,30.8800,30.8800,1868583,0.0000,1.0000
2017-11-02,31.7100,32.1600,30.4300,30.4700,30.4700,2092345,0.0000,1.0000
2017-11-01,31.7700,32.5200,31.4100,32.0600,32.0600,1895748,0.0000,1.0000
2017-10-31,30.9900,32.5800,30.8400,31.6700,31.6700,2177441,0.0000,1.0000
2017-10-30,30.7000,31.8000,30.3800,30.8200,30.8200,1623983,0.0000,1.0000
2017-10-27,30.8300,31.0800,30.1500,30.7100,30.7100,1618072,0.0000,1.0000
2017-10-26,31.0200,31.8000,30.9700,31.0500,31.0500,1696887,0.0000,1.0000
2017-10-25,31.0000,31.9300,30.9100,31.3000,31.3000,1860821,0.0000,1.0000
2017-10-24,31.0000,31.2000,30.3300,31.0600,31.0600,1584371,0.0000,1.0000
2017-10-23,32.1500,32.1500,30.7700,30.7900,30.7900,1958977,0.0000,1.0000
2017-10-20,32.5900,32.8700,31.9500,32.4200,32.4200,1360771,0.0000,1.0000
2017-10-19,32.0700,32.9000,31.7300,32.8200,32.8200,1334684,0.0000,1.0000
2017-10-18,32.4600,32.4600,31.7800,32.1600,32.1600,1796052,0.0000,1.0000
2017-10-17,32.1300,32.4900,31.5100,32.3600,32.3600,1966719,0.0000,1.0000
2017-10-16,33.6100,33.7700,32.1300,32.2800,32.2800,2184801,0.0000,1.0000
2017-10-13,34.7300,34.7300,33.1900,33.2900,33.2900,1974031,0.0000,1.0000
2017-10-12,35.7000,35.7000,34.6000,34.7300,34.7300,1506270,0.0000,1.0000
2017-10-11,35.7600,35.8700,35.4300,35.6900,35.6900,1032429,0.0000,1.0000
2017-10-10,35.9000,36.1500,35.4000,35.7600,35.7600,907035,0.0000,1.0000
2017-10-09,35.8000,36.2100,35.4000,35.7200,35.7200,1070108,0.0000,1.0000
2017-10-06,35.5000,36.3800,35.3600,35.8100,35.8100,1596587,0.0000,1.0000
2017-10-05,36.4500,36.4500,35.3400,35.5000,35.5000,2798417,0.0000,1.0000
2017-10-04,38.4200,38.5000,37.1500,37.3600,37.3600,2052043,0.0000,1.0000
2017-10-03,38.7500,39.0000,37.5700,37.5900,37.5900,2162498,0.0000,1.0000
2017-10-02,37.3700,39.0500,37.1300,38.8700,38.8700,2605906,0.0000,1.0000
2017-09-29,36.0000,37.5600,35.8000,37.3700,37.3700,2568136,0.0000,1.0000
2017-09-28,36.0000,36.9600,35.6500,36.1400,36.1400,2465710,0.0000,1.0000
2017-09-27,34.8400,35.5800,34.6300,35.3900,35.3900,1717894,0.0000,1.0000
2017-09-26,35.1700,35.4600,34.6000,34.6700,34.6700,1125929,0.0000,1.0000
2017-09-25,34.9000,35.4300,34.8400,35.2500,35.2500,1698136,0.0000,1.0000
2017-09-22,34.9000,35.1500,34.5200,34.8300,34.8300,1175663,0.0000,1.0000
2017-09-21,34.4900,35.2300,34.2100,34.8600,34.8600,1218892,0.0000,1.0000
2017-09-20,34.1600,34.6700,34.1100,34.4900,34.4900,1429607,0.0000,1.0000
2017-09-19,33.7600,34.1600,33.6100,34.0700,34.0700,1548921,0.0000,1.0000
2017-09-18,34.2700,34.6000,33.6300,33.7600,33.7600,2303842,0.0000,1.0000
2017-09-15,35.2200,35.3300,34.1700,34.2700,34.2700,2575585,0.0000,1.0000
2017-09-14,35.4100,36.3100,34.8900,35.2100,35.2100,2757644,0.0000,1.0000
2017-09-13,35.1600,35.8800,34.7100,35.6400,35.6400,2797407,0.0000,1.0000
2017-09-12,37.2400,37.4800,36.2300,36.4500,36.4500,2427951,0.0000,1.0000
2017-09-11,35.6900,37.4700,35.5200,36.8000,36.8000,2572177,0.0000,1.0000
2017-09-08,35.1200,35.3800,34.5100,35.3300,35.3300,1908962,0.0000,1.0000
2017-09-07,36.3500,36.8100,35.0000,35.1600,35.1600,2507953,0.0000,1.0000
2017-09-06,36.1200,36.4000,35.2500,36.2800,36.2800,2824641,0.0000,1.0000
2017-09-05,41.0500,41.3100,35.1000,36.1200,36.1200,9804147,0.0000,1.0000
2017-09-01,41.4000,41.7000,40.4500,41.1700,41.1700,1909721,0.0000,1.0000
2017-08-31,39.5300,41.4800,39.3200,41.0800,41.0800,1954595,0.0000,1.0000
2017-08-30,38.9800,39.6400,38.7100,39.3700,39.3700,2316262,0.0000,1.0000
2017-08-29,38.5500,39.2900,38.1800,39.1400,39.1400,2148932,0.0000,1.0000
2017-08-28,38.8900,39.3600,38.4600,38.9800,38.9800,1671729,0.0000,1.0000
2017-08-25,38.1800,39.2600,38.1000,39.0100,39.0100,2482885,0.0000,1.0000
2017-08-24,37.4000,38.7700,37.2700,38.2500,38.2500,1857285,0.0000,1.0000
2017-08-23,36.9400,37.3000,36.4800,37.2100,37.2100,1336151,0.0000,1.0000
2017-08-22,36.3500,37.3400,36.3400,37.1200,37.1200,1498682,0.0000,1.0000
2017-08-21,36.3300,36.4900,35.8200,36.1300,36.1300,926209,0.0000,1.0000
2017-08-18,36.0600,36.7500,35.8700,36.3900,36.3900,1501456,0.0000,1.0000
2017-08-17,35.9600,37.1600,35.7800,36.3600,36.3600,2300624,0.0000,1.0000
2017-08-16,35.8900,36.3200,35.2500,35.9400,35.9400,2507969,0.0000,1.0000
2017-08-15,35.7200,35.8800,35.0400,35.6300,35.6300,2537215,0.0000,1.0000
2017-08-14,36.6700,37.2200,35.5000,35.6700,35.6700,2574463,0.0000,1.0000
2017-08-11,37.1000,37.3300,36.0200,36.5200,36.5200,2137472,0.0000,1.0000
2017-08-10,37.7200,39.0000,36.8800,37.0400,37.0400,3087728,0.0000,1.0000
2017-08-09,37.6800,38.2500,37.0400,37.7200,37.7200,4111736,0.0000,1.0000
2017-08-08,40.5000,40.8300,37.6700,38.1900,38.1900,5391026,0.0000,1.0000
2017-08-07,40.8500,41.5500,40.5500,40.9300,40.9300,2111404,0.0000,1.0000
2017-08-04,41.5600,42.4700,40.5800,41.0200,41.0200,2289572,0.0000,1.0000
2017-08-03,42.7000,43.2700,41.4100,41.6200,41.6200,2342383,0.0000,1.0000
2017-08-02,44.6200,44.6700,43.4100,43.5700,43.5700,1449698,0.0000,1.0000
2017-08-01,45.9200,46.2400,44.0200,44.5100,44.5100,1570625,0.0000,1.0000
2017-07-31,46.0000,46.1800,45.6800,45.8000,45.8000,1019689,0.0000,1.0000
2017-07-28,46.5700,46.9500,45.6000,45.9000,45.9000,1052997,0.0000,1.0000
2017-07-27,46.4200,47.2500,45.7800,46.6000,46.6000,1509001,0.0000,1.0000
