<!DOCTYPE html>\n\t<html>\n\t  <head>\n\t\t<meta name="viewport" content="width=device-width, initial-scale=1">\n\t\t<meta charset="utf-8">\n\t\t<title>Application Error</title>\n\t\t<style media="screen">\n\t\t  html,body,iframe {\n\t\t\tmargin: 0;\n\t\t\tpadding: 0;\n\t\t  }\n\t\t  html,body {\n\t\t\theight: 100%;\n\t\t\toverflow: hidden;\n\t\t  }\n\t\t  iframe {\n\t\t\twidth: 100%;\n\t\t\theight: 100%;\n\t\t\tborder: 0;\n\t\t  }\n\t\t</style>\n\t  </head>\n\t  <body>\n\t\t<iframe src="//www.herokucdn.com/error-pages/application-error.html"></iframe>\n\t  </body>\n\t</html>
timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,177.3300,178.2000,176.0400,177.9900,177.9900,342002,0.0000,1.0000
2018-01-10,175.2500,178.4200,174.9200,176.7500,176.7500,547234,0.0000,1.0000
2018-01-09,173.3900,176.5700,173.2100,174.9100,174.9100,537489,0.0000,1.0000
2018-01-08,172.6400,172.9200,171.7300,172.4200,172.4200,468289,0.0000,1.0000
2018-01-05,174.4600,176.5000,171.7900,172.8200,172.8200,530543,0.0000,1.0000
2018-01-04,173.4000,176.7100,173.0500,173.4400,173.4400,624994,0.0000,1.0000
2018-01-03,171.0100,173.5550,170.3800,173.1100,173.1100,421752,0.0000,1.0000
2018-01-02,172.4800,172.9000,170.0000,171.1900,171.1900,424005,0.0000,1.0000
2017-12-29,172.4800,173.0700,170.9400,170.9900,170.9900,376835,0.0000,1.0000
2017-12-28,171.7800,172.3300,171.2700,172.2900,172.2900,224174,0.0000,1.0000
2017-12-27,172.3400,172.3400,170.6600,171.5700,171.5700,248261,0.0000,1.0000
2017-12-26,173.2600,173.9100,171.0900,171.9900,171.9900,306857,0.0000,1.0000
2017-12-22,174.3900,174.5100,171.7800,173.0700,173.0700,332223,0.0000,1.0000
2017-12-21,173.1100,174.6800,172.7000,173.5900,173.5900,439710,0.0000,1.0000
2017-12-20,174.1900,175.7900,171.9600,172.5300,172.5300,592430,0.0000,1.0000
2017-12-19,174.1600,175.2500,173.2025,173.9000,173.9000,509356,0.0000,1.0000
2017-12-18,172.6300,174.1300,172.2700,173.8600,173.8600,616056,0.0000,1.0000
2017-12-15,170.1600,172.6300,169.4300,170.9000,170.9000,1470298,0.0000,1.0000
2017-12-14,170.4800,171.7000,168.5500,169.0400,169.0400,477801,0.0000,1.0000
2017-12-13,172.7300,173.7700,170.7400,171.0200,171.0200,509840,0.0000,1.0000
2017-12-12,171.8200,173.4700,171.0250,172.4900,172.4900,945808,0.0000,1.0000
2017-12-11,171.6100,171.7900,169.4200,170.5100,170.5100,656334,0.0000,1.0000
2017-12-08,171.9500,172.0220,170.2500,171.7200,171.7200,398846,0.0000,1.0000
2017-12-07,169.2500,171.5900,168.3100,171.0700,171.0700,463754,0.0000,1.0000
2017-12-06,169.8900,171.2200,169.1500,169.5100,169.5100,436789,0.0000,1.0000
2017-12-05,172.8200,173.5700,169.9700,170.4300,170.4300,598014,0.0000,1.0000
2017-12-04,172.0700,176.6200,171.4350,172.2500,172.2500,846643,0.0000,1.0000
2017-12-01,169.5900,169.9900,163.2700,169.4700,169.4700,699563,0.0000,1.0000
2017-11-30,169.0300,171.8900,168.1000,168.9500,168.9500,1075644,0.7500,1.0000
2017-11-29,165.0000,170.6750,165.0000,169.1100,168.3626,766831,0.0000,1.0000
2017-11-28,159.9400,164.6300,159.4500,164.3400,163.6137,753652,0.0000,1.0000
2017-11-27,159.0800,160.3650,158.5600,159.5000,158.7951,346557,0.0000,1.0000
2017-11-24,160.5900,160.8200,158.9500,159.1400,158.4367,180748,0.0000,1.0000
