timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,34.8800,35.0890,34.2500,34.6900,34.6900,1948564,0.0000,1.0000
2018-01-17,34.4000,35.1600,34.0200,34.9500,34.9500,2021380,0.0000,1.0000
2018-01-16,34.4900,34.9300,34.0300,34.0700,34.0700,1891851,0.0000,1.0000
2018-01-12,33.9000,34.6300,33.9000,34.5673,34.5673,680392,0.0000,1.0000
2018-01-11,33.9500,35.0000,33.7400,34.2700,34.2700,3107884,0.0000,1.0000
2018-01-10,33.9100,34.0600,33.3700,33.6700,33.6700,2243850,0.0000,1.0000
2018-01-09,33.4700,33.7200,33.0600,33.6700,33.6700,2708002,0.0000,1.0000
2018-01-08,33.0400,33.5000,32.5100,33.3200,33.3200,2683368,0.0000,1.0000
2018-01-05,32.5400,33.0900,32.1600,33.0500,33.0500,2241987,0.0000,1.0000
2018-01-04,32.5400,32.8000,32.0800,32.7800,32.7800,1912238,0.0000,1.0000
2018-01-03,32.3200,32.8650,32.2100,32.4400,32.4400,1703826,0.0000,1.0000
2018-01-02,31.3100,32.1500,31.1400,32.1500,32.1500,2186789,0.0000,1.0000
2017-12-29,31.7800,31.8198,31.0400,31.0500,31.0500,1910009,0.0000,1.0000
2017-12-28,31.6700,31.8500,31.4110,31.6500,31.6500,1229362,0.0000,1.0000
2017-12-27,31.7800,31.9000,31.4600,31.5900,31.5900,1358302,0.0000,1.0000
2017-12-26,31.2400,32.1300,31.1999,31.9800,31.9800,1458868,0.0000,1.0000
2017-12-22,30.7300,31.4050,30.4000,31.1600,31.1600,1307278,0.0000,1.0000
2017-12-21,29.8400,30.6800,29.6000,30.5900,30.5900,1926440,0.0000,1.0000
2017-12-20,29.2500,29.8900,29.0600,29.8000,29.8000,1915323,0.0000,1.0000
2017-12-19,28.9100,29.4500,28.8000,29.1000,29.1000,1242572,0.0000,1.0000
2017-12-18,28.1400,29.0500,28.1200,28.8700,28.8700,2282420,0.0000,1.0000
2017-12-15,28.6600,28.8000,27.9200,27.9300,27.9300,4357567,0.0000,1.0000
2017-12-14,28.2600,28.7300,28.1900,28.4200,28.4200,1517657,0.0000,1.0000
2017-12-13,28.5300,28.7100,28.3000,28.3000,28.3000,1542949,0.0000,1.0000
2017-12-12,28.9600,29.0100,28.3100,28.6200,28.6200,1526567,0.0000,1.0000
2017-12-11,28.5500,28.9400,28.5400,28.8500,28.8500,1165826,0.0000,1.0000
2017-12-08,28.4700,28.6700,28.2100,28.4400,28.4400,1415752,0.0000,1.0000
2017-12-07,28.1400,28.4100,28.0250,28.1000,28.1000,1436761,0.0000,1.0000
2017-12-06,28.7200,28.8200,28.0999,28.2100,28.2100,1796818,0.0000,1.0000
2017-12-05,28.8400,29.1400,28.6400,28.9400,28.9400,1640701,0.0000,1.0000
2017-12-04,29.1400,29.7600,28.8100,28.9000,28.9000,2726467,0.0000,1.0000
2017-12-01,28.2900,29.5300,28.1800,29.2300,29.2300,4388966,0.0000,1.0000
2017-11-30,28.2200,29.0200,27.9400,27.9500,27.9500,12342223,0.0000,1.0000
2017-11-29,28.0900,28.4652,27.8600,28.1200,28.1200,2653394,0.0000,1.0000
2017-11-28,28.1900,28.3000,27.6200,28.1300,28.1300,1805290,0.0000,1.0000
2017-11-27,28.4300,28.4300,27.7500,27.7900,27.7900,1975428,0.0000,1.0000
2017-11-24,28.5400,28.8900,28.3700,28.6700,28.6700,1068890,0.0000,1.0000
2017-11-22,28.1500,28.3100,27.9300,28.2000,28.2000,1585312,0.0000,1.0000
2017-11-21,27.9700,28.1200,27.4600,27.7900,27.7900,1959424,0.0000,1.0000
2017-11-20,27.9300,28.0300,27.6600,27.8900,27.8900,1734991,0.0000,1.0000
2017-11-17,27.8900,28.0700,27.7200,27.9900,27.9900,2012211,0.0000,1.0000
2017-11-16,27.5800,27.8200,27.2450,27.7500,27.7500,1913079,0.0000,1.0000
2017-11-15,27.3200,27.9200,26.6000,27.5900,27.5900,2175033,0.0000,1.0000
2017-11-14,28.6200,28.6700,27.5100,27.7900,27.7900,4032434,0.0000,1.0000
2017-11-13,28.9800,29.2300,28.8000,28.9500,28.9500,1997309,0.0000,1.0000
2017-11-10,29.5500,29.5900,28.8700,29.1400,29.1400,2305719,0.2500,1.0000
2017-11-09,29.0300,29.9700,29.0000,29.8000,29.5465,2622031,0.0000,1.0000
2017-11-08,29.0300,29.4700,28.7300,29.0400,28.7930,2499885,0.0000,1.0000
2017-11-07,29.3300,29.6700,29.0600,29.2400,28.9913,2335781,0.0000,1.0000
2017-11-06,27.8500,29.1700,27.8000,29.1500,28.9020,2854862,0.0000,1.0000
2017-11-03,27.6900,28.0300,27.3800,27.6000,27.3652,2552706,0.0000,1.0000
2017-11-02,26.8700,27.8200,26.5000,27.8200,27.5834,3462060,0.0000,1.0000
2017-11-01,27.1100,27.7800,26.9000,27.3900,27.1570,3466358,0.0000,1.0000
2017-10-31,26.1700,26.8400,25.8900,26.7500,26.5225,2751459,0.0000,1.0000
2017-10-30,25.7600,26.1700,25.5500,26.1500,25.9276,2222354,0.0000,1.0000
2017-10-27,24.8100,25.5700,24.5200,25.5700,25.3525,1933774,0.0000,1.0000
2017-10-26,24.8500,25.1400,24.5500,25.0700,24.8567,1851958,0.0000,1.0000
2017-10-25,25.3900,25.4600,24.5500,25.0200,24.8072,1949074,0.0000,1.0000
2017-10-24,25.8200,25.9300,25.3100,25.4200,25.2038,1871338,0.0000,1.0000
2017-10-23,25.8900,25.9300,25.5100,25.5900,25.3723,2994995,0.0000,1.0000
2017-10-20,25.8700,25.9700,25.5500,25.7300,25.5111,1637840,0.0000,1.0000
2017-10-19,25.5800,25.9000,25.3700,25.7600,25.5409,1596208,0.0000,1.0000
2017-10-18,26.0000,26.4000,25.7400,25.7600,25.5409,1903363,0.0000,1.0000
2017-10-17,25.9900,26.1300,25.5100,25.9300,25.7094,1592144,0.0000,1.0000
2017-10-16,25.8100,26.1700,25.7100,26.0000,25.7788,1678509,0.0000,1.0000
2017-10-13,26.0900,26.2900,25.5400,25.6400,25.4219,2003357,0.0000,1.0000
2017-10-12,25.4200,25.7900,25.2700,25.7200,25.5012,1537924,0.0000,1.0000
2017-10-11,25.9000,25.9800,25.4700,25.7500,25.5310,1164046,0.0000,1.0000
2017-10-10,26.3900,26.4900,25.8000,25.8600,25.6400,1786341,0.0000,1.0000
2017-10-09,26.1800,26.4300,25.9400,26.0800,25.8582,1436627,0.0000,1.0000
2017-10-06,26.1300,26.3800,25.9400,26.0400,25.8185,1330600,0.0000,1.0000
2017-10-05,26.9100,27.1700,26.6100,26.6800,26.4531,1621467,0.0000,1.0000
2017-10-04,26.7200,27.0400,26.4500,26.7900,26.5621,1700405,0.0000,1.0000
2017-10-03,26.5300,26.6500,26.2500,26.6100,26.3836,1379438,0.0000,1.0000
2017-10-02,25.9300,26.6000,25.7200,26.5900,26.3638,1769662,0.0000,1.0000
2017-09-29,26.8200,26.8500,26.1700,26.5600,26.3341,2224170,0.0000,1.0000
2017-09-28,27.4300,27.6700,26.9200,26.9900,26.7604,1331426,0.0000,1.0000
2017-09-27,27.1400,27.4500,26.8300,27.4300,27.1967,1676761,0.0000,1.0000
2017-09-26,26.5700,27.1300,26.3200,27.0800,26.8496,1898330,0.0000,1.0000
2017-09-25,26.4600,26.8100,26.3400,26.7300,26.5026,1688835,0.0000,1.0000
2017-09-22,26.2100,26.4200,26.0100,26.1900,25.9672,1486169,0.0000,1.0000
2017-09-21,26.0400,26.4800,25.7900,26.2900,26.0664,1714082,0.0000,1.0000
2017-09-20,25.8700,26.1900,25.7400,26.0900,25.8681,1596283,0.0000,1.0000
2017-09-19,25.9100,26.0400,25.4100,25.6700,25.4516,1768520,0.0000,1.0000
2017-09-18,25.2900,26.0400,25.2600,25.8200,25.6004,2377260,0.0000,1.0000
2017-09-15,25.5600,25.6800,25.1700,25.4400,25.2236,3293755,0.0000,1.0000
2017-09-14,25.5500,26.1800,25.4000,25.5300,25.3128,3293885,0.0000,1.0000
2017-09-13,24.4800,25.4800,24.4800,25.3500,25.1344,3003066,0.0000,1.0000
2017-09-12,23.5100,24.6500,23.5100,24.4100,24.2024,2290939,0.0000,1.0000
