timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,13.8300,13.9000,13.6200,13.7100,13.7100,1948073,0.0000,1.0000
2018-01-16,14.0000,14.1300,13.7300,13.7500,13.7500,3577826,0.0000,1.0000
2018-01-12,13.7100,14.0300,13.6600,13.8800,13.8800,3882819,0.0000,1.0000
2018-01-11,13.7400,14.0300,13.7300,13.7600,13.7600,631741,0.0000,1.0000
2018-01-10,13.6100,13.7800,13.5400,13.6800,13.6800,3423424,0.0000,1.0000
2018-01-09,13.6400,13.7100,13.4800,13.5200,13.5200,2966370,0.0000,1.0000
2018-01-08,13.9700,13.9800,13.4800,13.6900,13.6900,3269625,0.0000,1.0000
2018-01-05,14.0000,14.0300,13.8200,14.0100,14.0100,2059997,0.0000,1.0000
2018-01-04,13.8600,14.0300,13.8050,13.9400,13.9400,2958547,0.0000,1.0000
2018-01-03,13.5700,13.7900,13.5500,13.7800,13.7800,2548515,0.0000,1.0000
2018-01-02,13.4500,13.7700,13.3400,13.6300,13.6300,3528370,0.0000,1.0000
2017-12-29,13.4000,13.5150,13.2700,13.3200,13.3200,1832765,0.0000,1.0000
2017-12-28,13.2300,13.4000,13.1435,13.3700,13.3700,1193606,0.0000,1.0000
2017-12-27,13.4600,13.5800,13.1600,13.2100,13.2100,1686178,0.0000,1.0000
2017-12-26,13.3800,13.6401,13.3500,13.4600,13.4600,1735553,0.0000,1.0000
2017-12-22,13.2700,13.3800,13.1600,13.3500,13.3500,2289097,0.0000,1.0000
2017-12-21,13.1600,13.2850,13.0700,13.1200,13.1200,1932057,0.0000,1.0000
2017-12-20,13.2000,13.2200,13.0000,13.0900,13.0900,2763091,0.0000,1.0000
2017-12-19,13.3100,13.3800,13.1300,13.1300,13.1300,2867421,0.0000,1.0000
2017-12-18,13.3400,13.5300,13.2100,13.2700,13.2700,4140652,0.0000,1.0000
2017-12-15,12.6400,13.2700,12.5600,13.2000,13.2000,10943847,0.0000,1.0000
2017-12-14,12.9100,13.1400,12.5800,12.6200,12.6200,5012739,0.0000,1.0000
2017-12-13,12.9400,13.3050,12.9000,12.9400,12.9400,6617855,0.0000,1.0000
2017-12-12,12.8000,13.2100,12.7700,12.9600,12.9600,3602787,0.0000,1.0000
2017-12-11,12.8300,12.9400,12.6000,12.7600,12.7600,4673723,0.0000,1.0000
