timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,39.6900,40.2500,39.4100,39.4500,39.4500,5191400,0.0000,1.0000
2018-01-16,39.7900,40.2150,39.1300,40.0000,40.0000,6914852,0.0000,1.0000
2018-01-12,39.0400,39.8400,38.8600,39.7900,39.7900,5067803,0.0000,1.0000
2018-01-11,38.4100,38.7600,38.3900,38.6500,38.6500,1336344,0.0000,1.0000
2018-01-10,38.4700,38.5000,38.0807,38.3400,38.3400,3512437,0.0000,1.0000
2018-01-09,38.1500,38.3200,37.9500,38.1100,38.1100,3880930,0.0000,1.0000
2018-01-08,38.3500,38.5200,37.9600,38.3600,38.3600,4608294,0.0000,1.0000
2018-01-05,38.1800,38.4300,38.0200,38.4000,38.4000,2870878,0.0000,1.0000
2018-01-04,37.7500,38.2600,37.3700,38.2600,38.2600,3872274,0.0000,1.0000
2018-01-03,38.2100,38.2600,37.4900,37.8400,37.8400,5073799,0.0000,1.0000
2018-01-02,37.8700,38.2950,37.8200,38.1600,38.1600,4994590,0.0000,1.0000
2017-12-29,37.7000,37.7700,37.3700,37.5200,37.5200,2720781,0.0000,1.0000
2017-12-28,37.8100,37.8100,37.3300,37.5100,37.5100,2244850,0.0000,1.0000
2017-12-27,37.6200,37.8400,37.4500,37.6000,37.6000,3517376,0.0000,1.0000
2017-12-26,37.0000,38.0400,36.9200,37.5700,37.5700,4347701,0.0000,1.0000
2017-12-22,36.9000,36.9900,36.7100,36.9200,36.9200,2216189,0.0000,1.0000
2017-12-21,36.7000,36.9300,36.5500,36.7300,36.7300,3601930,0.0000,1.0000
2017-12-20,36.4500,36.7200,36.1100,36.6100,36.6100,2812962,0.0000,1.0000
2017-12-19,36.5800,36.7800,36.1700,36.3500,36.3500,3149138,0.0000,1.0000
2017-12-18,36.0800,36.9600,36.0000,36.6500,36.6500,4439361,0.0000,1.0000
2017-12-15,36.1600,36.2900,35.8400,35.8700,35.8700,10444970,0.0000,1.0000
2017-12-14,35.6850,36.0800,35.3800,35.9000,35.9000,4411686,0.0000,1.0000
2017-12-13,34.6500,36.0200,34.5700,35.7500,35.7500,6954217,0.0000,1.0000
2017-12-12,34.6200,34.6800,34.1977,34.5900,34.5900,6460864,0.0000,1.0000
2017-12-11,35.1800,35.7500,34.5200,34.6700,34.6700,7802954,0.0000,1.0000
2017-12-08,35.8300,36.2000,35.1700,35.4000,35.4000,5300884,0.0000,1.0000
2017-12-07,35.5300,36.1300,35.4501,35.9200,35.9200,4046354,0.0750,1.0000
2017-12-06,36.2500,36.3999,35.7800,35.8300,35.7553,5797417,0.0000,1.0000
