timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,64.0000,64.2100,63.5400,64.1100,64.1100,5656252,0.0000,1.0000
2018-01-17,63.6700,64.0100,63.0800,63.8100,63.8100,7385725,0.0000,1.0000
2018-01-16,64.7800,65.3600,63.3700,63.4200,63.4200,8884907,0.0000,1.0000
2018-01-12,64.5000,64.7250,64.3150,64.6700,64.6700,5135670,0.0000,1.0000
2018-01-11,64.0300,64.2000,63.7800,64.0000,64.0000,1268663,0.0000,1.0000
2018-01-10,63.8800,64.2300,63.4350,64.2200,64.2200,4902505,0.0000,1.0000
2018-01-09,64.2300,64.7200,63.4700,64.0900,64.0900,6697632,0.0000,1.0000
2018-01-08,64.1500,64.7100,63.9800,64.5500,64.5500,11888826,0.0000,1.0000
2018-01-05,63.7000,64.3000,63.4701,63.9800,63.9800,11482945,0.0000,1.0000
2018-01-04,63.4000,63.5500,62.5500,63.4400,63.4400,5727712,0.0000,1.0000
2018-01-03,63.4800,63.6600,62.7600,63.4800,63.4800,6086964,0.0000,1.0000
2018-01-02,62.8500,63.4900,62.8500,63.4900,63.4900,5559283,0.0000,1.0000
2017-12-29,63.2100,63.3700,62.5500,62.5500,62.5500,5195058,0.0000,1.0000
2017-12-28,63.0000,63.3200,62.8500,62.9500,62.9500,3950551,0.0000,1.0000
2017-12-27,63.5600,63.6000,62.7700,62.9500,62.9500,6091767,0.0000,1.0000
2017-12-26,62.9000,63.8900,62.8100,63.6500,63.6500,4438641,0.0000,1.0000
2017-12-22,61.2100,63.5400,60.1300,63.2900,63.2900,20369725,0.0000,1.0000
2017-12-21,64.3300,64.9800,63.3000,64.7700,64.7700,13218571,0.0000,1.0000
2017-12-20,64.4000,64.5000,63.5800,63.5900,63.5900,12358225,0.0000,1.0000
2017-12-19,65.0900,65.1850,64.1800,64.2400,64.2400,8197588,0.0000,1.0000
2017-12-18,64.9900,65.0800,64.3900,64.8100,64.8100,12633649,0.0000,1.0000
2017-12-15,64.9300,65.0700,64.1500,64.7900,64.7900,15158735,0.0000,1.0000
2017-12-14,64.4350,64.8500,64.0500,64.5300,64.5300,12968876,0.0000,1.0000
2017-12-13,62.2200,64.4600,62.0200,64.3000,64.3000,15759848,0.0000,1.0000
2017-12-12,61.8100,62.5300,61.6500,62.1700,62.1700,7319761,0.0000,1.0000
2017-12-11,61.3700,62.2200,61.3000,61.9100,61.9100,8988202,0.0000,1.0000
2017-12-08,60.5000,61.3700,60.2900,61.3000,61.3000,5913287,0.0000,1.0000
2017-12-07,59.8600,61.0600,59.6500,60.6000,60.6000,6066962,0.0000,1.0000
2017-12-06,60.4100,60.8500,59.7000,59.7200,59.7200,7806059,0.0000,1.0000
2017-12-05,60.6500,60.8000,59.6500,60.4200,60.4200,8737956,0.0000,1.0000
2017-12-04,60.2700,60.6950,59.9700,60.1000,60.1000,7507367,0.0000,1.0000
2017-12-01,60.4200,60.4300,59.2400,59.8800,59.8800,10113675,0.2000,1.0000
2017-11-30,60.2600,61.2100,60.2000,60.4200,60.2189,12551210,0.0000,1.0000
2017-11-29,59.7300,60.6300,59.7300,60.3600,60.1591,12022818,0.0000,1.0000
2017-11-28,58.7600,59.6000,58.5400,59.5800,59.3817,8639368,0.0000,1.0000
2017-11-27,59.2000,59.7000,59.1700,59.6300,59.4315,7771640,0.0000,1.0000
2017-11-24,59.0000,59.3500,58.9100,59.3200,59.1225,3400441,0.0000,1.0000
2017-11-22,59.1800,59.3400,58.9400,59.0700,58.8734,8501289,0.0000,1.0000
2017-11-21,59.0300,59.4000,58.9300,59.3900,59.1923,8644520,0.0000,1.0000
2017-11-20,58.6300,59.5000,57.9800,59.2500,59.0528,8441225,0.0000,1.0000
2017-11-17,58.5400,59.5300,58.3700,59.1900,58.9930,15275318,0.0000,1.0000
2017-11-16,56.6200,57.2775,56.4100,57.2300,57.0395,7968197,0.0000,1.0000
2017-11-15,55.9600,56.8700,55.0800,56.6300,56.4415,6598543,0.0000,1.0000
2017-11-14,55.7100,56.1800,55.5300,55.9800,55.7936,5023748,0.0000,1.0000
2017-11-13,55.6600,56.0850,55.6600,55.9100,55.7239,10070701,0.0000,1.0000
2017-11-10,55.8800,56.4900,55.6200,56.0900,55.9033,7533874,0.0000,1.0000
2017-11-09,55.5000,56.3500,55.3100,56.1300,55.9431,10854910,0.0000,1.0000
2017-11-08,55.0000,55.7700,54.8900,55.7600,55.5744,7079371,0.0000,1.0000
2017-11-07,55.7500,56.0150,55.0200,55.1500,54.9664,7356767,0.0000,1.0000
2017-11-06,55.2900,56.1300,55.1400,56.0400,55.8534,9236671,0.0000,1.0000
2017-11-03,55.1500,55.7200,55.0400,55.7100,55.5245,9287951,0.0000,1.0000
2017-11-02,55.1500,55.3200,54.5900,55.1200,54.9365,7150987,0.0000,1.0000
2017-11-01,55.4200,55.5000,54.8500,55.0700,54.8867,7340709,0.0000,1.0000
2017-10-31,54.7500,55.2800,54.5200,54.9900,54.8069,9691459,0.0000,1.0000
2017-10-30,55.7100,55.9300,54.8400,55.2700,55.0860,9880004,0.0000,1.0000
2017-10-27,55.8200,56.3600,55.6500,55.9600,55.7737,12452190,0.0000,1.0000
2017-10-26,55.2600,57.2500,55.1400,56.8100,56.6209,21763064,0.0000,1.0000
2017-10-25,53.4300,55.9050,52.6700,54.9245,54.7417,22918301,0.0000,1.0000
2017-10-24,53.9000,54.0000,53.1000,53.4200,53.2422,14727551,0.0000,1.0000
2017-10-23,53.0600,53.9500,53.0000,53.6600,53.4814,12059509,0.0000,1.0000
2017-10-20,52.7900,53.5000,52.7900,53.0600,52.8834,12357612,0.0000,1.0000
2017-10-19,51.6600,52.8000,51.4800,52.6900,52.5146,12563336,0.0000,1.0000
2017-10-18,52.1800,52.4000,52.1000,52.3000,52.1259,10729274,0.0000,1.0000
2017-10-17,51.5000,52.0400,51.3800,52.0000,51.8269,9437231,0.0000,1.0000
2017-10-16,50.8000,51.4050,50.6400,51.3700,51.1990,9295514,0.0000,1.0000
2017-10-13,50.8300,51.0700,50.4000,50.9800,50.8103,4142470,0.0000,1.0000
2017-10-12,51.0000,51.1200,50.3500,50.8300,50.6608,2646542,0.0000,1.0000
2017-10-11,51.3900,51.5200,50.8300,51.0300,50.8601,8990627,0.0000,1.0000
2017-10-10,51.5800,51.8200,51.3700,51.5300,51.3585,8349811,0.0000,1.0000
2017-10-09,52.2300,52.3000,51.5000,51.5200,51.3485,6864820,0.0000,1.0000
2017-10-06,52.2000,52.4600,52.1200,52.4200,52.2455,5233937,0.0000,1.0000
2017-10-05,52.0100,52.3200,51.7750,52.1800,52.0063,5028209,0.0000,1.0000
2017-10-04,51.5100,52.1300,51.4000,52.0800,51.9066,8108079,0.0000,1.0000
2017-10-03,52.0000,52.0500,51.4000,51.4700,51.2987,8059110,0.0000,1.0000
2017-10-02,52.1600,52.2100,51.6600,51.8700,51.6973,7486231,0.0000,1.0000
2017-09-29,52.5900,52.8200,51.7600,51.8500,51.6774,12025158,0.0000,1.0000
2017-09-28,52.8000,53.0300,52.3300,52.6300,52.4548,11285042,0.0000,1.0000
2017-09-27,52.1700,52.6900,51.0300,52.6700,52.4947,35853124,0.0000,1.0000
2017-09-26,53.1800,53.9700,52.9800,53.7000,53.5212,14213350,0.0000,1.0000
2017-09-25,53.0800,53.5600,53.0000,53.2300,53.0528,12194742,0.0000,1.0000
2017-09-22,53.0200,53.6100,52.8000,53.2400,53.0628,10903065,0.0000,1.0000
2017-09-21,53.5500,53.6400,53.0900,53.1900,53.0129,8016973,0.0000,1.0000
2017-09-20,53.4900,53.6400,53.0400,53.5600,53.3817,6973534,0.0000,1.0000
2017-09-19,52.7800,54.0500,52.5100,53.3300,53.1525,14607706,0.0000,1.0000
2017-09-18,53.8700,54.1600,53.4000,53.5000,53.3219,8155643,0.0000,1.0000
2017-09-15,53.8600,54.0600,53.5200,53.8700,53.6907,9820057,0.0000,1.0000
2017-09-14,53.5400,53.8900,53.1200,53.7300,53.5511,7478837,0.0000,1.0000
2017-09-13,53.4500,53.6400,53.0400,53.5200,53.3418,5915354,0.0000,1.0000
2017-09-12,53.7700,54.0900,53.3000,53.4000,53.2222,7807840,0.0000,1.0000
2017-09-11,52.3800,53.1300,52.3200,53.0300,52.8535,8527706,0.0000,1.0000
2017-09-08,52.2500,52.5100,52.1100,52.2000,52.0262,8484006,0.0000,1.0000
2017-09-07,52.7600,52.8500,52.3400,52.3900,52.2156,6849554,0.0000,1.0000
2017-09-06,53.1200,53.3400,52.7100,52.7600,52.5844,7277442,0.0000,1.0000
2017-09-05,53.2500,53.4700,52.8800,53.0100,52.8335,6306497,0.0000,1.0000
2017-09-01,53.0000,53.4500,52.9000,53.3600,53.1824,5503836,0.0000,1.0000
2017-08-31,52.6000,52.9800,52.4700,52.8100,52.6342,7667789,0.1800,1.0000
2017-08-30,52.8000,52.9600,52.2500,52.5600,52.2071,6988404,0.0000,1.0000
2017-08-29,52.7400,52.8775,52.0650,52.7300,52.3759,12677668,0.0000,1.0000
2017-08-28,54.0700,54.4300,53.6150,53.7300,53.3692,5198255,0.0000,1.0000
2017-08-25,54.0300,54.2000,53.5375,53.9000,53.5381,6401011,0.0000,1.0000
2017-08-24,53.9300,53.9700,53.4600,53.8400,53.4785,5392383,0.0000,1.0000
2017-08-23,53.9200,54.0800,53.4450,53.6100,53.2500,6336076,0.0000,1.0000
2017-08-22,53.9200,54.4100,53.7900,54.1300,53.7665,8101468,0.0000,1.0000
2017-08-21,54.4400,54.4400,53.1050,53.6100,53.2500,13255490,0.0000,1.0000
2017-08-18,54.8500,55.4200,54.1700,54.9500,54.5810,22843960,0.0000,1.0000
2017-08-17,58.5300,58.7445,57.4200,57.4600,57.0742,8904122,0.0000,1.0000
2017-08-16,58.9000,59.0500,58.2210,58.5400,58.1469,5460194,0.0000,1.0000
2017-08-15,58.9400,59.0100,58.2900,58.5600,58.1668,8863222,0.0000,1.0000
2017-08-14,59.1500,60.0000,59.1300,59.7800,59.3786,5838268,0.0000,1.0000
