timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,50.4000,50.4300,49.5700,49.7400,49.7400,2745522,0.0000,1.0000
2018-01-17,49.7100,50.4150,49.6500,50.2700,50.2700,2937796,0.0000,1.0000
2018-01-16,50.2100,50.3850,49.3600,49.5500,49.5500,3468536,0.0000,1.0000
2018-01-12,49.8850,50.2100,49.5300,50.1000,50.1000,2851745,0.0000,1.0000
2018-01-11,49.4600,50.2907,49.2100,50.2800,50.2800,1355360,0.0000,1.0000
2018-01-10,49.4000,49.5500,49.0500,49.4000,49.4000,3457607,0.0000,1.0000
2018-01-09,49.8300,49.9400,49.2500,49.6300,49.6300,5174665,0.0000,1.0000
2018-01-08,49.7200,49.9100,49.5200,49.8100,49.8100,3192222,0.0000,1.0000
2018-01-05,49.4100,49.7800,49.2600,49.6600,49.6600,5744500,0.0000,1.0000
2018-01-04,48.0000,49.5600,48.0000,49.2500,49.2500,8090287,0.0000,1.0000
2018-01-03,50.8000,51.4000,50.6210,50.7400,50.7400,2520117,0.0000,1.0000
2018-01-02,51.5000,51.8300,50.9700,51.0000,51.0000,2956535,0.0000,1.0000
2017-12-29,51.3400,51.6800,51.2400,51.5000,51.5000,2308122,0.0000,1.0000
2017-12-28,51.1400,51.3650,50.9500,51.3400,51.3400,1481985,0.0000,1.0000
2017-12-27,51.1600,51.2200,50.8600,51.0100,51.0100,2281128,0.0000,1.0000
2017-12-26,51.2100,51.5100,50.9200,50.9600,50.9600,1242088,0.0000,1.0000
2017-12-22,51.0350,51.4350,50.9700,51.0700,51.0700,2276064,0.0000,1.0000
2017-12-21,50.8600,51.3700,50.7100,51.0100,51.0100,2622950,0.0000,1.0000
2017-12-20,51.1950,51.5200,50.8400,50.9800,50.9800,3543431,0.0000,1.0000
2017-12-19,51.9850,52.1100,51.3100,51.3200,51.3200,3181068,0.0000,1.0000
2017-12-18,52.4500,52.6200,51.9350,51.9700,51.9700,2911818,0.0000,1.0000
2017-12-15,51.9500,52.4100,51.9000,52.3000,52.3000,5269520,0.0000,1.0000
2017-12-14,52.1150,52.1600,51.7000,51.9400,51.9400,4242547,0.0000,1.0000
2017-12-13,52.0200,52.4500,51.8800,52.1800,52.1800,3283372,0.0000,1.0000
2017-12-12,52.1800,52.5400,51.9500,52.0100,52.0100,4230145,0.0000,1.0000
2017-12-11,51.8300,52.4300,51.6400,52.4000,52.4000,4163060,0.0000,1.0000
2017-12-08,51.9600,51.9900,51.5700,51.9300,51.9300,4203957,0.0000,1.0000
2017-12-07,52.3200,52.3200,51.6301,51.9800,51.9800,4742123,0.4300,1.0000
2017-12-06,52.7800,52.9100,52.1650,52.7600,52.3271,4794982,0.0000,1.0000
2017-12-05,52.9700,53.0500,52.4450,52.6800,52.2478,4871337,0.0000,1.0000
2017-12-04,53.1900,53.1900,52.4900,52.8900,52.4561,5116093,0.0000,1.0000
2017-12-01,53.1000,53.2800,52.5600,53.0700,52.6346,3485784,0.0000,1.0000
2017-11-30,52.6600,53.2000,52.4600,53.0600,52.6247,4383547,0.0000,1.0000
2017-11-29,51.8600,52.7900,51.7700,52.7000,52.2676,3820187,0.0000,1.0000
2017-11-28,51.7100,52.0400,51.7100,52.0400,51.6130,2816644,0.0000,1.0000
2017-11-27,51.5900,51.7400,51.3200,51.5800,51.1568,3545151,0.0000,1.0000
2017-11-24,51.4400,51.7900,51.3200,51.5600,51.1370,1991326,0.0000,1.0000
2017-11-22,51.5300,51.5750,51.1599,51.4300,51.0080,2530673,0.0000,1.0000
2017-11-21,51.6500,51.7800,51.4100,51.6000,51.1766,2416551,0.0000,1.0000
2017-11-20,51.5300,51.6300,51.2600,51.5700,51.1469,3353383,0.0000,1.0000
2017-11-17,51.0800,51.5400,51.0200,51.5000,51.0775,5620755,0.0000,1.0000
2017-11-16,51.2800,51.3900,51.0100,51.3800,50.9585,2946217,0.0000,1.0000
2017-11-15,51.8200,52.1200,51.1500,51.3100,50.8890,3697828,0.0000,1.0000
2017-11-14,50.6300,51.7300,50.3700,51.7200,51.2957,3087983,0.0000,1.0000
2017-11-13,50.5200,51.0300,50.4300,50.6600,50.2444,3602406,0.0000,1.0000
2017-11-10,49.9400,50.5400,49.9400,50.3800,49.9667,3114163,0.0000,1.0000
2017-11-09,50.0500,50.4950,49.9010,50.2700,49.8576,1984742,0.0000,1.0000
2017-11-08,49.8400,50.2800,49.6900,50.2000,49.7881,2503570,0.0000,1.0000
2017-11-07,49.7600,50.0500,49.5500,49.9500,49.5402,2341740,0.0000,1.0000
2017-11-06,50.2900,50.4100,49.5350,49.6500,49.2426,3147731,0.0000,1.0000
2017-11-03,49.6900,50.5550,49.6200,50.3100,49.8972,2412503,0.0000,1.0000
2017-11-02,49.5900,49.9100,49.1700,49.7900,49.3815,2970456,0.0000,1.0000
2017-11-01,49.9400,50.1900,49.2900,49.5100,49.1038,4265712,0.0000,1.0000
2017-10-31,48.6600,49.6990,48.3300,49.2000,48.7963,3299903,0.0000,1.0000
2017-10-30,49.4600,49.6000,49.2100,49.5500,49.1435,3225778,0.0000,1.0000
2017-10-27,49.2300,49.6400,49.0100,49.4900,49.0840,2401998,0.0000,1.0000
2017-10-26,49.4400,49.4500,49.0300,49.3600,48.9550,2468291,0.0000,1.0000
2017-10-25,48.8500,49.2700,48.3100,49.1700,48.7666,2795668,0.0000,1.0000
2017-10-24,48.9400,49.1200,48.7100,49.0800,48.6773,2753465,0.0000,1.0000
2017-10-23,49.1100,49.1100,48.6900,48.9800,48.5781,2540763,0.0000,1.0000
2017-10-20,48.9400,49.0200,48.7200,49.0000,48.5980,4116059,0.0000,1.0000
2017-10-19,48.7400,48.9600,48.6100,48.9400,48.5385,2321422,0.0000,1.0000
2017-10-18,48.4900,48.7750,48.3700,48.6600,48.2608,2398706,0.0000,1.0000
2017-10-17,48.5400,48.7100,48.2050,48.6000,48.2013,3593581,0.0000,1.0000
2017-10-16,48.4900,48.7500,48.0700,48.6000,48.2013,2683479,0.0000,1.0000
2017-10-13,49.1600,49.3300,48.4900,48.6400,48.2409,5255773,0.0000,1.0000
2017-10-12,48.3700,49.0300,48.2936,49.0200,48.6178,2814563,0.0000,1.0000
2017-10-11,48.1200,48.4000,47.9850,48.3900,47.9930,3738609,0.0000,1.0000
2017-10-10,47.6500,48.3000,47.5400,48.2100,47.8145,3366112,0.0000,1.0000
2017-10-09,47.6300,47.7100,47.4600,47.6100,47.2194,2320588,0.0000,1.0000
2017-10-06,47.1900,47.6500,46.9700,47.6000,47.2095,4707048,0.0000,1.0000
2017-10-05,46.9300,47.4600,46.7300,47.4500,47.0607,3300144,0.0000,1.0000
2017-10-04,46.2800,47.0000,46.2100,46.9900,46.6045,1888527,0.0000,1.0000
2017-10-03,46.5400,46.5400,46.1000,46.2500,45.8705,2081373,0.0000,1.0000
2017-10-02,46.4400,46.6600,46.0500,46.6000,46.2177,2315533,0.0000,1.0000
2017-09-29,46.1900,46.7700,46.1400,46.2500,45.8705,3630004,0.0000,1.0000
2017-09-28,45.9800,46.3600,45.7300,46.0800,45.7019,2142025,0.0000,1.0000
2017-09-27,46.1600,46.4000,45.8500,46.1500,45.7714,3331807,0.0000,1.0000
2017-09-26,46.4500,46.6200,46.2100,46.5100,46.1284,2038853,0.0000,1.0000
2017-09-25,46.4700,46.6950,46.1200,46.5000,46.1185,3277780,0.0000,1.0000
2017-09-22,46.6000,46.6300,46.1100,46.1900,45.8110,3982499,0.0000,1.0000
2017-09-21,45.4700,46.4700,45.4400,46.2200,45.8408,4246350,0.0000,1.0000
2017-09-20,45.6800,45.8450,45.0500,45.2300,44.8589,2770215,0.0000,1.0000
2017-09-19,45.7000,45.8650,45.4900,45.5900,45.2160,1684767,0.0000,1.0000
2017-09-18,45.8100,45.9600,45.3050,45.6000,45.2259,1767262,0.0000,1.0000
2017-09-15,45.8000,46.2600,45.6300,45.8200,45.4441,3400781,0.0000,1.0000
2017-09-14,45.4200,45.8200,45.3400,45.8000,45.4242,2383880,0.0000,1.0000
2017-09-13,45.7400,45.8400,45.4600,45.4800,45.1069,3114310,0.0000,1.0000
2017-09-12,46.6300,46.6500,45.5950,45.8400,45.4639,1781609,0.0000,1.0000
2017-09-11,46.4400,46.8400,46.3100,46.7400,46.3565,1766056,0.0000,1.0000
2017-09-08,46.0200,46.5400,45.9400,46.4500,46.0689,2039987,0.0000,1.0000
2017-09-07,45.6800,46.0600,45.5300,46.0400,45.6623,1992557,0.4300,1.0000
2017-09-06,46.5100,46.5100,45.8800,45.9000,45.1022,2170536,0.0000,1.0000
2017-09-05,46.5700,46.5700,46.0750,46.3700,45.5640,3221226,0.0000,1.0000
2017-09-01,46.9500,47.0100,46.1400,46.5200,45.7114,2842305,0.0000,1.0000
2017-08-31,46.8600,47.0500,46.7900,46.8400,46.0258,2681840,0.0000,1.0000
2017-08-30,47.1000,47.1000,46.7900,46.8300,46.0160,1296309,0.0000,1.0000
2017-08-29,47.3300,47.4350,47.1000,47.1100,46.2911,1288829,0.0000,1.0000
2017-08-28,47.3600,47.4400,47.0400,47.3000,46.4778,2878233,0.0000,1.0000
2017-08-25,47.3700,47.4700,47.1300,47.2900,46.4680,1167841,0.0000,1.0000
2017-08-24,47.2100,47.3800,47.0400,47.2200,46.3992,1259778,0.0000,1.0000
2017-08-23,47.0400,47.2800,46.8700,47.2400,46.4189,1909730,0.0000,1.0000
2017-08-22,46.8500,47.0200,46.7000,47.0000,46.1831,1884044,0.0000,1.0000
2017-08-21,46.7500,46.8800,46.6200,46.8500,46.0357,1500433,0.0000,1.0000
2017-08-18,46.2500,46.9500,46.1200,46.6800,45.8686,2019482,0.0000,1.0000
2017-08-17,46.6200,46.7100,46.2800,46.3000,45.4952,1910449,0.0000,1.0000
2017-08-16,46.3400,46.7350,46.2400,46.6400,45.8293,1988439,0.0000,1.0000
2017-08-15,45.6700,46.3500,45.6400,46.2900,45.4854,2034590,0.0000,1.0000
2017-08-14,45.6400,45.9500,45.5100,45.9200,45.1218,1756370,0.0000,1.0000
2017-08-11,45.9700,46.0000,45.4200,45.5300,44.7386,2529073,0.0000,1.0000
2017-08-10,45.4700,45.7600,45.2700,45.6100,44.8172,2563396,0.0000,1.0000
2017-08-09,45.9200,45.9500,45.3650,45.4400,44.6502,1967790,0.0000,1.0000
2017-08-08,45.6100,45.8400,45.5700,45.7700,44.9744,1836630,0.0000,1.0000
2017-08-07,45.6800,45.7900,45.5600,45.6900,44.8958,1483791,0.0000,1.0000
2017-08-04,45.5900,45.7900,45.4148,45.7000,44.9056,1575989,0.0000,1.0000
2017-08-03,45.2900,45.7800,45.2100,45.7700,44.9744,1812123,0.0000,1.0000
2017-08-02,45.0700,45.4400,44.7300,45.3300,44.5421,2049206,0.0000,1.0000
2017-08-01,45.5900,45.7900,45.4148,45.7000,44.9056,3043012,0.0000,1.0000
2017-07-31,44.9100,45.3600,44.5400,44.9700,44.1883,3603201,0.0000,1.0000
2017-07-28,43.6300,44.9600,43.6300,44.9600,44.1785,2754616,0.0000,1.0000
