timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,73.7200,74.0100,73.2600,73.8800,73.8800,1147602,0.0000,1.0000
2018-01-10,73.0200,74.0500,72.7900,73.3800,73.3800,1292174,0.0000,1.0000
2018-01-09,72.2100,73.5350,72.1200,72.9700,72.9700,1351974,0.0000,1.0000
2018-01-08,71.9200,72.2500,71.3600,72.2100,72.2100,873801,0.0000,1.0000
2018-01-05,71.5600,72.2100,71.3400,72.0000,72.0000,1013660,0.0000,1.0000
2018-01-04,70.7600,71.7500,70.7000,71.4500,71.4500,843932,0.0000,1.0000
2018-01-03,70.0000,70.6900,70.0000,70.5300,70.5300,689699,0.0000,1.0000
2018-01-02,71.1800,71.3200,69.9210,70.3800,70.3800,739002,0.0000,1.0000
2017-12-29,71.4800,71.6100,70.5300,70.5600,70.5600,695960,0.0000,1.0000
2017-12-28,71.1700,71.4300,70.9588,71.3900,71.3900,584844,0.0000,1.0000
2017-12-27,71.3900,71.5700,70.9000,71.0700,71.0700,465989,0.0000,1.0000
2017-12-26,71.4600,71.8600,71.0200,71.3300,71.3300,432048,0.0000,1.0000
2017-12-22,71.5700,71.8800,70.8350,71.2600,71.2600,665558,0.0000,1.0000
2017-12-21,71.7100,72.0400,71.1400,71.2400,71.2400,851045,0.0000,1.0000
2017-12-20,71.4200,71.6600,70.7200,71.2500,71.2500,1074264,0.0000,1.0000
2017-12-19,71.1000,71.4200,70.5200,70.8600,70.8600,1037258,0.0000,1.0000
2017-12-18,70.7300,71.4100,69.8350,70.6100,70.6100,1151090,0.0000,1.0000
2017-12-15,70.0500,70.9300,69.9150,70.3700,70.3700,1862440,0.0000,1.0000
2017-12-14,70.3500,70.5400,69.7500,69.8900,69.8900,1059836,0.0000,1.0000
2017-12-13,70.7600,71.0400,70.2400,70.2500,70.2500,1016874,0.0000,1.0000
2017-12-12,71.5800,71.8100,70.1800,70.7800,70.7800,1358320,0.0000,1.0000
2017-12-11,71.6900,71.8000,71.0000,71.5300,71.5300,837796,0.0000,1.0000
2017-12-08,71.3000,71.8100,70.7600,71.7600,71.7600,798054,0.0000,1.0000
2017-12-07,70.4800,71.4900,70.4600,70.9900,70.9900,984204,0.0000,1.0000
2017-12-06,70.6600,71.5000,70.5350,70.8200,70.8200,945736,0.0000,1.0000
2017-12-05,71.1100,71.6200,70.5700,70.6800,70.6800,1218602,0.0000,1.0000
2017-12-04,71.3100,71.8900,70.8400,70.8500,70.8500,1099730,0.0000,1.0000
2017-12-01,70.5700,70.5700,68.2800,70.5200,70.5200,1577456,0.4900,1.0000
2017-11-30,72.0000,72.2300,70.7800,70.7900,70.3015,2295130,0.0000,1.0000
2017-11-29,70.4800,72.1800,70.4100,71.5400,71.0463,1407696,0.0000,1.0000
2017-11-28,68.8800,70.2600,68.7600,70.0500,69.5666,1071349,0.0000,1.0000
2017-11-27,68.6700,68.8700,68.4500,68.6800,68.2061,909828,0.0000,1.0000
2017-11-24,68.5700,68.8500,68.2800,68.6500,68.1763,415998,0.0000,1.0000
2017-11-22,68.6400,68.8600,68.3100,68.4000,67.9280,443237,0.0000,1.0000
2017-11-21,69.0800,69.3500,68.4000,68.5500,68.0770,775562,0.0000,1.0000
2017-11-20,68.8400,69.1200,68.5900,68.8200,68.3451,616006,0.0000,1.0000
2017-11-17,68.0400,68.9400,67.9200,68.6400,68.1664,847053,0.0000,1.0000
2017-11-16,68.8000,69.1500,68.3050,68.3900,67.9181,1226656,0.0000,1.0000
2017-11-15,67.5800,68.8500,67.2800,68.5700,68.0968,1325133,0.0000,1.0000
2017-11-14,67.6800,68.4500,67.4800,68.3300,67.8585,1729630,0.0000,1.0000
2017-11-13,67.6100,68.5300,67.5730,68.0300,67.5606,1458882,0.0000,1.0000
2017-11-10,68.3500,68.5300,67.6100,68.0600,67.5904,839736,0.0000,1.0000
2017-11-09,68.0200,68.6050,67.3100,68.4200,67.9479,1673567,0.0000,1.0000
2017-11-08,68.9000,68.9900,67.7000,68.4900,68.0174,1429860,0.0000,1.0000
2017-11-07,69.2500,69.9524,68.8600,69.1100,68.6331,1455098,0.0000,1.0000
2017-11-06,68.0300,69.4550,68.0000,69.2200,68.7424,1026017,0.0000,1.0000
2017-11-03,68.6700,68.8200,68.1850,68.3200,67.8486,1233564,0.0000,1.0000
2017-11-02,67.2700,69.4000,66.9500,68.8900,68.4146,2240756,0.0000,1.0000
2017-11-01,66.2100,67.2050,65.9800,67.1300,66.6668,1691566,0.0000,1.0000
2017-10-31,66.6200,67.1300,65.8000,65.8500,65.3956,1400136,0.0000,1.0000
2017-10-30,67.8100,67.8350,66.4400,66.5200,66.0610,1003633,0.0000,1.0000
2017-10-27,67.5900,69.2000,66.6259,68.1000,67.6301,1270064,0.0000,1.0000
2017-10-26,68.2200,68.3000,67.6500,68.2000,67.7294,1005695,0.0000,1.0000
2017-10-25,68.7500,68.7700,67.2500,67.6900,67.2229,877237,0.0000,1.0000
2017-10-24,68.4000,68.6600,67.8600,68.5700,68.0968,995270,0.0000,1.0000
2017-10-23,68.0500,68.3200,67.5100,68.2700,67.7989,889854,0.0000,1.0000
2017-10-20,68.8700,68.9000,67.7100,67.7500,67.2825,1063605,0.0000,1.0000
2017-10-19,67.5600,68.1800,67.3900,68.1700,67.6996,666402,0.0000,1.0000
2017-10-18,67.8000,68.0050,67.5700,67.9000,67.4315,860541,0.0000,1.0000
2017-10-17,67.4300,67.6100,67.0800,67.5700,67.1037,879371,0.0000,1.0000
2017-10-16,67.3700,67.5400,67.1900,67.3200,66.8555,629358,0.0000,1.0000
2017-10-13,67.4400,67.9500,67.1500,67.2100,66.7462,723327,0.0000,1.0000
2017-10-12,67.1000,67.5900,66.9600,67.3300,66.8654,868914,0.0000,1.0000
2017-10-11,67.3100,67.4800,66.9500,67.3000,66.8356,642670,0.0000,1.0000
2017-10-10,66.6600,67.5200,66.6100,67.5000,67.0342,806000,0.0000,1.0000
2017-10-09,66.7700,66.7900,66.3400,66.5900,66.1305,371602,0.0000,1.0000
2017-10-06,66.8000,66.9800,66.1300,66.6500,66.1901,724267,0.0000,1.0000
2017-10-05,65.8400,66.8900,65.6300,66.5700,66.1106,927944,0.0000,1.0000
2017-10-04,65.4300,65.9900,65.2750,65.8200,65.3658,905622,0.0000,1.0000
2017-10-03,64.9300,65.3550,64.5200,65.3400,64.8891,1278982,0.0000,1.0000
2017-10-02,64.6200,65.1100,64.4600,64.9200,64.4720,1148794,0.0000,1.0000
2017-09-29,63.8100,64.4900,63.8100,64.3400,63.8960,1018269,0.0000,1.0000
2017-09-28,64.5300,64.5800,63.7200,64.0000,63.5584,793109,0.0000,1.0000
2017-09-27,64.1400,64.7500,63.9300,64.5200,64.0748,1071497,0.0000,1.0000
2017-09-26,63.4000,63.4700,63.0100,63.3600,62.9228,651335,0.0000,1.0000
2017-09-25,62.9600,63.4100,62.7100,63.3800,62.9427,638371,0.0000,1.0000
2017-09-22,62.8500,63.4100,62.6766,63.1200,62.6844,864579,0.0000,1.0000
2017-09-21,63.1300,63.4100,62.9000,62.9300,62.4958,916986,0.0000,1.0000
2017-09-20,63.1100,63.2800,62.4000,63.1200,62.6844,603954,0.0000,1.0000
2017-09-19,62.3800,63.0100,62.3500,62.9000,62.4660,851679,0.0000,1.0000
2017-09-18,62.7800,62.9200,62.3200,62.4200,61.9893,989715,0.0000,1.0000
2017-09-15,61.8200,62.5600,61.8100,62.5100,62.0787,1304285,0.0000,1.0000
2017-09-14,62.2600,62.4500,61.7500,62.0100,61.5821,1056280,0.0000,1.0000
2017-09-13,62.2700,62.4100,62.0400,62.2500,61.8204,654993,0.0000,1.0000
2017-09-12,62.2600,62.6700,62.1200,62.4700,62.0389,667268,0.0000,1.0000
2017-09-11,61.4900,62.0200,61.1700,61.8800,61.4530,1017670,0.0000,1.0000
2017-09-08,59.9200,60.8500,59.6200,60.6700,60.2514,1025507,0.0000,1.0000
2017-09-07,61.3200,61.3800,59.6900,59.9200,59.5065,1291781,0.0000,1.0000
2017-09-06,62.1100,62.4300,61.2800,61.2900,60.8671,1938522,0.0000,1.0000
2017-09-05,62.8200,63.0300,61.5500,61.8200,61.3934,1070420,0.0000,1.0000
2017-09-01,62.6500,63.5100,62.5600,63.3100,62.8731,793805,0.0000,1.0000
2017-08-31,62.8300,62.8800,62.1100,62.5200,62.0886,1025759,0.0000,1.0000
2017-08-30,62.3300,62.7200,62.3100,62.5600,62.1283,772261,0.4700,1.0000
2017-08-29,62.6400,62.8050,61.8800,62.6600,61.7636,943345,0.0000,1.0000
2017-08-28,63.3700,63.4900,63.0500,63.3200,62.4142,602966,0.0000,1.0000
2017-08-25,63.3500,63.5900,63.2800,63.3300,62.4240,664351,0.0000,1.0000
2017-08-24,63.3900,63.5050,63.0300,63.0700,62.1677,676040,0.0000,1.0000
2017-08-23,62.3200,63.0800,62.1801,62.9700,62.0692,885090,0.0000,1.0000
2017-08-22,62.9600,63.1400,62.6700,62.8700,61.9706,1099709,0.0000,1.0000
2017-08-21,63.0000,63.0650,62.4800,62.7300,61.8326,701800,0.0000,1.0000
