timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,62.4300,62.9900,62.0600,62.8600,62.8600,2394127,0.0000,1.0000
2018-01-16,62.2400,63.2400,62.0000,62.1400,62.1400,2431613,0.0000,1.0000
2018-01-12,61.7100,62.0600,61.3700,61.8500,61.8500,2441904,0.0000,1.0000
2018-01-11,61.6300,61.9300,61.1100,61.2400,61.2400,589423,0.0000,1.0000
2018-01-10,62.4000,62.4000,61.4200,61.4400,61.4400,2725297,0.0000,1.0000
2018-01-09,63.4900,63.9700,62.5300,62.6500,62.6500,2301116,0.0000,1.0000
2018-01-08,62.4400,63.3200,62.3200,63.2900,63.2900,2321137,0.0000,1.0000
2018-01-05,62.9200,63.0200,62.4800,62.5600,62.5600,2818919,0.0000,1.0000
2018-01-04,63.8000,63.9600,62.6100,62.6100,62.6100,2120342,0.0000,1.0000
2018-01-03,63.9600,64.1500,63.6100,63.8900,63.8900,1632240,0.0000,1.0000
2018-01-02,64.5900,64.8400,63.9000,64.0100,64.0100,1522122,0.0000,1.0000
2017-12-29,64.8900,64.9400,64.4000,64.5100,64.5100,1535368,0.0000,1.0000
2017-12-28,64.2500,64.7950,64.0500,64.7600,64.7600,1266750,0.0000,1.0000
2017-12-27,64.0900,64.4000,63.7900,64.2800,64.2800,1199485,0.0000,1.0000
2017-12-26,63.9400,63.9800,63.4800,63.8200,63.8200,901489,0.0000,1.0000
2017-12-22,63.2600,63.9444,63.0200,63.8300,63.8300,1669226,0.0000,1.0000
2017-12-21,63.3050,63.6300,62.9900,63.0100,63.0100,1810737,0.0000,1.0000
2017-12-20,63.7400,64.1598,63.0000,63.0500,63.0500,2441640,0.0000,1.0000
2017-12-19,65.8200,65.9900,63.3000,63.3800,63.3800,3133130,0.0000,1.0000
2017-12-18,66.0450,66.6700,65.6700,65.8600,65.8600,2292715,0.0000,1.0000
2017-12-15,66.6300,66.8700,65.2500,65.9800,65.9800,4380359,0.4400,1.0000
2017-12-14,65.8200,66.2700,65.5000,65.9100,65.4734,2024878,0.0000,1.0000
2017-12-13,66.1900,66.5800,65.6850,65.7600,65.3244,2214946,0.0000,1.0000
2017-12-12,65.9000,66.3900,65.4100,66.1700,65.7317,1759274,0.0000,1.0000
2017-12-11,66.0500,66.3000,65.4700,65.7300,65.2946,1275373,0.0000,1.0000
2017-12-08,66.0000,66.4000,65.9100,66.1600,65.7217,1507112,0.0000,1.0000
2017-12-07,64.7100,65.8400,64.6100,65.8200,65.3840,1805276,0.0000,1.0000
2017-12-06,64.3700,64.7300,64.0500,64.7200,64.2913,1415143,0.0000,1.0000
2017-12-05,65.8500,65.8600,64.3000,64.4400,64.0131,2239016,0.0000,1.0000
2017-12-04,66.8600,66.9800,65.9300,65.9400,65.5032,2024587,0.0000,1.0000
2017-12-01,66.4000,67.0500,65.1300,66.1900,65.7515,1679571,0.0000,1.0000
2017-11-30,66.4600,66.5500,65.8300,66.2300,65.7913,3133544,0.0000,1.0000
2017-11-29,66.6600,66.7427,65.6000,66.1300,65.6919,1872591,0.0000,1.0000
2017-11-28,66.9000,66.9500,66.2800,66.6900,66.2482,1807513,0.0000,1.0000
2017-11-27,67.2400,67.2500,66.7200,66.8700,66.4270,1211457,0.0000,1.0000
2017-11-24,67.0400,67.3400,67.0200,67.0600,66.6158,451327,0.0000,1.0000
2017-11-22,67.2900,67.4000,66.8300,66.8900,66.4469,1269003,0.0000,1.0000
