timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,122.6600,123.4200,122.1000,123.1600,123.1600,599996,0.0000,1.0000
2018-01-10,119.2000,122.9400,118.9500,121.5100,121.5100,2571886,0.0000,1.0000
2018-01-09,118.0000,119.7000,117.7900,119.0000,119.0000,2533360,0.0000,1.0000
2018-01-08,117.7800,117.8300,117.1700,117.6100,117.6100,1444620,0.0000,1.0000
2018-01-05,116.8400,117.7500,116.2110,117.6800,117.6800,1638673,0.0000,1.0000
2018-01-04,116.0400,117.5100,115.8000,116.5100,116.5100,1823696,0.0000,1.0000
2018-01-03,115.2600,115.9100,114.9800,115.4900,115.4900,1439517,0.0000,1.0000
2018-01-02,115.1700,115.7100,114.5300,115.4500,115.4500,2188079,0.0000,1.0000
2017-12-29,115.6200,115.7600,114.9400,114.9800,114.9800,1082087,0.0000,1.0000
2017-12-28,115.5900,115.5900,114.8800,115.2000,115.2000,979940,0.0000,1.0000
2017-12-27,115.6900,115.7000,115.0100,115.3300,115.3300,1328432,0.0000,1.0000
2017-12-26,116.3400,116.7100,115.4600,115.6500,115.6500,670367,0.0000,1.0000
2017-12-22,116.9900,117.4600,115.8500,116.1600,116.1600,1009989,0.0000,1.0000
2017-12-21,117.7000,118.0900,116.6800,116.7400,116.7400,1848905,0.0000,1.0000
2017-12-20,117.8200,118.1700,116.9800,117.1100,117.1100,2139516,0.0000,1.0000
2017-12-19,116.7400,117.4600,116.6000,116.8600,116.8600,1576190,0.0000,1.0000
2017-12-18,116.5500,116.9885,115.2600,116.1200,116.1200,1988184,0.0000,1.0000
2017-12-15,115.5100,116.7500,115.1900,115.7300,115.7300,2813321,0.0000,1.0000
2017-12-14,114.4000,115.7400,113.9300,114.4700,114.4700,1971126,0.0000,1.0000
2017-12-13,116.0800,116.3700,113.9300,113.9500,113.9500,1747274,0.0000,1.0000
2017-12-12,116.6800,117.0000,115.5700,116.3900,116.3900,1841611,0.0000,1.0000
2017-12-11,117.0200,117.2500,115.7500,116.2600,116.2600,1454821,0.0000,1.0000
2017-12-08,116.8600,117.2000,116.1900,117.1500,117.1500,1176157,0.0000,1.0000
2017-12-07,114.9200,116.6800,114.7600,116.3300,116.3300,1035868,0.0000,1.0000
2017-12-06,115.3500,116.2300,115.2100,115.3800,115.3800,1244671,0.0000,1.0000
2017-12-05,117.1600,117.3800,115.3400,115.5100,115.5100,1301133,0.0000,1.0000
2017-12-04,117.1400,117.9900,116.7300,116.7600,116.7600,1784490,0.0000,1.0000
2017-12-01,116.0000,116.2000,112.4100,115.4000,115.4000,1664527,0.0000,1.0000
2017-11-30,116.8900,117.5900,115.2800,115.8400,115.8400,3784283,0.0000,1.0000
2017-11-29,113.7700,117.0776,113.2700,115.8700,115.8700,2743151,0.0000,1.0000
2017-11-28,109.9300,112.9950,109.7000,112.8300,112.8300,2562720,0.0000,1.0000
2017-11-27,109.0600,109.8700,109.0600,109.5100,109.5100,1512857,0.0000,1.0000
2017-11-24,109.4900,109.5300,108.8600,108.9200,108.9200,575673,0.7500,1.0000
2017-11-22,110.2300,110.6400,109.4800,109.7000,108.9498,1251146,0.0000,1.0000
2017-11-21,110.4600,110.5800,109.9400,110.0600,109.3073,1271648,0.0000,1.0000
2017-11-20,110.4200,110.6000,109.9200,110.0200,109.2676,1662250,0.0000,1.0000
2017-11-17,109.8100,110.9600,109.6100,110.2500,109.4960,1231334,0.0000,1.0000
2017-11-16,110.8400,111.5500,110.3100,110.3700,109.6152,1857577,0.0000,1.0000
2017-11-15,108.2900,112.6300,108.0400,110.2200,109.4662,1840647,0.0000,1.0000
2017-11-14,109.6600,109.9500,109.2600,109.5600,108.8108,1794570,0.0000,1.0000
2017-11-13,109.9000,111.2700,109.4800,110.4400,109.6847,1339123,0.0000,1.0000
2017-11-10,112.0200,112.2800,110.6500,110.7200,109.9628,1547988,0.0000,1.0000
2017-11-09,111.9000,113.1100,111.2700,111.9500,111.1844,1554617,0.0000,1.0000
2017-11-08,111.9300,113.0200,111.3200,112.4400,111.6711,1966410,0.0000,1.0000
2017-11-07,112.7200,113.9700,111.4100,111.9400,111.1745,1626881,0.0000,1.0000
2017-11-06,111.6800,112.7500,111.4900,112.3900,111.6214,1416915,0.0000,1.0000
2017-11-03,112.7100,112.9800,111.5500,111.8400,111.0752,1804407,0.0000,1.0000
2017-11-02,111.6500,113.3400,110.4100,112.9400,112.1676,2347558,0.0000,1.0000
2017-11-01,110.9800,112.1300,110.3700,110.5800,109.8238,1790004,0.0000,1.0000
2017-10-31,111.6300,111.9500,110.4200,110.4600,109.7046,1506851,0.0000,1.0000
2017-10-30,111.4900,112.0600,111.2300,111.6000,110.8368,1591842,0.0000,1.0000
2017-10-27,111.4500,112.1600,111.0900,112.0200,111.2539,1091422,0.0000,1.0000
2017-10-26,111.5900,112.6400,111.5700,111.8900,111.1248,1075278,0.0000,1.0000
2017-10-25,112.1700,112.4300,110.7300,111.2500,110.4892,1549501,0.0000,1.0000
2017-10-24,111.5000,112.5100,111.2500,112.1700,111.4029,1525642,0.0000,1.0000
2017-10-23,110.7800,111.4900,110.5900,110.7900,110.0323,959495,0.0000,1.0000
2017-10-20,110.6500,111.3200,110.1300,110.7800,110.0224,1518617,0.0000,1.0000
2017-10-19,108.2800,109.6600,108.1300,109.6000,108.8505,1281251,0.0000,1.0000
2017-10-18,109.3400,109.3400,108.4100,108.8900,108.1453,1518795,0.0000,1.0000
2017-10-17,109.7000,109.9500,108.3400,108.7900,108.0460,1590409,0.0000,1.0000
2017-10-16,109.4200,110.0700,109.2600,109.3700,108.6221,1543239,0.0000,1.0000
2017-10-13,109.3800,109.8000,108.8200,109.1100,108.3638,1336720,0.0000,1.0000
2017-10-12,110.1500,110.1500,109.1400,109.3500,108.6022,1037509,0.0000,1.0000
2017-10-11,109.6600,110.3000,109.3700,110.0100,109.2577,1466868,0.0000,1.0000
2017-10-10,109.2100,110.1600,109.0800,110.0000,109.2477,1564668,0.0000,1.0000
2017-10-09,109.8500,110.0700,108.8800,109.0600,108.3142,849077,0.0000,1.0000
2017-10-06,109.6800,110.6800,108.8700,109.6500,108.9001,1708410,0.0000,1.0000
2017-10-05,107.9900,109.7400,107.6600,109.2600,108.5128,1179418,0.0000,1.0000
2017-10-04,107.8700,108.3000,107.4500,107.8500,107.1124,1108425,0.0000,1.0000
2017-10-03,107.2700,107.9000,106.7600,107.8400,107.1025,1766656,0.0000,1.0000
2017-10-02,106.9100,107.4800,106.2500,107.2800,106.5463,1302153,0.0000,1.0000
2017-09-29,106.0000,106.6200,105.7200,106.3200,105.5929,1222545,0.0000,1.0000
2017-09-28,106.8100,106.9800,105.4600,106.0000,105.2751,1185667,0.0000,1.0000
2017-09-27,107.3200,107.5900,106.6300,106.7800,106.0498,1883654,0.0000,1.0000
2017-09-26,105.2900,106.0600,104.9700,105.9400,105.2155,1499604,0.0000,1.0000
2017-09-25,104.8600,105.8400,104.5100,105.3600,104.6395,1838553,0.0000,1.0000
2017-09-22,104.2900,105.3400,104.1800,105.0000,104.2819,1613275,0.0000,1.0000
2017-09-21,105.0200,105.9000,104.7800,104.7800,104.0634,1956495,0.0000,1.0000
2017-09-20,104.4600,105.7800,103.6600,105.1700,104.4508,1907839,0.0000,1.0000
2017-09-19,103.3500,104.6400,103.0900,104.3100,103.5967,1527245,0.0000,1.0000
2017-09-18,103.1500,103.8600,103.0000,103.3800,102.6730,2170163,0.0000,1.0000
2017-09-15,101.9100,102.8300,101.5500,102.7800,102.0771,2912035,0.0000,1.0000
2017-09-14,102.4100,102.8500,101.8500,101.9700,101.2727,2061073,0.0000,1.0000
2017-09-13,102.0200,102.6600,101.7500,102.3600,101.6600,1616106,0.0000,1.0000
2017-09-12,101.4800,102.5900,101.3300,102.1800,101.4812,2101392,0.0000,1.0000
2017-09-11,100.2600,101.7400,100.1600,100.9300,100.2398,2521022,0.0000,1.0000
2017-09-08,98.3500,99.6700,97.8800,98.9100,98.2336,1741446,0.0000,1.0000
2017-09-07,100.6300,100.6300,98.2100,98.6500,97.9754,2675651,0.0000,1.0000
2017-09-06,101.0500,101.8300,100.5000,100.5800,99.8922,1985189,0.0000,1.0000
2017-09-05,102.4500,102.5600,100.4300,100.7400,100.0511,1935392,0.0000,1.0000
2017-09-01,102.3400,103.6900,102.1100,103.1500,102.4446,1199012,0.0000,1.0000
2017-08-31,102.5200,102.6100,101.9700,102.0800,101.3819,2015785,0.0000,1.0000
2017-08-30,101.8200,102.4900,101.2800,102.1400,101.4415,1743971,0.0000,1.0000
2017-08-29,101.3000,101.6800,100.9000,101.3200,100.6271,1692085,0.0000,1.0000
2017-08-28,102.8900,103.1300,102.4100,102.6800,101.9778,1368510,0.0000,1.0000
2017-08-25,102.1300,103.0500,101.8900,102.8200,102.1168,2069127,0.0000,1.0000
2017-08-24,101.7000,102.2900,101.4200,101.6900,100.9946,1719418,0.0000,1.0000
2017-08-23,101.1200,102.0800,101.0100,101.1000,100.4086,1485058,0.0000,1.0000
2017-08-22,101.6100,102.1300,101.2700,101.9000,101.2031,1607945,0.0000,1.0000
2017-08-21,102.2500,102.2700,100.5400,101.0800,100.3887,1547574,0.0000,1.0000
2017-08-18,101.7700,102.5200,101.2100,101.9500,101.2528,3517330,0.7500,1.0000
2017-08-17,104.8500,104.9600,102.5900,102.6600,101.2134,3087919,0.0000,1.0000
2017-08-16,106.3500,106.8800,104.8500,105.2100,103.7274,2236449,0.0000,1.0000
2017-08-15,107.7900,108.5600,106.1900,106.2500,104.7528,1511336,0.0000,1.0000
2017-08-14,106.9800,107.5900,106.7100,106.7400,105.2359,2283496,0.0000,1.0000
2017-08-11,105.7800,106.7400,105.1300,105.6900,104.2007,2239382,0.0000,1.0000
2017-08-10,109.0000,109.3000,105.9600,106.0600,104.5654,2661294,0.0000,1.0000
2017-08-09,110.4900,110.6900,109.2800,109.9400,108.3908,2240710,0.0000,1.0000
2017-08-08,111.4600,113.1700,111.3200,111.4800,109.9091,1337112,0.0000,1.0000
2017-08-07,112.1800,112.5200,111.5700,111.6900,110.1161,1372974,0.0000,1.0000
2017-08-04,111.5300,113.2800,111.1100,112.4900,110.9048,2088224,0.0000,1.0000
2017-08-03,111.5000,113.4300,109.9000,110.2700,108.7161,4091240,0.0000,1.0000
2017-08-02,113.8800,115.2600,113.4500,115.2300,113.6062,1977460,0.0000,1.0000
2017-08-01,113.9500,114.4100,113.0300,114.4000,112.7879,1536894,0.0000,1.0000
2017-07-31,113.6400,113.9000,113.1600,113.2300,111.6344,1244442,0.0000,1.0000
2017-07-28,112.7700,113.3500,112.0900,113.2000,111.6048,955314,0.0000,1.0000
2017-07-27,112.4000,113.3100,112.0400,112.7400,111.1513,1015352,0.0000,1.0000
2017-07-26,113.6200,113.8800,111.8900,112.1900,110.6091,1019324,0.0000,1.0000
2017-07-25,113.6600,114.1000,113.2000,113.5200,111.9203,998566,0.0000,1.0000
2017-07-24,111.5800,112.3800,111.4300,112.1300,110.5499,1059315,0.0000,1.0000
2017-07-21,110.9000,111.8300,110.6000,111.7400,110.1654,1333344,0.0000,1.0000
2017-07-20,111.6000,111.9600,110.8300,111.0600,109.4950,1331314,0.0000,1.0000
2017-07-19,110.3600,111.7100,110.2100,111.3000,109.7316,1451695,0.0000,1.0000
2017-07-18,110.4500,111.2300,110.0200,110.6000,109.0415,1437038,0.0000,1.0000
2017-07-17,111.2800,111.6200,110.4500,111.2800,109.7119,979739,0.0000,1.0000
2017-07-14,110.5500,111.8300,109.9100,111.4100,109.8401,1363094,0.0000,1.0000
2017-07-13,111.2800,112.1409,111.0400,111.9300,110.3527,1164132,0.0000,1.0000
2017-07-12,110.5600,111.2800,110.1700,111.2100,109.6429,1380781,0.0000,1.0000
2017-07-11,111.4600,111.6000,110.3400,110.6500,109.0908,1063495,0.0000,1.0000
2017-07-10,111.0800,111.8200,111.0100,111.3400,109.7710,1205245,0.0000,1.0000
2017-07-07,111.2600,111.6700,110.2600,111.3600,109.7908,1877173,0.0000,1.0000
2017-07-06,110.3900,112.7200,110.0000,110.8000,109.2387,3175966,0.0000,1.0000
2017-07-05,110.4200,110.5700,109.5100,110.2200,108.6668,1967908,0.0000,1.0000
