timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,89.0100,89.0600,87.9500,88.9800,88.9800,417279,0.0000,1.0000
2018-01-16,89.9200,90.0200,87.9922,88.5200,88.5200,416124,0.0000,1.0000
2018-01-12,89.9000,90.0050,89.1100,89.5400,89.5400,113492,0.0000,1.0000
2018-01-11,88.0000,89.6100,87.0750,89.3000,89.3000,562556,0.0000,1.0000
2018-01-10,87.8600,87.8600,87.0100,87.1700,87.1700,489934,0.0000,1.0000
2018-01-09,87.4800,88.4200,87.4600,88.0600,88.0600,333177,0.0000,1.0000
2018-01-08,86.8700,87.5900,86.7450,87.4800,87.4800,287922,0.0000,1.0000
2018-01-05,87.8500,88.1000,86.6200,86.9500,86.9500,371163,0.0000,1.0000
2018-01-04,88.0000,88.2600,86.6200,87.2600,87.2600,409755,0.0000,1.0000
2018-01-03,86.6400,87.7100,86.4800,87.4100,87.4100,542059,0.0000,1.0000
2018-01-02,85.0000,86.8100,84.5720,86.4000,86.4000,647293,0.0000,1.0000
2017-12-29,85.2000,85.7700,84.1400,84.1700,84.1700,232548,0.0000,1.0000
2017-12-28,84.8100,85.0400,84.0100,84.9700,84.9700,242599,0.0000,1.0000
2017-12-27,84.5200,85.0400,84.0800,85.0200,85.0200,257052,0.0000,1.0000
2017-12-26,84.8000,85.6000,84.3100,84.4200,84.4200,207085,0.0000,1.0000
2017-12-22,83.5050,84.9200,83.2850,84.8000,84.8000,204333,0.0000,1.0000
2017-12-21,83.5200,84.2000,82.9400,83.7300,83.7300,433774,0.0000,1.0000
2017-12-20,84.5800,85.5000,83.9900,83.9900,83.9900,448524,0.0000,1.0000
2017-12-19,83.1000,84.1600,82.6550,84.0100,84.0100,572392,0.0000,1.0000
2017-12-18,82.2650,82.9700,81.7600,82.8500,82.8500,681776,0.0000,1.0000
2017-12-15,81.4700,82.4300,81.0700,81.5600,81.5600,699517,0.0000,1.0000
2017-12-14,82.0850,82.5800,80.8700,81.0700,81.0700,517677,0.0000,1.0000
2017-12-13,81.4300,82.8400,81.4300,82.0200,82.0200,601594,0.0000,1.0000
2017-12-12,82.0800,82.2500,81.4700,81.7600,81.7600,438045,0.0000,1.0000
2017-12-11,82.5100,82.6700,81.4700,81.7300,81.7300,615515,0.0000,1.0000
2017-12-08,82.6000,82.9700,82.0800,82.4800,82.4800,348539,0.0000,1.0000
2017-12-07,80.7800,82.4200,80.4800,82.0600,82.0600,486554,0.0000,1.0000
2017-12-06,80.5200,81.2200,80.2300,80.4800,80.4800,363145,0.0000,1.0000
2017-12-05,81.5700,81.8900,80.3400,80.4200,80.4200,620222,0.0000,1.0000
2017-12-04,82.7500,83.6700,81.4600,81.5100,81.5100,967836,0.0000,1.0000
2017-12-01,82.2700,82.3700,79.3200,82.3500,82.3500,647526,0.0000,1.0000
2017-11-30,81.5200,82.7800,81.0600,82.4800,82.4800,665297,0.0000,1.0000
2017-11-29,79.8000,81.2000,79.3000,81.0700,81.0700,462813,0.0000,1.0000
2017-11-28,77.4100,79.8199,77.2800,79.7000,79.7000,522301,0.0000,1.0000
2017-11-27,77.2800,77.7250,76.9100,77.3600,77.3600,582063,0.0000,1.0000
2017-11-24,77.8000,77.9700,77.2100,77.3000,77.3000,190467,0.0000,1.0000
2017-11-22,77.6400,78.0400,77.3700,77.5300,77.5300,343736,0.0000,1.0000
2017-11-21,77.0600,77.6500,76.5800,77.5700,77.5700,439557,0.0000,1.0000
2017-11-20,76.4000,77.1200,76.1700,76.6400,76.6400,570589,0.0000,1.0000
2017-11-17,79.3200,79.3200,76.1100,76.3500,76.3500,1067157,0.4600,1.0000
2017-11-16,78.0100,80.4600,77.5400,80.2700,80.2700,921660,0.0000,1.0000
2017-11-15,79.0100,79.0500,77.8800,77.9700,77.9700,326089,0.0000,1.0000
2017-11-14,79.3100,79.8000,79.1500,79.3000,79.3000,574711,0.0000,1.0000
2017-11-13,78.5400,79.6500,78.4800,79.3500,79.3500,603091,0.0000,1.0000
2017-11-10,78.3300,79.1100,78.2800,78.9200,78.9200,386623,0.0000,1.0000
2017-11-09,79.8100,80.1300,78.7700,78.9100,78.9100,599618,0.0000,1.0000
2017-11-08,80.5200,80.6400,79.7200,80.2100,80.2100,737488,0.0000,1.0000
2017-11-07,82.3900,82.6100,80.7300,80.8300,80.8300,649400,0.0000,1.0000
2017-11-06,82.3200,82.7000,81.7400,82.6000,82.6000,431941,0.0000,1.0000
2017-11-03,83.0000,83.3000,81.9400,82.3400,82.3400,435541,0.0000,1.0000
2017-11-02,81.7800,82.9500,81.2800,82.8900,82.8900,742869,0.0000,1.0000
2017-11-01,81.8100,82.4200,81.5200,81.7300,81.7300,736407,0.0000,1.0000
2017-10-31,81.9700,82.1800,81.0500,81.0800,81.0800,1125999,0.0000,1.0000
2017-10-30,83.8400,83.9400,81.8000,82.1400,82.1400,662767,0.0000,1.0000
2017-10-27,83.2000,84.7500,82.7000,84.2700,84.2700,839776,0.0000,1.0000
2017-10-26,81.8100,83.4300,81.8100,83.1300,83.1300,633682,0.0000,1.0000
2017-10-25,82.2300,83.3800,81.2300,81.5000,81.5000,732682,0.0000,1.0000
2017-10-24,84.0700,84.7500,81.0100,81.9000,81.9000,1415270,0.0000,1.0000
2017-10-23,83.5500,83.7200,82.3500,82.9400,82.9400,857382,0.0000,1.0000
2017-10-20,83.1800,83.8900,82.6500,83.6500,83.6500,615634,0.0000,1.0000
2017-10-19,81.0400,82.8700,80.5700,82.7700,82.7700,799624,0.0000,1.0000
2017-10-18,80.2600,81.8000,80.1000,81.6600,81.6600,787768,0.0000,1.0000
2017-10-17,79.4500,80.0300,78.6800,79.8000,79.8000,806958,0.0000,1.0000
2017-10-16,81.2100,81.5700,78.6600,79.6100,79.6100,730614,0.0000,1.0000
2017-10-13,84.5000,84.5600,80.8200,81.0300,81.0300,736553,0.0000,1.0000
2017-10-12,83.1300,84.1800,82.9000,83.8600,83.8600,366811,0.0000,1.0000
2017-10-11,83.9800,84.2700,83.2700,83.4200,83.4200,342700,0.0000,1.0000
2017-10-10,83.8900,84.0500,83.4300,83.7900,83.7900,330904,0.0000,1.0000
2017-10-09,83.4600,83.9100,82.6900,83.2500,83.2500,232987,0.0000,1.0000
2017-10-06,83.1900,83.9300,83.1300,83.3700,83.3700,393670,0.0000,1.0000
2017-10-05,82.9400,83.6800,82.6500,83.3500,83.3500,466634,0.0000,1.0000
2017-10-04,84.6700,84.7600,82.9600,82.9900,82.9900,844927,0.0000,1.0000
2017-10-03,84.9800,85.3200,84.4500,84.8500,84.8500,399180,0.0000,1.0000
2017-10-02,85.0000,85.5000,83.9600,84.8900,84.8900,602247,0.0000,1.0000
2017-09-29,84.3200,84.9900,84.0300,84.5500,84.5500,393981,0.0000,1.0000
2017-09-28,83.9300,84.1900,83.4700,84.0100,84.0100,302235,0.0000,1.0000
2017-09-27,83.7500,84.2400,83.2100,84.0300,84.0300,342878,0.0000,1.0000
2017-09-26,82.4900,83.8900,82.4900,83.2800,83.2800,414179,0.0000,1.0000
2017-09-25,82.3400,82.7700,82.0900,82.5000,82.5000,310789,0.0000,1.0000
2017-09-22,81.7600,82.6500,81.5700,82.5700,82.5700,335771,0.0000,1.0000
2017-09-21,81.1400,81.9700,80.8200,81.7500,81.7500,423401,0.0000,1.0000
2017-09-20,79.9000,81.1800,79.8500,81.0700,81.0700,541893,0.0000,1.0000
2017-09-19,79.9900,80.1200,79.2900,79.8300,79.8300,410156,0.0000,1.0000
2017-09-18,79.8000,80.4300,79.7000,79.8200,79.8200,670040,0.0000,1.0000
2017-09-15,79.4500,79.7300,78.8000,79.4600,79.4600,581357,0.0000,1.0000
2017-09-14,80.2000,81.1900,79.3600,79.4900,79.4900,861680,0.0000,1.0000
2017-09-13,79.6500,79.6500,78.4200,78.6400,78.6400,494969,0.0000,1.0000
2017-09-12,79.3100,79.8000,78.9200,79.7200,79.7200,378512,0.0000,1.0000
2017-09-11,79.5300,79.5300,78.5200,79.1000,79.1000,457515,0.0000,1.0000
2017-09-08,78.9000,79.2500,78.5500,79.1000,79.1000,600703,0.0000,1.0000
2017-09-07,78.5200,79.1300,78.4000,79.0000,79.0000,531112,0.0000,1.0000
2017-09-06,78.7400,79.1800,78.0100,78.4000,78.4000,1367385,0.0000,1.0000
2017-09-05,78.2100,78.7100,77.5800,78.5400,78.5400,577128,0.0000,1.0000
2017-09-01,78.2200,78.7000,77.6200,78.2100,78.2100,654626,0.0000,1.0000
2017-08-31,78.6300,78.9100,77.0600,77.6000,77.6000,791625,0.0000,1.0000
2017-08-30,77.3900,78.9200,77.2200,78.5400,78.5400,828382,0.0000,1.0000
2017-08-29,74.7600,77.6200,74.7600,77.3900,77.3900,735241,0.0000,1.0000
2017-08-28,74.6300,75.4900,74.5400,75.2500,75.2500,386481,0.0000,1.0000
2017-08-25,73.4500,74.9400,73.1800,74.3000,74.3000,425935,0.0000,1.0000
2017-08-24,73.5900,73.7800,72.8000,73.0200,73.0200,353268,0.0000,1.0000
2017-08-23,72.8100,73.5400,72.6000,73.2800,73.2800,327534,0.0000,1.0000
2017-08-22,72.4500,73.3600,72.2200,73.2700,73.2700,406869,0.0000,1.0000
2017-08-21,71.9100,72.3500,71.7400,71.9700,71.9700,697049,0.0000,1.0000
2017-08-18,72.1700,72.7800,71.7800,71.9400,71.9400,421431,0.0000,1.0000
2017-08-17,73.1700,73.6700,72.2400,72.3000,72.3000,423934,0.4600,1.0000
2017-08-16,74.4200,74.8600,73.6900,73.7900,73.3235,564640,0.0000,1.0000
2017-08-15,74.0700,74.4200,73.6100,74.0600,73.5918,483228,0.0000,1.0000
2017-08-14,73.4100,74.5200,73.2400,74.0400,73.5719,379777,0.0000,1.0000
2017-08-11,71.0800,73.1900,71.0500,72.8400,72.3795,551009,0.0000,1.0000
2017-08-10,72.4100,72.7500,71.4200,71.4800,71.0281,630057,0.0000,1.0000
2017-08-09,72.2500,72.7400,71.8200,72.7200,72.2603,381601,0.0000,1.0000
2017-08-08,73.1200,73.9900,72.5600,72.6100,72.1509,469331,0.0000,1.0000
2017-08-07,72.7700,73.5100,72.3800,73.3200,72.8565,486480,0.0000,1.0000
2017-08-04,72.0000,72.8900,71.7100,72.6200,72.1609,1692211,0.0000,1.0000
2017-08-03,71.2700,71.9000,71.1500,71.7700,71.3163,522894,0.0000,1.0000
2017-08-02,70.5400,71.6200,70.2400,71.2600,70.8095,1117101,0.0000,1.0000
2017-08-01,73.0900,73.0900,70.4700,70.7900,70.3425,1631176,0.0000,1.0000
2017-07-31,73.0100,73.1000,72.3500,72.7600,72.3000,714735,0.0000,1.0000
2017-07-28,73.0600,73.4100,72.1900,72.7100,72.2503,695526,0.0000,1.0000
2017-07-27,76.9900,76.9900,72.8800,73.1700,72.7074,1064188,0.0000,1.0000
2017-07-26,75.5000,77.3600,74.0400,76.4600,75.9766,1399293,0.0000,1.0000
2017-07-25,73.1100,74.7500,73.0000,73.5400,73.0751,1537636,0.0000,1.0000
2017-07-24,72.4800,72.6900,71.9900,72.3400,71.8827,856817,0.0000,1.0000
2017-07-21,72.0100,73.0600,71.2900,72.4800,72.0218,669888,0.0000,1.0000
2017-07-20,73.3700,73.3700,71.8800,72.4500,71.9920,701216,0.0000,1.0000
2017-07-19,72.9900,73.2400,72.7100,73.0900,72.6279,488815,0.0000,1.0000
2017-07-18,73.0200,73.2400,72.5400,72.9500,72.4888,645154,0.0000,1.0000
2017-07-17,73.4300,73.5800,72.6800,73.1300,72.6677,1163493,0.0000,1.0000
2017-07-14,74.2300,74.4400,73.4500,73.5500,73.0850,693505,0.0000,1.0000
2017-07-13,73.9900,74.4200,73.5100,73.8100,73.3434,641240,0.0000,1.0000
2017-07-12,74.0800,75.2700,73.6900,73.7600,73.2937,725407,0.0000,1.0000
2017-07-11,73.9200,74.0000,72.7500,73.5900,73.1248,813203,0.0000,1.0000
2017-07-10,73.4900,74.2800,73.1700,74.0200,73.5520,681112,0.0000,1.0000
2017-07-07,72.8500,73.9000,72.6400,73.7100,73.2440,808063,0.0000,1.0000
2017-07-06,72.6900,73.2500,72.0100,72.5400,72.0814,1265650,0.0000,1.0000
2017-07-05,73.2000,73.5500,72.5300,72.9100,72.4491,787080,0.0000,1.0000
2017-07-03,72.3200,73.3900,72.1900,73.1600,72.6975,296771,0.0000,1.0000
2017-06-30,71.9100,72.3600,71.2600,71.9800,71.5249,580434,0.0000,1.0000
2017-06-29,71.9500,72.3100,71.0300,71.8500,71.3958,644356,0.0000,1.0000
2017-06-28,70.1900,71.6500,70.1000,71.4500,70.9983,1179567,0.0000,1.0000
2017-06-27,69.4100,70.0300,68.9400,69.6000,69.1600,575243,0.0000,1.0000
2017-06-26,68.8000,69.6400,68.4700,69.4000,68.9612,487637,0.0000,1.0000
2017-06-23,67.7900,68.7000,67.4000,68.5100,68.0769,956773,0.0000,1.0000
2017-06-22,67.3500,67.8700,66.2700,67.6700,67.2422,534614,0.0000,1.0000
2017-06-21,67.5800,67.6800,66.6200,67.3600,66.9341,612166,0.0000,1.0000
2017-06-20,67.7400,67.7900,67.0900,67.4000,66.9739,671725,0.0000,1.0000
2017-06-19,67.7900,68.3300,66.9000,68.1500,67.7191,939743,0.0000,1.0000
2017-06-16,67.5900,67.6800,66.4700,67.1500,66.7255,9461876,0.0000,1.0000
2017-06-15,66.9900,67.9000,66.9000,67.7400,67.3117,990317,0.0000,1.0000
2017-06-14,67.9000,68.1600,67.0800,67.4800,67.0534,896814,0.0000,1.0000
2017-06-13,66.8900,67.9800,66.4200,67.6500,67.2223,1398215,0.0000,1.0000
2017-06-12,65.5400,67.0700,65.5400,66.6800,66.2584,1242493,0.0000,1.0000
2017-06-09,65.3800,65.6100,64.1000,65.4400,65.0263,1576887,0.0000,1.0000
2017-06-08,66.4000,66.4000,65.0400,65.1100,64.6984,1716816,0.0000,1.0000
2017-06-07,66.4200,66.9900,65.9500,66.4000,65.9802,456590,0.0000,1.0000
2017-06-06,66.3900,66.8100,65.8700,66.0900,65.6722,311563,0.0000,1.0000
2017-06-05,66.5000,67.4800,66.3000,66.6100,66.1889,501759,0.0000,1.0000
2017-06-02,66.7500,67.2700,66.2600,66.7000,66.2783,460381,0.0000,1.0000
2017-06-01,66.5700,67.1800,65.8600,66.6200,66.1988,601054,0.0000,1.0000
2017-05-31,66.2000,66.4700,65.5200,66.4200,66.0001,536557,0.0000,1.0000
2017-05-30,65.7400,66.7100,65.1600,66.2000,65.7815,358373,0.0000,1.0000
2017-05-26,66.6500,66.8300,65.2600,65.8100,65.3939,511788,0.0000,1.0000
2017-05-25,66.4300,67.4700,66.3000,66.8500,66.4274,684008,0.0000,1.0000
2017-05-24,64.8800,66.4900,64.2100,66.2700,65.8510,1065147,0.0000,1.0000
2017-05-23,64.0000,64.7100,63.7400,64.5600,64.1518,1074432,0.0000,1.0000
2017-05-22,64.0000,64.2200,63.2700,63.9300,63.5258,453618,0.0000,1.0000
2017-05-19,63.2800,64.0700,62.9900,63.5100,63.1085,452251,0.0000,1.0000
2017-05-18,62.9500,63.8300,62.5200,63.0400,62.6415,519185,0.4400,1.0000
2017-05-17,65.6700,65.6700,63.0800,63.6000,62.7599,706641,0.0000,1.0000
2017-05-16,65.9300,66.0000,65.2300,65.6700,64.8025,493252,0.0000,1.0000
2017-05-15,65.5200,66.5200,65.5200,65.9500,65.0788,650779,0.0000,1.0000
2017-05-12,66.3900,66.4100,65.0500,65.3400,64.4769,624424,0.0000,1.0000
2017-05-11,66.9000,67.1100,65.9700,66.5600,65.6808,479412,0.0000,1.0000
2017-05-10,67.2500,67.5600,66.8000,67.0700,66.1840,443868,0.0000,1.0000
2017-05-09,67.6200,68.0400,67.2700,67.4500,66.5590,415378,0.0000,1.0000
2017-05-08,68.6800,68.7500,67.3800,67.7300,66.8353,595270,0.0000,1.0000
2017-05-05,68.5100,68.8200,68.2400,68.7000,67.7925,426623,0.0000,1.0000
2017-05-04,68.6600,68.8800,67.8400,68.3700,67.4669,416151,0.0000,1.0000
2017-05-03,68.6600,68.7900,67.6900,68.4800,67.5754,673347,0.0000,1.0000
2017-05-02,68.1700,68.8100,67.4600,68.7500,67.8418,625202,0.0000,1.0000
2017-05-01,68.1600,68.4600,67.3000,68.0700,67.1708,694745,0.0000,1.0000
2017-04-28,68.6700,68.7600,67.3900,67.9100,67.0129,829559,0.0000,1.0000
2017-04-27,68.0400,69.1000,67.4700,68.6300,67.7234,1032530,0.0000,1.0000
2017-04-26,68.2300,68.6500,67.2500,68.0900,67.1906,1762836,0.0000,1.0000
2017-04-25,72.1500,72.4900,68.2000,68.2800,67.3780,40733,0.0000,1.0000
2017-04-24,78.8800,79.6300,78.6400,79.2800,78.2327,980845,0.0000,1.0000
2017-04-21,76.3800,77.7500,76.0700,77.6500,76.6243,715036,0.0000,1.0000
2017-04-20,75.6200,76.7900,75.2300,76.6300,75.6177,470033,0.0000,1.0000
2017-04-19,75.2800,75.8600,74.8300,74.9600,73.9698,339201,0.0000,1.0000
2017-04-18,74.5700,75.0200,74.2400,74.7800,73.7922,298475,0.0000,1.0000
2017-04-17,73.8600,75.0600,73.5800,75.0100,74.0191,489378,0.0000,1.0000
2017-04-13,74.3600,74.9100,73.4400,73.6000,72.6278,429757,0.0000,1.0000
2017-04-12,76.5500,76.5500,74.4000,74.5100,73.5257,542935,0.0000,1.0000
2017-04-11,77.1500,77.1500,75.8800,76.6900,75.6770,499996,0.0000,1.0000
2017-04-10,75.8400,77.8300,75.8400,77.4500,76.4269,542037,0.0000,1.0000
2017-04-07,75.9000,76.0400,75.2000,75.4300,74.4336,438892,0.0000,1.0000
2017-04-06,74.9800,76.6500,74.5500,76.0900,75.0849,567697,0.0000,1.0000
2017-04-05,75.1000,76.2300,74.9800,75.1100,74.1178,692556,0.0000,1.0000
2017-04-04,74.4200,75.0400,73.9700,74.7600,73.7724,292861,0.0000,1.0000
