timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,63.9200,64.3700,63.5300,64.2100,64.2100,842268,0.0000,1.0000
2018-01-16,64.2600,64.9700,63.5900,63.6600,63.6600,971739,0.0000,1.0000
2018-01-12,64.4500,64.4500,63.5300,64.0600,64.0600,943886,0.0000,1.0000
2018-01-11,65.3400,65.5700,64.2900,64.3700,64.3700,1305291,0.0000,1.0000
2018-01-10,65.3100,65.5400,64.4000,65.3400,65.3400,920641,0.0000,1.0000
2018-01-09,67.4200,67.4200,65.8900,65.9000,65.9000,784356,0.0000,1.0000
2018-01-08,66.8200,67.5600,66.8200,67.3200,67.3200,802971,0.0000,1.0000
2018-01-05,67.1300,67.3600,66.6300,66.7700,66.7700,937116,0.0000,1.0000
2018-01-04,69.0800,69.0800,66.7600,66.7900,66.7900,840376,0.0000,1.0000
2018-01-03,69.5700,69.6200,68.6700,69.0500,69.0500,779252,0.0000,1.0000
2018-01-02,69.3300,69.7750,68.8900,69.5400,69.5400,761574,0.0000,1.0000
2017-12-29,69.4100,69.6400,69.1500,69.1800,69.1800,664617,0.0000,1.0000
2017-12-28,69.2200,69.6100,68.6900,69.4200,69.4200,675687,0.0000,1.0000
2017-12-27,68.9500,69.2600,68.5200,69.0200,69.0200,884708,0.0000,1.0000
2017-12-26,68.3300,69.0900,68.1000,68.6900,68.6900,560958,0.0000,1.0000
2017-12-22,67.7600,68.2200,67.6400,68.0900,68.0900,720218,0.0000,1.0000
2017-12-21,68.1100,68.4350,67.4900,67.7000,67.7000,726443,0.0000,1.0000
2017-12-20,69.0900,69.4200,68.0100,68.0100,68.0100,682761,0.0000,1.0000
2017-12-19,70.2000,70.5200,68.7600,69.0000,69.0000,1207704,0.0000,1.0000
2017-12-18,70.2300,70.6400,70.0000,70.3700,70.3700,1666132,0.0000,1.0000
2017-12-15,69.5900,70.1150,69.2900,70.0000,70.0000,1800588,0.0000,1.0000
2017-12-14,69.0000,69.6400,68.5500,69.2000,69.2000,910107,0.0000,1.0000
2017-12-13,68.7700,69.2300,68.3700,68.7600,68.7600,918147,0.0000,1.0000
2017-12-12,67.7700,68.7500,67.3200,68.5900,68.5900,835216,0.0000,1.0000
2017-12-11,67.5400,68.0000,67.3600,67.6800,67.6800,598515,0.0000,1.0000
2017-12-08,67.6100,67.8600,67.2500,67.5800,67.5800,635153,0.0000,1.0000
2017-12-07,67.4100,67.8700,67.0600,67.4500,67.4500,1072870,0.0000,1.0000
2017-12-06,68.1000,68.2000,66.8900,67.3400,67.3400,626030,0.0000,1.0000
2017-12-05,68.5400,68.7100,67.7700,67.7900,67.7900,746811,0.0000,1.0000
2017-12-04,68.0600,68.7400,68.0600,68.6000,68.6000,1219598,0.0000,1.0000
2017-12-01,68.0600,68.2600,67.4900,68.0600,68.0600,679587,0.0000,1.0000
2017-11-30,68.0000,68.4500,67.6300,67.8100,67.8100,1281764,0.0000,1.0000
2017-11-29,67.8400,68.3000,67.4600,68.0000,68.0000,812531,0.0000,1.0000
2017-11-28,67.5800,68.1100,67.1100,67.9900,67.9900,925933,0.0000,1.0000
2017-11-27,68.0600,68.1100,67.3300,67.4200,67.4200,482764,0.0000,1.0000
2017-11-24,67.9000,67.9800,67.4400,67.8100,67.8100,271923,0.0000,1.0000
2017-11-22,67.5100,68.2000,67.5100,67.6700,67.6700,530985,0.0000,1.0000
2017-11-21,67.1900,67.9000,67.0800,67.8100,67.8100,934540,0.0000,1.0000
2017-11-20,67.4700,67.5700,66.9700,67.1900,67.1900,804013,0.0000,1.0000
2017-11-17,67.1100,67.8300,67.1100,67.4000,67.4000,564941,0.0000,1.0000
2017-11-16,66.7400,67.5000,66.3400,67.2600,67.2600,739660,0.0000,1.0000
2017-11-15,66.9500,67.2700,66.3500,66.8700,66.8700,862207,0.0000,1.0000
2017-11-14,66.6500,66.9800,66.0200,66.9100,66.9100,646825,0.5300,1.0000
2017-11-13,66.7300,67.2500,66.1800,67.2100,66.6818,889114,0.0000,1.0000
2017-11-10,65.9900,66.7200,65.9900,66.4500,65.9278,932124,0.0000,1.0000
2017-11-09,65.5500,66.9400,65.5500,66.3200,65.7988,697736,0.0000,1.0000
2017-11-08,65.3100,66.2600,65.3100,65.7600,65.2432,995003,0.0000,1.0000
2017-11-07,64.3300,65.8600,64.2800,65.2600,64.7471,872366,0.0000,1.0000
2017-11-06,64.2200,64.9300,63.9400,64.2400,63.7351,709289,0.0000,1.0000
2017-11-03,64.6900,65.3800,63.9500,64.1000,63.5962,1302098,0.0000,1.0000
2017-11-02,63.9800,65.5100,63.4100,65.2800,64.7670,1444932,0.0000,1.0000
2017-11-01,61.5600,62.5800,61.5600,62.1200,61.6318,1041372,0.0000,1.0000
2017-10-31,62.2200,62.4200,61.1900,61.5500,61.0663,931700,0.0000,1.0000
2017-10-30,62.5400,62.9200,62.1900,62.2400,61.7509,587998,0.0000,1.0000
2017-10-27,62.2100,62.7000,61.4900,62.5200,62.0287,804930,0.0000,1.0000
2017-10-26,63.2700,63.2700,61.8000,62.3800,61.8898,590551,0.0000,1.0000
2017-10-25,63.0200,63.2100,61.9100,62.9300,62.4354,580111,0.0000,1.0000
2017-10-24,63.6200,63.7900,62.9700,63.3600,62.8621,918964,0.0000,1.0000
2017-10-23,63.8500,64.1400,63.3900,63.7400,63.2391,533531,0.0000,1.0000
2017-10-20,64.4600,64.4800,63.2700,63.6500,63.1498,681163,0.0000,1.0000
2017-10-19,64.8500,65.2200,64.2700,64.3800,63.8740,629070,0.0000,1.0000
2017-10-18,64.9000,65.2500,64.3300,64.7600,64.2511,946169,0.0000,1.0000
2017-10-17,64.1400,65.0700,64.0300,65.0600,64.5487,716066,0.0000,1.0000
2017-10-16,64.5700,64.7600,63.9700,64.2300,63.7252,929962,0.0000,1.0000
2017-10-13,64.2900,64.9300,63.6600,64.6700,64.1618,707753,0.0000,1.0000
2017-10-12,63.7900,64.0500,63.3400,64.0400,63.5367,753752,0.0000,1.0000
