timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-17,124.8700,126.9300,124.6900,126.6000,126.6000,1051411,0.0000,1.0000
2018-01-16,126.9800,127.6700,123.8101,124.5900,124.5900,1207118,0.0000,1.0000
2018-01-12,126.2400,126.7900,125.1100,125.9500,125.9500,1067453,0.0000,1.0000
2018-01-11,124.6500,125.7550,124.2500,125.6500,125.6500,421502,0.0000,1.0000
2018-01-10,123.1400,124.7700,122.5900,124.5100,124.5100,1848803,0.0000,1.0000
2018-01-09,125.6500,125.8900,123.5000,124.1500,124.1500,1144248,0.0000,1.0000
2018-01-08,123.7400,125.4600,123.2700,125.2100,125.2100,1389128,0.0000,1.0000
2018-01-05,124.8600,125.1500,123.8900,124.1400,124.1400,1349640,0.0000,1.0000
2018-01-04,123.3200,125.1200,123.2000,123.9800,123.9800,1668780,0.0000,1.0000
2018-01-03,121.1200,123.2000,121.0600,123.0600,123.0600,1697531,0.0000,1.0000
2018-01-02,121.0400,121.1650,119.5700,121.0400,121.0400,2322441,0.0000,1.0000
2017-12-29,120.8600,121.2000,120.0700,120.1000,120.1000,1228192,0.0000,1.0000
2017-12-28,121.7100,121.7100,120.3200,121.1300,121.1300,1326890,0.0000,1.0000
2017-12-27,120.7300,121.8800,120.5100,121.2200,121.2200,1239168,0.0000,1.0000
2017-12-26,122.2700,122.5700,120.5200,120.6100,120.6100,1230078,0.0000,1.0000
2017-12-22,122.9100,123.1400,122.3700,122.9200,122.9200,1396460,0.0000,1.0000
2017-12-21,123.0100,123.3600,122.2600,123.1300,123.1300,3211251,0.0000,1.0000
2017-12-20,125.0600,125.6000,120.1000,122.0000,122.0000,7019101,0.0000,1.0000
2017-12-19,129.6200,129.9800,127.4600,128.8600,128.8600,2334909,0.0000,1.0000
2017-12-18,130.3190,130.9300,128.5200,129.4400,129.4400,1863016,0.0000,1.0000
2017-12-15,127.3500,129.1700,126.3900,128.7800,128.7800,2057040,0.0000,1.0000
2017-12-14,126.5200,127.1200,125.5900,126.1300,126.1300,1212545,0.0000,1.0000
2017-12-13,126.2100,127.9500,125.8500,126.4900,126.4900,1334341,0.0000,1.0000
2017-12-12,126.3300,127.0800,125.1600,125.7500,125.7500,1145833,0.0000,1.0000
2017-12-11,125.3700,126.9300,125.3400,126.6200,126.6200,1624743,0.0000,1.0000
2017-12-08,124.5700,125.5400,124.1688,125.2900,125.2900,1101263,0.0000,1.0000
2017-12-07,122.0000,124.4000,121.9500,123.8000,123.8000,1152128,0.0000,1.0000
2017-12-06,120.8900,122.1600,120.1001,121.9400,121.9400,1834746,0.0000,1.0000
2017-12-05,119.6500,123.1001,117.7600,120.8700,120.8700,2172749,0.0000,1.0000
2017-12-04,126.4600,126.4800,120.2800,120.3100,120.3100,2778972,0.0000,1.0000
2017-12-01,126.1300,126.7700,123.0800,125.2600,125.2600,1433024,0.0000,1.0000
2017-11-30,125.3600,126.9700,124.6300,126.7600,126.7600,1842180,0.0000,1.0000
2017-11-29,129.0000,129.0100,122.3200,124.4900,124.4900,2166170,0.0000,1.0000
2017-11-28,128.7100,129.6100,128.2500,129.2400,129.2400,1196222,0.0000,1.0000
2017-11-27,128.7800,129.1100,127.4600,128.2000,128.2000,1052339,0.0000,1.0000
2017-11-24,127.2700,128.3600,127.0200,128.3600,128.3600,480521,0.0000,1.0000
2017-11-22,128.3200,128.3200,126.3400,126.5900,126.5900,832205,0.0000,1.0000
2017-11-21,127.7400,129.2300,127.3200,128.5100,128.5100,1174351,0.0000,1.0000
2017-11-20,126.3900,127.0800,125.8800,127.0000,127.0000,963564,0.0000,1.0000
2017-11-17,126.2000,126.4600,125.0700,125.9500,125.9500,1331998,0.0000,1.0000
2017-11-16,124.9000,126.6700,124.3900,126.6300,126.6300,2286051,0.0000,1.0000
2017-11-15,124.1300,124.2400,122.9700,123.8200,123.8200,968127,0.0000,1.0000
2017-11-14,123.7000,124.5300,123.2900,124.4900,124.4900,1096818,0.0000,1.0000
2017-11-13,123.9400,124.2100,123.1100,123.9900,123.9900,1176885,0.0000,1.0000
2017-11-10,123.0500,124.5600,122.8500,124.1800,124.1800,1140872,0.0000,1.0000
2017-11-09,123.1000,123.7100,121.7000,123.5000,123.5000,1651926,0.0000,1.0000
2017-11-08,121.7800,124.4500,121.5800,123.9200,123.9200,1388509,0.0000,1.0000
2017-11-07,121.4900,122.4200,120.8700,121.9200,121.9200,1064680,0.0000,1.0000
2017-11-06,121.7000,122.2000,121.0100,121.0800,121.0800,962933,0.0000,1.0000
2017-11-03,120.8100,121.6400,120.8000,121.6400,121.6400,864599,0.0000,1.0000
2017-11-02,121.0300,121.6000,120.3800,120.9900,120.9900,927731,0.0000,1.0000
2017-11-01,121.3000,121.6400,120.1600,121.2600,121.2600,1197401,0.0000,1.0000
2017-10-31,121.3400,121.6600,120.4100,120.8300,120.8300,1032400,0.0000,1.0000
2017-10-30,120.4400,121.2400,119.7200,121.1000,121.1000,1075342,0.0000,1.0000
2017-10-27,120.7800,121.3800,120.0000,120.7700,120.7700,1049475,0.0000,1.0000
2017-10-26,120.5700,121.1500,119.9100,120.2900,120.2900,1507408,0.0000,1.0000
2017-10-25,120.9300,121.6400,119.6800,120.2200,120.2200,1359348,0.0000,1.0000
2017-10-24,120.1000,121.7400,119.1700,121.2800,121.2800,1615643,0.0000,1.0000
2017-10-23,122.2100,122.9500,122.0100,122.1300,122.1300,1071240,0.0000,1.0000
2017-10-20,121.9700,122.3600,121.3500,121.8000,121.8000,1369268,0.0000,1.0000
2017-10-19,120.0000,121.6700,118.6800,121.6000,121.6000,1211691,0.0000,1.0000
2017-10-18,121.1800,121.2700,120.1100,120.6900,120.6900,1072585,0.0000,1.0000
2017-10-17,120.3600,121.1200,120.0800,121.1200,121.1200,1193883,0.0000,1.0000
2017-10-16,121.1300,121.2300,120.1600,120.8900,120.8900,982206,0.0000,1.0000
2017-10-13,121.3500,122.3100,120.8700,121.1000,121.1000,1540869,0.0000,1.0000
2017-10-12,119.3100,121.2200,119.2900,120.9100,120.9100,3058765,0.0000,1.0000
2017-10-11,118.0000,119.3700,117.8100,119.3700,119.3700,1489002,0.0000,1.0000
2017-10-10,117.2900,118.3600,116.9300,118.3500,118.3500,1470484,0.0000,1.0000
2017-10-09,117.0000,117.9700,116.9000,117.0700,117.0700,1707582,0.0000,1.0000
2017-10-06,115.1600,117.2200,114.4300,117.0600,117.0600,2041531,0.0000,1.0000
2017-10-05,113.1500,115.6200,112.6600,115.5200,115.5200,2084229,0.0000,1.0000
2017-10-04,111.8900,113.0200,111.3700,112.7400,112.7400,1202001,0.0000,1.0000
2017-10-03,112.1900,112.9100,111.7800,111.9300,111.9300,1181594,0.0000,1.0000
2017-10-02,111.2200,112.6700,110.4200,112.1800,112.1800,2788172,0.0000,1.0000
2017-09-29,109.8000,110.9300,109.5700,110.8600,110.8600,1582250,0.0000,1.0000
2017-09-28,109.4800,110.3700,109.3300,109.5900,109.5900,1311046,0.0000,1.0000
2017-09-27,110.6500,111.2300,109.8000,109.9200,109.9200,2213256,0.0000,1.0000
2017-09-26,111.2800,113.7300,107.2500,110.0700,110.0700,6247700,0.0000,1.0000
2017-09-25,106.7300,107.1300,104.5100,105.7600,105.7600,4300790,0.0000,1.0000
2017-09-22,106.8600,107.4200,105.7900,106.3000,106.3000,1847971,0.0000,1.0000
2017-09-21,107.3500,107.3500,106.0700,106.8400,106.8400,1472813,0.0000,1.0000
2017-09-20,107.2400,107.4500,106.2400,106.9900,106.9900,1796224,0.0000,1.0000
2017-09-19,107.8200,107.8400,106.5300,107.1400,107.1400,1980413,0.0000,1.0000
2017-09-18,107.8300,108.3900,107.2900,107.4400,107.4400,1166743,0.0000,1.0000
2017-09-15,107.7700,107.7700,106.6600,107.3000,107.3000,1191087,0.0000,1.0000
2017-09-14,107.4200,107.8600,106.8800,107.7400,107.7400,924134,0.0000,1.0000
2017-09-13,107.6000,108.0500,106.9900,107.8300,107.8300,858564,0.0000,1.0000
2017-09-12,107.7100,107.9900,106.3900,107.6600,107.6600,1006624,0.0000,1.0000
2017-09-11,107.9000,108.1300,107.3600,107.6200,107.6200,1402543,0.0000,1.0000
2017-09-08,107.2100,107.9800,106.9400,107.1200,107.1200,1111302,0.0000,1.0000
2017-09-07,106.7100,107.3900,106.1400,107.0400,107.0400,1852132,0.0000,1.0000
2017-09-06,107.4700,107.6900,106.3200,106.3400,106.3400,1171458,0.0000,1.0000
2017-09-05,106.8200,107.2900,105.8400,106.8100,106.8100,1121864,0.0000,1.0000
