timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,207.1100,207.7400,204.2600,205.0500,205.0500,715152,0.0000,1.0000
2018-01-17,206.3900,207.8700,205.3200,206.5600,206.5600,742473,0.0000,1.0000
2018-01-16,208.1000,209.3800,203.1200,205.0200,205.0200,752934,0.0000,1.0000
2018-01-12,206.1800,208.2800,205.7100,207.9200,207.9200,603160,0.0000,1.0000
2018-01-11,202.8100,205.2400,202.6100,205.1800,205.1800,136612,0.0000,1.0000
2018-01-10,202.7400,203.4850,201.0000,202.1300,202.1300,543358,0.0000,1.0000
2018-01-09,202.6900,203.8190,201.5350,202.7500,202.7500,489428,0.0000,1.0000
2018-01-08,199.9700,202.3900,199.0400,202.0100,202.0100,765654,0.0000,1.0000
2018-01-05,200.5100,200.5100,198.7610,199.9700,199.9700,622723,0.0000,1.0000
2018-01-04,201.6300,203.0900,199.2300,199.6600,199.6600,734318,0.0000,1.0000
2018-01-03,197.0400,200.7200,197.0400,200.5500,200.5500,841407,0.0000,1.0000
2018-01-02,197.8100,198.5000,195.2200,197.6600,197.6600,609566,0.0000,1.0000
2017-12-29,198.1000,198.5600,196.3200,196.3500,196.3500,485579,0.0000,1.0000
2017-12-28,196.7400,197.7100,195.6900,197.5300,197.5300,531738,0.0000,1.0000
2017-12-27,195.0000,196.6300,194.6392,195.9900,195.9900,385614,0.0000,1.0000
2017-12-26,194.5700,195.6000,194.2600,194.5300,194.5300,287903,0.0000,1.0000
2017-12-22,193.5100,194.6750,192.9800,194.5700,194.5700,422526,0.0000,1.0000
2017-12-21,194.4900,194.8900,192.5300,194.1400,194.1400,444892,0.0000,1.0000
2017-12-20,194.9600,195.5850,192.7900,193.0700,193.0700,547478,0.0000,1.0000
2017-12-19,193.6200,194.4100,191.8311,193.8400,193.8400,768463,0.0000,1.0000
2017-12-18,193.5100,194.4800,192.4600,192.8300,192.8300,631395,0.0000,1.0000
2017-12-15,191.7200,192.1400,190.5500,190.9300,190.9300,999495,0.0000,1.0000
2017-12-14,192.5700,193.8100,189.3500,189.4500,189.4500,629480,0.0000,1.0000
2017-12-13,191.2600,193.1600,190.9800,191.4600,191.4600,632549,0.0000,1.0000
2017-12-12,191.6000,192.8000,190.7100,190.7500,190.7500,470772,0.0000,1.0000
2017-12-11,192.5000,194.3878,190.3600,191.4700,191.4700,483575,0.0000,1.0000
2017-12-08,192.9500,194.3500,191.9500,192.8600,192.8600,593656,0.0000,1.0000
2017-12-07,190.9600,193.7400,189.8200,192.2600,192.2600,720730,0.0000,1.0000
2017-12-06,187.8400,191.7100,187.2000,190.5900,190.5900,1156709,0.0000,1.0000
2017-12-05,190.8500,192.5600,187.5300,187.6800,187.6800,1155904,0.0000,1.0000
2017-12-04,192.7900,195.8000,190.2600,190.7800,190.7800,1326714,0.0000,1.0000
2017-12-01,192.9400,195.3700,188.6000,190.4600,190.4600,862894,0.0000,1.0000
2017-11-30,191.1500,194.3200,190.7200,193.0800,193.0800,1250620,0.0000,1.0000
2017-11-29,197.0000,197.1600,188.8300,190.1300,190.1300,1201930,0.0000,1.0000
2017-11-28,189.0000,198.0200,188.6650,197.1300,197.1300,1894452,0.0000,1.0000
2017-11-27,192.0100,192.6200,190.6400,191.0400,191.0400,680161,0.0000,1.0000
2017-11-24,191.8000,191.9100,190.0900,191.4800,191.4800,280013,0.0000,1.0000
2017-11-22,190.4300,192.4400,188.8800,191.0200,191.0200,1102002,0.0000,1.0000
2017-11-21,194.7500,195.0000,191.9200,193.0200,193.0200,1001436,0.0000,1.0000
2017-11-20,194.0000,195.8000,193.0600,194.2300,194.2300,762351,0.0000,1.0000
