timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,67.5700,68.0400,67.5300,68.0300,68.0300,261231,0.0000,1.0000
2018-01-10,67.8200,67.9700,67.3200,67.5300,67.5300,769073,0.0000,1.0000
2018-01-09,68.1500,68.8400,67.9600,67.9800,67.9800,1681726,0.0000,1.0000
2018-01-08,68.4200,68.4200,67.9200,68.1700,68.1700,1188473,0.0000,1.0000
2018-01-05,68.5900,68.6750,67.9000,68.2600,68.2600,1547009,0.0000,1.0000
2018-01-04,67.8800,69.1200,67.7500,68.4400,68.4400,1926399,0.0000,1.0000
2018-01-03,66.6000,66.9100,66.3900,66.9000,66.9000,1426224,0.0000,1.0000
2018-01-02,67.5700,67.5700,66.3600,66.5800,66.5800,1550000,0.0000,1.0000
2017-12-29,67.3300,68.0000,67.2600,67.6100,67.6100,1258947,0.3450,1.0000
2017-12-28,67.0000,67.4700,66.6800,67.4100,67.0678,1234528,0.0000,1.0000
2017-12-27,66.7100,67.0200,66.5600,66.9300,66.5902,791097,0.0000,1.0000
2017-12-26,66.0500,67.0450,66.0000,66.7700,66.4310,842385,0.0000,1.0000
2017-12-22,66.7400,67.0800,66.5400,66.9300,66.5902,1209558,0.0000,1.0000
2017-12-21,66.3700,66.8700,66.2800,66.7600,66.4211,1183526,0.0000,1.0000
2017-12-20,65.9600,66.8400,65.5400,66.2800,65.9435,1341197,0.0000,1.0000
2017-12-19,66.4900,66.7100,65.4750,65.5000,65.1675,1891442,0.0000,1.0000
2017-12-18,66.4800,66.6550,66.1000,66.4400,66.1027,1412377,0.0000,1.0000
2017-12-15,65.1650,66.3900,65.0900,66.0900,65.7545,2681360,0.0000,1.0000
2017-12-14,65.1400,65.4500,64.6800,64.8500,64.5208,1297697,0.0000,1.0000
2017-12-13,64.6800,65.4400,64.4900,65.1400,64.8093,1201964,0.0000,1.0000
2017-12-12,65.2900,65.4400,64.7900,64.8000,64.4710,1104753,0.0000,1.0000
2017-12-11,65.3000,65.3800,65.0300,65.2500,64.9187,859213,0.0000,1.0000
2017-12-08,65.4000,65.4000,65.0100,65.1400,64.8093,1059776,0.0000,1.0000
2017-12-07,65.1900,65.3500,64.8700,65.2400,64.9088,789374,0.0000,1.0000
2017-12-06,65.2300,65.4800,64.9800,65.2800,64.9486,1196271,0.0000,1.0000
2017-12-05,65.2400,65.5200,64.9000,65.0800,64.7496,1295154,0.0000,1.0000
2017-12-04,64.8700,65.7900,64.5500,65.0300,64.6998,1699999,0.0000,1.0000
2017-12-01,65.1000,65.2700,63.6600,64.2200,63.8940,1163570,0.0000,1.0000
2017-11-30,64.4700,65.2600,64.1800,64.9400,64.6103,2539039,0.0000,1.0000
2017-11-29,63.5100,64.5000,63.3300,64.3100,63.9835,1180609,0.0000,1.0000
2017-11-28,62.8800,63.5050,62.7300,63.5000,63.1776,931141,0.0000,1.0000
2017-11-27,62.5000,62.8600,62.4400,62.6500,62.3319,1113666,0.0000,1.0000
2017-11-24,62.4500,62.5500,62.2300,62.3300,62.0136,602581,0.0000,1.0000
2017-11-22,62.9000,63.0200,62.1800,62.3500,62.0335,1055240,0.0000,1.0000
2017-11-21,62.7400,63.0300,62.2400,63.0000,62.6802,1536013,0.0000,1.0000
2017-11-20,62.4400,62.6900,62.0500,62.6600,62.3419,1244510,0.0000,1.0000
2017-11-17,62.9900,63.1200,62.4400,62.4400,62.1230,819637,0.0000,1.0000
2017-11-16,63.1400,63.4600,63.0800,63.2400,62.9189,1136373,0.0000,1.0000
