timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-18,197.1600,198.1250,195.5300,195.7100,195.7100,1378891,0.0000,1.0000
2018-01-17,197.0200,197.9500,196.0700,196.9900,196.9900,1519932,0.0000,1.0000
2018-01-16,198.9200,199.7500,195.5900,195.7300,195.7300,1474390,0.0000,1.0000
2018-01-12,194.0700,198.0650,194.0450,197.4600,197.4600,1491449,0.0000,1.0000
2018-01-11,193.5000,194.5300,193.2100,193.4650,193.4650,290742,0.0000,1.0000
2018-01-10,193.5200,194.0000,192.0500,193.4800,193.4800,1141444,0.0000,1.0000
2018-01-09,192.7100,194.6900,192.4000,193.7000,193.7000,1248812,0.0000,1.0000
2018-01-08,190.1500,192.6900,189.8150,192.3600,192.3600,1259786,0.0000,1.0000
2018-01-05,190.4500,190.9800,189.5800,190.2300,190.2300,1227710,0.0000,1.0000
2018-01-04,188.5500,190.3000,188.0800,190.0900,190.0900,1741953,0.0000,1.0000
2018-01-03,186.2900,188.4700,186.2800,188.3000,188.3000,1287445,0.0000,1.0000
2018-01-02,187.4900,187.6000,185.0300,186.2800,186.2800,1603312,0.7975,1.0000
2017-12-29,189.1300,189.4600,187.8300,187.8500,187.0492,1133060,0.0000,1.0000
2017-12-28,187.8600,189.0200,187.8600,188.9200,188.1146,573367,0.0000,1.0000
2017-12-27,187.1500,187.9700,186.6900,187.9100,187.1090,994003,0.0000,1.0000
2017-12-26,187.6300,188.3900,187.1300,187.4600,186.6609,793174,0.0000,1.0000
2017-12-22,187.0200,187.5100,186.5201,187.3100,186.5115,1153578,0.0000,1.0000
2017-12-21,187.0800,187.3500,186.5100,186.8400,186.0435,906075,0.0000,1.0000
2017-12-20,188.2400,188.4190,186.6300,186.6700,185.8742,1124015,0.0000,1.0000
2017-12-19,188.9200,189.3757,187.3500,187.4300,186.6310,1065536,0.0000,1.0000
2017-12-18,191.4200,192.4090,187.7500,188.7300,187.9255,1679105,0.0000,1.0000
2017-12-15,190.0000,191.5400,189.7900,191.3800,190.5642,1510125,0.0000,1.0000
2017-12-14,189.1100,189.9500,188.3400,188.7800,187.9752,998518,0.0000,1.0000
2017-12-13,187.1600,190.4300,187.0300,188.6500,187.8458,1023569,0.0000,1.0000
2017-12-12,185.9100,187.4600,185.2646,186.8900,186.0933,1057123,0.0000,1.0000
2017-12-11,187.7800,188.2700,186.7200,187.0800,186.2825,720516,0.0000,1.0000
2017-12-08,187.0000,188.0800,186.0800,188.0700,187.2683,813276,0.0000,1.0000
2017-12-07,185.2200,186.9100,185.2000,186.1400,185.3465,1204857,0.0000,1.0000
2017-12-06,183.9600,187.1100,183.9600,185.2000,184.4105,1209136,0.0000,1.0000
2017-12-05,185.3900,185.9700,183.8200,183.8500,183.0663,1226302,0.0000,1.0000
2017-12-04,189.0900,189.1920,185.5200,185.5400,184.7491,1296989,0.0000,1.0000
2017-12-01,191.1800,191.3600,184.3650,186.8900,186.0933,1848589,0.0000,1.0000
2017-11-30,189.1600,191.3500,188.6501,191.1500,190.3351,3122699,0.0000,1.0000
2017-11-29,189.6200,190.6000,188.2900,188.5800,187.7761,1425322,0.0000,1.0000
2017-11-28,187.1900,189.0500,187.0100,188.7500,187.9454,1370714,0.0000,1.0000
2017-11-27,186.0000,187.1700,185.5200,186.8500,186.0535,988169,0.0000,1.0000
2017-11-24,185.5500,186.4400,185.5500,186.0600,185.2668,434277,0.0000,1.0000
2017-11-22,185.9500,186.2864,184.8100,185.4600,184.6694,786909,0.0000,1.0000
2017-11-21,184.5500,187.0000,183.9400,186.5900,185.7946,1295534,0.0000,1.0000
2017-11-20,183.0200,185.3390,182.5500,183.8800,183.0961,1736777,0.0000,1.0000
2017-11-17,183.6500,184.0700,182.8100,182.8500,182.0705,997122,0.0000,1.0000
2017-11-16,183.9500,184.4900,183.1600,184.2700,183.4845,898821,0.0000,1.0000
2017-11-15,183.5000,184.4000,182.3200,182.8500,182.0705,1076600,0.0000,1.0000
2017-11-14,184.0000,185.6700,183.8800,183.9400,183.1559,1315986,0.0000,1.0000
2017-11-13,184.7800,184.7900,183.8000,184.4600,183.6737,986200,0.0000,1.0000
2017-11-10,184.7000,185.5900,183.7600,184.8100,184.0222,778279,0.0000,1.0000
2017-11-09,187.1600,187.5900,184.0400,184.9400,184.1516,1270044,0.0000,1.0000
2017-11-08,186.9000,188.5400,186.9000,187.8300,187.0293,1263474,0.0000,1.0000
2017-11-07,185.2200,187.8100,185.0600,186.8000,186.0037,1542871,0.0000,1.0000
2017-11-06,184.3200,185.6200,183.1400,184.4600,183.6737,1045415,0.0000,1.0000
2017-11-03,184.5900,186.6600,183.4500,184.7100,183.9226,1600474,0.0000,1.0000
2017-11-02,180.4300,184.2700,180.3900,184.0200,183.2355,1683974,0.0000,1.0000
2017-11-01,181.0000,181.6700,180.1900,180.2600,179.4916,1508523,0.0000,1.0000
2017-10-31,179.7800,181.2000,179.6500,180.2000,179.4318,1512624,0.0000,1.0000
2017-10-30,180.4900,181.5900,179.3000,179.5800,178.8145,2362192,0.0000,1.0000
2017-10-27,181.9100,183.5030,180.0000,180.2800,179.5115,2342130,0.0000,1.0000
2017-10-26,189.6900,190.2500,179.2949,181.8600,181.0847,3910878,0.0000,1.0000
2017-10-25,189.0000,189.8700,187.9200,189.1800,188.3735,1109536,0.0000,1.0000
2017-10-24,189.0000,190.0600,188.5001,189.1000,188.2939,954235,0.0000,1.0000
2017-10-23,189.2600,189.9814,189.0300,189.0700,188.2640,1164283,0.0000,1.0000
2017-10-20,187.5800,188.9000,186.9502,188.9000,188.0947,1048182,0.0000,1.0000
2017-10-19,186.6100,187.1250,185.6200,186.9500,186.1530,1210201,0.0000,1.0000
2017-10-18,188.5000,188.5000,186.0500,187.2300,186.4318,1440748,0.0000,1.0000
2017-10-17,188.3600,188.8100,188.2300,188.6500,187.8458,800929,0.0000,1.0000
2017-10-16,188.0800,188.9800,188.0800,188.7100,187.9055,1422655,0.0000,1.0000
2017-10-13,189.1500,189.6444,187.6800,187.8900,187.0890,1034726,0.0000,1.0000
2017-10-12,187.2200,189.3900,187.1500,188.9100,188.1047,964957,0.0000,1.0000
2017-10-11,187.1200,187.4800,186.1400,187.2200,186.4219,1074066,0.7975,1.0000
2017-10-10,188.6200,188.6200,186.8300,187.6900,186.0972,882400,0.0000,1.0000
2017-10-09,188.0700,188.6200,187.6000,188.0000,186.4045,822190,0.0000,1.0000
2017-10-06,187.0000,187.7500,186.8200,187.7300,186.1368,800842,0.0000,1.0000
2017-10-05,187.4500,187.4900,186.0100,187.1800,185.5915,1394432,0.0000,1.0000
2017-10-04,187.8400,188.2100,186.9100,187.5500,185.9584,1425937,0.0000,1.0000
2017-10-03,187.5500,188.3100,186.7800,188.3100,186.7119,922252,0.0000,1.0000
2017-10-02,186.9100,187.7900,186.5400,187.6500,186.0575,1127230,0.0000,1.0000
2017-09-29,185.0600,186.7000,184.2300,186.5800,184.9966,1710104,0.0000,1.0000
2017-09-28,184.1000,184.6200,183.3900,184.0200,182.4583,886503,0.0000,1.0000
2017-09-27,185.0000,185.6100,184.5000,184.5500,182.9838,988819,0.0000,1.0000
2017-09-26,184.0000,185.3500,183.6600,184.6700,183.1028,1140342,0.0000,1.0000
2017-09-25,184.7000,184.9000,182.5800,183.7600,182.2005,1359368,0.0000,1.0000
2017-09-22,186.0700,186.4100,184.2300,184.6900,183.1226,1183604,0.0000,1.0000
2017-09-21,184.9200,185.2300,184.4100,185.0400,183.4697,835001,0.0000,1.0000
2017-09-20,183.2500,185.1500,183.2400,184.8000,183.2317,1416580,0.0000,1.0000
2017-09-19,183.3100,184.3800,182.6300,183.2500,181.6949,1248841,0.0000,1.0000
2017-09-18,183.2500,183.9000,182.1300,183.3100,181.7543,1156754,0.0000,1.0000
2017-09-15,182.1200,183.0400,181.6500,182.5000,180.9512,1881533,0.0000,1.0000
2017-09-14,180.2000,181.6700,180.1092,181.3400,179.8011,1055216,0.0000,1.0000
2017-09-13,181.9300,181.9900,180.3100,180.4900,178.9583,1083765,0.0000,1.0000
2017-09-12,182.6200,183.5000,182.3800,182.5000,180.9512,969224,0.0000,1.0000
2017-09-11,182.1500,182.7400,181.3250,182.7200,181.1693,1254659,0.0000,1.0000
2017-09-08,180.9800,182.3500,180.9100,181.6900,180.1481,1037119,0.0000,1.0000
2017-09-07,180.4000,181.5400,179.6800,181.3000,179.7614,1089659,0.0000,1.0000
2017-09-06,183.9100,184.0000,180.0200,180.2500,178.7203,1591329,0.0000,1.0000
2017-09-05,184.1700,184.1700,182.1850,183.0800,181.5263,1689669,0.0000,1.0000
2017-09-01,182.0000,182.4950,181.3800,181.3800,179.8407,945193,0.0000,1.0000
2017-08-31,182.8700,182.8700,181.4900,182.0100,180.4654,1259289,0.0000,1.0000
2017-08-30,183.2100,183.2100,181.1700,182.1500,180.6042,1238465,0.0000,1.0000
2017-08-29,179.7290,182.2500,179.5800,182.1100,180.5645,2010845,0.0000,1.0000
2017-08-28,178.4200,178.4800,177.8000,178.2400,176.7274,741830,0.0000,1.0000
2017-08-25,178.8000,179.2500,178.0000,178.0300,176.5192,731266,0.0000,1.0000
2017-08-24,178.7600,178.8950,177.4700,177.9900,176.4795,1025387,0.0000,1.0000
2017-08-23,178.8570,179.0000,178.0000,178.1900,176.6778,826676,0.0000,1.0000
2017-08-22,177.3800,179.5800,177.2000,179.2200,177.6991,1061224,0.0000,1.0000
2017-08-21,176.9400,177.0870,175.2600,176.7400,175.2401,957592,0.0000,1.0000
2017-08-18,177.0100,177.3800,176.0200,176.9000,175.3987,1092514,0.0000,1.0000
2017-08-17,178.0000,178.7500,177.1400,177.2500,175.7458,1146400,0.0000,1.0000
2017-08-16,178.5700,178.8000,177.5500,178.0800,176.5687,1423484,0.0000,1.0000
2017-08-15,180.5200,180.8900,178.0600,178.2200,176.7075,1661110,0.0000,1.0000
2017-08-14,179.9900,180.4500,179.2300,180.3400,178.8095,1630780,0.0000,1.0000
2017-08-11,178.1000,180.8700,178.1000,179.3500,177.8279,1928503,0.0000,1.0000
2017-08-10,181.0100,181.0500,177.3200,177.6200,176.1126,3668899,0.0000,1.0000
2017-08-09,176.1000,179.5900,175.6300,179.3000,177.7784,2574651,0.0000,1.0000
2017-08-08,173.3600,174.9200,173.3600,174.8000,173.3166,1410385,0.0000,1.0000
2017-08-07,173.9700,174.1900,173.3500,173.5100,172.0375,1073934,0.0000,1.0000
2017-08-04,174.4800,174.6000,173.3200,173.8700,172.3945,1432739,0.0000,1.0000
2017-08-03,172.7300,174.1400,171.8700,174.1400,172.6622,2071957,0.0000,1.0000
2017-08-02,171.9100,173.7900,171.6400,173.7900,172.3151,1422129,0.0000,1.0000
